month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,91.7,10.5165,97,66.4,100,83.95,100,daily,rmax,blmcapit
1,2,91.5767,10.7256,95.45,62.3,100,88.425,100,daily,rmax,blmcapit
1,3,91.1033,9.5307,93.45,65.4,100,82.325,100,daily,rmax,blmcapit
1,4,91.6333,10.9476,97.95,62.9,100,83.5,100,daily,rmax,blmcapit
1,5,88.98,12.2782,92.1,51.4,100,82.275,100,daily,rmax,blmcapit
1,6,90.1233,12.5993,93.55,45.3,100,84.625,100,daily,rmax,blmcapit
1,7,89.8033,11.5815,93.65,59.8,100,83.125,100,daily,rmax,blmcapit
1,8,91.29,11.3435,96.5,52.5,100,83.1,100,daily,rmax,blmcapit
1,9,90.9033,12.4815,97.45,53.4,100,83.675,100,daily,rmax,blmcapit
1,10,90.66,11.0335,94.95,61.5,100,86.05,100,daily,rmax,blmcapit
1,11,90.1333,10.3985,92.35,64.1,100,81.35,100,daily,rmax,blmcapit
1,12,90.26,11.2414,93.75,53.4,100,84.9,100,daily,rmax,blmcapit
1,13,90.0467,11.8694,95.95,64.7,100,81.9,100,daily,rmax,blmcapit
1,14,92.14,10.4881,97.3,63.1,100,87.15,100,daily,rmax,blmcapit
1,15,90.9367,11.2927,96.5,66.8,100,85.25,100,daily,rmax,blmcapit
1,16,91.96,9.775,95.45,67.6,100,86.35,100,daily,rmax,blmcapit
1,17,90.8567,11.2955,95,63,100,83.15,100,daily,rmax,blmcapit
1,18,90.2233,12.0056,93.45,56.8,100,83.625,100,daily,rmax,blmcapit
1,19,90.33,11.3452,94.25,65.9,100,82.725,100,daily,rmax,blmcapit
1,20,92.1467,10.1964,96.65,63.4,100,85.85,100,daily,rmax,blmcapit
1,21,91.7967,12.0769,97.6,57.5,100,86.95,100,daily,rmax,blmcapit
1,22,91.6633,11.1561,98.15,62,100,83.425,100,daily,rmax,blmcapit
1,23,90.14,11.8286,95.1,60.3,100,83.7,100,daily,rmax,blmcapit
1,24,91.0933,11.3566,96.3,58.3,100,86.975,100,daily,rmax,blmcapit
1,25,89.3867,12.4198,94.95,62.1,100,80.825,100,daily,rmax,blmcapit
1,26,88.0467,15.1007,95.95,40.8,100,76.4,100,daily,rmax,blmcapit
1,27,86.6633,13.8503,91.25,59.1,100,75.45,100,daily,rmax,blmcapit
1,28,87.33,12.4285,89.5,61.6,100,78,99.75,daily,rmax,blmcapit
