month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,5.6881,14.1991,7.25,-31.09,29.39,-3.73,17.6,daily,tmmn,blmfortp
1,2,5.168,11.8736,6.53,-19.21,28.31,-2.2,11.975,daily,tmmn,blmfortp
1,3,4.988,14.9832,5.9,-24.79,32.99,-8.365,17.42,daily,tmmn,blmfortp
1,4,4.04,15.3182,4.73,-20.83,29.39,-10.21,19.085,daily,tmmn,blmfortp
1,5,5.306,14.7971,6.17,-20.47,28.13,-8.185,18.14,daily,tmmn,blmfortp
1,6,3.488,16.3214,8.78,-23.35,27.95,-12.505,16.7,daily,tmmn,blmfortp
1,7,4.976,14.1192,8.87,-25.69,28.85,-6.25,14.99,daily,tmmn,blmfortp
1,8,6.578,12.6285,9.14,-19.21,31.37,-5.125,16.43,daily,tmmn,blmfortp
1,9,4.982,12.291,5.9,-19.03,25.07,-4.045,13.91,daily,tmmn,blmfortp
1,10,5.162,14.8109,5.18,-29.11,25.07,-5.845,18.275,daily,tmmn,blmfortp
1,11,4.418,14.9235,9.23,-24.07,28.85,-4.855,15.98,daily,tmmn,blmfortp
1,12,3.188,14.702,6.08,-29.29,25.79,-8.545,14.99,daily,tmmn,blmfortp
1,13,4.478,14.9997,7.07,-23.35,25.25,-9.13,16.565,daily,tmmn,blmfortp
1,14,3.818,15.3161,6.62,-28.57,29.75,-7.465,16.7,daily,tmmn,blmfortp
1,15,4.172,14.347,2.66,-27.31,29.75,-5.845,15.89,daily,tmmn,blmfortp
1,16,4.706,13.627,5.09,-25.15,24.71,-2.02,15.62,daily,tmmn,blmfortp
1,17,6.05,12.5304,10.49,-21.37,26.51,-0.58,14.765,daily,tmmn,blmfortp
1,18,6.788,13.7484,7.97,-29.11,27.95,0.815,15.665,daily,tmmn,blmfortp
1,19,8.774,12.8358,10.04,-31.09,29.57,3.065,17.285,daily,tmmn,blmfortp
1,20,9.026,10.5145,11.39,-15.61,23.99,1.355,16.385,daily,tmmn,blmfortp
1,21,9.068,9.849,10.94,-14.35,20.57,4.64,16.205,daily,tmmn,blmfortp
1,22,9.11,11.0106,11.03,-15.97,23.81,3.74,17.69,daily,tmmn,blmfortp
1,23,8.336,11.5447,10.67,-15.97,28.85,0.815,18.5,daily,tmmn,blmfortp
1,24,8.036,13.2267,7.34,-19.57,35.51,0.77,18.095,daily,tmmn,blmfortp
1,25,8.018,13.1999,8.78,-20.47,29.75,-2.56,18.5,daily,tmmn,blmfortp
1,26,8.048,13.6783,9.86,-16.69,31.91,-0.445,15.44,daily,tmmn,blmfortp
1,27,9.338,15.6666,16.34,-27.49,32.63,0.545,19.715,daily,tmmn,blmfortp
1,28,6.278,14.689,8.6,-23.53,29.57,-2.875,18.725,daily,tmmn,blmfortp
1,29,6.086,15.2453,8.51,-28.39,32.27,-5.17,16.79,daily,tmmn,blmfortp
1,30,8.462,16.04,14.9,-37.03,30.65,-1.3,20.345,daily,tmmn,blmfortp
1,31,8.684,14.7848,11.21,-22.63,30.47,-0.535,21.74,daily,tmmn,blmfortp
2,1,8.612,16.0019,13.37,-33.43,32.63,-2.74,20.525,daily,tmmn,blmfortp
2,2,8.12,14.1249,10.04,-35.59,25.07,0.41,18.77,daily,tmmn,blmfortp
2,3,6.356,14.1532,11.39,-30.01,28.85,-2.29,16.61,daily,tmmn,blmfortp
2,4,6.848,13.2919,10.85,-17.95,27.23,-5.53,16.025,daily,tmmn,blmfortp
2,5,10.436,11.7318,12.83,-17.23,26.33,4.685,19.67,daily,tmmn,blmfortp
2,6,9.71,14.2059,12.92,-22.99,31.19,2.75,18.905,daily,tmmn,blmfortp
2,7,6.866,15.1189,9.59,-30.55,33.53,-0.175,17.87,daily,tmmn,blmfortp
2,8,6.908,15.4752,10.4,-27.67,25.61,-0.58,19.805,daily,tmmn,blmfortp
2,9,7.07,15.4865,8.42,-24.43,31.73,-1.93,19.985,daily,tmmn,blmfortp
2,10,6.842,11.9576,8.42,-17.77,29.93,0.095,15.755,daily,tmmn,blmfortp
2,11,6.404,10.8412,7.16,-22.27,24.17,-0.085,12.065,daily,tmmn,blmfortp
2,12,7.346,12.0038,8.51,-22.81,27.95,1.535,15.395,daily,tmmn,blmfortp
2,13,10.052,12.4178,11.93,-13.99,25.79,-0.85,20.84,daily,tmmn,blmfortp
2,14,10.562,13.1796,12.74,-16.15,29.39,0.32,19.49,daily,tmmn,blmfortp
2,15,9.878,12.3784,10.4,-12.73,30.47,1.985,19.49,daily,tmmn,blmfortp
2,16,12.5,13.142,17.24,-18.85,36.23,3.245,20.435,daily,tmmn,blmfortp
2,17,12.308,13.6958,14.9,-21.37,31.91,4.64,22.145,daily,tmmn,blmfortp
2,18,11.222,14.8209,13.46,-16.15,31.73,-0.13,25.16,daily,tmmn,blmfortp
2,19,11.936,14.102,15.89,-16.15,31.19,-0.265,25.52,daily,tmmn,blmfortp
2,20,12.434,13.8145,12.83,-15.79,31.01,2.48,23.9,daily,tmmn,blmfortp
2,21,11.528,14.3435,13.91,-16.51,33.17,-1.345,22.37,daily,tmmn,blmfortp
2,22,12.038,14.5669,12.92,-15.61,36.23,0.905,23.36,daily,tmmn,blmfortp
2,23,10.934,13.4755,12.02,-16.87,31.73,2.345,21.83,daily,tmmn,blmfortp
2,24,10.352,14.0641,15.62,-21.37,30.83,3.92,18.59,daily,tmmn,blmfortp
2,25,9.158,14.5226,11.84,-18.85,31.73,0.77,20.075,daily,tmmn,blmfortp
2,26,8.486,13.138,10.85,-14.35,30.83,-4,17.42,daily,tmmn,blmfortp
2,27,11.108,12.2431,9.68,-10.21,32.45,2.93,22.505,daily,tmmn,blmfortp
2,28,11.684,10.8987,11.12,-17.59,29.93,6.035,17.735,daily,tmmn,blmfortp
2,29,15.3725,14.2268,17.69,-9.13,29.93,10.895,26.105,daily,tmmn,blmfortp
3,1,10.064,12.3497,12.74,-19.39,31.01,0.68,19.715,daily,tmmn,blmfortp
3,2,11.498,13.0756,13.55,-24.79,29.57,5.495,20.12,daily,tmmn,blmfortp
3,3,14.24,12.8999,12.83,-22.27,30.83,7.7,25.835,daily,tmmn,blmfortp
3,4,15.386,12.3654,15.98,-12.73,30.47,6.845,26.96,daily,tmmn,blmfortp
3,5,14.186,11.9819,15.62,-8.59,33.35,8.96,22.955,daily,tmmn,blmfortp
3,6,14.108,13.0402,17.24,-13.27,35.51,4.46,23.855,daily,tmmn,blmfortp
3,7,13.748,12.7428,16.34,-15.07,29.75,6.26,24.125,daily,tmmn,blmfortp
3,8,14.318,13.3971,16.79,-21.55,31.01,9.365,23.63,daily,tmmn,blmfortp
3,9,15.23,13.6579,18.59,-19.21,35.69,5.99,26.42,daily,tmmn,blmfortp
3,10,17.636,12.0903,22.37,-8.77,30.29,10.895,26.51,daily,tmmn,blmfortp
3,11,19.436,12.3911,22.19,-13.45,39.83,15.395,27.905,daily,tmmn,blmfortp
3,12,20.858,11.2244,21.92,-1.39,39.11,11.255,30.29,daily,tmmn,blmfortp
3,13,21.302,8.694,22.46,2.93,34.79,15.08,28.85,daily,tmmn,blmfortp
3,14,22.472,7.9735,22.64,1.67,34.97,17.15,28.715,daily,tmmn,blmfortp
3,15,23.084,8.3557,23.81,0.95,37.31,19.58,28.715,daily,tmmn,blmfortp
3,16,23.552,7.7713,23.63,6.71,37.85,17.375,29.795,daily,tmmn,blmfortp
3,17,23.624,8.1102,24.53,6.71,38.03,20.12,29.03,daily,tmmn,blmfortp
3,18,24.41,7.3141,25.97,3.83,36.23,20.39,29.12,daily,tmmn,blmfortp
3,19,25.172,7.9896,27.05,3.83,37.31,21.695,31.19,daily,tmmn,blmfortp
3,20,23.954,8.331,23.9,-4.09,36.23,20.48,29.84,daily,tmmn,blmfortp
3,21,24.71,8.2638,25.79,-6.43,36.59,21.245,29.66,daily,tmmn,blmfortp
3,22,24.986,8.8927,26.15,-9.13,36.23,22.55,30.875,daily,tmmn,blmfortp
3,23,24.5,8.5889,26.96,-0.49,36.59,19.265,29.48,daily,tmmn,blmfortp
3,24,24.05,8.9017,26.24,3.11,42.17,18.635,29.12,daily,tmmn,blmfortp
3,25,22.994,11.1047,24.8,-4.99,43.25,17.69,28.13,daily,tmmn,blmfortp
3,26,24.956,9.4655,24.26,3.11,39.11,18.995,32.135,daily,tmmn,blmfortp
3,27,26.45,8.1525,28.58,8.69,38.39,22.055,33.53,daily,tmmn,blmfortp
3,28,26.15,6.774,26.87,3.29,39.11,21.785,31.235,daily,tmmn,blmfortp
3,29,26.906,6.9083,27.32,9.77,38.03,22.1,30.56,daily,tmmn,blmfortp
3,30,26.39,8.3125,27.86,5.27,39.83,22.055,31.19,daily,tmmn,blmfortp
3,31,24.776,9.3497,25.34,2.03,40.91,19.22,31.82,daily,tmmn,blmfortp
4,1,25.25,9.3842,26.42,3.29,43.61,22.28,31.685,daily,tmmn,blmfortp
4,2,25.364,8.8464,26.42,3.47,41.81,22.055,30.785,daily,tmmn,blmfortp
4,3,24.41,8.5974,24.35,5.09,44.69,21.02,28.85,daily,tmmn,blmfortp
4,4,26.012,7.0551,25.52,13.73,44.15,21.02,30.38,daily,tmmn,blmfortp
4,5,27.464,8.3858,26.69,3.29,45.23,22.64,32.135,daily,tmmn,blmfortp
4,6,27.602,8.5895,27.68,3.83,43.43,24.26,34.205,daily,tmmn,blmfortp
4,7,27.914,7.4355,28.67,5.81,41.27,26.24,30.92,daily,tmmn,blmfortp
4,8,27.71,8.4167,28.94,5.99,43.97,23.225,31.82,daily,tmmn,blmfortp
4,9,27.518,8.4562,28.31,7.07,41.99,22.505,31.82,daily,tmmn,blmfortp
4,10,27.98,7.2584,28.67,11.21,45.41,24.395,31.325,daily,tmmn,blmfortp
4,11,26.72,8.3783,28.22,-0.67,39.65,24.35,31.46,daily,tmmn,blmfortp
4,12,28.622,9.1513,29.66,4.01,49.73,24.845,34.565,daily,tmmn,blmfortp
4,13,29.876,8.982,29.84,11.39,46.13,23.9,36.275,daily,tmmn,blmfortp
