month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0245,0.05,0,0,0.1693,0,0.0217,daily,pr,blmmatad
1,2,0.0301,0.0737,0,0,0.3465,0,0.0246,daily,pr,blmmatad
1,3,0.0169,0.0393,0,0,0.1772,0,0,daily,pr,blmmatad
1,4,0.019,0.0431,0,0,0.1811,0,0.0089,daily,pr,blmmatad
1,5,0.016,0.0413,0,0,0.1732,0,0,daily,pr,blmmatad
1,6,0.0134,0.0394,0,0,0.1772,0,0,daily,pr,blmmatad
1,7,0.0236,0.0534,0,0,0.2126,0,0.0089,daily,pr,blmmatad
1,8,0.0289,0.0529,0,0,0.2165,0,0.0266,daily,pr,blmmatad
1,9,0.0245,0.0492,0,0,0.2126,0,0.0217,daily,pr,blmmatad
1,10,0.0348,0.0704,0,0,0.2913,0,0.0374,daily,pr,blmmatad
1,11,0.0189,0.0451,0,0,0.2165,0,0.0226,daily,pr,blmmatad
1,12,0.014,0.0387,0,0,0.1535,0,0,daily,pr,blmmatad
1,13,0.0113,0.0244,0,0,0.0906,0,0.0089,daily,pr,blmmatad
1,14,0.0122,0.0221,0,0,0.0945,0,0.0157,daily,pr,blmmatad
1,15,0.0098,0.0215,0,0,0.063,0,0,daily,pr,blmmatad
1,16,0.0136,0.0312,0,0,0.122,0,0.0089,daily,pr,blmmatad
1,17,0.019,0.0496,0,0,0.2362,0,0.0118,daily,pr,blmmatad
1,18,0.0126,0.0374,0,0,0.1654,0,0,daily,pr,blmmatad
1,19,0.0142,0.0262,0,0,0.0866,0,0.0148,daily,pr,blmmatad
1,20,0.0207,0.0599,0,0,0.2598,0,0,daily,pr,blmmatad
1,21,0.0266,0.0617,0,0,0.2913,0,0.0207,daily,pr,blmmatad
1,22,0.0123,0.0356,0,0,0.1457,0,0,daily,pr,blmmatad
1,23,0.0088,0.0157,0,0,0.0433,0,0.0089,daily,pr,blmmatad
1,24,0.0105,0.0176,0,0,0.0512,0,0.0197,daily,pr,blmmatad
1,25,0.006,0.0175,0,0,0.0866,0,0,daily,pr,blmmatad
1,26,0.0143,0.0408,0,0,0.2126,0,0,daily,pr,blmmatad
1,27,0.0178,0.0326,0,0,0.1181,0,0.0197,daily,pr,blmmatad
1,28,0.0096,0.0365,0,0,0.1929,0,0,daily,pr,blmmatad
1,29,0.0193,0.0545,0,0,0.2402,0,0,daily,pr,blmmatad
1,30,0.0112,0.0238,0,0,0.0827,0,0,daily,pr,blmmatad
1,31,0.0033,0.0099,0,0,0.0472,0,0,daily,pr,blmmatad
2,1,0.0092,0.0276,0,0,0.1378,0,0,daily,pr,blmmatad
2,2,0.0215,0.0514,0,0,0.185,0,0,daily,pr,blmmatad
2,3,0.0157,0.0481,0,0,0.1969,0,0,daily,pr,blmmatad
2,4,0.0122,0.0417,0,0,0.2205,0,0,daily,pr,blmmatad
2,5,0.007,0.019,0,0,0.0787,0,0,daily,pr,blmmatad
2,6,0.0101,0.0267,0,0,0.126,0,0,daily,pr,blmmatad
2,7,0.0209,0.0602,0,0,0.3189,0,0.0089,daily,pr,blmmatad
2,8,0.0339,0.0804,0,0,0.3622,0,0,daily,pr,blmmatad
2,9,0.0058,0.0137,0,0,0.0669,0,0,daily,pr,blmmatad
2,10,0.011,0.0231,0,0,0.0827,0,0.0089,daily,pr,blmmatad
2,11,0.0192,0.0568,0,0,0.2402,0,0,daily,pr,blmmatad
2,12,0.0126,0.0332,0,0,0.1654,0,0,daily,pr,blmmatad
2,13,0.0083,0.0171,0,0,0.0591,0,0.0089,daily,pr,blmmatad
2,14,0.0047,0.0185,0,0,0.0984,0,0,daily,pr,blmmatad
2,15,0.0147,0.0411,0,0,0.1496,0,0,daily,pr,blmmatad
2,16,0.0155,0.0305,0,0,0.1378,0,0.0256,daily,pr,blmmatad
2,17,0.0138,0.0363,0,0,0.1417,0,0,daily,pr,blmmatad
2,18,0.0096,0.0253,0,0,0.1063,0,0,daily,pr,blmmatad
2,19,0.0126,0.0314,0,0,0.1575,0,0.0118,daily,pr,blmmatad
2,20,0.0075,0.0189,0,0,0.0669,0,0,daily,pr,blmmatad
2,21,0.0165,0.0524,0,0,0.2638,0,0,daily,pr,blmmatad
2,22,0.0144,0.0309,0,0,0.1299,0,0.0148,daily,pr,blmmatad
2,23,0.0098,0.0351,0,0,0.189,0,0,daily,pr,blmmatad
2,24,0.0184,0.033,0,0,0.122,0,0.0285,daily,pr,blmmatad
2,25,0.0133,0.0351,0,0,0.1614,0,0,daily,pr,blmmatad
2,26,0.0152,0.0215,0,0,0.0748,0,0.0295,daily,pr,blmmatad
2,27,0.0185,0.0402,0,0,0.1811,0,0.0207,daily,pr,blmmatad
2,28,0.0176,0.0364,0,0,0.1417,0,0.0187,daily,pr,blmmatad
2,29,0.0059,0.0111,0,0,0.0276,0,0.0049,daily,pr,blmmatad
3,1,0.0119,0.0226,0,0,0.0866,0,0.0177,daily,pr,blmmatad
3,2,0.0176,0.0478,0,0,0.2402,0,0.0148,daily,pr,blmmatad
3,3,0.0186,0.0457,0,0,0.2087,0,0.0118,daily,pr,blmmatad
3,4,0.0337,0.1074,0,0,0.4961,0,0,daily,pr,blmmatad
3,5,0.0126,0.0349,0,0,0.1457,0,0,daily,pr,blmmatad
3,6,0.008,0.0247,0,0,0.1142,0,0,daily,pr,blmmatad
3,7,0.0152,0.0322,0,0,0.1496,0,0.0148,daily,pr,blmmatad
3,8,0.0093,0.0219,0,0,0.0984,0,0,daily,pr,blmmatad
3,9,0.0097,0.0301,0,0,0.1496,0,0,daily,pr,blmmatad
3,10,0.0155,0.0367,0,0,0.1693,0,0,daily,pr,blmmatad
3,11,0.0066,0.0135,0,0,0.0512,0,0,daily,pr,blmmatad
3,12,0.0118,0.0441,0,0,0.2323,0,0,daily,pr,blmmatad
3,13,0.0119,0.0416,0,0,0.1732,0,0,daily,pr,blmmatad
3,14,0.0172,0.0444,0,0,0.1772,0,0,daily,pr,blmmatad
3,15,0.0087,0.019,0,0,0.0748,0,0,daily,pr,blmmatad
3,16,0.0264,0.0644,0,0,0.3071,0,0.0226,daily,pr,blmmatad
3,17,0.0256,0.0607,0,0,0.2874,0,0.0187,daily,pr,blmmatad
3,18,0.008,0.0223,0,0,0.1024,0,0,daily,pr,blmmatad
3,19,0.0139,0.0473,0,0,0.2205,0,0,daily,pr,blmmatad
3,20,0.0322,0.0817,0,0,0.2913,0,0,daily,pr,blmmatad
3,21,0.0092,0.0277,0,0,0.1417,0,0,daily,pr,blmmatad
3,22,0.0546,0.0915,0,0,0.3189,0,0.0866,daily,pr,blmmatad
3,23,0.0399,0.0817,0,0,0.3583,0,0.0295,daily,pr,blmmatad
3,24,0.0294,0.0571,0,0,0.1929,0,0.0305,daily,pr,blmmatad
3,25,0.0119,0.032,0,0,0.1575,0,0.0089,daily,pr,blmmatad
3,26,0.0234,0.0523,0,0,0.2087,0,0.0187,daily,pr,blmmatad
3,27,0.035,0.0887,0,0,0.3504,0,0.0089,daily,pr,blmmatad
3,28,0.0224,0.0338,0,0,0.0945,0,0.0472,daily,pr,blmmatad
3,29,0.0188,0.0475,0,0,0.2402,0,0.0089,daily,pr,blmmatad
