month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0202,0.0426,0,0,0.2008,0,0.0236,daily,pr,blmroyno
1,2,0.0098,0.0344,0,0,0.1811,0,0,daily,pr,blmroyno
1,3,0.0146,0.0379,0,0,0.1811,0,0,daily,pr,blmroyno
1,4,0.0178,0.0387,0,0,0.1299,0,0.0089,daily,pr,blmroyno
1,5,0.0203,0.0527,0,0,0.2441,0,0,daily,pr,blmroyno
1,6,0.0115,0.0321,0,0,0.1535,0,0,daily,pr,blmroyno
1,7,0.0181,0.0485,0,0,0.2323,0,0.0089,daily,pr,blmroyno
1,8,0.016,0.0354,0,0,0.1299,0,0,daily,pr,blmroyno
1,9,0.0234,0.05,0,0,0.2087,0,0.0256,daily,pr,blmroyno
1,10,0.0257,0.0581,0,0,0.2638,0,0.0118,daily,pr,blmroyno
1,11,0.0184,0.0464,0,0,0.2008,0,0,daily,pr,blmroyno
1,12,0.0064,0.0206,0,0,0.0945,0,0,daily,pr,blmroyno
1,13,0.0067,0.0146,0,0,0.0512,0,0,daily,pr,blmroyno
1,14,0.0114,0.0244,0,0,0.1063,0,0.0187,daily,pr,blmroyno
1,15,0.0146,0.0297,0,0,0.1181,0,0.0089,daily,pr,blmroyno
1,16,0.01,0.0242,0,0,0.1024,0,0,daily,pr,blmroyno
1,17,0.0202,0.0491,0,0,0.2362,0,0,daily,pr,blmroyno
1,18,0.0094,0.0217,0,0,0.1063,0,0.0148,daily,pr,blmroyno
1,19,0.015,0.0358,0,0,0.1457,0,0,daily,pr,blmroyno
1,20,0.0259,0.0674,0,0,0.3071,0,0,daily,pr,blmroyno
1,21,0.0126,0.0334,0,0,0.1496,0,0,daily,pr,blmroyno
1,22,0.0172,0.0466,0,0,0.1929,0,0,daily,pr,blmroyno
1,23,0.0091,0.0198,0,0,0.0827,0,0.0118,daily,pr,blmroyno
1,24,0.0097,0.0266,0,0,0.1181,0,0,daily,pr,blmroyno
1,25,0.0045,0.0129,0,0,0.0591,0,0,daily,pr,blmroyno
1,26,0.0169,0.0446,0,0,0.1732,0,0,daily,pr,blmroyno
1,27,0.0196,0.0343,0,0,0.1378,0,0.0226,daily,pr,blmroyno
1,28,0.0066,0.0155,0,0,0.0512,0,0,daily,pr,blmroyno
1,29,0.0126,0.0585,0,0,0.3189,0,0,daily,pr,blmroyno
1,30,0.0025,0.0083,0,0,0.0394,0,0,daily,pr,blmroyno
1,31,0.0081,0.0264,0,0,0.1339,0,0,daily,pr,blmroyno
2,1,0.0089,0.0224,0,0,0.0945,0,0,daily,pr,blmroyno
2,2,0.0129,0.0328,0,0,0.1299,0,0,daily,pr,blmroyno
2,3,0.0224,0.0652,0,0,0.2992,0,0,daily,pr,blmroyno
2,4,0.0178,0.0794,0,0,0.4331,0,0,daily,pr,blmroyno
2,5,0.0089,0.0214,0,0,0.0906,0,0,daily,pr,blmroyno
2,6,0.0085,0.0255,0,0,0.1181,0,0,daily,pr,blmroyno
2,7,0.0243,0.0599,0,0,0.2992,0,0.0177,daily,pr,blmroyno
2,8,0.0261,0.0779,0,0,0.4016,0,0,daily,pr,blmroyno
2,9,0.0064,0.018,0,0,0.0866,0,0,daily,pr,blmroyno
2,10,0.011,0.0272,0,0,0.122,0,0,daily,pr,blmroyno
2,11,0.0118,0.0319,0,0,0.126,0,0,daily,pr,blmroyno
2,12,0.0076,0.02,0,0,0.0906,0,0,daily,pr,blmroyno
2,13,0.0062,0.0171,0,0,0.0827,0,0,daily,pr,blmroyno
2,14,0.0089,0.0211,0,0,0.0945,0,0,daily,pr,blmroyno
2,15,0.0182,0.0523,0,0,0.2205,0,0,daily,pr,blmroyno
2,16,0.0154,0.0295,0,0,0.0945,0,0.0148,daily,pr,blmroyno
2,17,0.0088,0.0269,0,0,0.1378,0,0,daily,pr,blmroyno
2,18,0.0067,0.0186,0,0,0.0866,0,0,daily,pr,blmroyno
2,19,0.0058,0.018,0,0,0.0709,0,0,daily,pr,blmroyno
2,20,0.0092,0.0271,0,0,0.1339,0,0,daily,pr,blmroyno
2,21,0.0177,0.0518,0,0,0.2756,0,0.0118,daily,pr,blmroyno
2,22,0.0118,0.0371,0,0,0.2008,0,0.0089,daily,pr,blmroyno
2,23,0.0104,0.0348,0,0,0.189,0,0,daily,pr,blmroyno
2,24,0.0152,0.0329,0,0,0.122,0,0.0089,daily,pr,blmroyno
2,25,0.0176,0.0462,0,0,0.2205,0,0,daily,pr,blmroyno
2,26,0.01,0.0224,0,0,0.0984,0,0,daily,pr,blmroyno
2,27,0.0139,0.0287,0,0,0.1142,0,0.0148,daily,pr,blmroyno
2,28,0.0139,0.0306,0,0,0.1102,0,0,daily,pr,blmroyno
2,29,0,0,0,0,0,0,0,daily,pr,blmroyno
3,1,0.0114,0.0288,0,0,0.122,0,0,daily,pr,blmroyno
3,2,0.0093,0.0218,0,0,0.0984,0,0,daily,pr,blmroyno
3,3,0.0108,0.0248,0,0,0.1102,0,0,daily,pr,blmroyno
3,4,0.0265,0.0778,0,0,0.3228,0,0.0089,daily,pr,blmroyno
3,5,0.0131,0.0366,0,0,0.189,0,0,daily,pr,blmroyno
3,6,0.01,0.0244,0,0,0.122,0,0.0089,daily,pr,blmroyno
3,7,0.0118,0.0223,0,0,0.0787,0,0.0118,daily,pr,blmroyno
3,8,0.0083,0.0214,0,0,0.0984,0,0,daily,pr,blmroyno
3,9,0.0152,0.0392,0,0,0.1693,0,0,daily,pr,blmroyno
3,10,0.0308,0.0762,0,0,0.3701,0,0,daily,pr,blmroyno
3,11,0.0067,0.012,0,0,0.0394,0,0.0118,daily,pr,blmroyno
3,12,0.0093,0.0319,0,0,0.1693,0,0,daily,pr,blmroyno
3,13,0.007,0.0294,0,0,0.1575,0,0,daily,pr,blmroyno
3,14,0.0142,0.0387,0,0,0.1457,0,0,daily,pr,blmroyno
3,15,0.0102,0.0197,0,0,0.0748,0,0.0089,daily,pr,blmroyno
3,16,0.0226,0.0451,0,0,0.1811,0,0.0157,daily,pr,blmroyno
3,17,0.0301,0.0693,0,0,0.2874,0,0.0305,daily,pr,blmroyno
3,18,0.006,0.0144,0,0,0.0591,0,0,daily,pr,blmroyno
3,19,0.0189,0.0664,0,0,0.3543,0,0,daily,pr,blmroyno
3,20,0.0293,0.0817,0,0,0.3307,0,0.0089,daily,pr,blmroyno
3,21,0.016,0.0423,0,0,0.2126,0,0,daily,pr,blmroyno
3,22,0.053,0.0936,0,0,0.3346,0,0.0591,daily,pr,blmroyno
3,23,0.0316,0.0627,0,0,0.2835,0,0.0394,daily,pr,blmroyno
3,24,0.0251,0.0771,0,0,0.4055,0,0.0118,daily,pr,blmroyno
3,25,0.01,0.0273,0,0,0.1339,0,0,daily,pr,blmroyno
3,26,0.0227,0.0518,0,0,0.2047,0,0.0177,daily,pr,blmroyno
3,27,0.0458,0.1023,0,0,0.4724,0,0.0207,daily,pr,blmroyno
3,28,0.0259,0.0481,0,0,0.1654,0,0.0384,daily,pr,blmroyno
3,29,0.0201,0.0477,0,0,0.2008,0,0.0177,daily,pr,blmroyno
3,30,0.0394,0.0962,0,0,0.3976,0,0.0148,daily,pr,blmroyno
3,31,0.0367,0.1021,0,0,0.4764,0,0.0118,daily,pr,blmroyno
4,1,0.028,0.0533,0,0,0.2244,0,0.0502,daily,pr,blmroyno
4,2,0.0268,0.0544,0,0,0.2441,0,0.0315,daily,pr,blmroyno
4,3,0.0163,0.0366,0,0,0.1417,0,0.0118,daily,pr,blmroyno
4,4,0.0262,0.07,0,0,0.3583,0,0.0118,daily,pr,blmroyno
4,5,0.0253,0.044,0,0,0.1575,0,0.0266,daily,pr,blmroyno
4,6,0.0541,0.1667,0,0,0.8583,0,0.0118,daily,pr,blmroyno
4,7,0.0406,0.0868,0,0,0.3268,0,0.0148,daily,pr,blmroyno
4,8,0.0413,0.0927,0,0,0.3583,0,0.0226,daily,pr,blmroyno
4,9,0.0546,0.1002,0,0,0.4488,0,0.0768,daily,pr,blmroyno
4,10,0.0459,0.0971,0,0,0.3425,0,0.0364,daily,pr,blmroyno
4,11,0.0404,0.0956,0,0,0.437,0,0.0266,daily,pr,blmroyno
4,12,0.0411,0.0976,0,0,0.4449,0,0.0236,daily,pr,blmroyno
4,13,0.0293,0.0812,0,0,0.4134,0,0.0148,daily,pr,blmroyno
4,14,0.0877,0.1836,0.0059,0,0.8307,0,0.061,daily,pr,blmroyno
4,15,0.0751,0.1724,0,0,0.7362,0,0.0522,daily,pr,blmroyno
4,16,0.0348,0.0975,0,0,0.4803,0,0.0207,daily,pr,blmroyno
