month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0287,0.0624,0,0,0.2402,0,0.0236,daily,pr,crowagen
1,2,0.0182,0.0393,0,0,0.1496,0,0.0148,daily,pr,crowagen
1,3,0.0157,0.0386,0,0,0.1614,0,0,daily,pr,crowagen
1,4,0.0283,0.0521,0,0,0.1457,0,0.0354,daily,pr,crowagen
1,5,0.031,0.0799,0,0,0.311,0,0,daily,pr,crowagen
1,6,0.0062,0.016,0,0,0.063,0,0,daily,pr,crowagen
1,7,0.0341,0.1074,0,0,0.4961,0,0,daily,pr,crowagen
1,8,0.0312,0.0847,0,0,0.3976,0,0,daily,pr,crowagen
1,9,0.0327,0.0634,0,0,0.2756,0,0.0344,daily,pr,crowagen
1,10,0.0253,0.0501,0,0,0.1929,0,0.0256,daily,pr,crowagen
1,11,0.034,0.0653,0,0,0.2795,0,0.0423,daily,pr,crowagen
1,12,0.0243,0.0946,0,0,0.5157,0,0,daily,pr,crowagen
1,13,0.0206,0.0442,0,0,0.2087,0,0.0187,daily,pr,crowagen
1,14,0.0278,0.0612,0,0,0.252,0,0.0187,daily,pr,crowagen
1,15,0.0235,0.0396,0,0,0.1299,0,0.0364,daily,pr,crowagen
1,16,0.0207,0.0536,0,0,0.2205,0,0.0118,daily,pr,crowagen
1,17,0.0337,0.1031,0,0,0.5472,0,0.0148,daily,pr,crowagen
1,18,0.0105,0.0228,0,0,0.0945,0,0.0089,daily,pr,crowagen
1,19,0.0234,0.0497,0,0,0.2205,0,0.0148,daily,pr,crowagen
1,20,0.0345,0.0592,0,0,0.2205,0,0.0699,daily,pr,crowagen
1,21,0.0259,0.0875,0,0,0.4567,0,0,daily,pr,crowagen
1,22,0.0261,0.0459,0,0,0.1732,0,0.0305,daily,pr,crowagen
1,23,0.0287,0.0502,0,0,0.1693,0,0.0305,daily,pr,crowagen
1,24,0.0125,0.0211,0,0,0.0787,0,0.0187,daily,pr,crowagen
1,25,0.0113,0.0298,0,0,0.1339,0,0,daily,pr,crowagen
1,26,0.0117,0.0249,0,0,0.0906,0,0,daily,pr,crowagen
1,27,0.0276,0.0702,0,0,0.3425,0,0.0148,daily,pr,crowagen
1,28,0.0228,0.048,0,0,0.2126,0,0.0256,daily,pr,crowagen
1,29,0.0315,0.067,0,0,0.2874,0,0.0305,daily,pr,crowagen
1,30,0.0197,0.0452,0,0,0.2126,0,0.0148,daily,pr,crowagen
1,31,0.0277,0.0616,0,0,0.2598,0,0.0266,daily,pr,crowagen
2,1,0.0274,0.0534,0,0,0.2126,0,0.0315,daily,pr,crowagen
2,2,0.0239,0.0526,0,0,0.2126,0,0.0118,daily,pr,crowagen
2,3,0.0282,0.1052,0,0,0.5709,0,0,daily,pr,crowagen
2,4,0.0257,0.0997,0,0,0.5472,0,0.0089,daily,pr,crowagen
2,5,0.0188,0.0353,0,0,0.1181,0,0.0157,daily,pr,crowagen
2,6,0.0138,0.034,0,0,0.1457,0,0,daily,pr,crowagen
2,7,0.0339,0.0701,0,0,0.248,0,0.0089,daily,pr,crowagen
2,8,0.0349,0.0801,0,0,0.4016,0,0.0492,daily,pr,crowagen
2,9,0.0182,0.0316,0,0,0.1299,0,0.0226,daily,pr,crowagen
2,10,0.0125,0.0235,0,0,0.1102,0,0.0197,daily,pr,crowagen
2,11,0.0084,0.0162,0,0,0.0512,0,0.0089,daily,pr,crowagen
2,12,0.0094,0.0375,0,0,0.1929,0,0,daily,pr,crowagen
2,13,0.0161,0.0255,0,0,0.0984,0,0.0315,daily,pr,crowagen
2,14,0.0312,0.0631,0,0,0.2165,0,0.0276,daily,pr,crowagen
2,15,0.0413,0.0881,0,0,0.3268,0,0.0276,daily,pr,crowagen
2,16,0.0295,0.0501,0,0,0.2087,0,0.0384,daily,pr,crowagen
2,17,0.0274,0.0634,0,0,0.2205,0,0.0089,daily,pr,crowagen
2,18,0.0133,0.0407,0,0,0.1811,0,0,daily,pr,crowagen
2,19,0.0172,0.0664,0,0,0.3622,0,0,daily,pr,crowagen
2,20,0.0026,0.01,0,0,0.0433,0,0,daily,pr,crowagen
2,21,0.0129,0.0331,0,0,0.1535,0,0,daily,pr,crowagen
2,22,0.0394,0.1089,0,0,0.5551,0,0.0226,daily,pr,crowagen
2,23,0.026,0.0593,0,0,0.2638,0,0.0276,daily,pr,crowagen
