month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0279,0.0535,0,0,0.2402,0,0.0394,daily,pr,ftbentcb
1,2,0.0287,0.094,0,0,0.5,0,0,daily,pr,ftbentcb
1,3,0.0278,0.0784,0,0,0.3031,0,0,daily,pr,ftbentcb
1,4,0.0214,0.0561,0,0,0.2638,0,0.0148,daily,pr,ftbentcb
1,5,0.0264,0.0723,0,0,0.3583,0,0,daily,pr,ftbentcb
1,6,0.0192,0.0415,0,0,0.1772,0,0.0148,daily,pr,ftbentcb
1,7,0.0339,0.0544,0,0,0.2008,0,0.0581,daily,pr,ftbentcb
1,8,0.0148,0.0338,0,0,0.1299,0,0.0089,daily,pr,ftbentcb
1,9,0.0311,0.0515,0,0,0.2126,0,0.0659,daily,pr,ftbentcb
1,10,0.0324,0.0974,0,0,0.5276,0,0.0217,daily,pr,ftbentcb
1,11,0.0121,0.0275,0,0,0.0945,0,0,daily,pr,ftbentcb
1,12,0.011,0.0236,0,0,0.1063,0,0.0118,daily,pr,ftbentcb
1,13,0.0259,0.0608,0,0,0.2283,0,0,daily,pr,ftbentcb
1,14,0.0238,0.085,0,0,0.4606,0,0,daily,pr,ftbentcb
1,15,0.0202,0.0507,0,0,0.2323,0,0.0118,daily,pr,ftbentcb
1,16,0.007,0.0213,0,0,0.0787,0,0,daily,pr,ftbentcb
1,17,0.0227,0.0688,0,0,0.3661,0,0.0187,daily,pr,ftbentcb
1,18,0.0152,0.0324,0,0,0.126,0,0.0197,daily,pr,ftbentcb
1,19,0.0186,0.0404,0,0,0.1654,0,0.0089,daily,pr,ftbentcb
1,20,0.0343,0.0673,0,0,0.2402,0,0.0276,daily,pr,ftbentcb
1,21,0.0192,0.0411,0,0,0.1811,0,0.0118,daily,pr,ftbentcb
1,22,0.0268,0.0658,0,0,0.3031,0,0.0148,daily,pr,ftbentcb
1,23,0.0332,0.067,0,0,0.3228,0,0.0364,daily,pr,ftbentcb
1,24,0.0176,0.0559,0,0,0.2874,0,0,daily,pr,ftbentcb
1,25,0.0035,0.0146,0,0,0.0787,0,0,daily,pr,ftbentcb
1,26,0.0201,0.0542,0,0,0.2126,0,0,daily,pr,ftbentcb
1,27,0.0197,0.0387,0,0,0.1693,0,0.0276,daily,pr,ftbentcb
1,28,0.0094,0.0249,0,0,0.122,0,0,daily,pr,ftbentcb
1,29,0.0167,0.066,0,0,0.3504,0,0,daily,pr,ftbentcb
1,30,0.0177,0.037,0,0,0.1496,0,0.0187,daily,pr,ftbentcb
1,31,0.0161,0.0384,0,0,0.1575,0,0.0118,daily,pr,ftbentcb
2,1,0.0083,0.0209,0,0,0.0945,0,0,daily,pr,ftbentcb
2,2,0.0182,0.0405,0,0,0.189,0,0.0177,daily,pr,ftbentcb
2,3,0.0252,0.0651,0,0,0.2559,0,0,daily,pr,ftbentcb
2,4,0.0171,0.0662,0,0,0.3504,0,0,daily,pr,ftbentcb
2,5,0.021,0.0487,0,0,0.185,0,0,daily,pr,ftbentcb
2,6,0.0182,0.0347,0,0,0.1339,0,0.0187,daily,pr,ftbentcb
2,7,0.0184,0.0402,0,0,0.1929,0,0.0207,daily,pr,ftbentcb
2,8,0.0365,0.0687,0,0,0.2559,0,0.0394,daily,pr,ftbentcb
2,9,0.027,0.0366,0,0,0.1339,0,0.0433,daily,pr,ftbentcb
2,10,0.0144,0.0272,0,0,0.1063,0,0.0197,daily,pr,ftbentcb
2,11,0.0154,0.0335,0,0,0.1417,0,0.0089,daily,pr,ftbentcb
2,12,0.0033,0.0138,0,0,0.0748,0,0,daily,pr,ftbentcb
2,13,0.0127,0.023,0,0,0.0906,0,0.0266,daily,pr,ftbentcb
2,14,0.0286,0.0551,0,0,0.1772,0,0.0187,daily,pr,ftbentcb
2,15,0.0193,0.0632,0,0,0.3386,0,0.0089,daily,pr,ftbentcb
2,16,0.0331,0.0818,0,0,0.4016,0,0.0197,daily,pr,ftbentcb
2,17,0.022,0.0435,0,0,0.1457,0,0.0148,daily,pr,ftbentcb
2,18,0.0066,0.0195,0,0,0.0866,0,0,daily,pr,ftbentcb
2,19,0.0144,0.0366,0,0,0.1575,0,0,daily,pr,ftbentcb
2,20,0.0194,0.0417,0,0,0.1969,0,0.0266,daily,pr,ftbentcb
2,21,0.0282,0.0837,0,0,0.3307,0,0.0118,daily,pr,ftbentcb
2,22,0.0197,0.0364,0,0,0.1732,0,0.0364,daily,pr,ftbentcb
2,23,0.0293,0.0605,0,0,0.2795,0,0.0394,daily,pr,ftbentcb
2,24,0.0278,0.0546,0,0,0.2323,0,0.0266,daily,pr,ftbentcb
2,25,0.0199,0.0437,0,0,0.1929,0,0.0187,daily,pr,ftbentcb
2,26,0.0217,0.0455,0,0,0.1693,0,0.0177,daily,pr,ftbentcb
2,27,0.0207,0.0475,0,0,0.2362,0,0.0226,daily,pr,ftbentcb
2,28,0.0173,0.0365,0,0,0.1299,0,0.0089,daily,pr,ftbentcb
2,29,0.0153,0.0292,0,0,0.0748,0,0.0118,daily,pr,ftbentcb
3,1,0.0167,0.0328,0,0,0.1024,0,0.0118,daily,pr,ftbentcb
3,2,0.01,0.0232,0,0,0.1102,0,0.0089,daily,pr,ftbentcb
3,3,0.0136,0.0321,0,0,0.1457,0,0,daily,pr,ftbentcb
3,4,0.0252,0.05,0,0,0.189,0,0.0285,daily,pr,ftbentcb
3,5,0.019,0.0353,0,0,0.1732,0,0.0236,daily,pr,ftbentcb
