month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0358,0.0543,0.0118,0,0.2087,0,0.061,daily,pr,kalispel
1,2,0.0391,0.0553,0.0276,0,0.2559,0,0.0561,daily,pr,kalispel
1,3,0.0508,0.0967,0.0138,0,0.4094,0,0.065,daily,pr,kalispel
1,4,0.0736,0.1651,0.0079,0,0.6693,0,0.0472,daily,pr,kalispel
1,5,0.0416,0.094,0,0,0.4882,0,0.0433,daily,pr,kalispel
1,6,0.0417,0.0624,0.0217,0,0.3071,0,0.0433,daily,pr,kalispel
1,7,0.0862,0.1,0.0453,0,0.3819,0.0049,0.1348,daily,pr,kalispel
1,8,0.0659,0.078,0.0413,0,0.3386,0.0039,0.0945,daily,pr,kalispel
1,9,0.0486,0.057,0.0276,0,0.189,0,0.0935,daily,pr,kalispel
1,10,0.053,0.0846,0.0177,0,0.3465,0,0.06,daily,pr,kalispel
1,11,0.0328,0.0745,0,0,0.3858,0,0.0413,daily,pr,kalispel
1,12,0.0377,0.0427,0.0256,0,0.1299,0,0.063,daily,pr,kalispel
1,13,0.0507,0.0996,0,0,0.3819,0,0.0364,daily,pr,kalispel
1,14,0.0424,0.0581,0.0138,0,0.2126,0,0.0778,daily,pr,kalispel
1,15,0.0172,0.0244,0,0,0.0709,0,0.0364,daily,pr,kalispel
1,16,0.0335,0.055,0,0,0.2323,0,0.0463,daily,pr,kalispel
1,17,0.0583,0.086,0.0315,0,0.2953,0,0.0659,daily,pr,kalispel
1,18,0.0396,0.061,0.0197,0,0.2677,0,0.0453,daily,pr,kalispel
1,19,0.0383,0.0559,0.0236,0,0.2559,0,0.0551,daily,pr,kalispel
1,20,0.0339,0.0502,0,0,0.1811,0,0.0551,daily,pr,kalispel
1,21,0.0316,0.0533,0,0,0.2323,0,0.0443,daily,pr,kalispel
1,22,0.032,0.0697,0.0177,0,0.3465,0,0.0276,daily,pr,kalispel
1,23,0.0398,0.0683,0.0118,0,0.3268,0,0.0512,daily,pr,kalispel
1,24,0.0476,0.0778,0.0256,0,0.374,0,0.0463,daily,pr,kalispel
1,25,0.0329,0.0488,0.0138,0,0.2126,0,0.0551,daily,pr,kalispel
1,26,0.0273,0.0392,0.0138,0,0.1535,0,0.0384,daily,pr,kalispel
1,27,0.0316,0.0388,0.0138,0,0.1339,0,0.0522,daily,pr,kalispel
1,28,0.0358,0.0417,0.0256,0,0.1772,0,0.062,daily,pr,kalispel
1,29,0.044,0.0963,0,0,0.4921,0,0.0541,daily,pr,kalispel
1,30,0.0442,0.0648,0.0157,0,0.2913,0,0.0748,daily,pr,kalispel
1,31,0.0329,0.0621,0,0,0.2835,0,0.0325,daily,pr,kalispel
2,1,0.0391,0.0529,0.0177,0,0.1732,0,0.065,daily,pr,kalispel
2,2,0.0227,0.0316,0,0,0.0984,0,0.0433,daily,pr,kalispel
2,3,0.0432,0.1135,0,0,0.5827,0,0.0344,daily,pr,kalispel
2,4,0.0505,0.1064,0,0,0.5079,0,0.061,daily,pr,kalispel
2,5,0.0324,0.0477,0.0118,0,0.1929,0,0.0561,daily,pr,kalispel
2,6,0.0331,0.0715,0.0059,0,0.374,0,0.0384,daily,pr,kalispel
