month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,39.1161,9.7973,40,19.3,64.6,34,44.5,daily,rmin,mdabench
1,2,38.57,11.9043,39.85,17.9,78.1,32.2,45.3,daily,rmin,mdabench
1,3,41.6533,15.9136,38.65,19.4,100,32.85,43.95,daily,rmin,mdabench
1,4,39.0867,14.9706,38.2,16.2,91.8,29.5,44.175,daily,rmin,mdabench
1,5,40.5933,14.6137,40.15,23.8,100,31.5,44.15,daily,rmin,mdabench
1,6,41.21,13.6498,41,17.8,91.6,33.625,45.25,daily,rmin,mdabench
1,7,40.0267,13.2484,40.1,19.5,92,31.575,43.7,daily,rmin,mdabench
1,8,41.1967,11.6806,42.6,15,70.4,35.025,47.975,daily,rmin,mdabench
1,9,43.1533,17.3956,41.6,17.3,100,35.175,48.425,daily,rmin,mdabench
1,10,42.59,17.0454,37.7,28.8,100,34.875,43.75,daily,rmin,mdabench
1,11,40.8467,15.4152,37.65,21.5,100,31.85,44.2,daily,rmin,mdabench
1,12,36.5833,9.4243,38.4,14.1,59.3,31.55,40.875,daily,rmin,mdabench
1,13,39.5033,14.7851,39.05,12.8,100,34.375,43.225,daily,rmin,mdabench
1,14,41.3133,15.7675,39.75,15.1,100,33.775,44.925,daily,rmin,mdabench
1,15,38.34,9.3884,38.9,23.9,61.2,30.325,43,daily,rmin,mdabench
1,16,39.7267,12.7137,36,27.1,93.5,31.6,42.9,daily,rmin,mdabench
1,17,40.26,14.1724,38.3,22,93.4,33.1,43.8,daily,rmin,mdabench
1,18,40.08,8.345,40.6,21.7,55.4,33.15,46.325,daily,rmin,mdabench
1,19,38,8.4071,37.05,18.1,54.5,32.7,43.4,daily,rmin,mdabench
1,20,39.1833,10.4067,41.4,10.8,60.6,34.825,45.2,daily,rmin,mdabench
1,21,38.1167,11.4522,38.1,13.7,78.3,32.55,42.2,daily,rmin,mdabench
1,22,40.3033,12.2878,39.55,21.5,80.5,33.55,42.975,daily,rmin,mdabench
1,23,39.55,10.3795,37.65,26.1,69.7,32.35,45.05,daily,rmin,mdabench
1,24,39.2167,9.2893,39.8,17.8,63.9,34.9,45.45,daily,rmin,mdabench
1,25,36.86,9.9257,38,17.4,58.9,31.25,44.025,daily,rmin,mdabench
1,26,38.9067,12.1156,38.7,16.1,83.1,34.575,42.625,daily,rmin,mdabench
1,27,37.75,7.7593,38.05,21.7,57.2,33,41.575,daily,rmin,mdabench
1,28,36.5867,9.8509,35.9,14.9,67.8,29.275,41.75,daily,rmin,mdabench
1,29,39.1667,8.4976,38.2,21.9,52,34.1,45.575,daily,rmin,mdabench
1,30,38.8033,14.8159,36.9,21.9,90.4,30.375,40.95,daily,rmin,mdabench
1,31,39.23,13.5831,38.15,15.4,78.2,31.625,44.4,daily,rmin,mdabench
2,1,41.1333,12.6891,41.25,13,74.3,34.975,47.775,daily,rmin,mdabench
2,2,41.0767,11.4861,42.2,14.2,67.7,35.275,47.85,daily,rmin,mdabench
2,3,44.5733,21.4351,39.85,19.2,100,30.625,49.625,daily,rmin,mdabench
2,4,45.6167,20.2452,41.25,18.9,98.9,31.775,53.9,daily,rmin,mdabench
2,5,41.6033,17.0597,37.05,18.2,100,31.75,51.675,daily,rmin,mdabench
2,6,46.5567,20.592,42.45,21.4,100,33.45,51.15,daily,rmin,mdabench
2,7,46.0067,17.8041,42.95,24.3,100,37.425,51.9,daily,rmin,mdabench
2,8,44.65,18.3916,40.55,19.5,100,32.875,51.5,daily,rmin,mdabench
2,9,42.5933,15.4713,40.35,19.2,100,35.25,46.325,daily,rmin,mdabench
2,10,45.6,15.0028,42.1,25.9,91.2,34.7,54.075,daily,rmin,mdabench
2,11,42.89,16.0387,44.25,11,100,32.325,48.825,daily,rmin,mdabench
2,12,39.6267,14.3813,39.3,12.4,91.9,32.025,46.5,daily,rmin,mdabench
2,13,38.4067,11.118,36.05,19.2,70.3,30.85,44.9,daily,rmin,mdabench
2,14,40.0767,12.0731,40.8,18,58.7,31.7,49.65,daily,rmin,mdabench
2,15,43.21,13.9698,43.45,13.4,79.7,36.875,48.725,daily,rmin,mdabench
2,16,42.8,14.9062,41.75,19,100,33.25,49.775,daily,rmin,mdabench
2,17,41.8467,13.6371,40.4,21.3,78.4,32.725,51.05,daily,rmin,mdabench
2,18,41,17.1421,36.55,18.2,91.3,32.45,45.225,daily,rmin,mdabench
2,19,40.8867,12.3154,39.45,21.3,78.4,33.45,44.55,daily,rmin,mdabench
2,20,39.62,10.7088,41.2,19.9,70.3,34.55,44.575,daily,rmin,mdabench
2,21,40.4,13.4854,38.9,20.5,75.6,30.425,46.875,daily,rmin,mdabench
2,22,40.9333,11.3722,41.1,22.5,69.2,32.925,45.95,daily,rmin,mdabench
2,23,40.7367,14.0911,38.95,15.7,77,31.1,48.175,daily,rmin,mdabench
2,24,43.3633,15.2452,42.15,14.5,91.4,33.275,49.8,daily,rmin,mdabench
2,25,41.6433,11.8891,42.5,11.8,78.9,37.875,45.5,daily,rmin,mdabench
2,26,42.68,11.6821,45.2,17.8,61.1,35.425,51.475,daily,rmin,mdabench
2,27,41.4467,12.2158,40.45,22.3,77.6,34.7,44.95,daily,rmin,mdabench
2,28,43.0633,15.3409,41.4,20,100,35.725,47.3,daily,rmin,mdabench
2,29,36.75,10.6595,36.25,19,51.9,31.375,44.875,daily,rmin,mdabench
3,1,44.23,12.501,44.4,22.2,85.4,36.5,48.425,daily,rmin,mdabench
3,2,41.31,9.9723,41.55,24.8,61.2,32.3,49.75,daily,rmin,mdabench
3,3,40.77,9.8081,38.3,24.4,62.2,33.225,49.6,daily,rmin,mdabench
3,4,42.1,14.1896,40.95,22.7,93.4,30.625,49.1,daily,rmin,mdabench
3,5,39.58,10.8591,40.5,21.2,57.9,30.9,49.55,daily,rmin,mdabench
3,6,42.2333,12.6115,42.45,20,67.4,32.925,51.25,daily,rmin,mdabench
3,7,41.1467,7.6477,41.3,26.6,55.2,34.65,46.175,daily,rmin,mdabench
