month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,16.8945,10.9976,16.97,-2.11,35.51,10.49,24.17,daily,tmmn,mdacharl
1,2,17.312,10.6056,17.6,-4.99,33.71,10.49,25.655,daily,tmmn,mdacharl
1,3,17.42,11.8661,19.13,-7.69,32.81,10.265,26.465,daily,tmmn,mdacharl
1,4,16.682,11.5576,20.12,-16.69,31.55,9.5,25.115,daily,tmmn,mdacharl
1,5,16.208,12.8265,18.86,-19.57,34.79,12.425,24.62,daily,tmmn,mdacharl
1,6,16.616,12.3931,16.88,-10.93,34.61,9.725,27.725,daily,tmmn,mdacharl
1,7,20.576,11.8899,22.01,-12.55,41.45,15.53,28.445,daily,tmmn,mdacharl
1,8,20.186,7.4451,22.19,2.93,35.33,13.55,25.34,daily,tmmn,mdacharl
1,9,20.15,8.2587,21.47,-2.47,30.65,17.6,26.105,daily,tmmn,mdacharl
1,10,19.316,9.3722,20.66,-3.55,36.05,15.755,24.98,daily,tmmn,mdacharl
1,11,17.546,12.4392,21.56,-8.59,35.69,7.655,27.14,daily,tmmn,mdacharl
1,12,17.894,13.5387,20.39,-14.71,34.25,11.75,28.22,daily,tmmn,mdacharl
1,13,18.848,13.11,22.1,-10.93,36.23,14.045,28.49,daily,tmmn,mdacharl
1,14,20.45,11.3641,21.83,-8.95,39.83,14.225,28.715,daily,tmmn,mdacharl
1,15,17.738,9.6656,18.5,-8.77,35.51,11.84,25.34,daily,tmmn,mdacharl
1,16,17.522,9.171,19.58,-7.33,30.65,11.975,24.62,daily,tmmn,mdacharl
1,17,18.596,7.2119,18.68,0.95,30.11,14.675,24.305,daily,tmmn,mdacharl
1,18,21.428,8.0088,22.46,4.37,36.23,16.295,26.285,daily,tmmn,mdacharl
1,19,22.766,6.413,23.18,8.69,37.31,18.14,27.545,daily,tmmn,mdacharl
1,20,21.08,7.0239,21.29,2.75,35.15,17.105,25.79,daily,tmmn,mdacharl
1,21,20.084,7.3281,20.3,-8.05,30.83,16.52,25.25,daily,tmmn,mdacharl
1,22,19.82,6.6922,18.86,-1.75,31.19,16.295,25.07,daily,tmmn,mdacharl
1,23,19.85,6.9231,20.48,2.57,31.91,14.99,25.25,daily,tmmn,mdacharl
1,24,20.996,7.3645,21.38,9.23,36.41,15.17,26.825,daily,tmmn,mdacharl
1,25,22.382,7.797,24.8,3.47,33.71,18.5,27.185,daily,tmmn,mdacharl
1,26,20.942,9.0333,20.93,-4.27,34.07,16.43,27.68,daily,tmmn,mdacharl
1,27,18.902,9.1598,20.75,-1.93,30.83,10.76,25.97,daily,tmmn,mdacharl
1,28,18.218,8.1619,18.86,1.49,31.55,11.075,23.405,daily,tmmn,mdacharl
1,29,19.406,8.618,19.76,0.23,32.99,13.37,27.32,daily,tmmn,mdacharl
1,30,20.45,8.3702,20.03,-6.07,35.15,15.98,25.7,daily,tmmn,mdacharl
1,31,21.518,9.6042,21.92,-8.77,35.51,17.96,27.32,daily,tmmn,mdacharl
2,1,18.98,10.2859,20.39,-9.13,34.07,16.61,24.125,daily,tmmn,mdacharl
2,2,18.434,10.7889,20.48,-8.23,31.55,14.63,25.295,daily,tmmn,mdacharl
2,3,18.146,10.0368,19.58,-4.27,36.41,12.47,23.945,daily,tmmn,mdacharl
2,4,21.74,9.6519,22.37,-7.69,37.67,17.285,28.67,daily,tmmn,mdacharl
