month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,95.0065,7.0925,100,79.6,100,90.75,100,daily,rmax,mdachine
1,2,92.96,12.2588,100,50.9,100,88.8,100,daily,rmax,mdachine
1,3,92.7733,12.2388,98.55,42.1,100,91.05,100,daily,rmax,mdachine
1,4,92.14,10.8881,97.5,64.2,100,87.2,100,daily,rmax,mdachine
1,5,90.6233,12.9128,98,48.6,100,82.625,100,daily,rmax,mdachine
1,6,90.52,11.7256,97.9,65.3,100,82.3,100,daily,rmax,mdachine
1,7,93.61,8.4561,98.95,70.2,100,87.625,100,daily,rmax,mdachine
1,8,92.4333,10.8501,99.1,60.4,100,86.25,100,daily,rmax,mdachine
1,9,91.9267,11.2469,99.35,55.2,100,82.85,100,daily,rmax,mdachine
1,10,93.2133,8.7165,98.15,70.8,100,87.05,100,daily,rmax,mdachine
1,11,92.5233,10.03,99.05,62.5,100,85.875,100,daily,rmax,mdachine
1,12,93.7567,9.2504,99.2,73.4,100,91.925,100,daily,rmax,mdachine
1,13,91.8967,10.1113,98.8,66.7,100,84.2,100,daily,rmax,mdachine
1,14,91.9,10.074,98.75,67.9,100,82.725,100,daily,rmax,mdachine
1,15,91.4667,12.9059,98,42.7,100,87.6,100,daily,rmax,mdachine
1,16,89.3367,12.032,90.65,60.3,100,85.65,100,daily,rmax,mdachine
1,17,92.08,11.7118,98.6,53.5,100,85.825,100,daily,rmax,mdachine
1,18,92.5367,11.0894,99.9,61.8,100,84.8,100,daily,rmax,mdachine
1,19,91.5967,10.2335,96.8,66.3,100,85.575,100,daily,rmax,mdachine
1,20,92.7767,11.6373,100,60.2,100,85.65,100,daily,rmax,mdachine
1,21,92.6133,11.3991,100,57.7,100,85.775,100,daily,rmax,mdachine
1,22,89.19,16.1592,97.4,34.7,100,83.5,100,daily,rmax,mdachine
1,23,90.5,11.4943,96.55,61.7,100,83.3,100,daily,rmax,mdachine
1,24,92.0467,11.1119,97.95,58.7,100,85.55,100,daily,rmax,mdachine
1,25,91.1433,10.4036,93.65,64.8,100,86.975,100,daily,rmax,mdachine
1,26,90.39,13.1565,99.05,51.9,100,84,100,daily,rmax,mdachine
1,27,88.7067,12.2849,89.55,50,100,82,100,daily,rmax,mdachine
1,28,91.73,9.203,94.75,69.1,100,84.55,100,daily,rmax,mdachine
1,29,91.6433,12.2627,94.45,43.3,100,88.2,100,daily,rmax,mdachine
1,30,92.2733,8.8969,97.25,75.7,100,86.975,100,daily,rmax,mdachine
1,31,90.5967,10.8643,93.1,55.6,100,83.775,100,daily,rmax,mdachine
2,1,92.0367,11.0648,95.8,50,100,86.95,100,daily,rmax,mdachine
2,2,92.9533,9.0482,99.15,69.8,100,87.7,100,daily,rmax,mdachine
2,3,92.82,8.6594,96.25,65.2,100,86.575,100,daily,rmax,mdachine
2,4,91.5167,12.2742,96.3,56.3,100,89.375,100,daily,rmax,mdachine
2,5,91.71,10.8696,96.75,56.1,100,87.4,100,daily,rmax,mdachine
2,6,93.1667,10.1994,99.65,66.1,100,90.2,100,daily,rmax,mdachine
2,7,93.8467,9.5043,100,62.8,100,88.175,100,daily,rmax,mdachine
2,8,95.9667,5.7971,100,85,100,90.8,100,daily,rmax,mdachine
2,9,97.77,5.1117,100,79.8,100,99.625,100,daily,rmax,mdachine
2,10,94.1033,10.1885,100,59.2,100,92.375,100,daily,rmax,mdachine
2,11,93.6333,8.6531,96.85,67,100,90.15,100,daily,rmax,mdachine
2,12,91.6167,12.1066,96.4,48.4,100,88.45,100,daily,rmax,mdachine
2,13,93.23,10.0817,99.85,66.1,100,88.825,100,daily,rmax,mdachine
2,14,93.1233,9.4609,99.6,63.5,100,87.85,100,daily,rmax,mdachine
2,15,92.23,12.2876,99.75,46.8,100,88.35,100,daily,rmax,mdachine
2,16,92.65,14.2502,100,41.2,100,91.675,100,daily,rmax,mdachine
2,17,93.68,12.6392,100,53.9,100,93.25,100,daily,rmax,mdachine
2,18,92.2233,12.8868,99.1,43.1,100,87.2,100,daily,rmax,mdachine
2,19,92.0333,10.0466,98.95,62.4,100,83.45,100,daily,rmax,mdachine
2,20,92.2233,10.1899,98.65,64.1,100,86.15,100,daily,rmax,mdachine
