month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,86.7161,9.3028,85.1,70.7,100,80.2,93.75,daily,rmax,mdadillo
1,2,83.7367,10.941,83,60.1,100,76.925,92.575,daily,rmax,mdadillo
1,3,84.3167,11.5045,83.55,55.7,100,78.925,94.95,daily,rmax,mdadillo
1,4,81.43,10.3263,80.95,64.4,100,74.65,88.725,daily,rmax,mdadillo
1,5,79.65,13.2962,79.05,48.9,100,70.925,87.35,daily,rmax,mdadillo
1,6,81.3267,11.2305,81.6,47,100,75.05,88.725,daily,rmax,mdadillo
1,7,83.8033,11.9576,82.35,53.9,100,76.225,94.8,daily,rmax,mdadillo
1,8,83.0167,11.961,84.1,58.9,100,77.275,90.1,daily,rmax,mdadillo
1,9,83.3167,10.2909,81.9,56.1,100,77.625,88.225,daily,rmax,mdadillo
1,10,83.2667,10.5588,82.45,54.2,100,77.15,88.6,daily,rmax,mdadillo
1,11,85.2233,9.7712,82.7,68.8,100,78.35,90.95,daily,rmax,mdadillo
1,12,81.4067,11.6314,81.55,54.7,100,74.775,88.85,daily,rmax,mdadillo
1,13,79.4867,10.537,79.8,47.9,100,73.9,84.425,daily,rmax,mdadillo
1,14,80.56,10.159,78.95,55.5,100,76.625,86.425,daily,rmax,mdadillo
1,15,79.79,11.999,78.5,52.6,100,72.725,87.475,daily,rmax,mdadillo
1,16,81.2533,10.0949,82.2,61.2,100,74.35,86.85,daily,rmax,mdadillo
1,17,79.24,10.9568,78,58.8,100,71.825,85.925,daily,rmax,mdadillo
1,18,78.5233,10.2852,78.55,56.8,100,73.45,84.6,daily,rmax,mdadillo
1,19,81.8867,11.8337,81.5,49,100,76.125,91.025,daily,rmax,mdadillo
1,20,81.8467,11.477,80.65,57.4,100,75.75,89.25,daily,rmax,mdadillo
1,21,82.3967,11.1695,82.9,53.1,100,74.625,91.275,daily,rmax,mdadillo
1,22,80,9.5504,81.3,64.7,100,71.1,86.05,daily,rmax,mdadillo
1,23,82.4133,10.9233,79.4,56.5,100,75.875,90.475,daily,rmax,mdadillo
1,24,82.7333,11.4611,80.85,54.1,100,75.425,90.9,daily,rmax,mdadillo
1,25,82.5967,8.7496,83.55,65.5,100,76.75,89.675,daily,rmax,mdadillo
1,26,83.11,10.3092,83.95,53.7,100,78.45,87.275,daily,rmax,mdadillo
1,27,83.9433,11.6745,83.55,46.7,100,77.75,92.5,daily,rmax,mdadillo
1,28,82.02,10.4705,80.85,56.4,100,74.95,90.175,daily,rmax,mdadillo
1,29,81.0367,10.6246,80.95,62.4,100,72.1,88.175,daily,rmax,mdadillo
1,30,81.2,10.1207,79.7,66.4,100,72.225,88.575,daily,rmax,mdadillo
1,31,77.7967,14.3341,76,54.3,100,68.4,88.475,daily,rmax,mdadillo
2,1,79.6767,14.9106,79.35,54.8,100,68.85,94.4,daily,rmax,mdadillo
2,2,80.12,14.2639,79.25,51.8,100,70.55,91.075,daily,rmax,mdadillo
2,3,83.2433,12.9466,81.85,58.5,100,75.125,95.85,daily,rmax,mdadillo
2,4,78.7567,15.4302,78.65,37.8,100,68.25,88.025,daily,rmax,mdadillo
2,5,76.32,15.7794,78.15,44.4,100,63.175,85.725,daily,rmax,mdadillo
2,6,77.8433,16.2455,79.95,27.8,100,67.575,85.75,daily,rmax,mdadillo
2,7,82.3567,13.5981,82.9,50.6,100,73.35,94.25,daily,rmax,mdadillo
2,8,82.7933,13.5299,81.3,50.9,100,73.875,92.1,daily,rmax,mdadillo
2,9,81.25,16.8584,80.65,31.1,100,72.375,100,daily,rmax,mdadillo
2,10,79.9833,13.1916,78.5,47.7,100,73.7,88.55,daily,rmax,mdadillo
2,11,81.34,13.0441,84.1,57.1,100,71,90.45,daily,rmax,mdadillo
2,12,80.0633,14.305,77.95,56.2,100,69.65,94.025,daily,rmax,mdadillo
2,13,79.5133,13.7817,78.6,49.1,100,69.9,89.775,daily,rmax,mdadillo
2,14,77.9633,14.4998,76.6,52,100,69.1,88.675,daily,rmax,mdadillo
2,15,79.9633,14.4755,79.7,40.2,100,70.125,94.325,daily,rmax,mdadillo
2,16,80.66,13.3361,81.1,55.5,100,72.975,89.1,daily,rmax,mdadillo
2,17,78.7267,13.3437,81.9,49.8,100,70.975,87.225,daily,rmax,mdadillo
2,18,79.86,14.4829,83.55,41.7,100,70.925,89.675,daily,rmax,mdadillo
2,19,80.62,14.5554,80,44.6,100,73.775,92.1,daily,rmax,mdadillo
2,20,78.7567,15.9494,81.55,34.8,100,71.125,90.55,daily,rmax,mdadillo
2,21,80.61,14.8217,82.35,34.8,100,72.65,89.85,daily,rmax,mdadillo
2,22,80.4167,14.2787,79.05,50.3,100,75.1,88.625,daily,rmax,mdadillo
2,23,78.4133,13.1668,78.1,50.1,100,71.4,88.15,daily,rmax,mdadillo
2,24,80.1667,14.0037,79.4,56.6,100,70.175,93.525,daily,rmax,mdadillo
2,25,80.2467,12.6643,80.3,50.7,100,74.05,86.275,daily,rmax,mdadillo
2,26,81.4167,13.6764,81.7,57.1,100,70.5,93.15,daily,rmax,mdadillo
2,27,80.9667,13.7395,83.15,54.9,100,73.25,90.75,daily,rmax,mdadillo
2,28,79.8633,13.495,79.2,49.4,100,72,89.5,daily,rmax,mdadillo
2,29,76.5125,8.0579,73.95,65.9,88.2,71.075,82.45,daily,rmax,mdadillo
3,1,80.7433,12.7784,78.9,52.6,100,74.225,86.9,daily,rmax,mdadillo
3,2,81.8967,13.162,82.75,57.2,100,71.275,92,daily,rmax,mdadillo
3,3,84.5033,12.1406,83.15,55.6,100,76.1,96.95,daily,rmax,mdadillo
3,4,83.2167,11.8985,82.45,57.1,100,73.775,93.3,daily,rmax,mdadillo
3,5,83.8267,12.9069,84.5,57.9,100,71.525,93.9,daily,rmax,mdadillo
3,6,80.89,14.6946,83.7,50.7,100,69.6,92.05,daily,rmax,mdadillo
3,7,80.68,10.532,80.05,59.1,100,75.45,87,daily,rmax,mdadillo
3,8,80.95,12.3433,80.4,51.8,100,74,90.125,daily,rmax,mdadillo
3,9,81.5633,14.1456,82.85,47.6,100,73.575,94.425,daily,rmax,mdadillo
3,10,80.4067,13.7697,79,43.9,100,72.725,90.7,daily,rmax,mdadillo
3,11,79.86,17.5732,82.15,34.2,100,70.4,95.725,daily,rmax,mdadillo
3,12,80.35,12.3269,77.9,55.1,100,71.6,88.475,daily,rmax,mdadillo
3,13,76.1,12.9329,74.1,41.7,100,70.925,84.725,daily,rmax,mdadillo
3,14,76.6667,13.688,77,35.4,100,72.025,83.675,daily,rmax,mdadillo
3,15,77.1333,13.4959,76.55,48.2,100,69.1,84.75,daily,rmax,mdadillo
3,16,76.4267,12.543,77.7,54.4,100,68.075,82.875,daily,rmax,mdadillo
3,17,79.92,11.3638,78.9,55.7,100,73.75,83.025,daily,rmax,mdadillo
3,18,80.6633,10.978,81.1,58.7,100,72.6,90.75,daily,rmax,mdadillo
3,19,79.9733,10.1462,80.55,60.3,100,74.975,86.175,daily,rmax,mdadillo
3,20,75.09,11.9497,76.8,48,100,65.95,82.15,daily,rmax,mdadillo
3,21,77.7133,10.8569,77.5,58,100,71.825,82.2,daily,rmax,mdadillo
3,22,76.3567,11.8507,75.5,53.6,100,69.175,82.775,daily,rmax,mdadillo
3,23,75.5067,12.4717,71.95,58.4,100,68.125,81.625,daily,rmax,mdadillo
3,24,77.45,11.6122,73.9,60.3,100,68.9,84.55,daily,rmax,mdadillo
3,25,74.87,10.5948,75.15,50.8,94.6,68.45,82.025,daily,rmax,mdadillo
3,26,77.1833,10.6745,78.3,57.1,95.6,68.975,86.725,daily,rmax,mdadillo
3,27,78.73,8.5828,77.65,63,97.4,72.475,83.025,daily,rmax,mdadillo
3,28,79.6833,11.4389,79.15,58.5,100,71.125,86.625,daily,rmax,mdadillo
3,29,77.9833,12.5544,77,60.5,100,68.925,87.25,daily,rmax,mdadillo
3,30,77.9367,13.7356,77.55,50.8,100,67.85,88.175,daily,rmax,mdadillo
3,31,79.81,11.9473,79.55,49.6,100,75.125,86.3,daily,rmax,mdadillo
4,1,85.6633,10.8113,86.2,66.2,100,74.85,93.875,daily,rmax,mdadillo
4,2,89.42,9.7548,90.1,72.5,100,82.175,98.45,daily,rmax,mdadillo
4,3,85.4833,9.9516,85.85,68.5,100,77.35,94.525,daily,rmax,mdadillo
4,4,83.0367,11.0061,80.75,64.8,100,73.95,93.3,daily,rmax,mdadillo
4,5,82.6467,11.9444,82.5,55,100,76.15,90.775,daily,rmax,mdadillo
4,6,79.5833,13.4695,79.5,53.2,100,68.6,89.175,daily,rmax,mdadillo
4,7,80.7233,12.8764,81.95,51.2,100,73.925,87.075,daily,rmax,mdadillo
4,8,84.31,12.1489,85.95,59.6,100,75.5,93.5,daily,rmax,mdadillo
4,9,83.52,12.7127,82.75,63,100,73.85,96.775,daily,rmax,mdadillo
4,10,84.5133,10.437,83.8,65.5,100,74.3,94.25,daily,rmax,mdadillo
4,11,83.6233,11.6754,84.55,61.9,100,76.35,91.65,daily,rmax,mdadillo
4,12,84.1767,12.2939,84.6,62.4,100,73.8,96.825,daily,rmax,mdadillo
4,13,82.57,13.5843,82.45,50.3,100,71.85,96.05,daily,rmax,mdadillo
4,14,81.8133,12.3175,82.4,60.1,100,71.1,91.3,daily,rmax,mdadillo
4,15,80.9233,13.7225,80.8,52.8,100,73.25,90.725,daily,rmax,mdadillo
