month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,94.4258,7.715,97.4,66.4,100,91.8,100,daily,rmax,mdafroid
1,2,94.6433,8.1299,96.85,60.6,100,93.9,100,daily,rmax,mdafroid
1,3,92.6667,9.8817,96.9,65,100,90.925,100,daily,rmax,mdafroid
1,4,92.7633,9.1688,95.8,65,100,88.425,100,daily,rmax,mdafroid
1,5,90.01,11.5111,93.3,61.4,100,84.575,99.925,daily,rmax,mdafroid
1,6,93.3467,9.7339,99.05,60.1,100,89.675,100,daily,rmax,mdafroid
1,7,94.7433,8.2673,98.95,67.1,100,92.65,100,daily,rmax,mdafroid
1,8,95.0933,6.8879,99.3,76.4,100,91.925,100,daily,rmax,mdafroid
1,9,93.0133,9.3877,97.5,63.9,100,89.275,100,daily,rmax,mdafroid
1,10,93.7833,9.672,98.15,54.6,100,90.875,100,daily,rmax,mdafroid
1,11,93.2467,9.5845,96.4,60.3,100,89.625,100,daily,rmax,mdafroid
1,12,93.7467,8.2282,99.2,71.1,100,88.15,100,daily,rmax,mdafroid
1,13,93.7733,9.4134,98.45,63.7,100,92,100,daily,rmax,mdafroid
1,14,93.6233,8.2892,97.75,72.4,100,89.8,100,daily,rmax,mdafroid
1,15,94.8467,5.8671,96.3,79.9,100,91.25,100,daily,rmax,mdafroid
1,16,91.4733,10.7805,92.55,48.8,100,89.8,100,daily,rmax,mdafroid
1,17,92.3433,10.4499,95.65,52.9,100,90.85,99.95,daily,rmax,mdafroid
1,18,93.42,8.0325,94.75,67.7,100,91.45,100,daily,rmax,mdafroid
1,19,94.01,8.3217,96.55,68.7,100,92.15,100,daily,rmax,mdafroid
1,20,93.0367,10.6693,98.65,59.7,100,91.575,100,daily,rmax,mdafroid
1,21,92.9767,11.2189,98.25,50.9,100,88.325,100,daily,rmax,mdafroid
1,22,89.49,14.9795,96.35,49.6,100,85.8,100,daily,rmax,mdafroid
1,23,90.0633,12.6136,93.15,59.9,100,83.325,100,daily,rmax,mdafroid
1,24,91.17,11.2043,96.6,64.8,100,83.975,100,daily,rmax,mdafroid
1,25,94.5833,7.998,99.2,76.4,100,91.1,100,daily,rmax,mdafroid
1,26,93.31,8.2265,96.9,75.9,100,88.55,100,daily,rmax,mdafroid
1,27,91.9467,11.6268,97.8,58.1,100,88.675,100,daily,rmax,mdafroid
1,28,92.4233,11.0585,99.3,60.9,100,88.525,100,daily,rmax,mdafroid
1,29,90.47,10.9521,93.05,60.9,100,83.7,100,daily,rmax,mdafroid
1,30,93.9633,8.7368,98.5,69.4,100,91.825,100,daily,rmax,mdafroid
1,31,91.5967,10.4636,94.45,64.4,100,88.05,100,daily,rmax,mdafroid
2,1,92.95,11.068,99.55,54.3,100,89.8,100,daily,rmax,mdafroid
2,2,94.1367,9.6676,100,61.3,100,90.6,100,daily,rmax,mdafroid
2,3,95.81,8.2992,100,64.3,100,95.225,100,daily,rmax,mdafroid
2,4,94.7867,8.6164,100,68.4,100,92.45,100,daily,rmax,mdafroid
2,5,94.9933,8.9489,100,69.5,100,93.425,100,daily,rmax,mdafroid
2,6,96.78,5.8058,100,78.3,100,95.775,100,daily,rmax,mdafroid
2,7,97.2133,5.2313,100,81.8,100,96.1,100,daily,rmax,mdafroid
2,8,96.9867,4.7735,100,82.3,100,94.45,100,daily,rmax,mdafroid
2,9,97.51,4.9864,100,81.4,100,98.725,100,daily,rmax,mdafroid
2,10,92.4367,11.0506,100,65.9,100,83.975,100,daily,rmax,mdafroid
2,11,93.01,11.1168,98.9,57.1,100,91.5,100,daily,rmax,mdafroid
2,12,92.6367,13.3074,100,42.3,100,94.625,100,daily,rmax,mdafroid
2,13,93.8533,10.3734,100,57.8,100,88.5,100,daily,rmax,mdafroid
2,14,94.7933,8.875,100,69.6,100,89.9,100,daily,rmax,mdafroid
2,15,94.5867,9.9676,99.9,62.2,100,92.325,100,daily,rmax,mdafroid
2,16,92.6433,11.9929,100,51.2,100,86.8,100,daily,rmax,mdafroid
2,17,94.05,10.1595,100,67,100,92.275,100,daily,rmax,mdafroid
2,18,95.08,7.4327,100,74.1,100,91.15,100,daily,rmax,mdafroid
2,19,93.2833,10.8866,100,60.2,100,88.5,100,daily,rmax,mdafroid
2,20,93.2533,10.1926,100,57.3,100,88.875,100,daily,rmax,mdafroid
2,21,93.7167,9.6598,98.2,55.6,100,90.875,100,daily,rmax,mdafroid
2,22,93.5833,9.5035,100,68.1,100,90.75,100,daily,rmax,mdafroid
2,23,93.4233,9.9477,100,68.2,100,90.525,100,daily,rmax,mdafroid
2,24,93.9033,9.4465,100,63.3,100,89.775,100,daily,rmax,mdafroid
2,25,94.64,8.8798,100,66.7,100,92.575,100,daily,rmax,mdafroid
2,26,96.2233,7.2874,100,62.8,100,93.85,100,daily,rmax,mdafroid
2,27,95.98,8.6668,100,65.2,100,95.075,100,daily,rmax,mdafroid
2,28,94.3867,11.3771,100,60,100,94.5,100,daily,rmax,mdafroid
2,29,89.5125,13.7025,98.15,68.4,100,76.05,100,daily,rmax,mdafroid
3,1,96.16,9.6519,100,59.7,100,98.425,100,daily,rmax,mdafroid
3,2,95.3867,8.3163,100,71.9,100,92.95,100,daily,rmax,mdafroid
3,3,93.8067,11.9701,100,51.2,100,92.125,100,daily,rmax,mdafroid
3,4,94.88,10.3438,100,59.4,100,94.525,100,daily,rmax,mdafroid
3,5,97.29,7.0927,100,67.4,100,100,100,daily,rmax,mdafroid
3,6,95.5267,7.4338,100,72.7,100,93.2,100,daily,rmax,mdafroid
3,7,94.5767,8.2712,100,73.8,100,88.5,100,daily,rmax,mdafroid
3,8,97.4233,5.1006,100,80.5,100,97.9,100,daily,rmax,mdafroid
3,9,96.2467,5.5032,99.9,79.8,100,94.35,100,daily,rmax,mdafroid
3,10,94.7467,7.7975,100,75.2,100,92.175,100,daily,rmax,mdafroid
3,11,92.3567,10.0284,96.4,58.5,100,88.1,100,daily,rmax,mdafroid
3,12,94.52,9.028,100,71.5,100,92.95,100,daily,rmax,mdafroid
3,13,94.6433,9.7524,100,68.3,100,93.5,100,daily,rmax,mdafroid
3,14,93.7733,9.628,99,63.3,100,92.2,100,daily,rmax,mdafroid
3,15,93.3933,8.7248,97.2,71.1,100,88,100,daily,rmax,mdafroid
3,16,94.7667,6.7719,98.3,74.1,100,91.025,100,daily,rmax,mdafroid
3,17,93.75,8.596,98.75,71.4,100,89.225,100,daily,rmax,mdafroid
3,18,93.05,9.5207,98.75,70.8,100,88.325,100,daily,rmax,mdafroid
3,19,91.3767,10.3595,96.65,59.8,100,82.925,100,daily,rmax,mdafroid
3,20,92.3433,9.9496,96.55,65.5,100,85.8,100,daily,rmax,mdafroid
3,21,90.58,10.9937,95.35,62.1,100,84.075,100,daily,rmax,mdafroid
3,22,91.1467,14.6393,99.9,43.9,100,91,100,daily,rmax,mdafroid
3,23,92.4733,10.7445,98.35,57.9,100,86.825,100,daily,rmax,mdafroid
3,24,90.1733,11.8003,93.25,59.8,100,84.125,100,daily,rmax,mdafroid
3,25,91.0933,11.8695,96.05,62.3,100,89.175,100,daily,rmax,mdafroid
3,26,93.2333,9.4574,96.8,69.2,100,91.225,100,daily,rmax,mdafroid
3,27,92.3767,9.4898,96.45,58.7,100,87.225,100,daily,rmax,mdafroid
3,28,91.7833,10.1515,97.15,68,100,85.125,100,daily,rmax,mdafroid
3,29,90.0667,13.5969,97.6,56.9,100,84.875,100,daily,rmax,mdafroid
3,30,89.9833,13.5476,97.5,54.5,100,84.65,100,daily,rmax,mdafroid
3,31,88.0833,13.3962,92.05,57.9,100,80.175,100,daily,rmax,mdafroid
4,1,92.3667,11.2578,100,60,100,82.2,100,daily,rmax,mdafroid
4,2,92.0967,11.0841,99.9,60.6,100,89.1,100,daily,rmax,mdafroid
4,3,89.4767,12.6745,93.25,61.6,100,84.5,100,daily,rmax,mdafroid
4,4,88.9267,14.3101,94.85,57.7,100,77.925,100,daily,rmax,mdafroid
4,5,94.18,10.3376,100,70,100,93.325,100,daily,rmax,mdafroid
4,6,90.5667,11.8195,91.7,54.5,100,85,100,daily,rmax,mdafroid
4,7,89.7867,12.6631,98.7,64.5,100,77.75,100,daily,rmax,mdafroid
4,8,88.8167,11.293,90.1,56.1,100,79.925,100,daily,rmax,mdafroid
4,9,91.8633,11.2852,95.65,48.3,100,85.825,100,daily,rmax,mdafroid
4,10,90.0133,11.4732,94.35,65.3,100,81.225,100,daily,rmax,mdafroid
4,11,85.9233,15.7382,89.3,46.6,100,76.05,100,daily,rmax,mdafroid
4,12,86.3533,14.089,89.95,60,100,74.725,100,daily,rmax,mdafroid
4,13,85.98,12.4457,84.25,60.9,100,77.025,100,daily,rmax,mdafroid
4,14,87.5567,14.3437,91.85,53.6,100,80.8,100,daily,rmax,mdafroid
4,15,87.16,13.961,92.7,55.3,100,76.45,100,daily,rmax,mdafroid
4,16,85.26,13.5978,85.65,57.6,100,74.9,99.85,daily,rmax,mdafroid
4,17,85.37,15.014,87.45,58.4,100,72.325,100,daily,rmax,mdafroid
