month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,34.221,11.0895,34.97,5.45,51.53,27.86,43.52,daily,tmmx,mdapower
1,2,35.15,12.2967,37.49,4.01,53.87,28.535,42.53,daily,tmmx,mdapower
1,3,32.45,15.2373,37.94,-0.67,52.25,22.1,44.645,daily,tmmx,mdapower
1,4,33.362,14.4564,37.31,-0.67,57.29,23.36,44.51,daily,tmmx,mdapower
1,5,32.042,15.3036,37.13,2.93,55.49,18.23,42.89,daily,tmmx,mdapower
1,6,33.698,11.5959,37.85,11.57,51.35,23.855,41.36,daily,tmmx,mdapower
1,7,36.182,11.7548,38.93,3.47,61.07,34.385,41.09,daily,tmmx,mdapower
1,8,34.754,13.5065,39.2,3.29,54.77,28.4,43.115,daily,tmmx,mdapower
1,9,34.208,15.6048,39.56,1.49,52.97,27.05,44.105,daily,tmmx,mdapower
1,10,33.764,16.6516,39.47,-1.03,53.51,29.75,45.365,daily,tmmx,mdapower
1,11,32.588,16.7047,39.83,-1.03,53.15,21.335,44.24,daily,tmmx,mdapower
1,12,34.334,14.3473,38.03,-0.13,53.15,24.485,44.33,daily,tmmx,mdapower
1,13,35.324,14.9751,40.19,-5.17,50.27,32.135,45.455,daily,tmmx,mdapower
1,14,36.338,13.8299,38.48,-7.15,57.65,31.73,45.365,daily,tmmx,mdapower
1,15,37.916,8.744,40.01,13.91,50.81,32.81,43.25,daily,tmmx,mdapower
1,16,35.948,10.1881,38.3,4.91,50.27,32.99,42.395,daily,tmmx,mdapower
1,17,36.614,12.5211,39.2,2.75,54.05,34.7,45.14,daily,tmmx,mdapower
1,18,39.278,9.0919,39.83,15.89,54.77,34.07,44.06,daily,tmmx,mdapower
1,19,39.818,9.5072,41.18,5.99,53.51,37.805,44.69,daily,tmmx,mdapower
1,20,40.04,7.2893,40.82,24.17,56.03,34.835,44.195,daily,tmmx,mdapower
1,21,39.074,7.615,39.65,11.93,50.99,36.185,43.43,daily,tmmx,mdapower
1,22,37.04,8.1303,38.3,13.73,51.17,33.125,42.08,daily,tmmx,mdapower
1,23,38.294,9.2678,40.19,21.83,60.71,31.01,44.465,daily,tmmx,mdapower
1,24,37.91,13.1,40.1,8.15,58.37,32.225,46.985,daily,tmmx,mdapower
1,25,38.774,14.5473,41.9,-1.57,59.27,33.89,48.65,daily,tmmx,mdapower
1,26,39.23,13.147,43.34,3.47,64.13,34.79,48.065,daily,tmmx,mdapower
1,27,38.384,12.6518,39.29,4.91,61.61,30.785,47.975,daily,tmmx,mdapower
1,28,38.216,13.128,39.56,-8.05,60.71,35.195,45.905,daily,tmmx,mdapower
1,29,38.606,13.1267,40.55,-7.69,56.03,34.52,46.805,daily,tmmx,mdapower
1,30,40.622,12.1156,43.7,4.73,61.43,32.9,48.2,daily,tmmx,mdapower
1,31,37.994,12.1044,37.67,7.07,64.49,31.64,46.13,daily,tmmx,mdapower
2,1,38.36,12.7861,38.48,10.13,62.51,33.44,46.85,daily,tmmx,mdapower
2,2,37.934,11.2054,39.02,6.71,57.65,33.17,43.385,daily,tmmx,mdapower
2,3,35.396,13.7796,37.58,-4.27,60.53,30.02,42.98,daily,tmmx,mdapower
2,4,37.322,16.2304,40.28,-6.79,62.87,34.115,45.05,daily,tmmx,mdapower
2,5,38.006,15.426,41.54,-5.35,57.29,34.16,48.065,daily,tmmx,mdapower
2,6,36.434,14.714,40.73,-2.83,63.95,28.58,46.535,daily,tmmx,mdapower
2,7,35.3,15.5202,40.37,-2.65,58.01,26.15,46.445,daily,tmmx,mdapower
2,8,35.816,15.7078,38.93,4.55,59.09,25.925,46.76,daily,tmmx,mdapower
2,9,36.938,15.8547,40.28,-11.11,66.65,31.505,46.085,daily,tmmx,mdapower
2,10,35.9,11.7818,36.23,-8.41,57.11,32.135,39.83,daily,tmmx,mdapower
2,11,36.272,13.1591,38.03,-3.73,57.29,31.415,42.89,daily,tmmx,mdapower
2,12,38.48,13.5085,42.89,1.49,58.01,33.89,45.86,daily,tmmx,mdapower
2,13,39.836,13.3971,43.61,3.29,59.99,37.805,47.12,daily,tmmx,mdapower
2,14,38.966,11.1056,40.37,6.17,57.29,35.15,44.375,daily,tmmx,mdapower
2,15,39.512,12.3252,40.91,8.15,63.23,32.27,46.355,daily,tmmx,mdapower
2,16,40.316,13.281,42.62,5.27,63.41,36.995,47.66,daily,tmmx,mdapower
2,17,39.59,13.0382,43.52,3.83,53.15,36.77,48.65,daily,tmmx,mdapower
2,18,39.674,13.2326,41.54,4.19,58.19,35.06,48.785,daily,tmmx,mdapower
2,19,39.38,13.0945,41,5.09,58.91,32.81,48.695,daily,tmmx,mdapower
2,20,38.618,12.7196,39.2,13.37,62.87,32.225,48.65,daily,tmmx,mdapower
2,21,39.584,12.6862,41.63,11.21,60.53,32.765,48.335,daily,tmmx,mdapower
2,22,39.998,11.3929,41.99,19.13,58.37,33.395,49.685,daily,tmmx,mdapower
2,23,38.564,14.4423,43.7,4.19,56.03,36.095,48.695,daily,tmmx,mdapower
2,24,35.93,16.08,39.65,-2.83,65.75,29.345,45.455,daily,tmmx,mdapower
2,25,35.708,15.4367,37.22,-5.53,58.73,27.95,45.365,daily,tmmx,mdapower
2,26,37.478,14.3282,37.49,-1.93,65.93,31.055,46.535,daily,tmmx,mdapower
2,27,38.81,12.5676,38.3,12.29,67.91,31.28,48.065,daily,tmmx,mdapower
