month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,91.8871,12.6076,98.6,58.1,100,92.25,100,daily,rmax,nctbusby
1,2,91.84,11.7055,96.7,60.3,100,88.75,100,daily,rmax,nctbusby
1,3,90.2367,13.5514,98.3,53.9,100,83,100,daily,rmax,nctbusby
1,4,89.3033,12.6425,95.1,56.4,100,78.55,100,daily,rmax,nctbusby
1,5,88.3033,13.8848,92.7,46.8,100,79.85,100,daily,rmax,nctbusby
1,6,89.7567,13.0251,94.35,49.7,100,82.575,100,daily,rmax,nctbusby
1,7,87.5267,15.2086,97.7,53.7,100,76.025,100,daily,rmax,nctbusby
1,8,91.4767,12.9269,97.6,48.7,100,89.675,100,daily,rmax,nctbusby
1,9,89.33,13.8279,93.05,49.5,100,82.875,100,daily,rmax,nctbusby
1,10,90.1467,11.5634,96.05,61.4,100,83.95,100,daily,rmax,nctbusby
1,11,88.6267,13.5469,92.4,45.2,100,84.275,100,daily,rmax,nctbusby
1,12,89.0567,14.6053,96.25,42.9,100,82.55,100,daily,rmax,nctbusby
1,13,87.56,14.4507,94.85,48.8,100,79.1,100,daily,rmax,nctbusby
1,14,90.6833,11.0987,94.15,52.3,100,84.075,100,daily,rmax,nctbusby
1,15,91.15,11.3926,98,65.2,100,81.1,100,daily,rmax,nctbusby
1,16,92.09,10.191,97.4,68.4,100,83.325,100,daily,rmax,nctbusby
1,17,92.45,10.8292,98.6,59.4,100,86.35,100,daily,rmax,nctbusby
1,18,89.86,12.3737,96.55,59.3,100,80.975,100,daily,rmax,nctbusby
1,19,89.9467,12.1398,93.2,57.2,100,83.125,100,daily,rmax,nctbusby
1,20,89.4333,13.0027,96.75,56.9,100,81.05,100,daily,rmax,nctbusby
1,21,89.8567,14.2206,99.65,48.4,100,81.95,100,daily,rmax,nctbusby
1,22,91.8267,11.5152,98.85,59.6,100,86.75,100,daily,rmax,nctbusby
1,23,89.1967,11.5569,92.75,68.1,100,78.225,100,daily,rmax,nctbusby
1,24,89.1,11.9949,90.9,55.8,100,80.2,100,daily,rmax,nctbusby
1,25,85.41,15.4747,92.1,56.1,100,75.75,99.975,daily,rmax,nctbusby
1,26,86.2167,16.1219,91.9,40.9,100,73.825,100,daily,rmax,nctbusby
1,27,90.08,11.6475,93.55,63.3,100,83,100,daily,rmax,nctbusby
1,28,88.6533,12.5115,91.8,55.5,100,79.775,100,daily,rmax,nctbusby
1,29,91.83,11.7437,98.25,51.8,100,84.95,100,daily,rmax,nctbusby
1,30,88.4533,11.1844,90.4,62.9,100,82.775,100,daily,rmax,nctbusby
1,31,84.53,15.0756,88,51,100,79.175,99.7,daily,rmax,nctbusby
2,1,84.31,16.6035,88,47.9,100,76.35,100,daily,rmax,nctbusby
2,2,88.4833,13.7175,93.8,57.3,100,79.25,100,daily,rmax,nctbusby
2,3,93.3467,10.4097,99.65,59.7,100,88.475,100,daily,rmax,nctbusby
2,4,89.4967,13.4171,94.9,48.2,100,82.925,100,daily,rmax,nctbusby
2,5,85.7467,15.9158,92.2,51.7,100,75.9,100,daily,rmax,nctbusby
2,6,88.1067,15.1666,94.35,48.7,100,80.675,100,daily,rmax,nctbusby
2,7,91.28,13.1432,98.65,48.4,100,86.6,100,daily,rmax,nctbusby
2,8,93.63,8.2756,100,70.2,100,86.325,100,daily,rmax,nctbusby
2,9,93.83,9.888,99.85,71.2,100,92.15,100,daily,rmax,nctbusby
2,10,93.29,11.4218,100,55.3,100,89.4,100,daily,rmax,nctbusby
2,11,91.8133,11.3324,99.2,57.4,100,82.575,100,daily,rmax,nctbusby
2,12,89.5033,12.5466,94.85,57.8,100,80.025,100,daily,rmax,nctbusby
