month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0216,0.0488,0,0,0.2283,0,0.0177,daily,pr,sidneymt
1,2,0.0335,0.0664,0,0,0.2598,0,0.0236,daily,pr,sidneymt
1,3,0.0052,0.0119,0,0,0.0433,0,0,daily,pr,sidneymt
1,4,0.0089,0.0208,0,0,0.0827,0,0,daily,pr,sidneymt
1,5,0.0092,0.0342,0,0,0.1732,0,0,daily,pr,sidneymt
1,6,0.0016,0.0067,0,0,0.0354,0,0,daily,pr,sidneymt
1,7,0.0062,0.0162,0,0,0.0551,0,0,daily,pr,sidneymt
1,8,0.0218,0.0552,0,0,0.2559,0,0.0089,daily,pr,sidneymt
1,9,0.0143,0.0305,0,0,0.122,0,0.0118,daily,pr,sidneymt
1,10,0.0182,0.0535,0,0,0.2677,0,0,daily,pr,sidneymt
1,11,0.0105,0.0276,0,0,0.1142,0,0,daily,pr,sidneymt
1,12,0.0146,0.0428,0,0,0.2087,0,0,daily,pr,sidneymt
1,13,0.0192,0.0437,0,0,0.1929,0,0,daily,pr,sidneymt
1,14,0.0169,0.045,0,0,0.1969,0,0.0089,daily,pr,sidneymt
1,15,0.0073,0.033,0,0,0.1772,0,0,daily,pr,sidneymt
1,16,0.023,0.0927,0,0,0.4724,0,0,daily,pr,sidneymt
1,17,0.0168,0.0411,0,0,0.1811,0,0.0118,daily,pr,sidneymt
1,18,0.0122,0.0407,0,0,0.2126,0,0,daily,pr,sidneymt
1,19,0.0077,0.0154,0,0,0.063,0,0.0118,daily,pr,sidneymt
1,20,0.0126,0.0204,0,0,0.0748,0,0.0197,daily,pr,sidneymt
1,21,0.0126,0.0352,0,0,0.1732,0,0,daily,pr,sidneymt
1,22,0.0177,0.0469,0,0,0.1811,0,0,daily,pr,sidneymt
1,23,0.0055,0.017,0,0,0.0866,0,0,daily,pr,sidneymt
1,24,0.0283,0.0705,0,0,0.2874,0,0,daily,pr,sidneymt
1,25,0.0113,0.0424,0,0,0.2283,0,0,daily,pr,sidneymt
1,26,0.0087,0.0246,0,0,0.1102,0,0,daily,pr,sidneymt
