month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,17.5506,11.0442,19.49,-3.91,36.41,10.04,26.78,daily,tmmn,wsrbigtm
1,2,17.192,10.69,16.52,-14.89,35.87,11.345,25.745,daily,tmmn,wsrbigtm
1,3,17.846,13.4299,20.48,-16.33,33.35,10.04,30.11,daily,tmmn,wsrbigtm
1,4,16.514,12.604,19.85,-10.21,32.81,5,26.6,daily,tmmn,wsrbigtm
1,5,16.952,14.1028,22.73,-15.25,35.87,6.935,27.23,daily,tmmn,wsrbigtm
1,6,16.022,12.4293,18.77,-9.13,39.65,7.295,24.575,daily,tmmn,wsrbigtm
1,7,19.532,10.6941,18.32,-4.99,38.93,12.965,27.365,daily,tmmn,wsrbigtm
1,8,19.736,10.1777,21.56,0.23,38.21,12.425,27.14,daily,tmmn,wsrbigtm
1,9,19.316,10.5435,22.73,-7.51,31.73,13.28,28.04,daily,tmmn,wsrbigtm
1,10,18.32,12.5645,23,-8.41,31.91,9.095,28.31,daily,tmmn,wsrbigtm
1,11,17.198,13.3064,22.01,-12.19,34.43,5.675,27.275,daily,tmmn,wsrbigtm
1,12,16.682,14.2738,23.45,-18.67,34.25,6.125,27.185,daily,tmmn,wsrbigtm
1,13,19.022,13.7304,24.44,-15.43,33.35,12.155,29.165,daily,tmmn,wsrbigtm
1,14,19.97,12.1847,24.89,-7.51,38.75,13.415,29.075,daily,tmmn,wsrbigtm
1,15,19.748,10.8722,20.84,-5.17,34.79,15.26,28.895,daily,tmmn,wsrbigtm
1,16,17.978,9.6845,17.6,-5.53,34.43,12.245,25.97,daily,tmmn,wsrbigtm
1,17,19.424,9.8356,20.03,-6.07,33.53,13.955,25.745,daily,tmmn,wsrbigtm
1,18,21.494,10.9701,22.19,-11.65,37.13,15.215,30.245,daily,tmmn,wsrbigtm
1,19,23.048,8.4761,23.63,2.03,37.31,17.735,28.85,daily,tmmn,wsrbigtm
1,20,21.344,8.3301,20.93,1.49,38.57,17.33,27.14,daily,tmmn,wsrbigtm
1,21,20.558,8.0726,21.47,-5.17,37.13,15.935,24.98,daily,tmmn,wsrbigtm
1,22,19.43,8.2099,20.03,-2.47,33.35,16.655,23.27,daily,tmmn,wsrbigtm
1,23,19.226,8.5778,18.41,5.45,36.95,13.595,24.305,daily,tmmn,wsrbigtm
1,24,21.098,10.7342,21.74,0.59,40.01,13.73,29.795,daily,tmmn,wsrbigtm
1,25,21.584,11.6839,23.18,-4.81,43.43,17.42,28.4,daily,tmmn,wsrbigtm
1,26,21.41,11.1687,24.17,-4.09,46.31,15.935,28.13,daily,tmmn,wsrbigtm
1,27,20.042,11.5533,22.46,-2.65,42.89,12.695,27.59,daily,tmmn,wsrbigtm
1,28,19.076,10.4629,17.78,-8.41,36.41,14.9,26.555,daily,tmmn,wsrbigtm
1,29,20.168,11.5816,21.11,-13.27,42.53,15.89,27.635,daily,tmmn,wsrbigtm
1,30,20.708,10.2963,26.06,-12.73,32.09,13.325,27.995,daily,tmmn,wsrbigtm
1,31,20.258,10.4902,20.93,-5.17,38.39,13.235,27.455,daily,tmmn,wsrbigtm
2,1,19.298,13.5435,21.65,-14.53,38.57,15.17,27.23,daily,tmmn,wsrbigtm
2,2,18.476,12.7727,22.82,-18.49,36.95,14.63,26.33,daily,tmmn,wsrbigtm
2,3,16.394,12.1421,20.21,-10.75,32.09,14.45,23.315,daily,tmmn,wsrbigtm
2,4,18.242,12.2071,20.12,-16.51,35.87,13.91,27.095,daily,tmmn,wsrbigtm
2,5,20.474,12.9516,23.45,-25.15,38.21,15.845,27.41,daily,tmmn,wsrbigtm
2,6,19.328,14.6054,23,-24.25,53.15,12.56,27.86,daily,tmmn,wsrbigtm
2,7,18.884,13.1118,23.36,-14.17,47.39,10.85,27.41,daily,tmmn,wsrbigtm
2,8,18.17,13.9363,20.39,-11.47,41.09,7.475,26.42,daily,tmmn,wsrbigtm
2,9,18.35,13.7043,20.03,-12.19,40.01,12.065,26.6,daily,tmmn,wsrbigtm
2,10,16.916,9.8719,16.52,-11.65,42.71,12.74,20.57,daily,tmmn,wsrbigtm
2,11,17.282,9.5173,17.51,-2.11,38.03,12.29,21.875,daily,tmmn,wsrbigtm
2,12,20.576,10.5223,20.39,-3.19,42.53,13.685,27.77,daily,tmmn,wsrbigtm
2,13,21.98,10.3694,23.81,-3.73,44.51,15.71,28.985,daily,tmmn,wsrbigtm
2,14,20.162,9.6592,21.38,-1.75,34.61,16.25,26.645,daily,tmmn,wsrbigtm
2,15,20.498,10.3334,22.55,-6.25,38.39,12.695,27.005,daily,tmmn,wsrbigtm
2,16,22.49,11.8571,25.34,-11.29,40.91,17.465,29.21,daily,tmmn,wsrbigtm
2,17,21.494,12.8289,24.44,-14.17,42.53,18.185,27.68,daily,tmmn,wsrbigtm
2,18,20.786,13.1244,22.46,-14.35,39.29,16.385,30.47,daily,tmmn,wsrbigtm
2,19,19.958,12.6046,21.56,-15.25,38.39,18.005,29.3,daily,tmmn,wsrbigtm
2,20,20.42,10.9116,22.91,-12.01,39.29,14.585,26.15,daily,tmmn,wsrbigtm
2,21,19.214,11.4791,20.12,-3.91,37.67,13.595,27.68,daily,tmmn,wsrbigtm
2,22,19.172,11.4382,23.18,-6.43,36.41,13.505,26.555,daily,tmmn,wsrbigtm
2,23,18.23,10.8253,21.29,-6.25,33.17,9.905,25.07,daily,tmmn,wsrbigtm
2,24,17.984,12.8954,21.29,-11.47,35.87,14.945,27.725,daily,tmmn,wsrbigtm
2,25,17.138,13.073,20.84,-8.05,36.95,5.72,25.385,daily,tmmn,wsrbigtm
2,26,16.838,12.0509,18.68,-7.69,34.25,12.965,26.87,daily,tmmn,wsrbigtm
2,27,18.764,10.9576,17.78,-5.89,37.67,11.615,28.985,daily,tmmn,wsrbigtm
2,28,18.776,12.0987,19.13,-11.11,37.67,11.93,28.625,daily,tmmn,wsrbigtm
2,29,22.3925,13.5909,25.97,-9.49,33.35,21.74,30.065,daily,tmmn,wsrbigtm
3,1,18.452,12.4878,21.02,-17.41,34.61,15.485,27.095,daily,tmmn,wsrbigtm
3,2,18.998,13.154,21.38,-18.85,36.05,12.875,28.58,daily,tmmn,wsrbigtm
3,3,22.598,12.4981,23.27,-24.25,39.65,18.635,31.145,daily,tmmn,wsrbigtm
3,4,22.544,12.1485,22.82,-21.19,39.65,16.925,31.505,daily,tmmn,wsrbigtm
3,5,22.502,10.9827,23.27,-10.93,39.47,18.095,30.065,daily,tmmn,wsrbigtm
3,6,22.43,10.783,22.28,1.85,37.49,17.69,31.865,daily,tmmn,wsrbigtm
3,7,20.924,10.5403,23.81,2.03,35.51,14.135,29.525,daily,tmmn,wsrbigtm
3,8,22.274,10.1714,23.18,-1.39,36.77,17.015,31.055,daily,tmmn,wsrbigtm
