month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,59.5452,11.1975,65.1,30.3,73.5,53.5,67.15,daily,srad,aceround
1,2,60.82,8.8979,63.1,40,74,57.05,66.8,daily,srad,aceround
1,3,57.9567,10.6127,62.6,32.1,71.6,48.6,66.525,daily,srad,aceround
1,4,60.9867,12.7653,65.6,28.9,73.8,56.525,70.15,daily,srad,aceround
1,5,58.2867,13.8928,63.5,23.8,75.6,49.275,69.175,daily,srad,aceround
1,6,65.1533,9.5394,65.8,27.1,75.2,62.775,70.975,daily,srad,aceround
1,7,61.3467,11.6874,61.55,27.2,78.3,58.975,69.725,daily,srad,aceround
1,8,59.0867,11.1688,61.75,35.8,77.2,52.4,67.675,daily,srad,aceround
1,9,63.8833,10.1135,67.85,28.9,77.8,59.25,70.675,daily,srad,aceround
1,10,66.3967,9.962,70.25,39,76.8,60.175,72.8,daily,srad,aceround
1,11,65.7367,10.6439,68.35,41.2,78,61.35,74.825,daily,srad,aceround
1,12,65.5567,12.203,67.1,33.4,81.8,61.2,74.125,daily,srad,aceround
1,13,65.9333,12.3356,70.3,41.6,82.2,56.25,74.75,daily,srad,aceround
1,14,63.0667,14.3941,66.75,30.9,81.7,55.175,74.1,daily,srad,aceround
1,15,65.6333,13.3285,68.45,38.1,84.1,53.275,75.725,daily,srad,aceround
1,16,69.5567,14.2865,73.65,26.3,84.3,63.275,78.625,daily,srad,aceround
1,17,66.57,16.8667,70.55,19.4,83.5,57.975,78.95,daily,srad,aceround
1,18,71.7133,11.0524,74.2,38.4,86.6,68.25,79.225,daily,srad,aceround
1,19,70.9833,10.0544,73.75,47.4,84.9,66,79,daily,srad,aceround
1,20,70.4967,13.9419,73.45,25.2,85.7,61.9,81.35,daily,srad,aceround
1,21,73.7233,13.1917,75.35,39.5,89.3,68.35,84,daily,srad,aceround
1,22,75.7867,11.0979,79.4,47.8,88.9,72.225,83.225,daily,srad,aceround
1,23,76.42,13.2025,81.55,39.3,89.1,71.425,86.425,daily,srad,aceround
