month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,57.3032,9.9034,61.3,25.6,67.2,55,63.9,daily,srad,acesidne
1,2,56.37,8.6792,59.45,32.7,66.6,53.175,61.625,daily,srad,acesidne
1,3,59.05,6.7296,60.2,32.9,67.3,56.575,63.05,daily,srad,acesidne
1,4,59.5333,7.0787,60.35,41.5,69.9,57.675,63.75,daily,srad,acesidne
1,5,55.8567,12.4784,59.9,28.3,69.2,53.2,64.4,daily,srad,acesidne
1,6,61.3467,7.8981,63.6,34.5,70.9,56.625,67.7,daily,srad,acesidne
1,7,61.7733,8.7304,65.75,38.4,71.5,56.45,68.2,daily,srad,acesidne
1,8,60.2833,8.7386,62.05,38.1,71.2,55.2,67.75,daily,srad,acesidne
1,9,59.9633,11.3956,62.95,31,76.1,55.175,67.875,daily,srad,acesidne
1,10,61.69,8.7398,63.9,41,73.8,57.35,67.7,daily,srad,acesidne
1,11,61.67,9.753,62.7,33.3,76.3,57.775,68.375,daily,srad,acesidne
1,12,63.9633,10.3254,66.4,35.7,77.4,56.625,70.975,daily,srad,acesidne
1,13,61.5767,13.577,65.45,28.5,78.2,54.2,71.325,daily,srad,acesidne
1,14,63.7333,12.4328,68,29.8,80.4,55.35,73.175,daily,srad,acesidne
1,15,66.6033,8.8535,68.35,47.6,80.7,62.075,72.05,daily,srad,acesidne
1,16,68.1667,9.9527,71.4,41.1,81.4,61.8,75.25,daily,srad,acesidne
1,17,65.91,14.3107,68.45,21.7,81,62.7,76.45,daily,srad,acesidne
1,18,69.62,11.3881,73.7,29.6,83.6,63.275,77.425,daily,srad,acesidne
1,19,70.44,10.3244,73.95,36.3,81.1,68.5,77.8,daily,srad,acesidne
1,20,71.7567,8.9977,74.25,49.3,83.6,66.8,78,daily,srad,acesidne
1,21,68.6167,12.8396,68.5,33.3,83.3,65.05,80.825,daily,srad,acesidne
1,22,73.4267,12.0626,76,33.2,88.3,71.125,80.9,daily,srad,acesidne
1,23,75.9867,9.8947,79.05,45.3,85.5,74.225,82.15,daily,srad,acesidne
1,24,74.7833,9.6352,77.1,48.1,88.3,69.75,82.775,daily,srad,acesidne
1,25,75.3033,12.989,78.55,42.7,92.2,68.2,85.225,daily,srad,acesidne
1,26,75.9333,12.9315,79.4,39.2,94.1,67.425,85.175,daily,srad,acesidne
1,27,79.3267,11.7607,81.75,55.3,95.5,71.2,88.325,daily,srad,acesidne
1,28,79.39,11.7118,80.4,49,97.4,72.875,88.525,daily,srad,acesidne
1,29,82.2967,14.1091,89.1,48.3,96.8,73.675,91.9,daily,srad,acesidne
1,30,78.8667,15.4369,82.4,39.1,100,69.15,91.675,daily,srad,acesidne
1,31,81.2567,14.0296,83.3,48.7,100.4,74.675,92.875,daily,srad,acesidne
2,1,87.25,8.4557,88.95,72,101.5,79.35,92.275,daily,srad,acesidne
2,2,86.57,11.0022,87.9,58.9,103.2,82.25,94.85,daily,srad,acesidne
2,3,89.53,13.1124,93.65,50.4,103.5,87.375,97.15,daily,srad,acesidne
