month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,8.4787,2.2727,8.7241,5.145,13.869,6.599,9.9544,daily,vs,arskeosw
1,2,8.6644,2.827,8.5004,3.3554,15.4349,6.6549,9.9544,daily,vs,arskeosw
1,3,8.0753,3.1968,7.8293,2.908,15.8822,5.7042,9.8984,daily,vs,arskeosw
1,4,8.7315,2.9882,8.7241,3.3554,14.9875,6.3193,10.6814,daily,vs,arskeosw
1,5,8.3736,3.0182,8.1648,3.1317,13.4216,5.9279,10.4577,daily,vs,arskeosw
1,6,9.0969,3.2006,8.6122,4.0265,17.4481,7.2141,10.5136,daily,vs,arskeosw
1,7,7.6503,2.9893,7.6056,2.6843,16.5533,5.6483,9.0037,daily,vs,arskeosw
1,8,8.6793,3.2567,7.27,4.2502,18.5666,6.3193,10.8491,daily,vs,arskeosw
1,9,8.7837,2.8688,8.2767,3.3554,15.4349,7.1582,10.6814,daily,vs,arskeosw
1,10,8.4482,2.8336,8.5004,4.4739,16.1059,5.9838,9.8425,daily,vs,arskeosw
1,11,9.0298,3.4165,8.2767,4.0265,17.8955,6.3193,11.5761,daily,vs,arskeosw
1,12,8.2394,2.6946,7.6056,4.2502,14.3164,6.0957,10.234,daily,vs,arskeosw
1,13,8.7539,4.0324,7.6056,4.0265,23.2641,6.3193,9.3951,daily,vs,arskeosw
1,14,7.956,2.6912,7.6056,4.2502,14.3164,6.2634,8.9477,daily,vs,arskeosw
1,15,8.4407,3.5558,7.6056,3.8028,18.1192,6.0397,9.6188,daily,vs,arskeosw
1,16,9.1192,3.8305,8.8359,4.0265,18.7903,6.3753,9.9544,daily,vs,arskeosw
1,17,8.9925,3.2274,9.8425,3.8028,17.0007,6.4871,10.4577,daily,vs,arskeosw
1,18,8.2096,2.6482,7.9411,4.2502,13.1979,5.6483,9.6188,daily,vs,arskeosw
1,19,8.4109,3.3897,8.1648,2.2369,16.3296,5.9838,10.6814,daily,vs,arskeosw
1,20,7.3595,2.4415,7.27,2.6843,13.1979,5.7042,8.6681,daily,vs,arskeosw
1,21,8.0828,2.2103,8.053,3.1317,12.5268,6.543,9.3392,daily,vs,arskeosw
1,22,9.1043,3.3055,8.8359,4.2502,17.0007,6.9904,10.234,daily,vs,arskeosw
1,23,8.7091,2.8976,8.3885,4.0265,17.6718,6.7667,10.0103,daily,vs,arskeosw
1,24,8.9105,4.1268,8.053,4.4739,23.7115,6.0957,9.8425,daily,vs,arskeosw
1,25,8.7241,2.3135,8.3885,4.4739,14.0927,7.2141,10.1781,daily,vs,arskeosw
1,26,8.9254,3.7832,8.053,2.908,20.3561,6.4871,11.3525,daily,vs,arskeosw
1,27,9.3877,3.8209,8.3885,4.2502,18.3429,6.9904,10.2899,daily,vs,arskeosw
1,28,9.164,3.7146,9.0596,4.2502,18.3429,6.2634,11.0169,daily,vs,arskeosw
1,29,8.6942,3.1332,7.7174,3.3554,15.6586,6.4871,10.8491,daily,vs,arskeosw
1,30,9.1565,3.5217,8.5004,2.4606,15.8822,6.543,12.2472,daily,vs,arskeosw
1,31,9.082,2.677,8.9477,4.0265,17.4481,7.1582,10.5136,daily,vs,arskeosw
2,1,8.739,4.041,8.5004,3.3554,19.4613,5.5364,9.7307,daily,vs,arskeosw
2,2,8.6122,3.6087,7.7174,3.8028,17.0007,5.7042,11.4084,daily,vs,arskeosw
2,3,8.2468,3.2314,7.0463,3.5791,16.5533,6.0957,10.1781,daily,vs,arskeosw
2,4,7.4565,2.0888,7.27,4.0265,12.5268,6.3193,9.1155,daily,vs,arskeosw
2,5,7.6951,2.9009,7.6056,2.6843,15.6586,5.5923,8.9477,daily,vs,arskeosw
2,6,8.4109,3.1693,7.9411,4.0265,19.9087,6.543,9.1155,daily,vs,arskeosw
2,7,7.8144,3.3914,7.6056,2.908,20.3561,5.6483,8.6681,daily,vs,arskeosw
2,8,7.5907,2.7478,7.1582,2.2369,13.1979,5.7601,9.1155,daily,vs,arskeosw
2,9,8.4556,3.1849,7.6056,3.5791,16.777,6.4312,10.0103,daily,vs,arskeosw
2,10,10.4018,4.9867,9.0596,3.1317,22.3694,7.1582,11.6321,daily,vs,arskeosw
2,11,9.1118,3.7246,8.053,4.6976,20.5798,6.7667,11.4084,daily,vs,arskeosw
2,12,8.0157,2.475,8.7241,4.0265,13.6453,5.6483,9.3392,daily,vs,arskeosw
2,13,9.2385,3.5758,9.0596,4.4739,17.6718,6.1516,10.6814,daily,vs,arskeosw
2,14,8.7539,2.8747,8.053,3.5791,14.3164,6.9345,10.7373,daily,vs,arskeosw
2,15,8.3661,2.1661,8.3885,4.0265,12.9742,6.9345,10.0103,daily,vs,arskeosw
2,16,7.9635,2.892,8.2767,3.1317,16.777,6.1516,9.3951,daily,vs,arskeosw
2,17,7.9859,3.456,7.4937,2.2369,15.4349,5.5923,9.9544,daily,vs,arskeosw
2,18,7.2775,2.7338,7.1582,2.4606,14.0927,5.2009,9.507,daily,vs,arskeosw
2,19,8.4034,3.1105,8.2767,4.0265,18.3429,6.0397,9.6188,daily,vs,arskeosw
2,20,9.1118,3.2277,8.053,3.1317,17.2244,7.1582,11.5761,daily,vs,arskeosw
2,21,7.6652,2.8209,7.4937,2.908,12.7505,5.5923,9.9544,daily,vs,arskeosw
2,22,8.0604,2.6808,8.2767,3.1317,15.6586,5.816,9.8425,daily,vs,arskeosw
2,23,7.9933,3.0246,7.0463,2.6843,17.0007,6.0957,9.8425,daily,vs,arskeosw
2,24,8.6346,2.5872,9.0596,3.8028,15.4349,6.1516,10.6814,daily,vs,arskeosw
2,25,9.0969,3.6725,8.5004,4.0265,17.2244,6.2634,11.2406,daily,vs,arskeosw
2,26,8.985,3.534,7.8293,4.6976,18.7903,6.7108,10.1781,daily,vs,arskeosw
2,27,8.1126,3.2607,7.9411,3.1317,17.2244,5.6483,9.3951,daily,vs,arskeosw
2,28,8.1946,2.9328,7.9411,3.5791,16.5533,6.3193,9.507,daily,vs,arskeosw
2,29,8.9198,2.0307,8.8359,4.9213,11.4084,8.2207,10.2899,daily,vs,arskeosw
3,1,8.5526,2.8226,8.5004,2.908,14.7638,6.7667,10.1781,daily,vs,arskeosw
3,2,8.4183,3.4502,7.6056,3.3554,17.2244,5.816,10.5136,daily,vs,arskeosw
3,3,8.8583,2.6615,8.6122,4.6976,15.6586,7.0463,10.2899,daily,vs,arskeosw
3,4,8.7315,3.7677,8.053,4.0265,18.7903,5.872,10.5136,daily,vs,arskeosw
3,5,7.9337,2.4191,7.6056,4.6976,16.1059,6.0397,9.507,daily,vs,arskeosw
3,6,8.3512,4.4087,6.9345,3.1317,20.3561,6.0397,8.8918,daily,vs,arskeosw
3,7,8.8284,3.8842,7.9411,2.6843,20.8035,6.2075,10.6254,daily,vs,arskeosw
3,8,8.0455,2.7519,7.9411,4.2502,13.1979,5.3686,9.9544,daily,vs,arskeosw
3,9,8.4332,2.6547,8.1648,4.2502,16.1059,6.7108,10.4577,daily,vs,arskeosw
3,10,8.5376,3.3864,7.9411,1.7895,20.5798,6.7108,9.7866,daily,vs,arskeosw
3,11,8.5227,2.9091,8.053,4.4739,14.7638,6.0957,10.3458,daily,vs,arskeosw
3,12,8.903,3.3922,8.3885,4.4739,18.5666,6.3193,10.4577,daily,vs,arskeosw
3,13,9.2609,3.6187,8.3885,3.8028,20.5798,6.9345,10.6814,daily,vs,arskeosw
3,14,8.2767,3.3164,7.7174,2.6843,20.3561,6.7667,9.7866,daily,vs,arskeosw
3,15,7.7473,2.6517,7.3819,3.8028,16.5533,5.9279,8.8359,daily,vs,arskeosw
3,16,8.4556,3.7621000000000002,7.4937,3.5791,18.5666,5.872,9.8425,daily,vs,arskeosw
3,17,9.0372,2.757,9.0596,5.3686,16.5533,6.543,11.2965,daily,vs,arskeosw
3,18,8.6793,2.5589,8.053,4.9213,14.3164,6.8227,10.961,daily,vs,arskeosw
3,19,8.9477,3.0098,8.6122,3.8028,17.8955,6.599,10.7932,daily,vs,arskeosw
3,20,8.9999,2.803,8.1648,4.4739,15.2112,7.4378,11.4084,daily,vs,arskeosw
3,21,8.6495,3.2445,7.7174,3.8028,15.6586,6.543,11.1288,daily,vs,arskeosw
3,22,7.8815,2.7414,7.8293,3.1317,14.3164,6.0397,9.507,daily,vs,arskeosw
3,23,8.7539,3.1178,8.5004,3.5791,17.8955,6.543,10.1781,daily,vs,arskeosw
3,24,10.096,3.6591,9.0596,4.4739,19.4613,7.3819,12.0795,daily,vs,arskeosw
3,25,8.7315,2.416,9.1714,4.4739,14.0927,6.543,10.3458,daily,vs,arskeosw
3,26,9.5368,3.1413,8.6122,5.3686,18.5666,7.4378,10.8491,daily,vs,arskeosw
3,27,9.7829,3.3853,9.3951,3.5791,21.4746,7.6615,11.1288,daily,vs,arskeosw
3,28,9.5368,2.994,9.507,4.6976,14.9875,7.1582,11.2965,daily,vs,arskeosw
3,29,9.6337,4.2284,9.0596,4.2502,20.8035,5.9279,11.3525,daily,vs,arskeosw
3,30,8.6942,2.997,8.3885,3.8028,13.869,6.7667,10.234,daily,vs,arskeosw
3,31,8.1052,3.0815,7.3819,4.2502,15.6586,6.0957,9.2833,daily,vs,arskeosw
4,1,8.5749,3.4939,8.053,3.3554,17.6718,6.4871,9.8984,daily,vs,arskeosw
4,2,10.3197,4.2689,8.5004,3.8028,21.4746,7.3819,12.8624,daily,vs,arskeosw
4,3,8.6271,2.8909,8.3885,3.5791,17.4481,6.543,9.8425,daily,vs,arskeosw
4,4,8.4258,2.4542,8.6122,4.2502,14.9875,6.543,9.7866,daily,vs,arskeosw
4,5,9.6039,4.4273,8.6122,4.9213,22.5931,6.7108,10.3458,daily,vs,arskeosw
4,6,9.1565,3.4971,7.7174,3.8028,19.2377,7.1582,10.3458,daily,vs,arskeosw
4,7,8.7166,2.8788,8.7241,4.2502,18.3429,7.2141,9.3392,daily,vs,arskeosw
4,8,8.6197,3.4792,8.3885,3.3554,17.0007,5.7601,10.2899,daily,vs,arskeosw
4,9,9.7903,3.9546,8.7241,4.2502,22.3694,6.9904,11.7998,daily,vs,arskeosw
4,10,8.4705,3.2174,8.053,3.8028,17.4481,6.0957,10.1781,daily,vs,arskeosw
4,11,9.4697,3.3835,9.0596,3.5791,20.5798,7.27,11.1288,daily,vs,arskeosw
4,12,9.1565,3.6231,8.2767,2.6843,17.0007,6.9345,10.5695,daily,vs,arskeosw
4,13,9.5815,3.0218,8.9477,5.145,14.9875,7.1582,11.7998,daily,vs,arskeosw
4,14,9.9842,3.3998,9.3951,4.0265,17.0007,7.6056,12.6387,daily,vs,arskeosw
4,15,9.4846,3.2388,9.1714,3.8028,15.6586,7.4937,10.961,daily,vs,arskeosw
4,16,8.3438,2.6966,8.053,3.3554,17.2244,6.3193,9.8425,daily,vs,arskeosw
4,17,9.2087,2.3099,9.1714,5.145,12.7505,7.4937,11.2406,daily,vs,arskeosw
4,18,10.3645,4.0912,9.507,5.3686,23.4878,8.053,10.7932,daily,vs,arskeosw
4,19,9.7008,3.9836,8.7241,4.2502,21.4746,7.0463,11.3525,daily,vs,arskeosw
4,20,8.4109,2.337,8.2767,4.9213,14.3164,6.7108,10.234,daily,vs,arskeosw
4,21,8.5526,3.1595,7.7174,2.908,16.1059,6.1516,10.7373,daily,vs,arskeosw
4,22,8.3661,3.0455,7.8293,4.0265,13.869,5.872,10.8491,daily,vs,arskeosw
4,23,9.3504,2.6386,8.9477,4.9213,14.7638,7.6615,10.7373,daily,vs,arskeosw
4,24,9.5517,3.3013,8.9477,4.2502,18.1192,7.8293,11.3525,daily,vs,arskeosw
