month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,15.8029,5.9095,14.5401,6.0397,27.5143,11.7439,20.0206,daily,vs,blm3mcca
1,2,15.0098,5.4485,13.6453,5.816,29.0802,11.2406,18.3429,daily,vs,blm3mcca
1,3,14.5401,5.8894,14.6519,4.9213,27.5143,9.7307,18.3429,daily,vs,blm3mcca
1,4,15.3976,5.2263,15.7704,7.6056,26.3958,11.4643,18.1751,daily,vs,blm3mcca
1,5,15.7406,5.9693,14.4282,7.1582,28.1854,10.6254,21.4746,daily,vs,blm3mcca
1,6,16.3147,5.9154,15.9941,6.7108,31.5408,12.6387,20.0206,daily,vs,blm3mcca
1,7,16.5533,6.7862,17.6718,5.145,33.3304,11.0169,20.1324,daily,vs,blm3mcca
1,8,17.0678,5.4138,17.0007,6.7108,29.0802,13.2538,20.1884,daily,vs,blm3mcca
1,9,15.9195,5.5554,14.5401,7.8293,27.0669,11.4084,19.1258,daily,vs,blm3mcca
1,10,15.6064,5.753,14.8756,5.816,28.4091,11.6321,19.8528,daily,vs,blm3mcca
1,11,14.6072,5.4781,14.2045,6.4871,27.5143,10.5695,17.8955,daily,vs,blm3mcca
1,12,15.5243,6.4369,16.4415,4.0265,28.8565,9.8984,19.3495,daily,vs,blm3mcca
1,13,16.2103,6.0924,16.2178,5.145,31.0934,12.1913,20.7476,daily,vs,blm3mcca
1,14,15.2261,6.1125,15.9941,5.3686,26.3958,9.6747,19.014,daily,vs,blm3mcca
1,15,15.3678,6.3927,14.5401,4.9213,26.3958,10.961,20.8035,daily,vs,blm3mcca
1,16,14.8011,5.3477,14.3164,7.1582,23.9352,9.8984,19.6291,daily,vs,blm3mcca
1,17,15.502,5.5999,15.4349,6.7108,29.0802,11.9117,18.5666,daily,vs,blm3mcca
1,18,16.5682,5.6389,15.6586,7.8293,31.7645,12.9742,20.8594,daily,vs,blm3mcca
1,19,15.6362,5.0093,14.9875,6.7108,30.8697,11.688,18.7343,daily,vs,blm3mcca
1,20,13.9063,5.5913,12.5268,5.5923,25.5011,10.3458,15.8822,daily,vs,blm3mcca
1,21,13.787,3.8295,13.4216,6.2634,22.1457,12.0795,15.2112,daily,vs,blm3mcca
1,22,14.3835,4.8981,14.0927,6.0397,26.1722,10.6254,16.6652,daily,vs,blm3mcca
1,23,14.2567,4.8142,14.2045,6.7108,23.0404,10.6254,17.3922,daily,vs,blm3mcca
1,24,14.6072,5.4138,13.0861,7.3819,25.5011,10.1781,19.9647,daily,vs,blm3mcca
1,25,14.1524,6.3577,13.9809,4.9213,30.1986,9.6747,17.6159,daily,vs,blm3mcca
1,26,13.8765,5.6164,13.6453,5.145,26.3958,9.0596,17.3363,daily,vs,blm3mcca
1,27,14.4506,5.9343,13.869,5.5923,28.4091,9.7307,18.5106,daily,vs,blm3mcca
1,28,14.5625,6.3841,13.3098,6.4871,25.7248,8.78,20.9713,daily,vs,blm3mcca
