month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,92.1032,8.2303,95.6,74.5,100,87.7,100,daily,rmax,blm5kidd
1,2,87.9267,10.528,91.85,60.8,100,80.725,95.1,daily,rmax,blm5kidd
1,3,87.7033,11.9879,90.95,57.1,100,79.225,100,daily,rmax,blm5kidd
1,4,85.5233,10.6126,85,60.8,100,78.225,93.375,daily,rmax,blm5kidd
1,5,86.6067,10.2382,87.55,67.9,100,78.125,95.4,daily,rmax,blm5kidd
1,6,87.8967,10.6974,89.55,61,100,81.275,97.75,daily,rmax,blm5kidd
1,7,88.1367,10.3196,88.4,64.2,100,80.475,98.3,daily,rmax,blm5kidd
1,8,89.41,11.9368,92.9,57.4,100,86.425,100,daily,rmax,blm5kidd
1,9,89.5567,9.552,90.25,60.7,100,86.275,97.925,daily,rmax,blm5kidd
1,10,90.0067,9.6752,91.3,65.4,100,83.65,99.475,daily,rmax,blm5kidd
1,11,91.3867,9.2704,94.55,71.6,100,86.4,100,daily,rmax,blm5kidd
1,12,88.0667,11.4489,88.6,63.6,100,83.85,99.6,daily,rmax,blm5kidd
1,13,85.71,12.9501,87.85,51.1,100,79.025,97.35,daily,rmax,blm5kidd
1,14,86.0567,12.9312,86.5,51.7,100,80.25,97.225,daily,rmax,blm5kidd
1,15,86.6433,11.8304,88.95,61,100,77.15,98.1,daily,rmax,blm5kidd
1,16,87.6433,10.4514,90.1,62.6,100,83.85,94.65,daily,rmax,blm5kidd
1,17,87.2967,11.808,89.9,59.6,100,80.525,97.45,daily,rmax,blm5kidd
1,18,86.2067,11.8256,88.5,56.9,100,79,95.7,daily,rmax,blm5kidd
1,19,87.59,12.0997,89.9,48.9,100,83.85,95.325,daily,rmax,blm5kidd
1,20,86.6867,11.1531,87.85,55.6,100,78.35,95.275,daily,rmax,blm5kidd
1,21,88.51,11.2855,88.8,50.3,100,81.925,98.55,daily,rmax,blm5kidd
1,22,86.2467,10.2572,87.3,62.3,100,77.675,94.525,daily,rmax,blm5kidd
1,23,88.67,10.706,90.15,50.9,100,83.6,97.725,daily,rmax,blm5kidd
1,24,87.5833,10.0631,90.25,64.5,100,84.75,94.875,daily,rmax,blm5kidd
1,25,89.4833,10.2445,90.2,63.4,100,84.975,97.65,daily,rmax,blm5kidd
1,26,90.1767,9.9311,90.05,61.8,100,85.475,100,daily,rmax,blm5kidd
1,27,90.1133,10.8941,91.95,52.9,100,85.25,99.875,daily,rmax,blm5kidd
1,28,89.4867,10.1512,89.45,62.2,100,82.375,99.975,daily,rmax,blm5kidd
