month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,54.5581,10.1736,61.4,30.8,64.9,47.55,62.85,daily,srad,blmroyno
1,2,54.7533,9.0772,56.05,28.2,67.8,50.025,61.575,daily,srad,blmroyno
1,3,54.4067,9.3583,57.4,33.4,69.8,48.375,61.225,daily,srad,blmroyno
1,4,56.2333,11.6059,60.45,24.8,70.7,50.1,63.675,daily,srad,blmroyno
1,5,54.63,12.3456,57.5,22.2,70.7,46.65,64.15,daily,srad,blmroyno
1,6,59.7533,7.9476,60.75,32.9,70.8,57.025,64.125,daily,srad,blmroyno
1,7,56.94,10.1484,58.2,30.4,72.7,50.575,64.35,daily,srad,blmroyno
1,8,55.4867,10.021,58.65,34,68.8,47.525,63.375,daily,srad,blmroyno
1,9,59.48,9.7203,60.85,34.5,73.9,54.85,65.675,daily,srad,blmroyno
1,10,59.8833,10.6196,63.4,30.5,74.4,56.2,66.85,daily,srad,blmroyno
1,11,62.04,10.432,64.15,30,75.8,58.775,68.95,daily,srad,blmroyno
1,12,61.3633,11.0387,62.75,32.2,77,54.475,68.8,daily,srad,blmroyno
1,13,61.83,11.3847,64.75,33.4,76.9,54,70.025,daily,srad,blmroyno
1,14,59.7433,12.8259,63.7,30.5,76.8,53.55,69.025,daily,srad,blmroyno
1,15,62.74,13.4197,66.15,33.1,80.1,49.525,72.575,daily,srad,blmroyno
1,16,65.5067,11.7618,68.85,29.8,79.5,61.075,73.55,daily,srad,blmroyno
1,17,61.91,14.54,66.5,19.2,77.4,51.55,73.225,daily,srad,blmroyno
1,18,67.8433,8.8266,70.15,46.3,80.9,64.375,74.275,daily,srad,blmroyno
1,19,67.14,9.1974,69.1,44.6,80.2,62.625,74.1,daily,srad,blmroyno
1,20,67.78,11.2989,70.9,30.4,81.3,61.8,76.875,daily,srad,blmroyno
1,21,68.06,14.7821,70.85,32.4,83.9,61.075,80.35,daily,srad,blmroyno
1,22,72.61,10.4961,77.15,34.5,82.2,68.175,79.525,daily,srad,blmroyno
1,23,71.41,13.1634,75.5,40.9,84.5,67.925,81.3,daily,srad,blmroyno
1,24,71.4233,14.0053,76.75,34.6,85.7,69.8,80.275,daily,srad,blmroyno
1,25,74.2833,10.0963,77.7,40.4,84.1,69.925,80.5,daily,srad,blmroyno
1,26,73.4667,10.1418,76.5,54.8,88.9,64.375,81.45,daily,srad,blmroyno
1,27,78.28,10.055,81.55,58.8,92.3,68.4,86.15,daily,srad,blmroyno
1,28,75.0433,13.4573,76.75,40.3,90.7,71.15,85.975,daily,srad,blmroyno
1,29,79.8333,13.7036,85.4,34.1,95.1,75.35,89.1,daily,srad,blmroyno
1,30,77.8233,13.6235,79.55,35.1,99.1,71.575,87.6,daily,srad,blmroyno
1,31,73.5833,17.3207,80,28.3,93.2,64.15,86.75,daily,srad,blmroyno
2,1,79.2133,13.1343,84.3,41.6,96.8,75.125,86.625,daily,srad,blmroyno
2,2,74.86,15.1766,79.8,42,97.7,65.975,86.1,daily,srad,blmroyno
2,3,79.66,14.9015,85.4,40.3,94.5,76.975,89.225,daily,srad,blmroyno
2,4,79.5067,14.0422,83,37.9,99.1,74.125,90.55,daily,srad,blmroyno
2,5,82.1767,14.7287,88.75,44.5,100.2,72.9,92.875,daily,srad,blmroyno
2,6,84.0433,13.1192,87.05,50.3,101.8,77.275,93.525,daily,srad,blmroyno
2,7,83.9,14.265,87.7,38.6,103.7,78.525,93.375,daily,srad,blmroyno
2,8,80.5567,19.6021,81.65,39.2,108.2,67.6,98.6,daily,srad,blmroyno
2,9,81.9633,17.3287,84.1,37,104,67.825,95,daily,srad,blmroyno
2,10,85.0933,19.1471,90.95,31.7,107.7,72.275,98.95,daily,srad,blmroyno
2,11,86.51,17.5511,87.95,46.2,110.1,75.45,104.25,daily,srad,blmroyno
2,12,90.06,15.4867,91.6,56.4,112.9,79.15,102.75,daily,srad,blmroyno
2,13,87.7267,16.8561,93.55,48.9,107.1,74.225,102.425,daily,srad,blmroyno
2,14,95.67,17.5042,96.85,38.3,114.4,92.45,108.3,daily,srad,blmroyno
2,15,95.2367,18.2853,100.9,35.9,112.3,87.825,107.725,daily,srad,blmroyno
2,16,96.4,16.174,97.55,46.7,117.7,92.6,107.65,daily,srad,blmroyno
2,17,100.0167,15.7755,104.35,59.3,124.1,93.725,111.475,daily,srad,blmroyno
2,18,97.51,18.2998,100,44.5,119.7,89.2,113.875,daily,srad,blmroyno
2,19,101.77,19.5288,111.3,47.7,125,90.35,116.375,daily,srad,blmroyno
2,20,100.8167,19.0275,104,62.3,124.7,83.125,115.775,daily,srad,blmroyno
2,21,106.07,16.7629,110,69,125.6,99.25,118.7,daily,srad,blmroyno
2,22,105.41,19.8831,111.55,62,131.1,90.5,120.55,daily,srad,blmroyno
2,23,102.5867,23.7613,109.85,52.8,132.2,93.975,120.7,daily,srad,blmroyno
2,24,107.9033,21.1465,112.9,54,136.3,100.7,123.725,daily,srad,blmroyno
2,25,106.8833,24.5599,112.55,46.1,137.5,100.45,124.7,daily,srad,blmroyno
2,26,108.3567,22.9597,111.35,61.2,138.8,93.35,128.125,daily,srad,blmroyno
2,27,115.17,18.8452,122.05,60.9,138.2,102.85,126.7,daily,srad,blmroyno
2,28,117.71,21.3504,126.45,56.8,137.6,107.6,133.75,daily,srad,blmroyno
2,29,118.6125,12.2981,119.8,97.2,134.8,113.175,126.7,daily,srad,blmroyno
3,1,120.6067,24.4215,127.65,73.3,152.2,104.65,137.425,daily,srad,blmroyno
3,2,123.4,26.1462,133.1,56,154.6,105.075,142.175,daily,srad,blmroyno
3,3,130.3967,22.8692,137.35,68.5,162.5,117.025,148.025,daily,srad,blmroyno
3,4,131.68,20.5091,132,85.4,163.6,118.425,150.525,daily,srad,blmroyno
3,5,127.56,25.4094,133.25,69.3,161.3,115.025,146.425,daily,srad,blmroyno
3,6,124.8267,27.8773,134.6,66.5,157.9,109.6,145.75,daily,srad,blmroyno
3,7,139.2933,20.0032,144.05,59,162.1,132.125,151.575,daily,srad,blmroyno
3,8,143.7867,20.864,152.35,79.4,164.1,132.775,158.5,daily,srad,blmroyno
3,9,137.4367,25.9753,138.9,69,165.1,129.05,158.85,daily,srad,blmroyno
3,10,141.3267,26.4252,147.95,67.1,174.1,129.5,161.45,daily,srad,blmroyno
3,11,139.0733,26.8675,142,58.8,177.7,121.4,160.35,daily,srad,blmroyno
3,12,147.6467,29.4983,157.35,71.3,178.3,139.45,168.525,daily,srad,blmroyno
3,13,144.92,31.2139,155.35,60.4,184.7,133.875,165.05,daily,srad,blmroyno
3,14,141.3567,28.5475,142.9,73.7,178.5,116.575,168.3,daily,srad,blmroyno
3,15,149.66,23.5258,155.9,80.6,179.1,139.55,169.3,daily,srad,blmroyno
3,16,139.97,34.5103,151,55.1,182.7,114.375,165.9,daily,srad,blmroyno
3,17,139.55,36.8542,145.55,62,187.1,107.775,174.875,daily,srad,blmroyno
3,18,143.51,31.471,148.1,92.7,188.1,115,174.85,daily,srad,blmroyno
3,19,151.9367,37.789,167.05,60.1,190.3,134.3,181.85,daily,srad,blmroyno
3,20,158.4433,33.4006,169.2,81.9,193.5,130.25,186.425,daily,srad,blmroyno
