month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,11.1991,3.7777,11.1847,4.9213,19.014,8.5004,14.2045,daily,vs,blmroyno
1,2,11.2816,4.4941,10.2899,4.2502,20.5798,8.2767,13.9249,daily,vs,blmroyno
1,3,10.4763,5.1972,10.2899,3.3554,22.3694,5.9838,12.7505,daily,vs,blmroyno
1,4,11.0877,4.8923,10.7373,4.2502,21.2509,6.543,15.1552,daily,vs,blmroyno
1,5,11.8334,4.6566,11.5202,3.3554,20.1324,8.78,15.8263,daily,vs,blmroyno
1,6,11.647,5.4509,11.2965,1.5659,24.1589,7.2141,14.8197,daily,vs,blmroyno
1,7,10.1259,4.4019,9.0596,4.0265,21.4746,6.9904,13.1979,daily,vs,blmroyno
1,8,11.1921,5.0744,10.0662,4.0265,21.922,7.6615,14.2045,daily,vs,blmroyno
1,9,10.7969,3.8878,9.8425,4.0265,18.5666,8.5563,13.9249,daily,vs,blmroyno
1,10,11.2294,5.0501,11.0728,4.2502,21.6983,6.599,14.5401,daily,vs,blmroyno
1,11,11.6694,5.4655,9.507,2.6843,25.0537,8.1089,15.0434,daily,vs,blmroyno
1,12,10.5211,4.4547,9.1714,4.4739,21.922,7.326,13.7572,daily,vs,blmroyno
1,13,11.9974,5.4479,10.8491,4.6976,24.3826,8.2207,14.3164,daily,vs,blmroyno
1,14,9.7978,3.6843,9.2833,4.4739,19.685,6.8227,11.9117,daily,vs,blmroyno
1,15,12.3031,5.7134,11.7439,4.6976,26.1722,7.4937,15.9382,daily,vs,blmroyno
1,16,11.0356,5.362,10.0662,3.8028,25.5011,7.2141,12.8624,daily,vs,blmroyno
1,17,11.6395,4.5315,10.6254,4.6976,22.8168,7.9411,14.7638,daily,vs,blmroyno
1,18,10.961,4.4491,10.2899,5.5923,20.1324,7.2141,14.2605,daily,vs,blmroyno
1,19,11.4829,5.5374,10.2899,3.1317,23.7115,7.4378,14.7638,daily,vs,blmroyno
1,20,9.5815,3.5666,8.9477,3.8028,16.777,6.7667,13.0861,daily,vs,blmroyno
1,21,10.6702,4.3161,9.9544,2.908,21.2509,7.3819,13.142,daily,vs,blmroyno
1,22,12.3479,5.1409,11.0728,5.145,21.2509,8.5004,15.7704,daily,vs,blmroyno
1,23,11.4233,5.065,9.7307,5.816,26.3958,7.4378,13.9809,daily,vs,blmroyno
1,24,11.3189,5.9299,9.1714,3.3554,24.83,6.7667,14.8197,daily,vs,blmroyno
1,25,11.3413,4.3277,10.7373,3.1317,20.8035,9.2274,13.3098,daily,vs,blmroyno
1,26,11.6246,5.6206,10.8491,4.0265,24.83,7.0463,15.8263,daily,vs,blmroyno
1,27,12.4075,5.5596,10.1781,6.0397,24.3826,8.5563,15.2671,daily,vs,blmroyno
1,28,11.9154,5.2107,10.8491,4.0265,24.1589,8.2767,15.0993,daily,vs,blmroyno
1,29,11.0803,5.1097,9.3951,3.3554,21.6983,6.9345,15.3789,daily,vs,blmroyno
1,30,12.5641,5.5004,11.8558,2.908,22.1457,8.5563,17.3363,daily,vs,blmroyno
1,31,11.5277,4.5152,11.4084,3.8028,28.1854,8.2767,13.8131,daily,vs,blmroyno
2,1,11.5426,6.1074,10.5136,3.5791,26.8432,6.9904,16.2737,daily,vs,blmroyno
2,2,11.6694,5.4882,10.6254,3.8028,21.922,7.1023,16.7211,daily,vs,blmroyno
2,3,10.2899,4.4027,8.5004,5.3686,20.8035,7.3819,12.2472,daily,vs,blmroyno
2,4,9.5517,3.9609,9.1714,2.908,23.4878,7.27,10.234,daily,vs,blmroyno
2,5,9.9022,4.8045,9.7307,2.908,23.9352,6.4871,11.1847,daily,vs,blmroyno
2,6,10.1706,5.0707,8.9477,3.5791,25.9485,6.7667,12.8624,daily,vs,blmroyno
2,7,9.1864,4.4184,8.7241,3.1317,19.9087,5.5923,11.0728,daily,vs,blmroyno
2,8,9.5293,3.8367,8.7241,3.8028,17.4481,6.9904,11.1847,daily,vs,blmroyno
2,9,10.5733,4.1663,9.2833,4.4739,20.1324,7.8293,13.2538,daily,vs,blmroyno
2,10,12.7729,5.6814,12.0795,3.5791,24.83,8.2767,16.5533,daily,vs,blmroyno
2,11,11.2518,5.3655,10.1781,2.908,27.0669,7.7174,13.5894,daily,vs,blmroyno
2,12,10.7671,3.8056,10.4018,4.6976,18.5666,7.6056,14.0927,daily,vs,blmroyno
2,13,12.6312,5.7984,10.961,4.2502,25.5011,7.8852,17.0566,daily,vs,blmroyno
2,14,10.7373,4.0848,9.507,2.908,18.7903,7.8293,14.9315,daily,vs,blmroyno
2,15,10.2452,3.3181,9.8425,4.2502,17.6718,8.5563,12.7505,daily,vs,blmroyno
2,16,10.3868,4.9169,9.9544,3.8028,27.2906,6.9904,12.9742,daily,vs,blmroyno
2,17,10.6031,4.2531,9.507,2.908,18.1192,8.1089,13.5894,daily,vs,blmroyno
2,18,9.7903,3.7226,8.8359,4.0265,17.6718,7.3819,12.8065,daily,vs,blmroyno
2,19,11.0356,4.3202,10.961,4.6976,20.5798,7.4937,14.1486,daily,vs,blmroyno
2,20,11.2071,4.8639,9.8425,4.6976,21.6983,8.5004,14.3164,daily,vs,blmroyno
2,21,9.7754,4.146,9.3951,2.908,18.1192,6.8227,13.142,daily,vs,blmroyno
2,22,10.4092,4.198,9.8425,3.1317,17.8955,7.8852,13.5335,daily,vs,blmroyno
2,23,9.5144,3.8476,8.3885,2.908,18.5666,6.3753,12.8065,daily,vs,blmroyno
2,24,10.1333,3.8428,9.1714,4.0265,21.0272,7.6056,11.9117,daily,vs,blmroyno
2,25,10.6702,4.2557,10.0662,4.2502,18.5666,6.8227,14.0927,daily,vs,blmroyno
2,26,10.4167,4.2778,10.2899,3.3554,25.5011,7.6615,11.5761,daily,vs,blmroyno
2,27,9.0298,4.5486,7.9411,3.5791,17.8955,4.8094,12.7505,daily,vs,blmroyno
2,28,9.2385,3.6935,9.9544,3.3554,16.1059,5.3127,11.7998,daily,vs,blmroyno
2,29,11.8558,5.3633,12.0795,3.1317,20.1324,8.8359,15.2112,daily,vs,blmroyno
3,1,10.5956,4.1582,10.0662,4.0265,20.5798,7.326,13.8131,daily,vs,blmroyno
3,2,10.8268,4.3896,9.6188,5.145,25.0537,7.4378,12.9183,daily,vs,blmroyno
3,3,11.2369,4.0477,11.1847,5.145,21.922,8.4444,12.9183,daily,vs,blmroyno
3,4,10.536,5.1596,9.8425,4.2502,24.6063,6.4871,12.5828,daily,vs,blmroyno
3,5,9.2758,3.5417,8.5004,3.3554,19.014,7.27,10.5695,daily,vs,blmroyno
3,6,10.2452,6.0676,8.2767,3.5791,27.2906,6.1516,11.7439,daily,vs,blmroyno
3,7,10.6553,4.5729,9.2833,4.4739,19.685,6.9345,14.0927,daily,vs,blmroyno
3,8,9.507,4.1525,8.6122,3.5791,18.1192,6.543,11.7998,daily,vs,blmroyno
3,9,10.7597,3.9026,10.2899,4.4739,20.5798,8.2767,11.6321,daily,vs,blmroyno
3,10,10.193,3.407,10.5136,3.1317,19.014,8.7241,11.6321,daily,vs,blmroyno
3,11,10.7149,4.8072,9.507,4.4739,22.5931,7.3819,13.6453,daily,vs,blmroyno
3,12,11.2145,5.1497,9.6188,3.8028,23.7115,8.1089,13.8131,daily,vs,blmroyno
3,13,11.1176,4.9882,9.8425,4.4739,22.5931,7.8293,12.4709,daily,vs,blmroyno
3,14,9.5741,3.0606,9.7307,4.0265,15.6586,7.7174,12.0235,daily,vs,blmroyno
3,15,9.5592,4.3423,8.3885,3.5791,21.4746,6.0957,11.4084,daily,vs,blmroyno
3,16,10.4316,4.8894,8.9477,3.5791,21.0272,6.9904,12.5828,daily,vs,blmroyno
3,17,11.4531,4.0862,10.961,4.4739,21.0272,8.8918,13.3657,daily,vs,blmroyno
3,18,9.6561,2.7989,9.507,2.908,14.5401,7.6615,11.7439,daily,vs,blmroyno
3,19,11.6694,5.0691,10.6254,3.5791,24.6063,7.3819,14.2605,daily,vs,blmroyno
3,20,10.3645,3.5541,10.0662,5.3686,18.1192,7.5497,12.2472,daily,vs,blmroyno
3,21,10.5061,4.3178,9.6188,3.8028,18.7903,7.0463,14.2605,daily,vs,blmroyno
3,22,9.2535,3.379,9.3951,3.8028,16.1059,6.2634,11.3525,daily,vs,blmroyno
3,23,10.5583,4.1553,9.0596,4.6976,20.8035,7.4378,13.9809,daily,vs,blmroyno
3,24,10.6851,4.3581,10.1781,3.5791,25.5011,7.7734,11.5761,daily,vs,blmroyno
3,25,10.4241,4.0216,9.7307,4.9213,24.3826,8.2767,12.415,daily,vs,blmroyno
3,26,11.3636,4.2712,10.2899,4.2502,20.1324,8.5563,12.4709,daily,vs,blmroyno
3,27,11.5128,3.5441,10.8491,4.9213,17.8955,9.4511,14.3164,daily,vs,blmroyno
3,28,12.0198,4.5488,11.9676,4.9213,23.2641,8.78,15.5467,daily,vs,blmroyno
3,29,10.782,4.6302,10.0662,3.3554,22.1457,7.4937,13.5335,daily,vs,blmroyno
3,30,10.6254,4.6161,9.7307,3.5791,21.922,7.4378,14.8197,daily,vs,blmroyno
3,31,9.4921,3.5489,8.9477,4.0265,18.7903,7.1582,11.5202,daily,vs,blmroyno
4,1,10.3943,4.0238,10.1781,4.4739,20.3561,7.3819,13.1979,daily,vs,blmroyno
4,2,10.618,5.2499,8.7241,3.8028,21.4746,6.9904,13.3657,daily,vs,blmroyno
4,3,10.1259,3.7389,9.8425,3.8028,19.9087,7.0463,12.3031,daily,vs,blmroyno
4,4,9.41,3.0485,9.1714,4.6976,15.6586,6.9904,11.9676,daily,vs,blmroyno
4,5,11.0803,5.391,10.1781,2.6843,28.4091,7.3819,14.0368,daily,vs,blmroyno
4,6,11.5128,4.2515,11.1847,4.2502,25.2774,8.9477,13.9809,daily,vs,blmroyno
4,7,10.6851,2.8512,10.0662,5.816,18.7903,9.2274,12.3031,daily,vs,blmroyno
4,8,10.2153,3.3207,10.5136,4.0265,17.0007,7.8293,13.0861,daily,vs,blmroyno
4,9,10.5583,5.8324,8.7241,2.4606,29.5276,6.599,12.1913,daily,vs,blmroyno
4,10,10.3346,4.0245,9.507,4.9213,21.0272,7.4378,12.4709,daily,vs,blmroyno
4,11,10.3123,4.1978,9.1714,3.3554,18.5666,7.0463,13.6453,daily,vs,blmroyno
4,12,10.4167,3.8868,10.4018,2.908,21.6983,7.326,12.415,daily,vs,blmroyno
4,13,11.3338,3.8208,11.5202,4.6976,21.2509,8.4444,12.9183,daily,vs,blmroyno
4,14,12.2659,4.8514,10.7373,2.908,21.922,9.0037,16.4974,daily,vs,blmroyno
4,15,11.565,4.5572,11.0728,5.145,25.9485,8.5004,13.3657,daily,vs,blmroyno
4,16,9.1416,2.8061,8.7241,4.6976,14.3164,7.1582,11.4084,daily,vs,blmroyno
4,17,10.5285,3.6728,10.1781,5.145,18.1192,7.4378,13.9809,daily,vs,blmroyno
4,18,10.5882,4.0608,9.507,4.9213,25.9485,8.3326,12.6946,daily,vs,blmroyno
4,19,10.4912,4.6171,10.6254,3.5791,19.4613,6.543,13.6453,daily,vs,blmroyno
4,20,9.7903,3.8992,8.5004,4.0265,20.3561,7.7174,12.1913,daily,vs,blmroyno
4,21,10.0364,4.2303,10.4018,4.2502,21.2509,6.0397,12.2472,daily,vs,blmroyno
4,22,9.5219,3.2489,8.7241,5.145,18.3429,7.4378,10.4018,daily,vs,blmroyno
4,23,11.4158,4.0519,10.2899,6.0397,22.3694,8.9477,13.9249,daily,vs,blmroyno
4,24,10.9908,4.1529,10.0662,5.3686,24.3826,7.6056,13.3657,daily,vs,blmroyno
4,25,11.1176,5.387,9.6188,5.816,28.1854,7.1582,13.7572,daily,vs,blmroyno
4,26,11.222,4.7912,10.961,4.6976,23.4878,6.8227,14.0368,daily,vs,blmroyno
4,27,12.333,5.666,11.7439,4.6976,29.7513,7.7174,16.4415,daily,vs,blmroyno
4,28,12.9742,5.6943,12.415,4.0265,26.6195,8.3326,16.1619,daily,vs,blmroyno
4,29,11.8632,5.018,11.1847,2.908,24.1589,8.5563,15.7704,daily,vs,blmroyno
4,30,11.9154,5.7591,11.0728,2.6843,29.3039,8.2767,14.3723,daily,vs,blmroyno
5,1,11.1027,5.6632,9.6188,3.8028,25.2774,6.9904,14.2605,daily,vs,blmroyno
5,2,10.2601,4.4319,9.1714,3.3554,23.0404,6.9904,13.4216,daily,vs,blmroyno
5,3,10.0588,3.6693,10.0662,4.2502,18.3429,7.3819,12.4709,daily,vs,blmroyno
5,4,11.4084,5.5201,10.1781,5.816,33.3304,7.8852,12.5268,daily,vs,blmroyno
5,5,10.1482,4.2906,9.507,3.1317,23.0404,8.1089,11.688,daily,vs,blmroyno
5,6,11.2816,4.5959,10.4018,4.2502,23.4878,8.6122,12.8065,daily,vs,blmroyno
5,7,10.1781,4.0045,8.9477,4.9213,21.0272,6.9904,13.1979,daily,vs,blmroyno
5,8,10.014,3.5852,9.7307,3.5791,19.685,8.2767,12.1913,daily,vs,blmroyno
5,9,9.8351,3.7873,9.7307,3.8028,18.7903,6.7667,12.3031,daily,vs,blmroyno
5,10,10.9386,5.4491,10.4018,3.5791,28.6328,6.7108,14.0368,daily,vs,blmroyno
5,11,9.7158,4.7335,7.9411,3.8028,20.5798,5.872,12.8624,daily,vs,blmroyno
5,12,9.1789,2.8716,9.0596,3.5791,14.5401,7.2141,11.4643,daily,vs,blmroyno
5,13,10.9237,4.4646,10.4018,3.5791,21.2509,8.1648,12.6946,daily,vs,blmroyno
5,14,10.0289,3.8455,9.507,3.5791,20.1324,7.1582,12.415,daily,vs,blmroyno
5,15,10.5882,4.5021,9.7307,4.2502,22.1457,7.1582,12.2472,daily,vs,blmroyno
5,16,10.1408,4.0471,9.9544,3.8028,20.3561,7.1582,11.6321,daily,vs,blmroyno
5,17,10.2526,4.4538,9.7307,3.1317,23.2641,7.4937,13.3657,daily,vs,blmroyno
5,18,10.7373,4.2313,10.0662,4.6976,22.1457,8.1089,12.0795,daily,vs,blmroyno
5,19,10.4838,3.6999,10.5136,4.4739,23.2641,8.053,11.3525,daily,vs,blmroyno
5,20,11.3636,4.8025,9.9544,5.5923,23.2641,7.8852,14.0368,daily,vs,blmroyno
5,21,10.2974,3.8528,9.3951,4.4739,22.1457,7.6056,12.8065,daily,vs,blmroyno
5,22,11.4084,4.9829,10.1781,4.0265,24.1589,7.5497,14.3723,daily,vs,blmroyno
5,23,11.5948,5.6245,9.6188,4.9213,24.6063,7.6615,15.2671,daily,vs,blmroyno
5,24,10.1781,3.6765,9.8425,4.6976,20.3561,7.4937,11.5761,daily,vs,blmroyno
5,25,9.9916,3.6438,9.3951,4.2502,21.6983,7.4937,11.1847,daily,vs,blmroyno
5,26,10.6404,3.1409,9.9544,4.4739,15.2112,8.6122,13.6453,daily,vs,blmroyno
5,27,9.9245,3.3682,9.507,1.7895,15.6586,8.1089,12.8065,daily,vs,blmroyno
5,28,10.3794,4.2604,10.0662,4.2502,21.6983,6.8786,12.6946,daily,vs,blmroyno
5,29,10.2526,3.6342,9.507,4.6976,18.5666,7.6615,12.4709,daily,vs,blmroyno
5,30,10.5285,4.02,10.2899,4.9213,23.2641,7.4937,12.6387,daily,vs,blmroyno
5,31,11.1996,4.5522,10.0662,4.6976,23.4878,7.8852,12.7505,daily,vs,blmroyno
6,1,9.6859,3.9351,9.3951,3.3554,19.014,6.7667,11.5202,daily,vs,blmroyno
6,2,10.0438,3.3274,9.1714,3.3554,17.6718,7.8293,11.4084,daily,vs,blmroyno
6,3,10.3123,4.5071,10.6254,2.4606,21.0272,6.3193,12.4709,daily,vs,blmroyno
6,4,9.3131,2.9163,9.2833,4.9213,17.6718,7.6056,10.8491,daily,vs,blmroyno
6,5,10.1482,4.2469,9.3951,3.5791,19.9087,6.7667,12.6387,daily,vs,blmroyno
6,6,10.2377,4.2319,8.7241,4.2502,19.2377,7.6056,12.5828,daily,vs,blmroyno
6,7,10.2153,4.0904,9.8425,3.8028,17.8955,7.4937,13.1979,daily,vs,blmroyno
6,8,9.9096,4.0895,9.507,4.2502,16.5533,6.0957,13.7012,daily,vs,blmroyno
6,9,10.7373,3.1146,10.4018,4.9213,15.6586,8.5004,13.6453,daily,vs,blmroyno
6,10,9.4921,3.159,8.9477,3.8028,19.014,7.8852,10.5136,daily,vs,blmroyno
6,11,10.0737,4.2461,9.2833,3.8028,21.4746,7.1023,12.1354,daily,vs,blmroyno
6,12,10.1184,4.739,9.3951,3.3554,23.9352,6.599,12.5268,daily,vs,blmroyno
6,13,10.5658,4.2624,9.2833,4.0265,21.0272,7.6615,12.2472,daily,vs,blmroyno
6,14,11.7588,4.5612,11.0728,4.0265,20.8035,8.6681,14.4282,daily,vs,blmroyno
6,15,10.0513,4.3598,8.8359,2.6843,21.922,7.2141,13.5335,daily,vs,blmroyno
6,16,9.932,3.3229,9.7307,4.4739,17.8955,7.6056,11.1847,daily,vs,blmroyno
6,17,10.2675,5.2086,9.7307,2.2369,21.922,5.9838,12.415,daily,vs,blmroyno
6,18,11.5724,3.9015,11.6321,4.9213,21.4746,8.78,13.3657,daily,vs,blmroyno
6,19,10.4092,3.8273,9.2833,5.3686,20.1324,7.3819,12.8065,daily,vs,blmroyno
6,20,10.096,4.0328,8.5004,5.145,19.685,6.9345,12.5268,daily,vs,blmroyno
6,21,9.8723,3.2062,8.9477,4.6976,16.777,7.1582,12.7505,daily,vs,blmroyno
6,22,10.096,4.3395,9.7307,3.5791,19.4613,6.7667,11.3525,daily,vs,blmroyno
6,23,9.6859,3.597,9.0596,3.3554,18.7903,7.2141,11.0728,daily,vs,blmroyno
6,24,9.671,4.088,8.9477,4.2502,23.2641,6.9904,10.9051,daily,vs,blmroyno
6,25,9.1043,4.3761,8.5004,3.1317,22.8168,6.4312,11.4643,daily,vs,blmroyno
6,26,10.0364,3.8142,10.2899,2.908,18.7903,7.27,12.2472,daily,vs,blmroyno
6,27,10.6627,5.5046,9.3951,3.8028,27.9617,7.2141,13.0302,daily,vs,blmroyno
6,28,8.8955,2.747,8.9477,4.2502,14.5401,7.0463,10.6814,daily,vs,blmroyno
6,29,10.5136,3.9799,9.7307,4.2502,21.922,7.7734,12.9742,daily,vs,blmroyno
6,30,10.3123,4.0993,9.1714,4.6976,25.9485,8.3326,11.7998,daily,vs,blmroyno
7,1,8.7688,3.8631,7.7174,4.0265,18.7903,6.3193,10.1781,daily,vs,blmroyno
