month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,61.2677,12.4239,65.5,27.5,75.8,54.45,70.55,daily,srad,blmterry
1,2,62.0167,9.8544,62.15,40.4,76.5,57.8,70.15,daily,srad,blmterry
1,3,62.7433,10.5715,63.25,30.2,75.6,60,70.325,daily,srad,blmterry
1,4,62.87,10.7991,64.85,33.6,77.2,59.65,70.5,daily,srad,blmterry
1,5,61.0367,12.3259,64.3,28.5,77.8,56.9,69.475,daily,srad,blmterry
1,6,64.7967,9.0351,65.35,42.2,79.5,59.1,71.025,daily,srad,blmterry
1,7,65.9867,10.6216,68.65,38.1,78.6,64.425,73.275,daily,srad,blmterry
1,8,63.0833,10.5261,63.95,29.9,78.6,57.575,71.525,daily,srad,blmterry
1,9,67.02,9.5223,69.4,44.4,81,60,74.55,daily,srad,blmterry
1,10,68.3667,10.1473,71.8,42.9,84.4,63.425,75.475,daily,srad,blmterry
1,11,66.0567,10.7733,66.95,42.8,82.5,58.5,75.7,daily,srad,blmterry
1,12,67.89,11.2702,69.4,44,85,60.125,77.3,daily,srad,blmterry
1,13,70.03,9.1499,70.9,44.9,85.2,65.3,74.8,daily,srad,blmterry
1,14,68.1833,14.0563,72,35.8,85.4,60.225,78.7,daily,srad,blmterry
1,15,71.4967,11.079,75.1,52.3,88.4,59.625,80.2,daily,srad,blmterry
1,16,72.53,12.5024,75.65,41.5,89.2,65.35,82.725,daily,srad,blmterry
1,17,72.69,13.4138,75.35,31.5,88.4,66.725,83.575,daily,srad,blmterry
1,18,75.56,12.2985,81.1,44,91.7,68.725,84.35,daily,srad,blmterry
1,19,74.4167,10.305,78.85,42.2,86.1,69.1,81.55,daily,srad,blmterry
1,20,75.8967,13.2729,79.45,32.5,89.9,72.25,85.425,daily,srad,blmterry
1,21,73.51,17.9064,80.7,32.5,92.6,64.075,88.375,daily,srad,blmterry
1,22,80.5633,10.0142,81.4,49.6,93.5,76.65,88.475,daily,srad,blmterry
1,23,80.8533,13.4102,86.3,48.7,94.1,76.75,90.725,daily,srad,blmterry
1,24,79.31,12.4869,80.45,48.5,96.8,70.925,90.3,daily,srad,blmterry
1,25,82.2667,14.101,86.45,27.6,96.2,78.3,91.4,daily,srad,blmterry
1,26,81.43,15.6134,85.15,44.9,99.6,78.55,91.05,daily,srad,blmterry
1,27,86.54,9.8655,87.05,61.2,104.1,82.35,93.7,daily,srad,blmterry
1,28,82.6467,13.6067,85.55,52.4,105.4,71.675,89.975,daily,srad,blmterry
1,29,87.68,14.5643,93.8,42.9,103.1,85.525,96.85,daily,srad,blmterry
1,30,85.2433,16.3003,88.55,44.7,109.1,75.8,98.35,daily,srad,blmterry
1,31,84.1,16.0705,91.85,53.2,106,69,95.725,daily,srad,blmterry
2,1,84.8933,9.4707,87,64.6,102.3,81.325,91.125,daily,srad,blmterry
2,2,82.2167,13.2697,87.1,46.8,97.7,74.75,91.575,daily,srad,blmterry
2,3,85.6067,14.8439,91.15,44,103.2,81.2,94.175,daily,srad,blmterry
2,4,87.79,11.4536,90.55,61.1,103,82.5,96.95,daily,srad,blmterry
2,5,83.64,16.7546,86.8,41.7,102.8,74.675,97.15,daily,srad,blmterry
2,6,85.5833,17.6562,93.05,45.5,104.5,77.55,97.475,daily,srad,blmterry
2,7,88.4233,14.3074,88.95,46.3,106.9,80.325,100.5,daily,srad,blmterry
2,8,84.2267,17.0557,88.1,46.7,109.4,70.4,99.05,daily,srad,blmterry
2,9,89.39,16.0421,93.05,47.7,108.9,84,101.2,daily,srad,blmterry
2,10,81.7133,23.7891,85.25,32.7,111.5,68.075,100.925,daily,srad,blmterry
2,11,90.0267,18.3085,94.75,48,111.1,82.125,104.95,daily,srad,blmterry
2,12,91.8733,16.4338,92.5,49.3,114.4,84.7,104.125,daily,srad,blmterry
2,13,93.9367,19.1457,96.3,56.4,116,86.25,110.925,daily,srad,blmterry
2,14,95.37,18.8186,99.25,53.2,120,88.075,110.475,daily,srad,blmterry
2,15,101.15,16.9065,106.1,47.3,118,94.675,111.9,daily,srad,blmterry
2,16,97.0867,21.5497,105.45,47.6,122.3,90.875,113.325,daily,srad,blmterry
2,17,103.81,14.9676,108.35,71.7,128.1,93.95,114.4,daily,srad,blmterry
2,18,104.34,17.4921,105.65,57.4,125.9,96.025,117.7,daily,srad,blmterry
2,19,107.29,17.654,113.15,58.6,125.5,98.15,120.85,daily,srad,blmterry
2,20,104.9867,20.1967,109.65,62.7,130.5,90.25,120.9,daily,srad,blmterry
2,21,105.7333,19.2848,111.95,62.5,132.1,90.1,121.8,daily,srad,blmterry
2,22,106.38,21.8493,114.85,69.6,132.8,86.475,125.675,daily,srad,blmterry
