month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,13.7126,10.8917,14.27,-7.69,36.05,6.62,19.76,daily,tmmn,blmwarre
1,2,13.388,9.5913,12.92,-9.67,36.05,7.205,19.445,daily,tmmn,blmwarre
1,3,13.934,11.158,13.91,-8.23,31.37,5.09,22.28,daily,tmmn,blmwarre
1,4,12.386,12.7095,15.53,-19.21,29.39,2.12,21.65,daily,tmmn,blmwarre
1,5,13.094,13.6457,16.79,-18.49,31.91,4.325,23.585,daily,tmmn,blmwarre
1,6,12.002,12.4207,13.55,-18.49,32.63,3.785,20.3,daily,tmmn,blmwarre
1,7,15.554,10.151,15.8,-7.69,39.29,11.435,19.985,daily,tmmn,blmwarre
1,8,17.432,8.5799,17.6,-3.91,34.79,12.56,21.515,daily,tmmn,blmwarre
1,9,15.428,9.7536,18.23,-9.13,31.55,8.51,22.64,daily,tmmn,blmwarre
1,10,14.78,10.9393,18.32,-9.49,31.19,7.7,22.505,daily,tmmn,blmwarre
1,11,12.872,13.796,16.79,-19.03,36.05,6.71,21.515,daily,tmmn,blmwarre
1,12,12.11,14.1144,18.23,-28.75,27.05,7.025,20.885,daily,tmmn,blmwarre
1,13,14.444,12.7942,19.76,-17.59,29.21,11.255,23.09,daily,tmmn,blmwarre
1,14,15.818,11.561,19.22,-6.07,34.43,6.62,23.9,daily,tmmn,blmwarre
1,15,16.676,9.4125,19.31,-4.63,28.67,10.94,24.485,daily,tmmn,blmwarre
1,16,14.798,8.8577,16.61,-6.43,24.89,8.555,22.505,daily,tmmn,blmwarre
1,17,14.33,9.3659,16.43,-11.83,29.39,9.41,19.58,daily,tmmn,blmwarre
1,18,16.832,9.3416,19.13,-11.11,29.03,10.67,23.18,daily,tmmn,blmwarre
1,19,19.394,8.0911,20.21,-1.03,32.63,15.215,23.765,daily,tmmn,blmwarre
1,20,19.196,7.8856,17.78,-2.11,36.05,15.98,22.91,daily,tmmn,blmwarre
1,21,17.294,8.1674,17.6,-12.19,34.25,14.81,20.3,daily,tmmn,blmwarre
1,22,15.632,8.0143,16.34,-10.39,28.85,12.335,18.86,daily,tmmn,blmwarre
1,23,15.416,7.9157,14.27,-2.47,32.81,9.95,20.615,daily,tmmn,blmwarre
1,24,16.964,9.9333,16.97,-0.49,33.89,9.275,25.925,daily,tmmn,blmwarre
1,25,17.21,11.1541,19.58,-5.53,33.89,10.4,25.295,daily,tmmn,blmwarre
1,26,17.654,10.8116,21.29,-7.87,34.97,11.75,23.945,daily,tmmn,blmwarre
1,27,16.802,11.0975,21.2,-8.05,33.89,7.295,25.565,daily,tmmn,blmwarre
1,28,15.164,10.3352,13.91,-8.77,29.75,10.04,24.89,daily,tmmn,blmwarre
1,29,15.8,11.5353,17.87,-18.67,32.81,11.03,23.18,daily,tmmn,blmwarre
1,30,16.136,10.3749,21.92,-13.63,28.67,7.385,24.35,daily,tmmn,blmwarre
1,31,17.102,10.2038,18.59,-8.95,34.61,10.715,24.44,daily,tmmn,blmwarre
2,1,16.628,12.2437,17.51,-13.81,35.87,13.19,23.9,daily,tmmn,blmwarre
2,2,15.968,12.4387,20.3,-17.77,29.39,12.875,24.17,daily,tmmn,blmwarre
2,3,14.336,10.1363,16.07,-13.09,28.31,10.13,22.82,daily,tmmn,blmwarre
2,4,16.124,10.1204,17.15,-15.97,32.81,11.705,23.09,daily,tmmn,blmwarre
2,5,18.506,11.8796,19.94,-25.69,34.43,14.585,25.43,daily,tmmn,blmwarre
2,6,17.522,12.6862,20.39,-21.91,43.79,12.83,25.205,daily,tmmn,blmwarre
2,7,16.598,12.4768,18.59,-10.75,42.17,10.13,24.89,daily,tmmn,blmwarre
2,8,16.136,13.3358,19.67,-15.25,36.59,6.17,25.97,daily,tmmn,blmwarre
2,9,16.4,12.4527,18.23,-7.87,37.31,12.2,25.745,daily,tmmn,blmwarre
2,10,15.248,9.4888,15.17,-3.19,33.89,9.635,19.4,daily,tmmn,blmwarre
2,11,15.206,9.03,15.62,-3.37,34.61,8.735,20.75,daily,tmmn,blmwarre
2,12,17.288,9.7896,17.69,-8.59,36.77,12.155,22.46,daily,tmmn,blmwarre
2,13,18.632,9.3474,20.57,-6.61,36.41,13.01,25.205,daily,tmmn,blmwarre
2,14,18.698,8.916,20.3,0.23,32.81,14.225,23.585,daily,tmmn,blmwarre
2,15,17.672,9.7819,18.23,-8.41,30.29,11.57,24.935,daily,tmmn,blmwarre
2,16,19.622,11.787,22.73,-13.45,35.87,14.72,26.42,daily,tmmn,blmwarre
2,17,19.766,12.7115,22.46,-19.75,36.95,18.05,26.78,daily,tmmn,blmwarre
2,18,19.022,13.1403,21.47,-19.39,38.03,14.18,27.995,daily,tmmn,blmwarre
2,19,18.674,11.951,21.02,-12.37,35.87,16.115,24.98,daily,tmmn,blmwarre
2,20,18.05,11.0517,21.74,-12.73,35.33,13.325,24.35,daily,tmmn,blmwarre
2,21,17.846,10.9577,20.48,-7.51,34.97,11.435,25.925,daily,tmmn,blmwarre
2,22,18.482,10.2674,20.93,-3.91,33.35,10.94,25.25,daily,tmmn,blmwarre
2,23,17.048,9.6277,19.67,-6.43,31.01,11.21,23.54,daily,tmmn,blmwarre
2,24,16.178,11.6823,18.59,-10.03,32.63,12.92,23.54,daily,tmmn,blmwarre
2,25,15.338,13.1832,19.31,-10.93,36.23,4.64,23.045,daily,tmmn,blmwarre
2,26,15.008,11.0324,17.06,-7.51,32.09,11.255,23.225,daily,tmmn,blmwarre
2,27,16.634,10.6776,16.25,-12.01,35.87,8.105,24.485,daily,tmmn,blmwarre
