month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,63.2032,12.3789,64.5,38.9,80.7,54.6,74.7,daily,srad,ebarllob
1,2,55.9933,16.6552,59.4,25.6,81.6,38.25,69,daily,srad,ebarllob
1,3,59.5233,15.6112,60.5,34.1,81.8,46,75.325,daily,srad,ebarllob
1,4,57.5067,16.2497,54.85,23,83.4,48.175,70.675,daily,srad,ebarllob
1,5,56.0267,16.2739,55.7,29.7,83.9,42.925,68.15,daily,srad,ebarllob
1,6,59.8367,14.9044,62.45,24.7,81.3,55.825,69.1,daily,srad,ebarllob
1,7,59.17,14.4867,55.15,37,85.5,50.725,64.425,daily,srad,ebarllob
1,8,56.4533,15.8928,57.95,26.5,82.8,48.075,69.9,daily,srad,ebarllob
1,9,57.95,17.2451,63.1,28.9,86.3,42,71.25,daily,srad,ebarllob
1,10,59.2933,16.212,61.2,27.5,85.2,44.225,71.4,daily,srad,ebarllob
1,11,64.2767,17.1691,63.25,29.3,88.3,53.65,78.4,daily,srad,ebarllob
1,12,63.0733,17.4591,66.15,40.9,92,45.65,76.65,daily,srad,ebarllob
1,13,61.88,18.6106,61.25,31.5,89.7,44.475,79.4,daily,srad,ebarllob
1,14,63.06,18.5202,66.8,32.4,93.1,46.8,76.225,daily,srad,ebarllob
1,15,69.2733,18.5326,70.8,32,91.2,62.275,85.6,daily,srad,ebarllob
1,16,69.4533,18.138,72.85,35,93.4,52.5,85.55,daily,srad,ebarllob
1,17,65.92,17.7536,64.5,36.8,92.6,52.55,80.725,daily,srad,ebarllob
1,18,68.53,21.2631,71.75,25.1,96,52.9,91.225,daily,srad,ebarllob
1,19,73.7067,14.7374,71.95,43,97.4,62.2,85.05,daily,srad,ebarllob
1,20,74.9933,18.2655,77.4,37.2,98.1,63.3,91.7,daily,srad,ebarllob
1,21,72.48,19.5828,77,39,100.5,55.85,87.3,daily,srad,ebarllob
1,22,69.2667,18.2921,70.15,38.3,99.5,53.75,82.05,daily,srad,ebarllob
1,23,75.8933,20.0708,78.6,31.7,102.6,58.875,92.2,daily,srad,ebarllob
1,24,77.8933,19.8927,81.75,35.9,101.3,66.85,96,daily,srad,ebarllob
1,25,71.6967,22.712,76.65,34.6,102.7,49.575,89.975,daily,srad,ebarllob
1,26,74.0333,21.6387,72.15,40.8,111.2,55.775,90.45,daily,srad,ebarllob
1,27,80.3133,19.9138,80.9,33.7,108.7,67.25,99.625,daily,srad,ebarllob
1,28,78.7867,22.2323,82.65,35.8,109.4,58.25,100.35,daily,srad,ebarllob
1,29,82.36,20.0698,86.95,49.9,112.4,62.5,98.65,daily,srad,ebarllob
1,30,81.06,21.0104,77.55,35.7,116.3,67.075,97.525,daily,srad,ebarllob
1,31,72.6667,24.2274,70.95,32.4,113.4,53.225,94.3,daily,srad,ebarllob
2,1,93.3633,22.0437,94.75,48.6,123.2,75.025,113.95,daily,srad,ebarllob
2,2,90.1733,25.3604,95.75,43.2,126.3,71.75,111.575,daily,srad,ebarllob
2,3,96.1467,27.4656,104.9,37.6,125.1,70.225,121.4,daily,srad,ebarllob
2,4,91.75,26.5333,88.9,41.9,128.7,68.55,116.675,daily,srad,ebarllob
2,5,90.0467,30.4576,88.65,38.7,130.8,65.75,121.525,daily,srad,ebarllob
2,6,94.8633,22.7001,97.25,50.2,136.5,81.15,107.2,daily,srad,ebarllob
2,7,98.5933,24.4408,100.8,46.3,134.5,78.625,119.375,daily,srad,ebarllob
2,8,97.8533,25.9447,95.65,49.5,137.8,85.1,121.925,daily,srad,ebarllob
2,9,89.9533,25.8263,83.05,41.5,133.4,70.275,114.05,daily,srad,ebarllob
2,10,101.1267,30.852,106.15,41.4,141.7,74.925,130.625,daily,srad,ebarllob
2,11,106.51,25.0014,108.7,53.9,143.1,91.825,125.875,daily,srad,ebarllob
2,12,103.19,31.2509,108.9,45.6,143.4,79.675,131.625,daily,srad,ebarllob
2,13,97.5567,25.3126,96.85,47.1,133.7,78.225,120.675,daily,srad,ebarllob
2,14,105.5333,27.4824,110.5,48,147.7,84.7,120.475,daily,srad,ebarllob
2,15,104.4267,31.2577,106.25,55,149.6,77.8,132.15,daily,srad,ebarllob
2,16,113.8467,22.9617,109.35,73.2,157.6,95.875,133.125,daily,srad,ebarllob
2,17,117.0633,26.3811,115.65,72.6,163.2,99.55,134.45,daily,srad,ebarllob
2,18,107.1867,29.3716,109.75,38.4,160.6,86.1,128.525,daily,srad,ebarllob
2,19,115.4533,29.8244,115.85,55.4,162.9,95.55,142.95,daily,srad,ebarllob
2,20,115.8333,32.1423,114.15,53.9,165.9,94.025,147.5,daily,srad,ebarllob
2,21,122.1967,33.92,129.2,59.5,165.8,96.8,153.075,daily,srad,ebarllob
2,22,121.2567,32.5828,120.85,64,166.6,95.7,147.825,daily,srad,ebarllob
2,23,127.29,29.1836,129.55,50.5,170.7,117.9,138.225,daily,srad,ebarllob
2,24,121.1433,32.9361,117.2,61.6,176.5,95.175,146.35,daily,srad,ebarllob
2,25,129.0433,33.8379,133,65,179.2,99.85,160.075,daily,srad,ebarllob
2,26,137.5533,31.4316,144.25,67.9,182.5,112.625,159.825,daily,srad,ebarllob
2,27,130.5667,33.7847,131.05,73.2,185.5,101.625,157.65,daily,srad,ebarllob
2,28,137.4833,38.5525,137.85,74.3,186.5,100.425,174.375,daily,srad,ebarllob
2,29,135.4,29.8781,132.55,96.4,179.2,116.25,158.125,daily,srad,ebarllob
3,1,139.3367,34.0359,135.25,64,195.1,115.975,158.3,daily,srad,ebarllob
3,2,141.7067,38.8903,137.85,68.8,202.8,111.725,177.45,daily,srad,ebarllob
3,3,141.9833,38.473,143.75,71,197.3,119.1,175.075,daily,srad,ebarllob
3,4,155.8967,31.1095,161.15,90.8,204.5,143.325,172.05,daily,srad,ebarllob
3,5,141.4233,39.2613,144.9,62.8,200.3,114.55,175.45,daily,srad,ebarllob
3,6,154.7367,36.5744,147.9,90,208.3,128.225,188.85,daily,srad,ebarllob
3,7,156.9067,42.0807,164.5,62.1,213.8,132.125,189.975,daily,srad,ebarllob
3,8,160.32,34.2205,154.1,94.8,215.1,137.775,188.3,daily,srad,ebarllob
3,9,155.5167,34.5068,151.35,99.5,216.5,128.15,186.55,daily,srad,ebarllob
3,10,169.9033,33.2146,166.55,107.5,217.5,145.55,200.2,daily,srad,ebarllob
3,11,154.35,43.1477,147.6,71.2,222.6,122.975,197.625,daily,srad,ebarllob
3,12,167.4133,48.1486,169.95,76.4,228.6,126.9,217.45,daily,srad,ebarllob
