month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,63.5194,12.2847,63.9,40.1,80.6,56.45,75.45,daily,srad,lubrecht
1,2,56.0667,16.5308,58.7,24.3,81.6,37.75,69,daily,srad,lubrecht
1,3,60.0133,15.0604,62.15,34.6,81.8,45.925,75.575,daily,srad,lubrecht
1,4,57.7233,15.8099,54.75,23,83,48.475,70.475,daily,srad,lubrecht
1,5,56.28,16.1513,56.7,30.6,83.7,42.1,68,daily,srad,lubrecht
1,6,59.72,15.0628,61.6,24.2,81.8,54.6,69.375,daily,srad,lubrecht
1,7,59.2033,14.4656,56.6,37.3,85.4,48.6,65.125,daily,srad,lubrecht
1,8,56.6133,15.8689,58.9,26.8,82.7,47.45,69.875,daily,srad,lubrecht
1,9,57.7467,17.393,62.65,28,86.2,42.5,71.075,daily,srad,lubrecht
1,10,59.24,16.2399,61.55,27.1,85.1,44.25,72.2,daily,srad,lubrecht
1,11,64.31,16.8747,63.55,29.2,87.3,55.125,78.375,daily,srad,lubrecht
1,12,63.1867,17.2852,66.65,39.8,91.9,46.4,76.25,daily,srad,lubrecht
1,13,61.8133,18.6717,61.5,31.5,89.6,44.65,79.125,daily,srad,lubrecht
1,14,63.3033,17.9083,66.05,35.1,92.9,46.7,76.45,daily,srad,lubrecht
1,15,69.5867,18.1267,71.1,32.3,91.2,62.475,85.575,daily,srad,lubrecht
1,16,69.5133,17.8069,72,35.5,93.2,54.65,85,daily,srad,lubrecht
1,17,66.4667,17.2319,65.45,38.5,92.6,52,80.35,daily,srad,lubrecht
1,18,69.09,21.0829,71.05,25.1,95.8,54.125,91.05,daily,srad,lubrecht
1,19,74.4567,14.6129,71.4,43.2,97.4,64.275,87.3,daily,srad,lubrecht
1,20,75.0467,18.1968,78.85,37.6,98,61.175,91.925,daily,srad,lubrecht
1,21,73.09,19.1804,76.65,40,100.1,59.275,87.925,daily,srad,lubrecht
1,22,69.3233,18.4507,71,38.5,99.4,53.425,81.675,daily,srad,lubrecht
1,23,76.1567,20.1869,80,31.9,102.5,59.45,92.575,daily,srad,lubrecht
1,24,78.12,19.2906,81.8,35.9,100.6,66.525,95.825,daily,srad,lubrecht
1,25,71.9667,22.6068,76.55,35,102.5,50.7,90.275,daily,srad,lubrecht
1,26,74.11,21.5287,71.25,38.9,111,55.7,89.6,daily,srad,lubrecht
1,27,80.3167,20.0008,80.3,34.1,108.5,68.625,99.925,daily,srad,lubrecht
1,28,78.6433,22.6846,81.2,35.8,109.2,57.9,100.65,daily,srad,lubrecht
1,29,82.3867,19.6016,86.9,51.9,112.2,61.875,98.55,daily,srad,lubrecht
1,30,81.0833,20.5457,79.05,35.4,115.7,67.1,97.025,daily,srad,lubrecht
1,31,72.72,24.2162,72.55,32.2,113.2,53.45,92.95,daily,srad,lubrecht
2,1,92.1767,20.8744,91.75,45.8,120.9,74.9,111.6,daily,srad,lubrecht
2,2,89.14,24.8634,94.45,41.8,124.1,71,109.825,daily,srad,lubrecht
2,3,95.2967,26.2176,102.9,36.8,123,71.175,119.225,daily,srad,lubrecht
2,4,90.85,25.5391,87.55,42.3,126.4,71.15,114.925,daily,srad,lubrecht
2,5,88.72,29.8423,87.65,38.4,128.3,65.45,119.25,daily,srad,lubrecht
2,6,94.0367,21.4531,96.95,49.7,133.9,78.825,106.15,daily,srad,lubrecht
2,7,97.0767,23.6594,98.15,46.5,131.9,77.575,116.425,daily,srad,lubrecht
2,8,96.0433,25.4436,94.55,49.2,135.1,84,119.525,daily,srad,lubrecht
2,9,89.6667,24.9767,85.65,42.8,131.6,71.525,111.025,daily,srad,lubrecht
2,10,99.7533,30.0732,104.75,39.7,139,75.8,128.625,daily,srad,lubrecht
2,11,105.9033,23.7279,108.15,53.8,140.5,90.425,124.3,daily,srad,lubrecht
2,12,101.6933,30.607,108.25,44.2,140.5,79.5,130.7,daily,srad,lubrecht
2,13,96.01,24.4084,96.85,44.4,132.2,78,115.85,daily,srad,lubrecht
2,14,104.1633,26.4933,108.45,47.8,145.1,84.7,118.925,daily,srad,lubrecht
2,15,103.3267,30.386,106.25,55,146.6,79.475,131.325,daily,srad,lubrecht
2,16,112.3333,22.4678,109.25,69.7,153.5,94.95,130.025,daily,srad,lubrecht
2,17,115.42,25.7971,115.05,72.4,160,96.9,132.075,daily,srad,lubrecht
2,18,106.7867,28.5078,108.35,39.1,156.7,85.675,128.075,daily,srad,lubrecht
2,19,114.3333,28.7491,113.2,55.3,159.7,96.625,139.925,daily,srad,lubrecht
2,20,114.28,31.106,112.8,53.9,162.5,93.3,143.675,daily,srad,lubrecht
2,21,120.9667,32.5754,127.45,60.3,162.8,100.75,150.4,daily,srad,lubrecht
2,22,119.13,31.7159,117.4,62.8,163.9,93.675,147.275,daily,srad,lubrecht
2,23,125.8067,28.6098,127.7,49.8,167.6,116.2,137.675,daily,srad,lubrecht
2,24,119.2033,32.2956,114.65,61.2,173.1,94.475,144.35,daily,srad,lubrecht
2,25,127.56,33.4349,130.15,61.7,175.6,99.95,156.325,daily,srad,lubrecht
2,26,135.7733,30.642,142.15,67.2,179,115.05,156,daily,srad,lubrecht
2,27,129.5667,33.1509,134.45,75,182,99.6,155.35,daily,srad,lubrecht
2,28,135.8567,37.81,136.9,73.2,183,102.775,171.95,daily,srad,lubrecht
2,29,135.2125,27.8466,133.1,98.5,175.6,117.2,156,daily,srad,lubrecht
3,1,138.6033,32.9994,131,62.6,192.9,116.9,157.4,daily,srad,lubrecht
3,2,140.7667,38.1389,135.4,67,200.6,110.55,175.45,daily,srad,lubrecht
3,3,140.9533,37.7772,143.5,69.7,195.2,118.425,174.3,daily,srad,lubrecht
3,4,155.6967,29.8623,162.15,91.3,198.5,142.925,170.5,daily,srad,lubrecht
3,5,141.6033,38.5235,147.65,63.3,198.2,112.225,173.75,daily,srad,lubrecht
3,6,154.1567,36.2479,149.95,89.6,206.7,128.6,191.45,daily,srad,lubrecht
3,7,155.8333,41.6839,163.9,60.7,211.6,133.175,186,daily,srad,lubrecht
3,8,160.4433,33.0948,152.5,93.3,212.9,142.75,186.55,daily,srad,lubrecht
3,9,155.7267,34.3697,150.15,99.1,214.4,125.875,185.2,daily,srad,lubrecht
3,10,169.2667,32.3332,165.25,108,215.9,145.7,200.125,daily,srad,lubrecht
3,11,153.7567,41.7574,145.05,73.8,220.3,125.05,195.7,daily,srad,lubrecht
3,12,167.55,45.9394,170.9,76.4,225.7,130.45,216.425,daily,srad,lubrecht
3,13,168.74,45.8501,174.4,74,227.9,139.35,210.825,daily,srad,lubrecht
3,14,160.6533,41.6407,154.45,77.6,225.6,129.375,191.65,daily,srad,lubrecht
3,15,160.2767,37.7572,157.4,90.3,221.2,133.125,192.85,daily,srad,lubrecht
3,16,163.7967,40.3542,170,77.7,236.6,136.1,192.425,daily,srad,lubrecht
3,17,164.35,42.5165,165.5,82.3,238.4,134.25,201.325,daily,srad,lubrecht
3,18,161.9633,42.7225,153.95,84,241.5,130.6,193.8,daily,srad,lubrecht
3,19,181.8967,45.6228,184.9,95.8,243.7,152.35,220.2,daily,srad,lubrecht
3,20,184.4633,40.5006,182.2,104.3,245.8,153.95,219.75,daily,srad,lubrecht
3,21,185.1533,38.895,187.7,97.6,252.1,169.675,207.2,daily,srad,lubrecht
3,22,188.6867,44.75,195.45,76.4,250.2,161.175,229.55,daily,srad,lubrecht
3,23,175.51,47.6527,186.3,81.3,252.6,136.475,210.85,daily,srad,lubrecht
3,24,192.69,34.3578,192.15,122.5,252.9,176.7,211.9,daily,srad,lubrecht
3,25,197.1933,46.9351,202.3,81.2,260,160.925,239.5,daily,srad,lubrecht
3,26,179.51,42.0262,182.6,93.6,245.2,147.075,210.675,daily,srad,lubrecht
3,27,181.6733,42.8035,171.1,103,257.8,162.65,202.325,daily,srad,lubrecht
3,28,175.1867,44.8452,177.6,99.4,270.1,135.85,200.825,daily,srad,lubrecht
3,29,182.66,44.1015,188,114.4,273.7,145.25,204.525,daily,srad,lubrecht
3,30,205.8467,54.1787,218.2,83.6,273.6,165.975,254.15,daily,srad,lubrecht
3,31,214.8767,44.0357,218,108.2,275.7,190.65,248.7,daily,srad,lubrecht
4,1,195.17,40.3544,199.55,116.7,265.8,164.15,230.925,daily,srad,lubrecht
