month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,64.8226,11.1079,70.3,40.2,77.6,58.9,73.4,daily,srad,mbmgtech
1,2,60.8433,11.8438,61.15,40.1,78.6,51.025,70.775,daily,srad,mbmgtech
1,3,62.4533,10.6157,61.7,35.7,78.4,54.75,72.45,daily,srad,mbmgtech
1,4,63.09,12.2012,62.75,37.5,79.7,55.9,74.075,daily,srad,mbmgtech
1,5,59.59,14.7804,59.45,29.9,79.8,46.45,75.15,daily,srad,mbmgtech
1,6,63.8567,10.8014,64.75,42.3,79.9,56.175,72.275,daily,srad,mbmgtech
1,7,63.6867,11.4769,62.7,37,81.2,54.975,74.375,daily,srad,mbmgtech
1,8,60.5633,11.8394,61.5,37.7,79.4,52.075,70.5,daily,srad,mbmgtech
1,9,63.5933,12.4618,64.65,42.8,81.7,53.925,75.425,daily,srad,mbmgtech
1,10,63.0367,13.7511,67.25,30.3,81.4,54.125,72.375,daily,srad,mbmgtech
1,11,67.43,12.8446,70.15,35.7,82.3,59.225,78.025,daily,srad,mbmgtech
1,12,67.1167,12.3983,69.85,41.9,87.1,57.575,77.175,daily,srad,mbmgtech
1,13,67.0433,13.2212,67.3,39.8,86.5,57.6,77.8,daily,srad,mbmgtech
1,14,70.7867,12.6537,71.2,36,88.6,65.275,80.4,daily,srad,mbmgtech
1,15,73.5633,12.2983,78.75,49.5,87.8,68.175,82.85,daily,srad,mbmgtech
1,16,72.7367,11.7072,72.8,51.5,88.6,63.425,84,daily,srad,mbmgtech
1,17,72.2467,13.5213,77.8,48.6,88.7,58.925,84.075,daily,srad,mbmgtech
1,18,72.1467,15.519,78.05,41.8,90.4,58.7,86.175,daily,srad,mbmgtech
1,19,77.05,10.5163,77.4,51.7,94,69.975,85,daily,srad,mbmgtech
1,20,76.59,13.4811,79.5,49,93.3,69.525,87.175,daily,srad,mbmgtech
1,21,77.8633,12.1999,77.2,52.9,94.6,68.925,90.9,daily,srad,mbmgtech
1,22,75.34,12.6277,78.85,49.8,94.8,65.725,84.625,daily,srad,mbmgtech
1,23,80.18,14.8355,82.8,46.2,97.6,72.7,92.625,daily,srad,mbmgtech
1,24,80.3,14.5822,83.6,36.6,95.6,72.1,91.725,daily,srad,mbmgtech
1,25,77.0167,16.6211,80.75,43.7,99.1,63.575,91.925,daily,srad,mbmgtech
1,26,78.6333,16.3747,80.35,38.2,104.6,66.35,90.7,daily,srad,mbmgtech
1,27,82.66,16.0665,83.4,42.4,103,75.875,94.325,daily,srad,mbmgtech
1,28,83.4433,16.3945,85.6,42.4,103.5,69.325,99.225,daily,srad,mbmgtech
1,29,85.71,15.6534,90.15,48.3,105.5,76.1,99.05,daily,srad,mbmgtech
1,30,83.0167,17.9956,83.7,45.3,109.1,73.325,97.725,daily,srad,mbmgtech
1,31,79.6067,21.6498,84.05,33.1,106.9,65.05,97.55,daily,srad,mbmgtech
2,1,89.3,16.4195,92.05,52.1,110.6,82.1,103.075,daily,srad,mbmgtech
2,2,87.2367,18.8809,94.95,49.3,112.7,69.675,103.575,daily,srad,mbmgtech
2,3,94.2733,18.2524,99.6,41.8,113.6,86.325,106.975,daily,srad,mbmgtech
2,4,91.8267,15.8653,92.75,63.2,115.9,78.825,105.55,daily,srad,mbmgtech
2,5,90.0567,21.4221,88.6,40.6,118,73.925,110.55,daily,srad,mbmgtech
2,6,95.5333,17.4735,98.45,53.9,120.6,88.2,107.9,daily,srad,mbmgtech
2,7,97.02,17.8395,98.1,43.4,121.4,89.725,110.75,daily,srad,mbmgtech
2,8,96.8433,20.6784,100.4,49.7,124.6,89.075,114.5,daily,srad,mbmgtech
2,9,94.94,20.5851,102.95,45.5,121.5,78.775,112.075,daily,srad,mbmgtech
2,10,98.6667,24.0802,106.35,42.3,127.1,84.325,114.8,daily,srad,mbmgtech
2,11,101.8067,17.8298,102,68.1,127.7,86.825,119.75,daily,srad,mbmgtech
2,12,104.59,20.4261,109.6,51.1,129.3,86.925,121.9,daily,srad,mbmgtech
2,13,99.1333,21.0237,102.2,56.4,128.9,86,117.9,daily,srad,mbmgtech
2,14,103.3533,20.538,105.65,53.1,131.4,86.725,121.175,daily,srad,mbmgtech
2,15,106.2267,22.9619,111.65,61,133.3,87.625,123.725,daily,srad,mbmgtech
2,16,107.9,18.4985,109.3,71.9,138.6,94.45,125.1,daily,srad,mbmgtech
2,17,113.03,21.1035,116.25,72.6,141.9,104.175,129.25,daily,srad,mbmgtech
2,18,109.2967,21.4562,108.3,62.8,144.6,97.9,129.05,daily,srad,mbmgtech
2,19,115.3733,20.4552,116.4,74.5,144.2,98.625,133.325,daily,srad,mbmgtech
2,20,117.9667,20.4565,117,73.5,146.4,103.125,135.75,daily,srad,mbmgtech
2,21,121.9867,21.3851,125.75,72.7,146.4,110.375,139.175,daily,srad,mbmgtech
2,22,118.7633,23.5176,118.9,78.7,150.1,103.575,142.275,daily,srad,mbmgtech
2,23,119.2067,24.214,119.85,69.7,152.9,101.025,143.6,daily,srad,mbmgtech
2,24,116.42,25.0318,118.6,72.3,155,98.35,138.1,daily,srad,mbmgtech
2,25,127.8,22.5388,130.55,64.7,157.8,119.425,144.4,daily,srad,mbmgtech
2,26,129.03,24.6061,135.25,77,161.8,113.025,145.9,daily,srad,mbmgtech
2,27,130.69,22.0438,135.75,91.1,164.2,110.5,149.475,daily,srad,mbmgtech
2,28,131.6633,27.0428,135.9,79,166.2,106.675,157.675,daily,srad,mbmgtech
2,29,124.4625,31.5292,130.85,66.7,160.3,103.95,147.9,daily,srad,mbmgtech
3,1,138.7067,24.8604,139.15,87.7,178.9,119.325,153.475,daily,srad,mbmgtech
3,2,142.34,28.2663,144.25,74.8,180.8,127.825,166.275,daily,srad,mbmgtech
3,3,142.1767,23.0085,141.1,93.2,184.4,124.9,159.475,daily,srad,mbmgtech
3,4,153.2933,24.0067,158.45,100.9,182,140.65,173.1,daily,srad,mbmgtech
3,5,149.28,25.5962,149.8,92.8,184.4,131.25,170.4,daily,srad,mbmgtech
3,6,153.0933,29.6947,158.95,98,187.7,127.675,180.45,daily,srad,mbmgtech
3,7,156.08,31.0341,157.6,85.5,193,136,184.425,daily,srad,mbmgtech
3,8,159.1667,27.8697,163.85,85.8,194.2,141.7,178.275,daily,srad,mbmgtech
3,9,156.3133,33.6606,163.8,66.7,197.4,131.35,185.525,daily,srad,mbmgtech
3,10,162.8367,30.3124,166.6,110.2,199.8,135.2,191.775,daily,srad,mbmgtech
3,11,156.3333,29.4614,152.8,107.6,204.8,133.8,186.725,daily,srad,mbmgtech
3,12,170.54,31.5146,174.35,113.2,205.9,141.225,199.625,daily,srad,mbmgtech
3,13,164.4067,34.8875,166,70.9,207.3,147.6,197.325,daily,srad,mbmgtech
3,14,158.26,35.6974,166.6,85.9,204.2,129.65,190.175,daily,srad,mbmgtech
3,15,164.9767,29.8704,170.2,94.3,212.2,143.2,187.25,daily,srad,mbmgtech
3,16,164.6533,35.239,172.15,90.6,214.7,141.2,192.625,daily,srad,mbmgtech
3,17,155.8767,35.5985,150.65,94.3,208,136.225,190.95,daily,srad,mbmgtech
3,18,162.1133,36.7152,162.5,95.9,219.6,134.725,191.475,daily,srad,mbmgtech
3,19,178.91,35.4394,187.2,113.2,223.1,148.975,210.375,daily,srad,mbmgtech
3,20,175.9933,35.8157,167.8,91.9,226.1,156.375,214.025,daily,srad,mbmgtech
3,21,186.17,29.9881,192.65,111.3,230.5,168,202.475,daily,srad,mbmgtech
3,22,182.5933,35.6746,192.95,98,229.8,159.125,214.3,daily,srad,mbmgtech
3,23,171.0467,42.6916,177.4,92.3,231.4,136.85,207.875,daily,srad,mbmgtech
3,24,189.1733,28.1847,187.2,115.3,230.3,180.25,210.925,daily,srad,mbmgtech
3,25,193.9367,33.1032,191.75,127.5,239.7,169.6,228.4,daily,srad,mbmgtech
3,26,189.6,30.1729,196.45,127.2,236.2,171.825,213.675,daily,srad,mbmgtech
3,27,177.3567,37.6749,177.65,112,238.8,153.4,202.7,daily,srad,mbmgtech
3,28,173.6233,39.3265,173.9,83.6,242.1,150.75,206.375,daily,srad,mbmgtech
3,29,186.5167,39.271,194.35,113.5,248.3,158.2,218.475,daily,srad,mbmgtech
3,30,193.9133,42.8602,195.1,106.8,248,158.125,233.375,daily,srad,mbmgtech
3,31,210.7667,27.9498,216.6,154,250.4,187.375,233.425,daily,srad,mbmgtech
4,1,187.9367,36.2191,190,117,242.7,150.025,218.3,daily,srad,mbmgtech
4,2,201.66,35.8716,212.75,115,252.4,182.4,231.475,daily,srad,mbmgtech
4,3,198.6533,41.5855,206.6,106.3,251.8,166,234.875,daily,srad,mbmgtech
4,4,189.3867,40.9318,196.25,92.8,255.7,151.875,217.75,daily,srad,mbmgtech
4,5,191.9933,43.4691,198.9,101.7,257.8,166.05,224.275,daily,srad,mbmgtech
4,6,195.5,37.7766,202.05,113.9,262.7,172.225,219.15,daily,srad,mbmgtech
4,7,200.9567,41.426,211.05,99.3,261.7,179.45,222.675,daily,srad,mbmgtech
4,8,202.9633,38.7571,207.4,123.5,261.9,172.725,228.6,daily,srad,mbmgtech
4,9,199.2867,40.2012,198.75,112.3,258.9,167.775,229.625,daily,srad,mbmgtech
4,10,203.2833,42.7383,207.9,100.4,268.3,185.6,230.425,daily,srad,mbmgtech
4,11,209.35,38.3415,203.65,119.6,263.8,179.875,242.3,daily,srad,mbmgtech
4,12,207.68,43.8265,216.55,90.8,277.9,175.725,233.775,daily,srad,mbmgtech
4,13,209.6333,39.9449,213.3,135.2,274.5,179.925,248.65,daily,srad,mbmgtech
4,14,200.8967,41.9291,196.5,122.9,270,173.075,232.35,daily,srad,mbmgtech
4,15,206.2733,41.3203,199.5,123.5,279.2,173.25,235.25,daily,srad,mbmgtech
4,16,222.3133,44.7792,232.2,139.2,279.8,183.175,263.675,daily,srad,mbmgtech
4,17,214.13,46.3377,214.65,110.5,282.8,185.975,244.2,daily,srad,mbmgtech
4,18,226.3567,38.7529,223.7,131,287.4,205.125,253.825,daily,srad,mbmgtech
4,19,219.9,47.1952,220.85,112.2,290.6,191.6,255.8,daily,srad,mbmgtech
4,20,236.34,48.9437,248.7,126.1,289.2,198.125,279.65,daily,srad,mbmgtech
4,21,235.36,45.9672,250.3,121,284.6,215.775,275.425,daily,srad,mbmgtech
4,22,238.82,44.7361,249.7,106.2,290.8,208.25,277.2,daily,srad,mbmgtech
4,23,216.8833,49.614,202.95,139.4,295.6,177.425,264.3,daily,srad,mbmgtech
4,24,233.6067,44.9778,230.35,115.2,299.5,203.55,273.6,daily,srad,mbmgtech
4,25,223.4767,50.5723,225.05,126.9,289,180.625,275.9,daily,srad,mbmgtech
4,26,230.01,49.0301,221.55,124.6,301.7,200.475,274.675,daily,srad,mbmgtech
4,27,224.7467,55.8145,233.9,111.1,299.8,195.5,270.175,daily,srad,mbmgtech
4,28,224.6733,51.0282,225.35,125.5,300.1,184.625,265.85,daily,srad,mbmgtech
4,29,235.9533,49.9282,233.3,143.7,306,197.55,281.175,daily,srad,mbmgtech
