month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,55.7323,9.4948,55.4,37.8,77.6,51.65,62.55,daily,rmin,mdacharl
1,2,52.4533,10.3287,53.65,34,84.4,45.375,58.65,daily,rmin,mdacharl
1,3,54.57,13.9436,53.9,28.3,100,46.85,60.675,daily,rmin,mdacharl
1,4,52.4033,10.9235,52.7,25.9,89,46.275,57.575,daily,rmin,mdacharl
1,5,54.9833,11.2961,53.15,41.7,97.2,47.7,58.5,daily,rmin,mdacharl
1,6,55.8333,9.3876,56.85,27.6,70.2,50,62.375,daily,rmin,mdacharl
1,7,56.44,10.7559,52.9,44.1,90.2,51.225,61.175,daily,rmin,mdacharl
1,8,56.69,13.761,56.6,25.2,100,51.425,62.675,daily,rmin,mdacharl
1,9,58.1367,9.7448,57.35,38.9,79.3,52.225,61.9,daily,rmin,mdacharl
1,10,55.5167,6.5807,56.2,42.5,65.6,50.8,60.925,daily,rmin,mdacharl
1,11,56.8767,11.8732,56.55,39.1,100,49.825,61.025,daily,rmin,mdacharl
1,12,53.77,9.7887,54.75,31.3,71.1,48.15,59.5,daily,rmin,mdacharl
1,13,56.5367,10.1988,56.35,32.4,89,49.875,61.05,daily,rmin,mdacharl
1,14,55.6567,10.9144,52.35,41.8,95.7,49.35,58.3,daily,rmin,mdacharl
1,15,54.45,14.4397,52.9,33,100,47.125,57.7,daily,rmin,mdacharl
1,16,55.7,13.5782,54.05,29.7,100,48.375,58.025,daily,rmin,mdacharl
1,17,55.8533,13.5673,55.3,33.4,98.1,50.025,58.225,daily,rmin,mdacharl
1,18,52.3067,9.4263,52.55,29.3,72.6,48.025,58.025,daily,rmin,mdacharl
1,19,54.35,10.3016,55.65,27.1,73.9,48,61.35,daily,rmin,mdacharl
1,20,53.5033,11.9674,53.55,24.9,83.5,45.125,61.425,daily,rmin,mdacharl
1,21,50.7567,9.8506,52.6,23.5,70.1,44.925,57.45,daily,rmin,mdacharl
1,22,52.1967,9.4657,53.05,22.5,71.3,48.725,56.425,daily,rmin,mdacharl
1,23,53.7867,11.4686,54.55,28.6,79.8,48.25,61.15,daily,rmin,mdacharl
1,24,51.6433,8.3854,53.2,31.9,65.6,47.025,57.175,daily,rmin,mdacharl
1,25,52.23,10.0425,52.3,32.3,75.1,45.475,59.775,daily,rmin,mdacharl
1,26,53.2467,11.2885,51.5,31.5,79.5,45.325,60.55,daily,rmin,mdacharl
1,27,53.49,8.5678,51.75,36.1,67.9,48.825,61.75,daily,rmin,mdacharl
1,28,53.4833,7.8324,53.25,38.3,70.5,47.95,60.5,daily,rmin,mdacharl
1,29,53.63,8.7378,52.6,32.8,67.9,48.7,60.025,daily,rmin,mdacharl
1,30,52.2633,10.9085,51.8,28.9,74.8,44.15,57.9,daily,rmin,mdacharl
