month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,45.8355,9.3683,46.4,30.1,64.8,38,51.1,daily,rmin,mdamiles
1,2,43.9367,10.2455,45.45,20.7,68.7,36.675,50.475,daily,rmin,mdamiles
1,3,47.04,15.6991,43.85,19.5,100,37.125,49.775,daily,rmin,mdamiles
1,4,45,14.5998,41.8,22.4,89.3,34.825,53.3,daily,rmin,mdamiles
1,5,45.2667,11.2946,43.6,24.1,73.5,37.85,50.25,daily,rmin,mdamiles
1,6,44.81,11.7506,45.6,10.8,75.6,39.025,49.75,daily,rmin,mdamiles
1,7,46.3833,10.5427,44.5,20.6,70.8,40.45,52,daily,rmin,mdamiles
1,8,47.1,10.5808,46.35,22.9,77.2,41,52.975,daily,rmin,mdamiles
1,9,45.46,13.0111,44.2,22.6,78.2,37.65,49.725,daily,rmin,mdamiles
1,10,44.8467,13.0491,42.1,27.2,89.3,37.675,48.575,daily,rmin,mdamiles
1,11,45.31,12.2402,44.8,27.4,87.2,38.9,49.275,daily,rmin,mdamiles
1,12,43.2767,8.2761,44,28,64.4,39.125,47.5,daily,rmin,mdamiles
1,13,44.3533,11.553,43,27.5,88.5,37.375,49.3,daily,rmin,mdamiles
1,14,48.5633,11.8336,49.1,30.7,95.3,41.425,52.55,daily,rmin,mdamiles
1,15,46.1633,9.0823,45.1,23.7,65.2,40.4,52.75,daily,rmin,mdamiles
1,16,44.7067,10.9745,44.5,17,83.9,40.05,49.375,daily,rmin,mdamiles
1,17,45.0433,9.087,44.25,22.1,68,39.65,49.625,daily,rmin,mdamiles
1,18,46.77,9.6502,44.65,26.1,68.6,40.925,54.3,daily,rmin,mdamiles
1,19,44.9533,8.6517,45.05,22,61.2,40.425,50.025,daily,rmin,mdamiles
1,20,45.4733,9.1387,46.45,20,60.1,38.975,51.625,daily,rmin,mdamiles
1,21,46.1633,10.5735,44.75,18.5,75.4,40.775,50.675,daily,rmin,mdamiles
1,22,44.8033,9.2473,44.8,19.3,67.7,39.9,49.9,daily,rmin,mdamiles
1,23,44.1867,9.9254,43.95,14.5,62.8,40.85,51,daily,rmin,mdamiles
1,24,45.2933,9.4924,42.85,31.7,64,38.275,50.775,daily,rmin,mdamiles
1,25,44.53,10.369,43.9,30.4,74.4,36.05,50.7,daily,rmin,mdamiles
1,26,44.6967,10.1745,44.75,28,74.5,39.725,47.975,daily,rmin,mdamiles
1,27,45.0367,10.3463,44,23.7,66.6,40.35,50.625,daily,rmin,mdamiles
1,28,43.43,9.3232,43.3,25.1,65.5,39.8,47.075,daily,rmin,mdamiles
1,29,44.7733,12.698,41.8,22.9,77.5,36.525,55.45,daily,rmin,mdamiles
1,30,45.66,13.2009,44.85,24,91.1,39.275,48.325,daily,rmin,mdamiles
1,31,42.2733,11.9917,42.75,23.1,68.4,35.15,46.575,daily,rmin,mdamiles
2,1,43.09,14.9648,43.35,15.7,74.5,31.4,50.4,daily,rmin,mdamiles
2,2,45.6533,13.7691,48.85,16.7,79.9,38.65,53.1,daily,rmin,mdamiles
2,3,49.7867,16.8355,47.7,23.3,100,38.95,55.125,daily,rmin,mdamiles
2,4,49.3467,12.7717,48.9,23.8,78.4,41.425,58.6,daily,rmin,mdamiles
2,5,48.9067,14.0701,49,19.5,75,39.775,58.275,daily,rmin,mdamiles
2,6,50.2133,14.4639,49.05,25.4,89.4,40,59.4,daily,rmin,mdamiles
2,7,48.4933,13.4162,47.25,26.9,83.4,38.575,56.675,daily,rmin,mdamiles
2,8,48.5333,12.0996,46.9,32.3,86.9,40.225,53.375,daily,rmin,mdamiles
2,9,45.26,11.0326,45,27.9,74.2,38.225,49.975,daily,rmin,mdamiles
2,10,46.2067,12.76,47.7,16.5,69.8,38.875,53.375,daily,rmin,mdamiles
2,11,43.0067,11.3902,44.2,17.3,68.7,35.125,49.625,daily,rmin,mdamiles
2,12,42.4233,12.9811,44.5,19.3,70,31.8,51.1,daily,rmin,mdamiles
2,13,41.4533,13.3484,41.45,22.7,87.4,32.3,47.45,daily,rmin,mdamiles
2,14,42.72,13.3577,42.15,20.6,67.8,32.725,51.925,daily,rmin,mdamiles
2,15,43.2367,13.8042,41.85,21.3,85.1,34.675,50.675,daily,rmin,mdamiles
2,16,42.46,12.2725,42.4,16.4,80,36.2,47.725,daily,rmin,mdamiles
2,17,43.4267,14.096,42.1,24,77.9,36.35,50.7,daily,rmin,mdamiles
2,18,43.6533,14.8482,41.1,23.5,89.7,36.425,47.425,daily,rmin,mdamiles
2,19,41.99,11.8791,42.2,16.3,69.7,34,46.375,daily,rmin,mdamiles
2,20,39.2467,11.5012,40.1,14.5,63.4,29.725,48.5,daily,rmin,mdamiles
2,21,39.89,13.1769,40.65,13.1,75.8,31.125,46.8,daily,rmin,mdamiles
2,22,41.05,13.4937,42.75,16.5,70.1,29.825,48.5,daily,rmin,mdamiles
2,23,42.0133,13.0323,41.25,19.7,68.7,32.6,53.75,daily,rmin,mdamiles
2,24,43.4167,13.9294,42,21.2,78.2,33.85,53.825,daily,rmin,mdamiles
2,25,44.5633,11.744,46.2,23.2,78.3,37.6,51.925,daily,rmin,mdamiles
2,26,43.0167,11.7391,42.35,23.5,67.8,32.4,50.6,daily,rmin,mdamiles
2,27,44.74,11.4545,45.35,20.4,61.5,36.55,54.5,daily,rmin,mdamiles
2,28,45.78,14.4699,41.65,19.5,80.3,36.35,56.05,daily,rmin,mdamiles
2,29,35.2125,11.3196,34.45,17.3,49.7,28.275,45.225,daily,rmin,mdamiles
3,1,45.8233,12.0388,45.55,18.3,66.5,37.425,53.65,daily,rmin,mdamiles
3,2,45.72,14.5083,48.1,18.3,75.5,35.15,53.175,daily,rmin,mdamiles
3,3,44.6667,11.892,46.3,21,66.1,35.325,53.925,daily,rmin,mdamiles
3,4,42.5033,12.5572,41.55,21,65.9,35.275,51.65,daily,rmin,mdamiles
3,5,39.7633,14.8686,37.6,11,68.8,29.475,50.25,daily,rmin,mdamiles
3,6,42.5,13.3556,44.65,15.3,65.1,34.025,52.65,daily,rmin,mdamiles
3,7,42.27,11.172,43.15,18.2,64.8,34.975,49.675,daily,rmin,mdamiles
3,8,41.7967,11.899,43.35,22.1,67.4,31.05,49.575,daily,rmin,mdamiles
3,9,40.0833,15.331,40.25,18.1,78.4,29.7,48.55,daily,rmin,mdamiles
3,10,39.9667,17.0718,37.35,14.2,75.8,27.475,47.625,daily,rmin,mdamiles
3,11,37.04,13.176,35.75,14,65.7,28.025,45,daily,rmin,mdamiles
3,12,35.1433,12.9485,33.55,15.9,69.2,25.125,44.55,daily,rmin,mdamiles
3,13,33.4733,10.3653,32,15.3,53.9,25.925,39.975,daily,rmin,mdamiles
3,14,35.1267,10.1648,33.9,12.5,58.3,27.3,39.85,daily,rmin,mdamiles
3,15,36.55,15.9002,32.15,18.4,100,27.925,37.175,daily,rmin,mdamiles
3,16,34.7833,13.4797,31.85,17.9,74.2,25.825,40.2,daily,rmin,mdamiles
3,17,35.0633,9.9599,34.75,21.2,69.6,28.375,40.1,daily,rmin,mdamiles
3,18,39.2067,13.6649,38.8,19.3,71.2,28.375,47.95,daily,rmin,mdamiles
3,19,38.8133,12.7443,36.35,19.9,66.9,28.825,49.275,daily,rmin,mdamiles
3,20,32.1367,10.9309,31,8.6,56.3,25.275,38.525,daily,rmin,mdamiles
3,21,33.07,14.3635,29.8,11,72,23.2,40.075,daily,rmin,mdamiles
3,22,35.6367,12.143,34.75,16.5,60.4,24.025,43.425,daily,rmin,mdamiles
3,23,36.1667,14.8039,33.7,13.7,67.2,23.7,44.65,daily,rmin,mdamiles
3,24,36.16,14.7748,33.55,15.7,66.9,23.775,46.25,daily,rmin,mdamiles
3,25,35.7867,13.3327,33.45,17.5,61.5,23.65,45.675,daily,rmin,mdamiles
3,26,32.92,11.6744,29.9,15,61.3,26.35,38.4,daily,rmin,mdamiles
3,27,31.8767,10.6216,28.95,14.3,51.7,26.05,40.225,daily,rmin,mdamiles
3,28,33.2967,13.9895,29.35,13.8,60.8,21.7,45.425,daily,rmin,mdamiles
3,29,32.9733,12.2172,27.5,15.6,55.4,24.375,44.175,daily,rmin,mdamiles
3,30,32.5433,12.1797,32.7,15.8,56.1,23.45,39.475,daily,rmin,mdamiles
3,31,36.02,17.8372,32.9,12.4,91.5,21.925,45.075,daily,rmin,mdamiles
4,1,36.39,17.1633,31.4,10.9,89.3,25,42.275,daily,rmin,mdamiles
