month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,9.2126,13.1278,11.03,-21.91,34.79,0.14,16.07,daily,tmmn,nctbusby
1,2,8.426,11.9223,7.16,-19.21,26.87,1.715,18.05,daily,tmmn,nctbusby
1,3,9.74,14.4225,11.21,-21.55,35.33,-1.66,20.705,daily,tmmn,nctbusby
1,4,8.264,13.527,10.13,-18.49,27.77,-2.965,20.21,daily,tmmn,nctbusby
1,5,9.338,15.7134,13.28,-23.17,35.51,1.94,20.03,daily,tmmn,nctbusby
1,6,7.43,15.8899,13.37,-21.19,31.37,-7.15,19.67,daily,tmmn,nctbusby
1,7,11.708,12.6222,14.45,-18.67,33.89,3.155,19.4,daily,tmmn,nctbusby
1,8,11.972,12.0542,14.63,-10.03,36.59,1.535,19.76,daily,tmmn,nctbusby
1,9,9.998,12.332,13.82,-14.35,29.21,-0.22,18.77,daily,tmmn,nctbusby
1,10,10.244,14.006,16.16,-20.11,31.01,-1.39,21.065,daily,tmmn,nctbusby
1,11,9.128,15.5861,12.74,-26.05,29.21,-0.94,19.085,daily,tmmn,nctbusby
1,12,9.146,14.8834,15.71,-25.33,25.43,-1.57,19.985,daily,tmmn,nctbusby
1,13,10.952,15.5029,17.15,-26.05,28.31,2.345,22.01,daily,tmmn,nctbusby
1,14,9.572,14.4174,12.2,-18.13,30.65,0.77,21.38,daily,tmmn,nctbusby
1,15,10.262,12.4882,10.58,-18.85,29.93,4.55,18.86,daily,tmmn,nctbusby
1,16,9.686,11.485,13.37,-20.11,23.27,2.795,18.725,daily,tmmn,nctbusby
1,17,9.884,11.7448,13.91,-15.61,26.33,3.695,18.095,daily,tmmn,nctbusby
1,18,13.124,11.4137,14.45,-15.61,29.57,8.555,20.93,daily,tmmn,nctbusby
1,19,15.098,9.8807,16.25,-8.05,29.93,11.075,22.145,daily,tmmn,nctbusby
1,20,15.242,9.091,16.52,-6.61,33.71,12.29,21.47,daily,tmmn,nctbusby
1,21,13.61,9.1906,14.99,-15.79,31.37,10.67,18.68,daily,tmmn,nctbusby
1,22,12.758,9.0119,14.54,-15.07,27.05,10.49,17.78,daily,tmmn,nctbusby
1,23,12.404,9.8466,12.83,-6.97,29.93,5.54,19.49,daily,tmmn,nctbusby
1,24,13.652,12.4351,15.17,-13.27,32.99,4.28,23.405,daily,tmmn,nctbusby
1,25,13.748,13.0276,15.62,-17.95,36.59,3.965,23.225,daily,tmmn,nctbusby
1,26,14.36,13.0934,18.68,-16.33,37.49,5.495,22.775,daily,tmmn,nctbusby
1,27,14.042,13.3352,17.06,-16.33,33.53,7.97,23.36,daily,tmmn,nctbusby
1,28,11.972,13.1705,12.47,-19.57,31.37,6.485,21.965,daily,tmmn,nctbusby
1,29,12.302,13.55,15.35,-24.97,35.15,7.115,20.615,daily,tmmn,nctbusby
