month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,7.62,2.3779,8.053,3.5791,12.0795,5.7042,9.2833,daily,vs,nctbusby
1,2,7.8218,3.1402,7.9411,1.7895,13.869,5.872,9.507,daily,vs,nctbusby
1,3,7.2924,3.3348,6.9345,2.4606,15.4349,4.7535,8.8918,daily,vs,nctbusby
1,4,7.9038,2.8817,8.1648,2.6843,14.3164,5.872,9.7866,daily,vs,nctbusby
1,5,7.7622,3.088,7.9411,2.6843,12.9742,5.089,10.234,daily,vs,nctbusby
1,6,8.4482,3.5172,8.2767,2.2369,18.1192,6.7108,9.9544,daily,vs,nctbusby
1,7,7.449,3.1036,6.8227,3.3554,16.5533,5.3127,9.3392,daily,vs,nctbusby
1,8,7.5161,2.8956,7.4937,3.1317,14.7638,5.3686,9.3951,daily,vs,nctbusby
1,9,7.3372,2.3771,7.3819,2.908,11.6321,5.6483,9.1714,daily,vs,nctbusby
1,10,7.8815,2.9058,8.053,2.6843,14.3164,6.2634,8.9477,daily,vs,nctbusby
1,11,8.3512,3.8258,7.8293,3.3554,18.7903,4.7535,10.9051,daily,vs,nctbusby
1,12,7.5758,3.3219,6.9345,2.4606,13.6453,5.4246,10.2899,daily,vs,nctbusby
1,13,8.5675,3.6209,7.8293,2.6843,18.1192,6.3193,9.1714,daily,vs,nctbusby
1,14,7.4788,2.5899,7.0463,2.4606,14.0927,5.9279,8.5004,daily,vs,nctbusby
1,15,8.1797,3.548,7.9411,3.3554,17.0007,5.872,9.3951,daily,vs,nctbusby
1,16,8.1946,3.262,7.9411,3.8028,17.2244,5.7042,9.1714,daily,vs,nctbusby
1,17,8.2692,2.7013,8.2767,3.5791,14.5401,6.4871,9.7866,daily,vs,nctbusby
1,18,7.7995,2.8915,8.2767,2.0132,13.1979,5.145,10.3458,daily,vs,nctbusby
1,19,7.8889,3.0665,7.27,2.908,14.0927,5.5923,9.1714,daily,vs,nctbusby
1,20,7.0911,2.2631,6.8227,2.6843,11.8558,5.4805,8.78,daily,vs,nctbusby
1,21,7.5981,2.3102,7.9411,2.4606,13.1979,6.3753,8.7241,daily,vs,nctbusby
1,22,8.5227,3.1876,7.8293,4.4739,14.3164,5.872,10.0662,daily,vs,nctbusby
1,23,7.9188,2.6308,7.6056,3.5791,15.6586,6.4312,9.0596,daily,vs,nctbusby
1,24,8.2543,3.5254,7.4937,3.3554,17.0007,6.2634,9.1155,daily,vs,nctbusby
1,25,7.7473,2.5113,7.7174,3.1317,12.9742,6.3193,9.2833,daily,vs,nctbusby
1,26,7.5907,3.6648,7.3819,2.0132,15.8822,4.0824,10.6254,daily,vs,nctbusby
