month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,73.4613,13.0369,72.2,37.8,100,66.25,79.85,daily,rmax,pvbrisbi
1,2,71.6367,15.4899,70.2,36.4,100,62.35,82.325,daily,rmax,pvbrisbi
1,3,74.6367,13.8052,74.45,41.2,100,67,81.325,daily,rmax,pvbrisbi
1,4,69.8,13.5163,70.6,45.2,100,60.4,78.425,daily,rmax,pvbrisbi
1,5,70.8533,14.1477,69,40.1,100,64.1,79.325,daily,rmax,pvbrisbi
1,6,69.05,13.9719,68,43.2,100,62.05,76.025,daily,rmax,pvbrisbi
1,7,71.1333,15.1644,68.25,45.6,100,60.6,84.425,daily,rmax,pvbrisbi
1,8,73.52,15.6506,71.5,38.7,100,61.4,83.625,daily,rmax,pvbrisbi
1,9,74.7433,12.3869,74.85,52.5,100,67.45,80.1,daily,rmax,pvbrisbi
1,10,74.9567,12.6637,73.45,54.1,100,67.225,79.7,daily,rmax,pvbrisbi
1,11,76.4467,15.6915,77.35,43.6,100,66.875,86.75,daily,rmax,pvbrisbi
1,12,75.25,14.1365,76.3,50.6,100,63.625,87.325,daily,rmax,pvbrisbi
1,13,70.49,12.1949,71.55,50,98.2,59.25,77.275,daily,rmax,pvbrisbi
1,14,71.6567,12.3949,71.95,52.4,100,61.475,79.25,daily,rmax,pvbrisbi
1,15,73.4133,14.5796,75.4,43.3,100,63,82.05,daily,rmax,pvbrisbi
1,16,74.41,12.9517,73.5,46.5,100,68.525,82.15,daily,rmax,pvbrisbi
1,17,69.27,13.4542,70.15,36.3,95.3,59.125,78.2,daily,rmax,pvbrisbi
1,18,68.1667,13.0711,71.7,41,95.4,60.275,76.35,daily,rmax,pvbrisbi
1,19,71.0233,13.4143,71.2,43.9,100,62.7,79.35,daily,rmax,pvbrisbi
1,20,72.7467,13.0216,72.95,43,100,68.725,77.5,daily,rmax,pvbrisbi
1,21,72.78,13.7226,73.45,36.3,100,66.225,79.675,daily,rmax,pvbrisbi
1,22,72.1633,13.7245,75.1,47.2,98.2,60.7,80.075,daily,rmax,pvbrisbi
1,23,71.9367,14.4968,72.05,47.8,100,60.225,80.4,daily,rmax,pvbrisbi
1,24,70.5767,14.1157,70.25,39.8,100,62.875,79.625,daily,rmax,pvbrisbi
1,25,68.8667,11.046,72.75,48.9,90.9,59.675,76.35,daily,rmax,pvbrisbi
1,26,71.2,15.0524,72.15,39.8,100,61.5,80.025,daily,rmax,pvbrisbi
1,27,71.6667,14.8173,71.45,41.5,100,62.325,82.1,daily,rmax,pvbrisbi
1,28,70.98,14.1068,72.85,44.1,90.9,61.05,81.1,daily,rmax,pvbrisbi
1,29,68.98,12.2968,70.75,34.6,85,63.15,76.175,daily,rmax,pvbrisbi
1,30,69.9033,15.0946,70,38.9,100,59.775,78.8,daily,rmax,pvbrisbi
1,31,68.9633,16.8992,67,42.9,100,57.275,79.65,daily,rmax,pvbrisbi
2,1,68.4433,16.8618,69.25,33.2,100,56.675,77.075,daily,rmax,pvbrisbi
2,2,71.9033,15.3465,70.25,43.7,100,62.775,77.625,daily,rmax,pvbrisbi
2,3,77.8433,15.0121,73.75,50.5,100,68.525,92.775,daily,rmax,pvbrisbi
2,4,71.9633,18.48,71.65,30.9,100,63.35,84.1,daily,rmax,pvbrisbi
2,5,68.7133,18.4292,71.25,28.9,100,55.725,78.675,daily,rmax,pvbrisbi
2,6,69.4567,17.6106,70.45,29.8,100,59.45,79.2,daily,rmax,pvbrisbi
2,7,73.4433,13.7023,73.05,40.9,100,67.2,78.575,daily,rmax,pvbrisbi
2,8,75.86,15.2203,73.85,49,100,66.275,84.4,daily,rmax,pvbrisbi
2,9,72.4333,17.0478,71.75,27.1,100,64.5,81.025,daily,rmax,pvbrisbi
2,10,73.9433,13.7283,72.65,39.5,100,68.025,80.6,daily,rmax,pvbrisbi
2,11,72.52,12.7175,70.85,44.1,100,63.55,80.575,daily,rmax,pvbrisbi
2,12,69.02,18.2373,70.75,36.1,100,55.1,81.95,daily,rmax,pvbrisbi
2,13,71.0067,14.472,71.95,36.5,94.9,65.175,80.425,daily,rmax,pvbrisbi
2,14,71.0567,16.5652,73.05,42.4,100,53.5,80.775,daily,rmax,pvbrisbi
2,15,70.6333,15.9503,71.95,24.3,100,64.65,79.05,daily,rmax,pvbrisbi
2,16,70.3067,14.9686,72.7,38.5,100,62,77.8,daily,rmax,pvbrisbi
2,17,69.7633,14.3712,69.1,45.2,100,60.65,77.1,daily,rmax,pvbrisbi
2,18,70.6333,14.6286,72.6,40.2,100,65.525,76.4,daily,rmax,pvbrisbi
