month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0274,0.0476,0.0118,0,0.2244,0,0.0335,daily,pr,pvemigra
1,2,0.0138,0.0286,0,0,0.1142,0,0.0148,daily,pr,pvemigra
1,3,0.0161,0.0408,0,0,0.2047,0,0.0118,daily,pr,pvemigra
1,4,0.019,0.0384,0,0,0.1693,0,0.0217,daily,pr,pvemigra
1,5,0.0131,0.03,0,0,0.1417,0,0.0148,daily,pr,pvemigra
1,6,0.0076,0.0138,0,0,0.0433,0,0.0089,daily,pr,pvemigra
1,7,0.0119,0.0241,0,0,0.1102,0,0.0187,daily,pr,pvemigra
1,8,0.0159,0.0301,0,0,0.1457,0,0.0236,daily,pr,pvemigra
1,9,0.0228,0.0449,0,0,0.2008,0,0.0256,daily,pr,pvemigra
1,10,0.0249,0.0571,0,0,0.2913,0,0.0256,daily,pr,pvemigra
1,11,0.0415,0.0764,0,0,0.248,0,0.0433,daily,pr,pvemigra
1,12,0.0064,0.0177,0,0,0.0866,0,0,daily,pr,pvemigra
1,13,0.013,0.0192,0,0,0.0787,0,0.0236,daily,pr,pvemigra
1,14,0.015,0.0339,0,0,0.1378,0,0.0148,daily,pr,pvemigra
1,15,0.0247,0.0432,0.0079,0,0.2047,0,0.0266,daily,pr,pvemigra
1,16,0.0171,0.0357,0,0,0.1772,0,0.0217,daily,pr,pvemigra
1,17,0.01,0.0142,0,0,0.0472,0,0.0187,daily,pr,pvemigra
1,18,0.0152,0.0389,0,0,0.2008,0,0.0148,daily,pr,pvemigra
1,19,0.0207,0.0457,0,0,0.2283,0,0.0335,daily,pr,pvemigra
1,20,0.0198,0.0393,0,0,0.1929,0,0.0305,daily,pr,pvemigra
1,21,0.0152,0.0326,0,0,0.1378,0,0.0089,daily,pr,pvemigra
1,22,0.0244,0.0408,0,0,0.1772,0,0.0236,daily,pr,pvemigra
1,23,0.023,0.0411,0,0,0.1614,0,0.0276,daily,pr,pvemigra
1,24,0.014,0.023,0,0,0.0906,0,0.0197,daily,pr,pvemigra
1,25,0.0181,0.0293,0,0,0.0984,0,0.0276,daily,pr,pvemigra
1,26,0.0194,0.0306,0,0,0.122,0,0.0226,daily,pr,pvemigra
1,27,0.0261,0.0439,0,0,0.1457,0,0.0443,daily,pr,pvemigra
1,28,0.0146,0.0248,0,0,0.0827,0,0.0226,daily,pr,pvemigra
1,29,0.014,0.0436,0,0,0.2323,0,0,daily,pr,pvemigra
