month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,0.0377,0.0202,0.0354,0.0039,0.0827,0.0256,0.0512,daily,pet,raplejen
1,2,0.0403,0.0222,0.0374,0,0.0945,0.0276,0.0541,daily,pet,raplejen
1,3,0.0408,0.0302,0.0354,0.0039,0.126,0.0197,0.0591,daily,pet,raplejen
1,4,0.0437,0.0277,0.0394,0.0039,0.1181,0.0236,0.062,daily,pet,raplejen
1,5,0.0413,0.0274,0.0433,0.0039,0.122,0.0177,0.0502,daily,pet,raplejen
1,6,0.0416,0.0219,0.0374,0,0.0827,0.0276,0.061,daily,pet,raplejen
1,7,0.0427,0.0249,0.0394,0.0039,0.1299,0.0276,0.0512,daily,pet,raplejen
1,8,0.0416,0.0258,0.0394,0.0039,0.1102,0.0197,0.0541,daily,pet,raplejen
1,9,0.0417,0.0222,0.0433,0.0079,0.0984,0.0276,0.0551,daily,pet,raplejen
1,10,0.0433,0.0258,0.0472,0,0.0984,0.0177,0.0591,daily,pet,raplejen
1,11,0.0424,0.0253,0.0433,0.0039,0.0945,0.0167,0.063,daily,pet,raplejen
1,12,0.0432,0.0261,0.0394,0.0039,0.0906,0.0207,0.0659,daily,pet,raplejen
1,13,0.049,0.0278,0.0492,0.0039,0.1063,0.0285,0.0699,daily,pet,raplejen
1,14,0.0407,0.0211,0.0354,0.0039,0.0906,0.0246,0.0591,daily,pet,raplejen
1,15,0.0458,0.0244,0.0433,0.0039,0.1102,0.0315,0.065,daily,pet,raplejen
1,16,0.0428,0.0218,0.0374,0.0079,0.0945,0.0285,0.0541,daily,pet,raplejen
1,17,0.0445,0.0195,0.0433,0.0079,0.0906,0.0354,0.0541,daily,pet,raplejen
1,18,0.0458,0.0223,0.0413,0.0157,0.1024,0.0325,0.0571,daily,pet,raplejen
1,19,0.0487,0.0238,0.0472,0.0118,0.1063,0.0325,0.063,daily,pet,raplejen
1,20,0.0432,0.0214,0.0394,0.0118,0.1142,0.0325,0.0472,daily,pet,raplejen
1,21,0.0454,0.0227,0.0413,0.0039,0.1142,0.0315,0.0581,daily,pet,raplejen
1,22,0.043,0.0186,0.0433,0.0118,0.0906,0.0325,0.0541,daily,pet,raplejen
1,23,0.0429,0.02,0.0374,0.0039,0.1024,0.0325,0.0581,daily,pet,raplejen
1,24,0.0475,0.0268,0.0413,0.0118,0.1063,0.0285,0.062,daily,pet,raplejen
1,25,0.0497,0.0261,0.0472,0.0118,0.0984,0.0315,0.0659,daily,pet,raplejen
1,26,0.0465,0.0241,0.0472,0.0118,0.1063,0.0276,0.0541,daily,pet,raplejen
1,27,0.0476,0.0239,0.0472,0.0118,0.1063,0.0276,0.0581,daily,pet,raplejen
1,28,0.0493,0.023,0.0512,0.0118,0.1024,0.0315,0.062,daily,pet,raplejen
1,29,0.0482,0.023,0.0413,0.0079,0.1024,0.0325,0.0581,daily,pet,raplejen
1,30,0.0571,0.028,0.0591,0.0039,0.1299,0.0364,0.0738,daily,pet,raplejen
1,31,0.0542,0.03,0.0492,0.0079,0.122,0.0354,0.0738,daily,pet,raplejen
2,1,0.0529,0.0358,0.0453,0.0079,0.1654,0.0315,0.0699,daily,pet,raplejen
2,2,0.0503,0.0262,0.0492,0.0079,0.1063,0.0354,0.065,daily,pet,raplejen
2,3,0.0449,0.0256,0.0335,0.0039,0.0906,0.0276,0.063,daily,pet,raplejen
2,4,0.0478,0.0299,0.0433,0.0039,0.122,0.0236,0.065,daily,pet,raplejen
2,5,0.055,0.0279,0.0591,0.0039,0.1024,0.0325,0.0738,daily,pet,raplejen
2,6,0.0476,0.0295,0.0433,0.0039,0.1378,0.0315,0.0581,daily,pet,raplejen
2,7,0.044,0.0284,0.0394,0.0039,0.122,0.0236,0.061,daily,pet,raplejen
2,8,0.0461,0.0307,0.0374,0.0079,0.1299,0.0236,0.063,daily,pet,raplejen
2,9,0.0488,0.0282,0.0433,0.0039,0.126,0.0315,0.0581,daily,pet,raplejen
2,10,0.0484,0.0212,0.0453,0.0079,0.1142,0.0325,0.062,daily,pet,raplejen
2,11,0.0497,0.0252,0.0453,0.0197,0.1102,0.0315,0.063,daily,pet,raplejen
2,12,0.0579,0.028,0.0551,0.0079,0.122,0.0394,0.0738,daily,pet,raplejen
2,13,0.0651,0.0328,0.065,0.0157,0.1299,0.0325,0.0846,daily,pet,raplejen
2,14,0.056,0.0338,0.0551,0.0079,0.1654,0.0325,0.0738,daily,pet,raplejen
2,15,0.0571,0.0378,0.0492,0.0079,0.189,0.0325,0.0669,daily,pet,raplejen
2,16,0.0612,0.0323,0.0551,0.0079,0.1614,0.0433,0.0738,daily,pet,raplejen
2,17,0.0592,0.0276,0.063,0.0079,0.1024,0.0433,0.0738,daily,pet,raplejen
2,18,0.0596,0.0323,0.0571,0.0079,0.1535,0.0433,0.0807,daily,pet,raplejen
2,19,0.066,0.037,0.065,0.0079,0.1772,0.0394,0.0817,daily,pet,raplejen
2,20,0.063,0.035,0.061,0.0157,0.1772,0.0344,0.0787,daily,pet,raplejen
2,21,0.0614,0.0344,0.0591,0.0079,0.1299,0.0364,0.0925,daily,pet,raplejen
2,22,0.0615,0.0344,0.0492,0.0118,0.1535,0.0354,0.0896,daily,pet,raplejen
2,23,0.0572,0.0262,0.061,0.0079,0.1063,0.0335,0.0787,daily,pet,raplejen
2,24,0.057,0.0318,0.0551,0.0079,0.1496,0.0354,0.0689,daily,pet,raplejen
2,25,0.0526,0.0297,0.0472,0.0079,0.1181,0.0325,0.0699,daily,pet,raplejen
2,26,0.0545,0.027,0.0472,0.0079,0.1299,0.0394,0.0669,daily,pet,raplejen
2,27,0.0551,0.0306,0.0472,0.0157,0.1496,0.0394,0.0591,daily,pet,raplejen
2,28,0.0584,0.0318,0.0531,0.0079,0.1417,0.0374,0.0738,daily,pet,raplejen
2,29,0.0792,0.04,0.0709,0.0354,0.1535,0.0512,0.1014,daily,pet,raplejen
3,1,0.0612,0.0316,0.0571,0.0039,0.1339,0.0364,0.0778,daily,pet,raplejen
3,2,0.0651,0.0297,0.063,0.0039,0.122,0.0433,0.0856,daily,pet,raplejen
3,3,0.069,0.0313,0.0748,0.0118,0.126,0.0404,0.0925,daily,pet,raplejen
3,4,0.0705,0.0328,0.0728,0.0197,0.126,0.0443,0.0965,daily,pet,raplejen
3,5,0.0711,0.0332,0.063,0.0236,0.1693,0.0482,0.0896,daily,pet,raplejen
3,6,0.0684,0.0357,0.065,0.0157,0.1457,0.0443,0.0827,daily,pet,raplejen
3,7,0.0713,0.0313,0.0689,0.0236,0.1181,0.0423,0.0935,daily,pet,raplejen
