month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,9.0127,1.861,8.9477,3.8028,14.0927,7.8293,9.7307,daily,vs,usfsmacp
1,2,8.7613,2.5089,9.1714,3.3554,14.5401,7.27,10.0662,daily,vs,usfsmacp
1,3,8.5376,2.6488,8.5004,3.5791,16.3296,6.9345,9.9544,daily,vs,usfsmacp
1,4,8.9999,2.6466,8.9477,3.3554,15.2112,7.8293,10.2899,daily,vs,usfsmacp
1,5,8.7688,2.6691,8.7241,2.908,13.4216,7.0463,10.3458,daily,vs,usfsmacp
1,6,9.4846,2.6051,9.6188,5.3686,19.9087,8.3326,10.5136,daily,vs,usfsmacp
1,7,8.9403,2.4899,9.0596,4.6976,16.1059,7.6615,9.8425,daily,vs,usfsmacp
1,8,9.2236,2.4976,9.1714,4.0265,15.8822,7.8293,10.0662,daily,vs,usfsmacp
1,9,9.0149,2.4029,8.6122,4.6976,15.2112,7.4937,9.8425,daily,vs,usfsmacp
1,10,9.246,2.4668,9.3951,4.2502,16.1059,7.6615,10.3458,daily,vs,usfsmacp
1,11,9.0447,3.1222,8.9477,3.8028,14.9875,6.9345,10.5136,daily,vs,usfsmacp
1,12,8.4929,2.801,8.8359,3.1317,15.2112,6.599,9.9544,daily,vs,usfsmacp
1,13,8.6793,2.745,8.7241,3.8028,16.5533,6.8786,10.0103,daily,vs,usfsmacp
1,14,8.7091,2.4042,9.2833,4.2502,12.9742,6.8227,10.0103,daily,vs,usfsmacp
1,15,9.2162,2.9893,9.6188,2.908,14.5401,7.6615,11.4084,daily,vs,usfsmacp
1,16,8.6346,1.895,9.1714,3.5791,11.6321,7.8293,9.8425,daily,vs,usfsmacp
1,17,8.9776,2.275,9.1714,3.8028,14.5401,7.6615,10.2899,daily,vs,usfsmacp
1,18,9.1118,1.4122,8.9477,6.0397,11.8558,8.1089,9.7866,daily,vs,usfsmacp
1,19,8.3214,1.7686,8.2767,4.0265,12.0795,7.4378,9.7866,daily,vs,usfsmacp
1,20,8.5227,2.5857,8.053,4.9213,17.2244,7.1582,9.3392,daily,vs,usfsmacp
1,21,8.1797,1.9753,8.1648,3.8028,12.0795,6.9345,9.6188,daily,vs,usfsmacp
1,22,8.4631,1.9528,8.3885,4.2502,12.7505,7.3819,9.7866,daily,vs,usfsmacp
1,23,8.4556,1.6578,8.6122,5.3686,12.0795,7.27,9.3951,daily,vs,usfsmacp
1,24,8.5153,2.3746,8.7241,2.908,14.3164,7.6056,9.5629,daily,vs,usfsmacp
1,25,8.4332,3.2703,8.1648,4.0265,18.5666,6.3193,9.8425,daily,vs,usfsmacp
1,26,8.2618,2.4249,8.3885,3.8028,13.1979,6.3193,10.0103,daily,vs,usfsmacp
1,27,8.739,2.9959,8.6122,2.4606,17.0007,7.3819,10.0662,daily,vs,usfsmacp
1,28,8.5898,2.3678,8.2767,4.0265,13.4216,7.3819,10.2899,daily,vs,usfsmacp
