month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,35.8816,8.8245,37.49,18.41,50.81,30.2,42.08,daily,tmmx,wsrbigtm
1,2,38.138,10.5139,40.55,3.83,53.69,29.525,45.005,daily,tmmx,wsrbigtm
1,3,36.59,11.4321,42.17,2.39,52.07,28.265,44.825,daily,tmmx,wsrbigtm
1,4,36.92,12.3535,40.37,3.11,59.27,30.38,45.41,daily,tmmx,wsrbigtm
1,5,35.222,13.0829,38.03,8.15,54.95,31.595,45.41,daily,tmmx,wsrbigtm
1,6,36.758,9.7178,38.39,11.39,53.51,31.685,42.62,daily,tmmx,wsrbigtm
1,7,39.362,9.1153,39.02,22.73,65.21,36.185,43.025,daily,tmmx,wsrbigtm
1,8,38.804,8.123,39.47,18.95,57.29,34.34,43.925,daily,tmmx,wsrbigtm
1,9,39.5,10.2702,41.27,9.95,54.23,35.375,45.995,daily,tmmx,wsrbigtm
1,10,38.12,11.0895,42.17,11.39,51.89,31.955,46.22,daily,tmmx,wsrbigtm
1,11,35.612,13.3279,40.01,9.59,52.97,30.515,44.465,daily,tmmx,wsrbigtm
1,12,36.17,11.8512,38.84,2.39,53.33,34.025,44.015,daily,tmmx,wsrbigtm
1,13,37.988,11.4029,41.36,12.47,51.53,33.53,46.625,daily,tmmx,wsrbigtm
1,14,38.63,11.4422,41.81,4.73,52.61,34.34,46.49,daily,tmmx,wsrbigtm
1,15,39.452,8.4753,40.64,20.21,53.51,34.385,45.545,daily,tmmx,wsrbigtm
1,16,38.312,7.7273,38.93,24.53,54.41,32.945,43.745,daily,tmmx,wsrbigtm
1,17,38.996,7.6112,39.92,20.21,51.53,34.61,43.43,daily,tmmx,wsrbigtm
1,18,40.802,8.5938,41.81,20.39,53.51,37.04,45.5,daily,tmmx,wsrbigtm
1,19,41.618,6.7865,41.54,26.15,56.39,38.255,45.455,daily,tmmx,wsrbigtm
1,20,40.418,7.0306,39.38,29.39,58.55,35.78,45.23,daily,tmmx,wsrbigtm
1,21,39.722,7.8239,39.65,11.03,55.67,36.95,42.62,daily,tmmx,wsrbigtm
1,22,38.066,7.005,38.21,18.77,50.45,33.8,41.99,daily,tmmx,wsrbigtm
1,23,38.618,7.5146,39.74,26.33,59.63,31.955,43.43,daily,tmmx,wsrbigtm
1,24,39.128,9.5742,40.64,20.57,58.37,32.765,46.085,daily,tmmx,wsrbigtm
1,25,40.154,11.9434,42.26,8.69,57.65,35.15,47.255,daily,tmmx,wsrbigtm
1,26,40.58,9.7297,42.17,13.73,63.77,36.23,46.085,daily,tmmx,wsrbigtm
1,27,39.368,9.3335,38.75,18.05,62.15,32.09,45.005,daily,tmmx,wsrbigtm
1,28,39.65,9.1114,39.74,11.39,56.39,35.645,44.015,daily,tmmx,wsrbigtm
1,29,39.308,10.6205,41.63,1.13,52.07,34.745,46.265,daily,tmmx,wsrbigtm
1,30,40.748,9.9101,42.44,14.45,58.91,35.555,47.165,daily,tmmx,wsrbigtm
1,31,40.55,10.5622,39.38,17.69,62.69,35.6,48.965,daily,tmmx,wsrbigtm
2,1,39.8,13.4287,40.73,12.11,64.49,36.05,48.425,daily,tmmx,wsrbigtm
2,2,39.686,10.9256,41.81,9.41,59.63,35.555,44.915,daily,tmmx,wsrbigtm
2,3,39.026,10.4047,39.83,9.95,53.51,36.23,45.365,daily,tmmx,wsrbigtm
2,4,39.932,13.9553,42.26,-1.21,60.89,34.205,46.805,daily,tmmx,wsrbigtm
2,5,40.724,14.3374,43.16,-4.99,57.83,35.555,49.37,daily,tmmx,wsrbigtm
2,6,38.96,13.397,39.47,-0.13,64.49,33.935,49.235,daily,tmmx,wsrbigtm
2,7,38.9,12.1348,42.98,12.11,59.63,30.875,46.715,daily,tmmx,wsrbigtm
2,8,39.926,12.5381,40.91,16.61,59.09,35.915,48.515,daily,tmmx,wsrbigtm
2,9,39.044,13.8092,40.19,0.05,61.25,34.25,47.57,daily,tmmx,wsrbigtm
2,10,38.354,9.9205,36.77,7.25,63.23,33.935,43.205,daily,tmmx,wsrbigtm
2,11,39.218,8.5561,37.67,17.15,58.19,34.34,42.62,daily,tmmx,wsrbigtm
2,12,41.012,10.5178,43.25,11.03,59.27,36.14,46.625,daily,tmmx,wsrbigtm
2,13,42.524,9.8995,42.8,11.39,63.23,39.875,48.47,daily,tmmx,wsrbigtm
2,14,40.58,9.3997,41.09,19.13,63.59,35.645,46.625,daily,tmmx,wsrbigtm
2,15,40.91,10.3817,40.91,14.81,60.89,35.015,46.67,daily,tmmx,wsrbigtm
2,16,41.594,11.6632,43.79,4.73,60.35,38.93,48.56,daily,tmmx,wsrbigtm
2,17,41.288,12.2001,43.88,4.37,56.39,38.93,48.11,daily,tmmx,wsrbigtm
2,18,40.886,12.6204,42.35,6.89,61.07,36.5,48.92,daily,tmmx,wsrbigtm
2,19,41.276,11.9957,43.16,5.45,57.47,37.535,49.28,daily,tmmx,wsrbigtm
2,20,40.58,10.892,41.45,13.19,61.79,34.61,45.59,daily,tmmx,wsrbigtm
2,21,41.42,12.0738,41.72,17.87,62.87,33.485,51.17,daily,tmmx,wsrbigtm
2,22,40.838,10.7149,40.46,20.93,57.11,34.925,49.73,daily,tmmx,wsrbigtm
2,23,39.956,10.339,42.35,16.07,55.31,33.305,47.57,daily,tmmx,wsrbigtm
2,24,38.306,13.1127,39.2,4.19,65.57,33.89,46.085,daily,tmmx,wsrbigtm
2,25,37.736,14.0398,39.02,-4.09,59.09,31.775,46.895,daily,tmmx,wsrbigtm
2,26,38.69,12.7787,37.85,-0.31,61.61,33.665,47.21,daily,tmmx,wsrbigtm
2,27,40.874,11.8429,38.39,13.91,61.97,33.8,49.46,daily,tmmx,wsrbigtm
2,28,41.804,12.158,40.82,14.63,63.77,36.77,49.73,daily,tmmx,wsrbigtm
2,29,48.3575,11.2788,48.83,32.09,66.29,39.245,56.39,daily,tmmx,wsrbigtm
3,1,40.982,13.0871,41.18,-1.75,66.65,35.195,50.45,daily,tmmx,wsrbigtm
3,2,43.25,12.2847,43.79,-2.65,64.31,39.335,50.225,daily,tmmx,wsrbigtm
3,3,44.936,12.5808,45.59,4.91,64.49,38.975,54.86,daily,tmmx,wsrbigtm
3,4,44.294,12.1903,43.52,12.47,62.87,35.78,54.275,daily,tmmx,wsrbigtm
3,5,44.564,10.5669,45.41,23.09,67.19,38.57,50.315,daily,tmmx,wsrbigtm
3,6,44.24,11.7675,44.15,15.53,66.83,36.635,53.24,daily,tmmx,wsrbigtm
3,7,44.894,11.3749,46.22,21.65,64.85,37.58,53.78,daily,tmmx,wsrbigtm
3,8,44.972,10.333,45.41,18.23,59.09,41.315,53.42,daily,tmmx,wsrbigtm
3,9,46.412,11.0988,47.57,24.17,65.75,40.73,52.34,daily,tmmx,wsrbigtm
3,10,48.494,10.1625,48.29,20.93,65.03,41.54,55.535,daily,tmmx,wsrbigtm
3,11,49.382,8.8667,48.02,29.39,65.75,44.96,56.03,daily,tmmx,wsrbigtm
3,12,49.496,9.441,47.93,29.57,72.41,45.635,54.95,daily,tmmx,wsrbigtm
3,13,50.198,9.649,51.17,29.03,66.83,44.15,56.345,daily,tmmx,wsrbigtm
3,14,50.984,10.4621,52.25,28.49,67.73,47.3,57.47,daily,tmmx,wsrbigtm
3,15,51.398,11.6675,52.52,17.69,71.51,43.88,60.08,daily,tmmx,wsrbigtm
3,16,51.164,8.7388,51.62,27.59,69.71,46.13,56.075,daily,tmmx,wsrbigtm
3,17,48.56,8.9083,47.21,30.83,68.27,42.35,54.32,daily,tmmx,wsrbigtm
3,18,49.31,10.7012,46.94,28.49,73.31,44.33,55.31,daily,tmmx,wsrbigtm
3,19,50.378,10.073,50.54,25.61,69.71,45.14,57.785,daily,tmmx,wsrbigtm
3,20,51.596,9.9366,51.44,29.03,70.25,45.635,57.2,daily,tmmx,wsrbigtm
3,21,51.722,9.4876,53.87,26.69,67.37,47.3,58.01,daily,tmmx,wsrbigtm
3,22,52.526,9.1258,51.08,27.41,67.91,47.795,58.82,daily,tmmx,wsrbigtm
3,23,52.19,10.32,52.52,33.53,73.67,46.895,58.64,daily,tmmx,wsrbigtm
3,24,49.526,11.9381,49.01,22.37,71.69,41.99,54.365,daily,tmmx,wsrbigtm
3,25,51.242,9.9427,50.36,32.27,72.23,42.755,58.73,daily,tmmx,wsrbigtm
3,26,52.154,9.9139,51.53,29.21,66.83,46.4,62.105,daily,tmmx,wsrbigtm
3,27,50.99,9.6474,51.71,30.11,73.31,44.825,56.345,daily,tmmx,wsrbigtm
3,28,49.652,9.1964,49.73,31.19,69.17,44.69,55.4,daily,tmmx,wsrbigtm
3,29,49.454,9.0377,49.28,35.15,63.05,42.665,57.695,daily,tmmx,wsrbigtm
3,30,52.076,9.6041,49.28,35.87,73.67,46.805,58.46,daily,tmmx,wsrbigtm
3,31,52.484,11.7441,49.64,19.85,73.13,45.635,60.8,daily,tmmx,wsrbigtm
4,1,52.556,10.0306,53.87,23.81,67.55,46.76,61.34,daily,tmmx,wsrbigtm
4,2,50.642,11.2418,51.53,25.25,70.61,44.15,57.245,daily,tmmx,wsrbigtm
4,3,52.286,9.1491,51.35,37.67,73.31,46.13,59.315,daily,tmmx,wsrbigtm
4,4,55.358,10.0254,54.41,38.93,70.97,46.985,65.12,daily,tmmx,wsrbigtm
4,5,53.684,9.3665,54.95,31.37,71.33,48.65,59.63,daily,tmmx,wsrbigtm
4,6,53.564,10.9525,53.6,19.67,68.27,47.435,61.475,daily,tmmx,wsrbigtm
4,7,55.274,9.2261,55.4,33.17,73.13,49.505,61.385,daily,tmmx,wsrbigtm
4,8,56.516,9.258,56.39,34.43,74.57,48.785,61.97,daily,tmmx,wsrbigtm
4,9,54.608,10.4209,54.77,31.91,79.25,50.9,60.62,daily,tmmx,wsrbigtm
4,10,54.254,9.6802,53.87,29.39,72.95,48.875,61.385,daily,tmmx,wsrbigtm
4,11,55.604,10.6158,56.84,32.27,73.13,49.1,62.825,daily,tmmx,wsrbigtm
4,12,55.748,11.4344,58.82,26.33,75.11,49.01,64.13,daily,tmmx,wsrbigtm
4,13,57.71,11.8318,55.94,31.55,77.45,50.09,67.55,daily,tmmx,wsrbigtm
4,14,56.138,9.5236,54.77,39.47,74.75,49.37,63.77,daily,tmmx,wsrbigtm
4,15,54.002,8.3512,53.6,37.31,70.25,49.73,60.485,daily,tmmx,wsrbigtm
4,16,56.132,9.9964,55.4,36.41,76.01,49.64,65.48,daily,tmmx,wsrbigtm
4,17,59.546,9.0212,60.17,33.17,77.99,54.41,66.11,daily,tmmx,wsrbigtm
4,18,58.118,7.2241,57.56,45.41,72.23,53.555,63.725,daily,tmmx,wsrbigtm
4,19,58.13,8.7445,58.91,40.01,77.27,52.475,63.23,daily,tmmx,wsrbigtm
4,20,60.05,7.8044,61.34,44.51,75.29,54.77,65.12,daily,tmmx,wsrbigtm
4,21,60.47,10.4147,62.24,42.89,77.63,52.475,69.08,daily,tmmx,wsrbigtm
4,22,62.702,10.6858,61.97,37.85,81.23,55.355,70.745,daily,tmmx,wsrbigtm
