month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,66.2677,10.9092,67.7,28.8,78.3,64.75,72.25,daily,srad,wsrboydw
1,2,66.05,11.1119,69.55,30.6,78.8,60.775,73.225,daily,srad,wsrboydw
1,3,64.3767,9.7125,66.95,36.8,75.1,60.1,71.325,daily,srad,wsrboydw
1,4,66.82,11.63,70.55,29.2,78.1,61.375,75.5,daily,srad,wsrboydw
1,5,66.0933,11.3583,69.8,38.4,80.3,61.45,74.25,daily,srad,wsrboydw
1,6,70.3167,7.4795,72.55,48.5,80.7,67.8,74.425,daily,srad,wsrboydw
1,7,67.23,11.0262,69.05,24.6,82.8,63.525,74.15,daily,srad,wsrboydw
1,8,65.4133,11.1613,67.85,38.7,80.5,61.575,72.6,daily,srad,wsrboydw
1,9,69.87,8.527,70.85,37.9,81.2,67.25,75.375,daily,srad,wsrboydw
1,10,71.28,9.5554,74.35,40.2,82.7,69.1,76.25,daily,srad,wsrboydw
1,11,71.7133,6.8229,71.85,56.4,82.1,67.7,77.45,daily,srad,wsrboydw
1,12,70.8133,11.4408,74.4,37.9,87.2,65.225,78.45,daily,srad,wsrboydw
1,13,69.6433,15.0617,74.95,33.4,86.7,64.325,79.95,daily,srad,wsrboydw
1,14,68.9267,15.0923,73.6,24.4,86.5,61.4,79.75,daily,srad,wsrboydw
1,15,71.0233,10.7971,74.3,49.9,87.3,62.825,80.1,daily,srad,wsrboydw
1,16,75.47,12.1536,78.95,42.2,88.8,70.2,82.7,daily,srad,wsrboydw
1,17,73.07,14.6036,76.85,29.8,89.3,60.275,84.65,daily,srad,wsrboydw
1,18,76.6567,10.2832,78.7,54.7,91.9,68.925,84.075,daily,srad,wsrboydw
1,19,77.3333,8.0769,77.85,57.6,89.4,71.975,84.175,daily,srad,wsrboydw
1,20,76.9933,13.3169,81.2,36.5,90.4,71.5,86.45,daily,srad,wsrboydw
1,21,80.23,10.2097,81.4,42.6,92.4,74.95,88.3,daily,srad,wsrboydw
1,22,80.4767,11.1336,82.55,46.1,93.1,73.775,88.525,daily,srad,wsrboydw
1,23,83.38,11.3587,86.7,55.4,95.8,77.475,92.425,daily,srad,wsrboydw
1,24,81.94,13.4756,86.45,39.4,97.2,75.6,91.875,daily,srad,wsrboydw
1,25,85.5733,10.4833,88.25,44.2,97.3,82.125,91.65,daily,srad,wsrboydw
1,26,84.2933,12.8726,88.85,37.2,100.4,77.325,92.45,daily,srad,wsrboydw
1,27,84.46,15.6907,89.1,40,103.3,78.875,94.425,daily,srad,wsrboydw
1,28,86.12,13.9376,91.4,34.3,103.7,79.875,94.275,daily,srad,wsrboydw
1,29,87.13,17.2534,93.9,37.4,104.7,83.3,98.075,daily,srad,wsrboydw
1,30,87.09,17.8816,94.6,35.8,108.2,79.575,99.175,daily,srad,wsrboydw
1,31,82.7233,18.8134,90.1,41.7,105.8,68.35,98.95,daily,srad,wsrboydw
2,1,86.22,13.5091,92.6,55.8,100.2,78.575,96.8,daily,srad,wsrboydw
2,2,85.1333,17.861,88.6,27.8,108.9,81.225,97.975,daily,srad,wsrboydw
2,3,89.7867,14.56,96.1,59.5,107.3,80.4,101.775,daily,srad,wsrboydw
2,4,89.5867,15.2232,94.75,49.8,106.7,81.05,101.775,daily,srad,wsrboydw
2,5,89.4667,16.7282,93.7,56.7,111.9,75.85,104.4,daily,srad,wsrboydw
2,6,93.6067,18.4801,100.65,47.5,114.4,86.025,105.65,daily,srad,wsrboydw
2,7,92.3033,14.0739,93.8,63.3,115.7,83.475,103.7,daily,srad,wsrboydw
