month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acealbio,tmmx,29.9131,11.633,30.65,21.785,37.58,daily
1,2,acealbio,tmmx,32.9668,11.0539,35.33,27.14,40.19,daily
1,3,acealbio,tmmx,31.2713,13.421,31.37,23.27,42.26,daily
1,4,acealbio,tmmx,31.7184,15.207,33.89,20.75,44.33,daily
1,5,acealbio,tmmx,30.6965,16.1436,34.25,22.73,40.19,daily
1,6,acealbio,tmmx,30.8068,13.9506,34.79,17.96,42.44,daily
1,7,acealbio,tmmx,33.0481,11.9272,33.17,26.6,38.57,daily
1,8,acealbio,tmmx,33.4777,11.5547,33.53,27.14,40.01,daily
1,9,acealbio,tmmx,33.2629,11.4011,36.05,28.67,40.1,daily
1,10,acealbio,tmmx,33.3384,14.3924,36.23,27.59,42.89,daily
1,11,acealbio,tmmx,30.8765,15.4496,35.51,24.17,41.45,daily
1,12,acealbio,tmmx,30.5165,14.2233,35.51,18.59,39.02,daily
1,13,acealbio,tmmx,33.4487,12.4264,36.95,27.23,43.25,daily
1,14,acealbio,tmmx,32.09,11.866,35.15,27.95,39.92,daily
1,15,acealbio,tmmx,33.2455,11.612,35.51,26.69,41.9,daily
1,16,acealbio,tmmx,32.3397,9.4166,33.17,27.68,39.29,daily
1,17,acealbio,tmmx,33.2281,9.6098,35.33,31.55,40.19,daily
1,18,acealbio,tmmx,33.4023,11.2622,35.15,27.5,40.19,daily
1,19,acealbio,tmmx,34.7377,10.2431,36.05,30.83,41.18,daily
1,20,acealbio,tmmx,34.5752,9.317,35.15,29.75,39.65,daily
1,21,acealbio,tmmx,34.7319,8.8639,34.25,31.55,39.2,daily
1,22,acealbio,tmmx,33.379,7.6144,34.97,31.19,37.76,daily
1,23,acealbio,tmmx,34.2442,7.6946,34.97,27.68,38.57,daily
1,24,acealbio,tmmx,33.2513,10.8441,34.79,26.69,39.29,daily
1,25,acealbio,tmmx,33.2745,14.464,36.77,23,44.33,daily
1,26,acealbio,tmmx,33.6287,13.4114,37.13,23.72,40.91,daily
1,27,acealbio,tmmx,34.3371,13.522,35.51,27.77,45.05,daily
1,28,acealbio,tmmx,34.5287,13.0434,36.41,27.68,42.62,daily
1,29,acealbio,tmmx,33.0539,13.6508,37.13,30.92,41.81,daily
1,30,acealbio,tmmx,34.9003,13.064,36.59,25.52,44.06,daily
1,31,acealbio,tmmx,35.6029,12.294,36.05,27.5,45.68,daily
2,1,acealbio,tmmx,34.5752,16.0374,37.31,22.01,48.2,daily
2,2,acealbio,tmmx,36.0384,13.5876,36.77,30.02,44.87,daily
2,3,acealbio,tmmx,33.5532,11.1096,34.61,29.21,39.74,daily
2,4,acealbio,tmmx,33.2165,13.3011,32.45,27.59,40.37,daily
2,5,acealbio,tmmx,34.3487,13.6492,36.05,28.85,41.36,daily
2,6,acealbio,tmmx,33.35,14.7519,36.23,28.13,41.81,daily
2,7,acealbio,tmmx,30.7139,15.0112,30.65,24.89,40.82,daily
2,8,acealbio,tmmx,30.4816,15.7935,34.43,22.28,42.17,daily
2,9,acealbio,tmmx,31.8403,16.0132,33.53,22.19,43.97,daily
2,10,acealbio,tmmx,31.3758,11.883,29.93,27.95,40.01,daily
2,11,acealbio,tmmx,31.0623,12.3963,33.35,23.63,37.94,daily
2,12,acealbio,tmmx,32.6823,12.9523,34.79,25.7,42.44,daily
2,13,acealbio,tmmx,35.6377,13.5071,38.21,25.97,43.25,daily
2,14,acealbio,tmmx,33.7216,13.19,35.51,27.86,42.98,daily
2,15,acealbio,tmmx,34.1571,11.2151,34.79,27.86,39.92,daily
2,16,acealbio,tmmx,37.3739,13.4597,40.73,32.18,42.89,daily
2,17,acealbio,tmmx,35.8874,14.38,38.39,33.53,42.53,daily
2,18,acealbio,tmmx,37.2055,13.07,40.73,27.5,44.06,daily
2,19,acealbio,tmmx,38.001,14.1549,40.01,30.02,45.68,daily
2,20,acealbio,tmmx,37.1881,13.3062,39.11,26.78,45.86,daily
2,21,acealbio,tmmx,38.8661,14.6976,39.47,28.85,47.93,daily
2,22,acealbio,tmmx,37.5074,14.656,39.65,26.15,49.46,daily
2,23,acealbio,tmmx,36.1719,11.6122,37.31,28.58,44.96,daily
2,24,acealbio,tmmx,34.9526,14.5943,34.07,28.4,46.4,daily
2,25,acealbio,tmmx,33.9016,15.257,32.81,28.94,44.51,daily
2,26,acealbio,tmmx,34.2094,13.5093,35.15,24.62,42.71,daily
2,27,acealbio,tmmx,35.4229,12.7186,33.53,28.4,42.8,daily
2,28,acealbio,tmmx,36.8803,13.0055,35.15,28.58,46.94,daily
2,29,acealbio,tmmx,45.185,14.0096,45.77,38.3,52.07,daily
3,1,acealbio,tmmx,36.3171,14.7333,36.23,28.31,45.5,daily
3,2,acealbio,tmmx,37.2287,15.2866,38.39,26.96,46.76,daily
3,3,acealbio,tmmx,40.6429,14.6981,39.29,31.73,52.43,daily
3,4,acealbio,tmmx,41.8971,16.4252,41.27,30.11,57.74,daily
3,5,acealbio,tmmx,41.4152,15.8094,43.61,30.92,49.46,daily
3,6,acealbio,tmmx,40.939,15.7855,38.21,31.82,53.33,daily
3,7,acealbio,tmmx,39.8706,15.2424,40.55,31.91,50.99,daily
3,8,acealbio,tmmx,41.7287,13.9557,45.59,37.13,50.72,daily
3,9,acealbio,tmmx,42.8842,13.4406,44.87,34.25,54.05,daily
3,10,acealbio,tmmx,42.4661,14.3082,41.81,34.43,52.7,daily
3,11,acealbio,tmmx,46.3332,13.3861,44.15,41.18,58.28,daily
3,12,acealbio,tmmx,47.2274,12.3556,46.31,38.21,54.59,daily
