month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceaugus,rmin,40.9031,9.9543,40.6,35.7,47.55,daily
1,2,aceaugus,rmin,40.9677,10.0614,43.4,33.7,48.75,daily
1,3,aceaugus,rmin,42.6161,13.9038,40.7,35.95,46.7,daily
1,4,aceaugus,rmin,41.0774,14.6558,38.6,32.7,46.15,daily
1,5,aceaugus,rmin,42.7,10.5465,44.3,36.45,45.95,daily
1,6,aceaugus,rmin,43.6968,10.5002,43.5,37.9,50.55,daily
1,7,aceaugus,rmin,44.2677,10.7624,44.9,39.4,49.95,daily
1,8,aceaugus,rmin,46.4,13.4924,48.3,41.55,50.1,daily
1,9,aceaugus,rmin,46.6613,16.4683,45.4,39.65,50.75,daily
1,10,aceaugus,rmin,45.0581,16.3393,42.6,36.8,48,daily
1,11,aceaugus,rmin,43.1161,14.0092,42.1,35.4,46.85,daily
1,12,aceaugus,rmin,40.8129,13.3082,40.5,34.85,43.7,daily
1,13,aceaugus,rmin,42.0032,13.918,42.8,34.75,45.5,daily
1,14,aceaugus,rmin,43.8258,12.0715,43.5,37.65,47.85,daily
1,15,aceaugus,rmin,40.1065,8.7313,40.4,32.8,46.35,daily
1,16,aceaugus,rmin,40.6097,9.2094,41.2,35.05,44.25,daily
1,17,aceaugus,rmin,42.3032,12.0158,38.9,35.55,46.45,daily
1,18,aceaugus,rmin,43.1065,7.9826,44.7,39.05,47.6,daily
1,19,aceaugus,rmin,40.2387,8.3333,42.1,37.35,45.1,daily
1,20,aceaugus,rmin,40.6226,11.1618,41.7,34.5,48.7,daily
1,21,aceaugus,rmin,39.6742,12.3627,40.5,35.2,46.6,daily
1,22,aceaugus,rmin,42.0774,11.004,41.7,35.85,50.75,daily
1,23,aceaugus,rmin,41.8613,11.4884,41.4,36.05,47.4,daily
1,24,aceaugus,rmin,40.5516,9.4996,41.8,36.05,46.05,daily
1,25,aceaugus,rmin,41.2903,11.533,43,34.35,47.55,daily
1,26,aceaugus,rmin,41.7871,10.1881,42.3,37.8,46.65,daily
1,27,aceaugus,rmin,39.5806,9.8908,38.9,34.95,43.1,daily
1,28,aceaugus,rmin,38.7677,10.1145,35.9,33.7,42.65,daily
1,29,aceaugus,rmin,41.0516,9.2211,42,33.5,48.45,daily
1,30,aceaugus,rmin,40.2032,12.3179,39.8,31.7,43.9,daily
1,31,aceaugus,rmin,39.6355,10.4766,42.1,30,46.4,daily
2,1,aceaugus,rmin,36.0968,10.3597,35.7,28.35,43.5,daily
2,2,aceaugus,rmin,37.3742,10.1224,39.6,28.25,44,daily
2,3,aceaugus,rmin,40.5,17.8562,38.2,29.8,45.1,daily
2,4,aceaugus,rmin,38.5645,13.1478,40.2,29.35,45.25,daily
2,5,aceaugus,rmin,39.2387,16.253,36.9,30.05,46.45,daily
2,6,aceaugus,rmin,41.7452,18.3684,40.6,28.6,46.1,daily
2,7,aceaugus,rmin,42.3452,15.5996,38.4,32.7,47.45,daily
2,8,aceaugus,rmin,42.2355,16.1546,40,32.05,46.45,daily
2,9,aceaugus,rmin,39.7323,13.1688,38.7,32.6,44.9,daily
2,10,aceaugus,rmin,40.7194,12.2806,38.2,33.55,48.45,daily
2,11,aceaugus,rmin,39.1419,13.5901,39.3,34.85,44.6,daily
2,12,aceaugus,rmin,39.3194,16.1275,36,31.45,44.5,daily
2,13,aceaugus,rmin,38.071,15.2226,37.3,27.1,43.65,daily
2,14,aceaugus,rmin,37.8032,13.1359,38.1,26.75,45.4,daily
2,15,aceaugus,rmin,41.7548,14.428,40.2,32.9,47.65,daily
2,16,aceaugus,rmin,40.1194,12.4322,41.3,35.5,44.2,daily
2,17,aceaugus,rmin,38.6516,10.4431,37.5,31.6,43.05,daily
2,18,aceaugus,rmin,37.529,9.7434,36.2,33.55,42.9,daily
2,19,aceaugus,rmin,37.2871,8.6819,37.8,31.55,42.65,daily
2,20,aceaugus,rmin,36.5258,9.1385,37.8,29.7,42.5,daily
2,21,aceaugus,rmin,37.6419,11.1735,35.3,32.05,43.95,daily
2,22,aceaugus,rmin,36.9452,10.1564,37.3,29.15,40.85,daily
2,23,aceaugus,rmin,37.6613,13.4463,36.1,28.45,43.9,daily
2,24,aceaugus,rmin,37.9323,10.3932,37.6,33.6,43.55,daily
2,25,aceaugus,rmin,37.5032,10.3188,36.3,32.8,42.7,daily
2,26,aceaugus,rmin,38.0581,10.8642,36,32.25,44.75,daily
2,27,aceaugus,rmin,38.129,8.4322,36.2,32.5,44.25,daily
2,28,aceaugus,rmin,39.9065,14.1293,38,32.75,46.3,daily
2,29,aceaugus,rmin,33.3,7.7809,32.95,27.875,39.4,daily
3,1,aceaugus,rmin,37.9645,9.1548,38.4,30.45,44,daily
3,2,aceaugus,rmin,38.3516,11.9601,36.2,32.05,45.2,daily
3,3,aceaugus,rmin,35.7839,8.4368,32.5,30.2,42.6,daily
3,4,aceaugus,rmin,37.5742,10.8518,35.8,29.95,43.1,daily
3,5,aceaugus,rmin,36.6387,10.8409,35.4,30.15,43.15,daily
3,6,aceaugus,rmin,36.8323,10.669,36.2,29.95,43.5,daily
3,7,aceaugus,rmin,37.1,9.0377,39,29.6,43.95,daily
3,8,aceaugus,rmin,36.8161,8.8304,35.8,29.7,43.05,daily
3,9,aceaugus,rmin,38.3161,15.1472,35.9,29.05,42.9,daily
3,10,aceaugus,rmin,33.8871,10.8049,31.9,26.55,38.9,daily
3,11,aceaugus,rmin,33.0452,9.6726,31.7,25.95,38.85,daily
3,12,aceaugus,rmin,32.6548,8.059,31.9,25.95,36.75,daily
3,13,aceaugus,rmin,31.6516,10.9621,30.6,25.15,35.35,daily
3,14,aceaugus,rmin,32.3806,14.0771,31.4,25.35,35.15,daily
3,15,aceaugus,rmin,34.1226,10.6526,31.9,28.6,36.7,daily
3,16,aceaugus,rmin,33.9419,12.031,32.7,27.55,38.2,daily
3,17,aceaugus,rmin,34.2484,9.1016,31.5,27.95,40.15,daily
3,18,aceaugus,rmin,34.5677,9.5425,32.9,27.65,40.05,daily
3,19,aceaugus,rmin,33.8065,10.0689,31.4,27.7,37.95,daily
3,20,aceaugus,rmin,30.2452,9.6191,28.6,23.4,34.1,daily
3,21,aceaugus,rmin,32.1677,10.3577,30.2,26.65,33.6,daily
3,22,aceaugus,rmin,33.7903,10.3348,32.4,27.8,41.6,daily
3,23,aceaugus,rmin,32.6935,9.2208,29.7,26.4,36.85,daily
3,24,aceaugus,rmin,34.2645,11.2713,32.6,26.45,38.35,daily
3,25,aceaugus,rmin,32.5742,9.68,31.1,24.95,37.6,daily
3,26,aceaugus,rmin,31.3161,7.3481,31.2,26.35,36.6,daily
3,27,aceaugus,rmin,32.7677,10.8411,29.5,25.55,41,daily
3,28,aceaugus,rmin,33,11.0499,30.9,24.85,39.5,daily
3,29,aceaugus,rmin,33.6194,9.1255,32.9,27.05,39,daily
3,30,aceaugus,rmin,30.9258,8.5374,31.9,25.95,35.25,daily
3,31,aceaugus,rmin,31.1032,11.512,29,22.85,37.6,daily
4,1,aceaugus,rmin,34.1258,15.1301,32.5,24.95,39.7,daily
4,2,aceaugus,rmin,34.4645,13.635,31.5,26.7,38.05,daily
4,3,aceaugus,rmin,33.1129,8.7851,34.5,28.7,38.55,daily
4,4,aceaugus,rmin,30.3419,7.1016,30.7,26,35.7,daily
4,5,aceaugus,rmin,35.8581,11.9308,33.7,29.25,37.6,daily
4,6,aceaugus,rmin,33.4032,9.948,30.2,28.55,33.75,daily
4,7,aceaugus,rmin,31.5,10.2254,27.8,24.7,36.2,daily
4,8,aceaugus,rmin,30.6839,9.4943,29,23.9,36.05,daily
4,9,aceaugus,rmin,31.7,11.4098,30.4,23.75,35.2,daily
