month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebellt,rmin,45.0688,9.5436,45.5,38.95,50.925,daily
1,2,acebellt,rmin,44.2613,12.578,43.5,39.15,52.5,daily
1,3,acebellt,rmin,45.8258,15.7308,43.4,38.05,50.85,daily
1,4,acebellt,rmin,43.5194,14.1043,41.5,36.05,46.15,daily
1,5,acebellt,rmin,44.4645,12.6274,44.5,36.4,49.15,daily
1,6,acebellt,rmin,42.3258,12.4599,45.8,38.5,48.8,daily
1,7,acebellt,rmin,44.9839,11.5754,45.7,40.65,52.95,daily
1,8,acebellt,rmin,44.8774,11.7644,46,42.15,49.1,daily
1,9,acebellt,rmin,44.3677,12.6981,44.2,33.15,53.9,daily
1,10,acebellt,rmin,43.7484,10.9087,42.3,38,52.9,daily
1,11,acebellt,rmin,45.1968,12.2789,43.2,39.65,49.6,daily
1,12,acebellt,rmin,42.2258,10.5015,41.5,35.3,48.55,daily
1,13,acebellt,rmin,42.6774,9.3998,41.9,37.6,48.55,daily
1,14,acebellt,rmin,46.8806,9.9094,49.3,38.85,53.1,daily
1,15,acebellt,rmin,44.9,9.31,43.5,38.1,49.85,daily
1,16,acebellt,rmin,44.8516,10.0056,45.6,38.75,49.45,daily
1,17,acebellt,rmin,43.0097,7.7272,42.1,38.75,48.25,daily
1,18,acebellt,rmin,45.729,9.8946,44.1,39.75,50.5,daily
1,19,acebellt,rmin,45.1903,9.4524,44.7,39.75,49.1,daily
1,20,acebellt,rmin,46.6935,11.2333,46.8,42.5,51.9,daily
1,21,acebellt,rmin,45.9935,10.5476,46.8,41.15,53,daily
1,22,acebellt,rmin,44.929,9.624,46,39.2,49,daily
1,23,acebellt,rmin,44.7484,10.36,45.2,38.7,51.75,daily
1,24,acebellt,rmin,45.9581,9.6829,44.7,40.3,51.3,daily
1,25,acebellt,rmin,45.3935,10.8141,45.3,36.3,51.05,daily
1,26,acebellt,rmin,45.0806,11.0717,46.9,36.85,51.6,daily
1,27,acebellt,rmin,44.2645,10.7785,46,38.3,50.5,daily
1,28,acebellt,rmin,42.371,11.1948,44.1,35.9,48.95,daily
1,29,acebellt,rmin,45.2194,12.9461,45.2,38.05,55.7,daily
1,30,acebellt,rmin,46.3484,13.4188,46,38.65,53.4,daily
1,31,acebellt,rmin,42.071,10.6596,41.7,35.7,47.15,daily
2,1,acebellt,rmin,44.7484,16.3278,46.1,34.05,54,daily
2,2,acebellt,rmin,45.3935,16.7922,45.8,34.25,54.05,daily
2,3,acebellt,rmin,50.7097,14.7094,49.6,40.55,54.2,daily
2,4,acebellt,rmin,50.3677,14.0304,50.3,44.35,56.35,daily
2,5,acebellt,rmin,49.3839,14.8766,51,37.65,60.05,daily
2,6,acebellt,rmin,49.8613,14.1579,50.1,42.2,59.8,daily
2,7,acebellt,rmin,49.6161,15.0564,51.1,36.8,60.95,daily
2,8,acebellt,rmin,49.4032,12.0638,48.3,42.4,54.1,daily
2,9,acebellt,rmin,46.3129,9.9394,47.2,38,51.7,daily
2,10,acebellt,rmin,48.4097,12.5229,50.1,41.75,57.8,daily
