month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebeltn,rmax,82.3844,12.0469,84.65,74.325,91.525,daily
1,2,acebeltn,rmax,78.471,16.0743,81.5,71,88.85,daily
1,3,acebeltn,rmax,78.9065,15.1625,78.5,70.5,91.7,daily
1,4,acebeltn,rmax,76.0129,15.7693,76.8,67.05,86.5,daily
1,5,acebeltn,rmax,76.8968,13.2995,78.4,68.2,83.75,daily
1,6,acebeltn,rmax,75.8871,16.32,76.1,66.8,84.2,daily
1,7,acebeltn,rmax,79.5516,13.8509,77.9,72.2,89.7,daily
1,8,acebeltn,rmax,83.4226,15.6594,85.4,76.5,99.65,daily
1,9,acebeltn,rmax,81.5903,12.9286,80.3,71.85,93.1,daily
1,10,acebeltn,rmax,80.3516,13.4737,81.4,73.8,86.85,daily
1,11,acebeltn,rmax,78.1774,12.9659,76.8,70.9,81.55,daily
1,12,acebeltn,rmax,77.5065,17.3841,76.8,65.25,94.2,daily
1,13,acebeltn,rmax,75.4903,13.3436,77.9,65.05,83.3,daily
1,14,acebeltn,rmax,79.8097,14.3246,80.8,69.35,90.2,daily
1,15,acebeltn,rmax,80.7806,16.1495,88.2,71.65,92.9,daily
1,16,acebeltn,rmax,79.6516,13.5151,78.2,69.3,92.55,daily
1,17,acebeltn,rmax,76.3581,15.2894,74.6,69,88.25,daily
1,18,acebeltn,rmax,79.5645,15.5605,80.1,69.55,93.05,daily
1,19,acebeltn,rmax,75.6097,13.3648,72.2,67.2,87.2,daily
1,20,acebeltn,rmax,77.4161,15.985900000000001,77.1,71.65,85.8,daily
1,21,acebeltn,rmax,77.5871,15.4637,78.6,73.9,89.85,daily
1,22,acebeltn,rmax,76.2194,14.8028,74.8,64.55,85.7,daily
1,23,acebeltn,rmax,77.8419,13.5802,80,67.25,86.65,daily
1,24,acebeltn,rmax,75.4968,15.3531,77.5,67.8,84.5,daily
1,25,acebeltn,rmax,75.9903,12.7036,75.5,71.7,81.3,daily
1,26,acebeltn,rmax,78.6323,16.3319,74.7,69.25,94.7,daily
1,27,acebeltn,rmax,77.4774,16.9368,76.9,65.85,93,daily
1,28,acebeltn,rmax,77.8645,15.0222,78.5,68.3,90.3,daily
1,29,acebeltn,rmax,76.9903,15.7349,78.1,68.95,83.05,daily
1,30,acebeltn,rmax,77.0097,13.8245,73.7,67.7,82.1,daily
1,31,acebeltn,rmax,72.7355,18.4047,71.1,57.15,85,daily
2,1,acebeltn,rmax,78.8871,19.1894,80.7,67.1,99.65,daily
2,2,acebeltn,rmax,81.8548,12.5293,82,72.1,88.25,daily
2,3,acebeltn,rmax,82.1484,13.6089,82.9,71.1,94.45,daily
2,4,acebeltn,rmax,78.9871,16.4304,79.8,68.75,93.5,daily
2,5,acebeltn,rmax,79.0742,17.7825,81.6,63.35,95.9,daily
2,6,acebeltn,rmax,83.0323,17.245,85.2,72.2,98.65,daily
2,7,acebeltn,rmax,85.4774,14.172,90,76.7,98.3,daily
2,8,acebeltn,rmax,86.6032,15.1839,94.3,72.45,100,daily
2,9,acebeltn,rmax,88.3774,12.1579,92.9,81.25,100,daily
2,10,acebeltn,rmax,87.6677,13.5704,88.2,80.25,100,daily
2,11,acebeltn,rmax,82.2097,15.2817,84.6,73.55,96.6,daily
2,12,acebeltn,rmax,77.529,18.8048,83.4,60.5,94.4,daily
2,13,acebeltn,rmax,77.9032,16.9853,74.6,62.55,93.9,daily
2,14,acebeltn,rmax,80.9194,17.1918,84.3,69.2,96.95,daily
2,15,acebeltn,rmax,81.2065,18.546,84.2,76.95,95.45,daily
2,16,acebeltn,rmax,79.8258,15.6324,83.4,70.1,87.85,daily
2,17,acebeltn,rmax,79.6484,15.2251,81,68.8,91.7,daily
2,18,acebeltn,rmax,78.7839,16.1575,78.2,68.9,92.45,daily
2,19,acebeltn,rmax,79.0742,14.5223,79,73.95,90.7,daily
2,20,acebeltn,rmax,79.2387,17.5939,80.7,65.3,97,daily
2,21,acebeltn,rmax,78.9419,19.3115,76.8,68.05,98.9,daily
2,22,acebeltn,rmax,82.4742,13.3146,83.5,74.05,92.5,daily
2,23,acebeltn,rmax,79.6258,15.682,80.6,68.65,91.7,daily
2,24,acebeltn,rmax,82.2065,15.323,87.1,68.85,93.6,daily
2,25,acebeltn,rmax,81.0032,17.1896,81,69.25,96.7,daily
2,26,acebeltn,rmax,81.7452,14.1523,82.8,72.9,93,daily
2,27,acebeltn,rmax,84.6065,14.8313,87.9,75.1,99.15,daily
2,28,acebeltn,rmax,81.4968,15.9868,79.7,70.05,99.4,daily
2,29,acebeltn,rmax,77.075,14.4392,76.15,68.625,82.75,daily
3,1,acebeltn,rmax,83.0258,13.268,83.3,74.65,96.95,daily
3,2,acebeltn,rmax,82.6097,14.8838,83.2,69.7,95.1,daily
3,3,acebeltn,rmax,86.6806,14.4787,87.5,79.35,99.95,daily
3,4,acebeltn,rmax,87.0839,11.9539,91.1,78.8,100,daily
3,5,acebeltn,rmax,85.2548,15.0964,89.4,74.6,100,daily
3,6,acebeltn,rmax,88.0097,10.8682,90.1,83.15,98.05,daily
3,7,acebeltn,rmax,86.1387,12.6649,90.5,73.35,99.35,daily
3,8,acebeltn,rmax,84.7742,13.3426,83.5,77.9,98.55,daily
3,9,acebeltn,rmax,83.2419,15.3025,85.9,69.8,99.95,daily
3,10,acebeltn,rmax,80.6323,17.4952,83,68.45,100,daily
3,11,acebeltn,rmax,75.9194,15.6404,80.4,66.5,86.35,daily
3,12,acebeltn,rmax,78.0806,13.258,79.1,69.4,84.9,daily
3,13,acebeltn,rmax,77.7032,13.3715,75.1,67.35,87.75,daily
3,14,acebeltn,rmax,76.2226,16.4121,78.1,62.45,89.55,daily
3,15,acebeltn,rmax,79.3258,14.6554,76.6,69.15,92.75,daily
3,16,acebeltn,rmax,80.2419,14.6087,77.3,70.65,95.4,daily
3,17,acebeltn,rmax,81.6613,12.5502,81.3,72.45,91.5,daily
3,18,acebeltn,rmax,79.9935,13.0632,81.1,73.8,88.5,daily
3,19,acebeltn,rmax,78.4871,13.5016,78.4,69.3,87.5,daily
3,20,acebeltn,rmax,75.2258,16.3149,75.3,64.45,82.65,daily
3,21,acebeltn,rmax,76.971,14.5645,73.5,68.25,85.9,daily
3,22,acebeltn,rmax,80.8387,15.5126,81.5,69.05,93.4,daily
3,23,acebeltn,rmax,78.5484,16.0864,78.6,65.25,90.3,daily
3,24,acebeltn,rmax,80.7774,14.5491,80.8,69.1,93.45,daily
3,25,acebeltn,rmax,81.2548,14.5099,80.4,66.9,95.9,daily
3,26,acebeltn,rmax,75.9,16.5012,75,61.45,88,daily
3,27,acebeltn,rmax,78.4387,13.677,75.8,69.9,85.75,daily
3,28,acebeltn,rmax,78.8935,15.1963,77.2,67.45,91.2,daily
3,29,acebeltn,rmax,80.9903,14.204,77.6,70.75,94.05,daily
3,30,acebeltn,rmax,76.9839,16.4558,79.6,64.5,89.45,daily
3,31,acebeltn,rmax,77.6452,15.4323,76.2,67.35,88.5,daily
4,1,acebeltn,rmax,80.6161,16.4506,81,69,95.95,daily
4,2,acebeltn,rmax,82.4645,15.8293,85.6,71.1,98.3,daily
4,3,acebeltn,rmax,80.7516,14.9236,85.7,71.05,92.5,daily
