month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebilli,pet,0.0385,0.0233,0.0315,0.0226,0.0522,daily
1,2,acebilli,pet,0.0439,0.0255,0.0394,0.0276,0.0551,daily
1,3,acebilli,pet,0.0445,0.0335,0.0394,0.0177,0.065,daily
1,4,acebilli,pet,0.0467,0.0325,0.0394,0.0236,0.0669,daily
1,5,acebilli,pet,0.0429,0.0303,0.0433,0.0197,0.0551,daily
1,6,acebilli,pet,0.0461,0.0269,0.0433,0.0276,0.0669,daily
1,7,acebilli,pet,0.0448,0.03,0.0433,0.0256,0.0531,daily
1,8,acebilli,pet,0.0433,0.0298,0.0433,0.0177,0.0531,daily
1,9,acebilli,pet,0.0425,0.0263,0.0472,0.0177,0.0571,daily
1,10,acebilli,pet,0.0461,0.0279,0.0472,0.0177,0.063,daily
1,11,acebilli,pet,0.0466,0.029,0.0472,0.0197,0.0689,daily
1,12,acebilli,pet,0.0478,0.0323,0.0433,0.0197,0.0709,daily
1,13,acebilli,pet,0.0565,0.0376,0.0591,0.0276,0.0728,daily
1,14,acebilli,pet,0.0446,0.026,0.0354,0.0256,0.065,daily
1,15,acebilli,pet,0.0483,0.0278,0.0472,0.0315,0.0591,daily
1,16,acebilli,pet,0.0447,0.0237,0.0394,0.0256,0.061,daily
1,17,acebilli,pet,0.0464,0.0222,0.0433,0.0354,0.0531,daily
1,18,acebilli,pet,0.0493,0.0258,0.0472,0.0315,0.0669,daily
1,19,acebilli,pet,0.0531,0.026,0.0512,0.0374,0.063,daily
1,20,acebilli,pet,0.0475,0.0261,0.0433,0.0354,0.0512,daily
1,21,acebilli,pet,0.0472,0.0252,0.0433,0.0295,0.061,daily
1,22,acebilli,pet,0.0447,0.0207,0.0394,0.0315,0.0591,daily
1,23,acebilli,pet,0.0447,0.0237,0.0394,0.0315,0.063,daily
1,24,acebilli,pet,0.0519,0.0306,0.0433,0.0276,0.0709,daily
1,25,acebilli,pet,0.0522,0.0288,0.0512,0.0295,0.0709,daily
1,26,acebilli,pet,0.0484,0.0267,0.0512,0.0197,0.063,daily
1,27,acebilli,pet,0.048,0.0268,0.0394,0.0276,0.0591,daily
1,28,acebilli,pet,0.0514,0.0261,0.0472,0.0335,0.065,daily
1,29,acebilli,pet,0.0508,0.0261,0.0472,0.0335,0.065,daily
1,30,acebilli,pet,0.0591,0.031,0.0591,0.0374,0.0709,daily
1,31,acebilli,pet,0.0606,0.0337,0.0591,0.0394,0.0787,daily
2,1,acebilli,pet,0.0587,0.0422,0.0512,0.0295,0.0748,daily
2,2,acebilli,pet,0.0579,0.0309,0.0512,0.0394,0.0787,daily
2,3,acebilli,pet,0.0466,0.0286,0.0394,0.0276,0.0689,daily
2,4,acebilli,pet,0.0517,0.0332,0.0472,0.0256,0.0728,daily
2,5,acebilli,pet,0.0566,0.0334,0.0551,0.0295,0.0827,daily
2,6,acebilli,pet,0.0527,0.0333,0.0512,0.0354,0.0689,daily
2,7,acebilli,pet,0.0471,0.034,0.0394,0.0217,0.063,daily
2,8,acebilli,pet,0.0481,0.0373,0.0354,0.0177,0.0669,daily
2,9,acebilli,pet,0.0497,0.0324,0.0433,0.0295,0.0669,daily
2,10,acebilli,pet,0.0493,0.0245,0.0472,0.0315,0.0669,daily
2,11,acebilli,pet,0.0516,0.0297,0.0472,0.0276,0.0689,daily
2,12,acebilli,pet,0.0606,0.0315,0.0591,0.0354,0.0866,daily
2,13,acebilli,pet,0.0702,0.0383,0.0709,0.0394,0.1004,daily
2,14,acebilli,pet,0.0564,0.0335,0.0591,0.0315,0.0787,daily
2,15,acebilli,pet,0.0592,0.0398,0.0512,0.0315,0.0689,daily
2,16,acebilli,pet,0.0653,0.0346,0.0591,0.0453,0.0846,daily
2,17,acebilli,pet,0.0632,0.0335,0.063,0.0433,0.0807,daily
2,18,acebilli,pet,0.0612,0.035,0.0591,0.0354,0.0787,daily
2,19,acebilli,pet,0.0738,0.0426,0.0787,0.0354,0.0906,daily
2,20,acebilli,pet,0.0693,0.0424,0.063,0.0374,0.0866,daily
2,21,acebilli,pet,0.0691,0.0388,0.063,0.0394,0.0984,daily
2,22,acebilli,pet,0.0677,0.0394,0.0551,0.0374,0.0906,daily
2,23,acebilli,pet,0.0627,0.0269,0.0709,0.0374,0.0827,daily
2,24,acebilli,pet,0.063,0.0359,0.063,0.0394,0.0748,daily
2,25,acebilli,pet,0.0587,0.0325,0.0551,0.0394,0.0807,daily
