month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebirne,rmax,95.7062,9.1388,100,97.025,100,daily
1,2,acebirne,rmax,95.3806,7.826,100,93.65,100,daily
1,3,acebirne,rmax,94.0355,9.2191,100,90.25,100,daily
1,4,acebirne,rmax,92.0387,11.8988,100,85.8,100,daily
1,5,acebirne,rmax,92.6323,10.9263,100,87.6,100,daily
1,6,acebirne,rmax,94.1548,9.8832,100,93.15,100,daily
1,7,acebirne,rmax,91.3806,12.3886,97.8,89.05,100,daily
1,8,acebirne,rmax,94.6,11.6264,100,96.4,100,daily
1,9,acebirne,rmax,93.7226,11.2338,100,93.05,100,daily
1,10,acebirne,rmax,94.1,8.7574,100,89.1,100,daily
1,11,acebirne,rmax,92.7484,11.3987,100,87.85,100,daily
1,12,acebirne,rmax,90.8806,13.4675,100,82.8,100,daily
1,13,acebirne,rmax,89.6806,14.5917,100,80.1,100,daily
1,14,acebirne,rmax,92.8677,11.3748,100,88.35,100,daily
1,15,acebirne,rmax,91.8871,11.7022,100,81.35,100,daily
1,16,acebirne,rmax,94.3806,9.482,100,91.45,100,daily
1,17,acebirne,rmax,95,9.5685,100,92.15,100,daily
1,18,acebirne,rmax,91.0032,11.6914,100,79,100,daily
1,19,acebirne,rmax,91.229,12.5308,99.3,87.5,100,daily
1,20,acebirne,rmax,91.5161,13.156,100,83.4,100,daily
1,21,acebirne,rmax,91.3065,14.2278,100,87.5,100,daily
1,22,acebirne,rmax,95.0387,10.6562,100,96.8,100,daily
1,23,acebirne,rmax,93.5774,9.4908,100,88.65,100,daily
1,24,acebirne,rmax,91.8935,12.5432,100,84.35,100,daily
1,25,acebirne,rmax,88.6774,14.8585,97.8,80.25,100,daily
1,26,acebirne,rmax,88.8355,14.3845,95,79.45,100,daily
1,27,acebirne,rmax,92.1194,11.9758,98.7,87.9,100,daily
1,28,acebirne,rmax,91.1032,12.2564,95.1,85.25,100,daily
1,29,acebirne,rmax,94.2839,10.7375,100,92.75,100,daily
1,30,acebirne,rmax,92.6774,11.1405,100,85.75,100,daily
1,31,acebirne,rmax,88.5226,12.1414,91.6,81.2,99.85,daily
2,1,acebirne,rmax,87.4935,15.0865,93,78,100,daily
2,2,acebirne,rmax,90.1065,13.5452,97.9,80.45,100,daily
2,3,acebirne,rmax,94.7323,9.3652,100,90.45,100,daily
2,4,acebirne,rmax,91.6935,12.1265,100,84.75,100,daily
2,5,acebirne,rmax,88.4129,14.5048,95.4,81.9,100,daily
2,6,acebirne,rmax,91.5032,13.6487,100,86.65,100,daily
2,7,acebirne,rmax,94.0161,11.4105,100,95.2,100,daily
2,8,acebirne,rmax,93.871,8.5583,100,90.3,100,daily
2,9,acebirne,rmax,94.1806,9.0393,100,92.5,100,daily
2,10,acebirne,rmax,94.7742,11.0786,100,97.35,100,daily
2,11,acebirne,rmax,93.8839,9.6682,100,89.15,100,daily
2,12,acebirne,rmax,91.2677,12.9696,100,83.45,100,daily
2,13,acebirne,rmax,88.9548,12.5417,94.2,78.35,100,daily
2,14,acebirne,rmax,90.8645,12.3893,100,80,100,daily
2,15,acebirne,rmax,91.7806,12.9676,99.8,89.6,100,daily
2,16,acebirne,rmax,89.0871,13.6303,94.2,78.8,100,daily
2,17,acebirne,rmax,88.3065,13.4901,93.3,81.95,100,daily
2,18,acebirne,rmax,89.7484,12.3001,94.6,82.9,100,daily
2,19,acebirne,rmax,90.4548,14.0777,99.5,81.9,100,daily
2,20,acebirne,rmax,88.1516,15.9797,97.1,79.45,100,daily
2,21,acebirne,rmax,87.1452,16.6503,94.2,75.25,100,daily
2,22,acebirne,rmax,90.4032,14.5972,99.6,84.65,100,daily
2,23,acebirne,rmax,92.371,10.5058,96.9,86.15,100,daily
2,24,acebirne,rmax,88.5097,15.2398,97.2,82.25,100,daily
2,25,acebirne,rmax,89.3258,14.5908,98.8,83.15,100,daily
2,26,acebirne,rmax,91.9355,12.6618,100,86.35,100,daily
2,27,acebirne,rmax,94.8581,8.6221,100,90.75,100,daily
2,28,acebirne,rmax,92.2452,11.3379,99.5,89.5,100,daily
2,29,acebirne,rmax,85.125,14.9143,89.8,73.25,97.45,daily
3,1,acebirne,rmax,87.9581,14.3431,92.9,78.45,100,daily
3,2,acebirne,rmax,88.1161,11.2433,88,82.2,100,daily
3,3,acebirne,rmax,87.7742,13.2235,90.8,77.15,100,daily
3,4,acebirne,rmax,86.7839,12.5039,86.3,78.95,100,daily
3,5,acebirne,rmax,86.9839,14.5039,92.6,74.35,100,daily
3,6,acebirne,rmax,86.4806,15.4324,94.2,76.3,99.65,daily
3,7,acebirne,rmax,89.8935,11.7019,93.1,83.7,100,daily
3,8,acebirne,rmax,88.6226,12.3921,92.5,83.4,100,daily
3,9,acebirne,rmax,85.4452,13.6908,88.2,79.75,96.3,daily
3,10,acebirne,rmax,83.1871,17.7897,88.6,68.5,100,daily
3,11,acebirne,rmax,78.7677,18.8235,80.8,62.8,100,daily
3,12,acebirne,rmax,80.5548,15.8551,80.8,68.9,97.1,daily
3,13,acebirne,rmax,80.2516,13.8788,79.7,71.7,92,daily
3,14,acebirne,rmax,80.7226,14.7718,79.2,68.95,93.45,daily
3,15,acebirne,rmax,82.5903,15.2663,84.2,76.2,95.2,daily
3,16,acebirne,rmax,82.4645,14.6213,82.9,71.15,96.05,daily
3,17,acebirne,rmax,83.6742,13.6705,83.8,72.95,96.25,daily
3,18,acebirne,rmax,85.9065,14.754,91.6,71.8,99.5,daily
3,19,acebirne,rmax,81.8194,15.5996,81.5,66.45,99.05,daily
3,20,acebirne,rmax,79.0839,15.0581,82.6,67.45,92.15,daily
3,21,acebirne,rmax,80.1419,17.1077,81.4,65.65,99.4,daily
3,22,acebirne,rmax,83.1258,15.451,88.6,70.35,98,daily
3,23,acebirne,rmax,85.7516,14.6357,86.4,74.6,100,daily
3,24,acebirne,rmax,84.7516,14.3354,88.1,77.05,96.75,daily
3,25,acebirne,rmax,81,16.2188,77,70.9,98.85,daily
3,26,acebirne,rmax,79.8935,16.309,76.7,68.4,98.15,daily
3,27,acebirne,rmax,82.7226,11.9631,80.4,73.3,94.7,daily
3,28,acebirne,rmax,81.1968,15.594,81,70.15,98.3,daily
3,29,acebirne,rmax,80.0452,17.7443,85.6,67.55,97.1,daily
3,30,acebirne,rmax,81.0065,18.0715,83.6,66.8,98.9,daily
3,31,acebirne,rmax,78.6516,19.9037,79.8,69.25,100,daily
4,1,acebirne,rmax,84.8968,15.8457,91.4,67.9,99.9,daily
4,2,acebirne,rmax,84.729,16.198,88.1,72.75,100,daily
4,3,acebirne,rmax,84.7452,16.7856,96.7,68.1,100,daily
