month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebootl,tmmn,6.1081,15.0716,8.6,-1.255,16.295,daily
1,2,acebootl,tmmn,6.5706,13.5378,3.83,-2.74,18.14,daily
1,3,acebootl,tmmn,7.1106,16.2848,5.27,-6.07,21.11,daily
1,4,acebootl,tmmn,6.0829,14.8698,6.53,-7.24,19.58,daily
1,5,acebootl,tmmn,6.1003,16.7519,9.77,-8.41,21.38,daily
1,6,acebootl,tmmn,5.8506,16.4436,9.41,-7.42,20.3,daily
1,7,acebootl,tmmn,8.301,13.0406,11.75,-2.47,16.88,daily
1,8,acebootl,tmmn,8.0571,14.2209,11.57,-4.63,17.78,daily
1,9,acebootl,tmmn,7.0932,13.3461,11.21,-4.63,17.15,daily
1,10,acebootl,tmmn,6.6577,15.1756,9.77,-5.26,19.31,daily
1,11,acebootl,tmmn,6.2281,17.3843,9.95,-3.46,20.03,daily
1,12,acebootl,tmmn,7.3487,17.1907,15.89,-6.97,19.04,daily
1,13,acebootl,tmmn,9.4274,15.3515,15.17,3.11,20.75,daily
1,14,acebootl,tmmn,7.2674,14.6662,8.51,-0.31,17.96,daily
1,15,acebootl,tmmn,7.6216,13.6442,10.13,0.23,16.34,daily
1,16,acebootl,tmmn,7.3952,12.2089,8.51,1.85,18.32,daily
1,17,acebootl,tmmn,10.5423,12.6443,12.29,7.34,20.66,daily
1,18,acebootl,tmmn,11.5003,14.386,12.65,5.99,22.91,daily
1,19,acebootl,tmmn,12.6906,11.8779,14.63,7.25,20.57,daily
1,20,acebootl,tmmn,12.6848,10.331,13.73,9.05,19.58,daily
1,21,acebootl,tmmn,10.9313,9.5106,11.93,9.14,16.52,daily
1,22,acebootl,tmmn,12.8184,8.4086,14.09,9.41,17.24,daily
1,23,acebootl,tmmn,10.9197,11.0305,11.93,2.39,18.32,daily
1,24,acebootl,tmmn,10.641,13.0831,9.59,3.92,20.21,daily
1,25,acebootl,tmmn,11.6165,13.3228,14.81,1.4,22.28,daily
1,26,acebootl,tmmn,10.519,14.015,9.77,3.83,20.84,daily
1,27,acebootl,tmmn,11.2565,14.9005,14.81,5.27,22.82,daily
1,28,acebootl,tmmn,9.2532,14.994,10.13,4.1,18.86,daily
1,29,acebootl,tmmn,9.8106,14.6026,11.21,4.82,19.58,daily
1,30,acebootl,tmmn,11.9881,15.2913,18.23,3.92,22.19,daily
1,31,acebootl,tmmn,12.139,12.7442,14.45,3.83,20.3,daily
2,1,acebootl,tmmn,11.0068,13.8616,15.89,3.47,20.21,daily
2,2,acebootl,tmmn,10.31,12.4863,12.11,4.64,20.39,daily
2,3,acebootl,tmmn,8.5565,12.5875,11.03,3.47,17.69,daily
2,4,acebootl,tmmn,10.7281,12.0246,12.11,3.92,21.29,daily
2,5,acebootl,tmmn,11.8255,12.8874,14.99,7.7,20.66,daily
2,6,acebootl,tmmn,10.0835,15.8792,15.89,3.47,20.75,daily
2,7,acebootl,tmmn,8.4926,16.3372,13.73,2.93,19.13,daily
2,8,acebootl,tmmn,7.6158,16.5589,13.37,-3.73,19.67,daily
2,9,acebootl,tmmn,7.0119,16.3244,13.01,-3.28,17.33,daily
2,10,acebootl,tmmn,7.1048,14.3068,9.59,2.48,15.62,daily
2,11,acebootl,tmmn,6.559,14.4633,10.49,0.41,16.79,daily
2,12,acebootl,tmmn,10.2287,14.9825,14.81,6.44,20.39,daily
2,13,acebootl,tmmn,12.3016,15.2099,16.61,5.72,23.81,daily
2,14,acebootl,tmmn,10.9313,14.1494,12.47,4.28,20.12,daily
2,15,acebootl,tmmn,12.1158,11.7845,14.27,5.09,21.11,daily
2,16,acebootl,tmmn,14.2003,13.0717,19.13,8.15,22.1,daily
2,17,acebootl,tmmn,13.0448,13.1009,17.15,7.25,21.74,daily
2,18,acebootl,tmmn,12.4932,14.2872,17.33,4.55,22.82,daily
2,19,acebootl,tmmn,12.3423,14.858,15.71,3.02,23.18,daily
2,20,acebootl,tmmn,12.8416,13.0959,15.35,6.17,22.46,daily
2,21,acebootl,tmmn,11.4829,14.1538,16.07,1.49,21.74,daily
2,22,acebootl,tmmn,13.1203,13.7548,19.13,5.9,23.63,daily
2,23,acebootl,tmmn,11.8952,13.3332,17.51,7.34,20.84,daily
