month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebrdus,rmin,42.1406,7.3637,43.1,37.65,46.15,daily
1,2,acebrdus,rmin,42.0516,11.0208,43.2,36.45,48.45,daily
1,3,acebrdus,rmin,43.2161,14.5907,41.5,35.9,49.55,daily
1,4,acebrdus,rmin,40.2645,10.6611,39.3,35.2,43.2,daily
1,5,acebrdus,rmin,40.8484,10.3632,39.2,34.85,50.25,daily
1,6,acebrdus,rmin,39.7129,12.3965,38.5,34.6,45.4,daily
1,7,acebrdus,rmin,39.8516,9.3561,41.3,35.2,46.25,daily
1,8,acebrdus,rmin,41.9258,11.4707,41.4,36,45.35,daily
1,9,acebrdus,rmin,40.1097,11.8044,39.6,32.65,47.9,daily
1,10,acebrdus,rmin,40.5258,9.6395,40.7,35.1,46.8,daily
1,11,acebrdus,rmin,41.2935,10.823,39.7,34.95,45.75,daily
1,12,acebrdus,rmin,38.0452,8.4888,38.5,33.8,43.15,daily
1,13,acebrdus,rmin,38.5161,8.0382,37.7,32.35,44.6,daily
1,14,acebrdus,rmin,42.3419,8.8613,43.2,35.85,49.75,daily
1,15,acebrdus,rmin,39.7774,9.0869,39,33.7,43.8,daily
1,16,acebrdus,rmin,39.7581,10.4777,41,34.8,44.85,daily
1,17,acebrdus,rmin,39.8935,8.0477,42.2,34.75,44.05,daily
1,18,acebrdus,rmin,40.8903,8.6329,39.5,36.35,45.2,daily
1,19,acebrdus,rmin,40.0161,8.3618,43,34.4,45.65,daily
1,20,acebrdus,rmin,41.3613,10.2775,41.2,34.3,47.25,daily
1,21,acebrdus,rmin,42.0097,8.9601,42.9,38.45,48.25,daily
1,22,acebrdus,rmin,41.9032,8.5238,43.6,34.75,48.7,daily
1,23,acebrdus,rmin,42.0419,10.1639,41.3,37.2,49,daily
1,24,acebrdus,rmin,41.8,10.2025,39.7,35,44.85,daily
1,25,acebrdus,rmin,41.729,10.8301,41.3,32.75,48.6,daily
1,26,acebrdus,rmin,41.0742,9.5681,43.6,35.7,47.05,daily
1,27,acebrdus,rmin,39.529,9.2511,41.9,34.35,46,daily
1,28,acebrdus,rmin,38.3194,9.6075,38.1,31.9,44.7,daily
1,29,acebrdus,rmin,39.829,10.8785,39.6,33.15,45.9,daily
1,30,acebrdus,rmin,43.1032,12.4207,40,35.3,47.95,daily
1,31,acebrdus,rmin,39.4065,9.9085,39.4,32.75,43.95,daily
2,1,acebrdus,rmin,42.5258,14.7846,41.7,32.25,49.65,daily
2,2,acebrdus,rmin,43.2839,15.2491,43.1,36.6,49.75,daily
2,3,acebrdus,rmin,46.5194,13.1054,46.2,37.85,55.6,daily
2,4,acebrdus,rmin,47.2806,13.2538,48.3,38,53.2,daily
2,5,acebrdus,rmin,46.5323,14.8704,46.3,35.2,56.15,daily
2,6,acebrdus,rmin,46.7129,12.6175,48,38.55,54.35,daily
2,7,acebrdus,rmin,47.2903,13.8555,46.8,36,56.15,daily
2,8,acebrdus,rmin,45.8323,10.8567,44.8,38.45,50.05,daily
2,9,acebrdus,rmin,43.6613,11.5992,41.5,34.85,49.25,daily
2,10,acebrdus,rmin,45.0129,12.5646,44.5,37.65,53.9,daily
2,11,acebrdus,rmin,42.7258,12.3249,44,36.4,50.05,daily
2,12,acebrdus,rmin,41.9677,11.0951,41.9,34.75,52.15,daily
2,13,acebrdus,rmin,40.5323,9.7758,41,32.45,49.05,daily
2,14,acebrdus,rmin,40.1839,10.2169,40.2,33.1,48.25,daily
2,15,acebrdus,rmin,41.3613,12.3989,39.4,35.4,47.4,daily
2,16,acebrdus,rmin,41.1161,11.11,43.1,34.45,45.7,daily
2,17,acebrdus,rmin,43.0677,12.7919,41.2,34.9,49.55,daily
2,18,acebrdus,rmin,40.1484,10.9111,39.4,31.45,48.2,daily
2,19,acebrdus,rmin,40.1452,11.8917,40.9,32.2,44.6,daily
