month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebrede,pet,0.0157,0.0098,0.0138,0.0079,0.0207,daily
1,2,acebrede,pet,0.0196,0.0147,0.0157,0.0079,0.0256,daily
1,3,acebrede,pet,0.018,0.0158,0.0118,0.0079,0.0217,daily
1,4,acebrede,pet,0.0187,0.016,0.0118,0.0079,0.0256,daily
1,5,acebrede,pet,0.0168,0.0159,0.0118,0.0079,0.0197,daily
1,6,acebrede,pet,0.0183,0.0129,0.0157,0.0079,0.0276,daily
1,7,acebrede,pet,0.0154,0.0103,0.0157,0.0079,0.0197,daily
1,8,acebrede,pet,0.0177,0.0135,0.0118,0.0079,0.0236,daily
1,9,acebrede,pet,0.0171,0.0107,0.0157,0.0079,0.0236,daily
1,10,acebrede,pet,0.0179,0.0125,0.0157,0.0079,0.0236,daily
1,11,acebrede,pet,0.0192,0.0144,0.0157,0.0079,0.0256,daily
1,12,acebrede,pet,0.0169,0.0117,0.0157,0.0079,0.0236,daily
1,13,acebrede,pet,0.0189,0.0176,0.0118,0.0079,0.0217,daily
1,14,acebrede,pet,0.0163,0.0109,0.0118,0.0079,0.0236,daily
1,15,acebrede,pet,0.0191,0.0146,0.0157,0.0098,0.0236,daily
1,16,acebrede,pet,0.0184,0.0097,0.0157,0.0118,0.0236,daily
1,17,acebrede,pet,0.0189,0.0112,0.0157,0.0118,0.0256,daily
1,18,acebrede,pet,0.0183,0.0126,0.0157,0.0098,0.0236,daily
1,19,acebrede,pet,0.0189,0.0119,0.0157,0.0118,0.0236,daily
1,20,acebrede,pet,0.018,0.0129,0.0157,0.0098,0.0197,daily
1,21,acebrede,pet,0.0203,0.0098,0.0197,0.0118,0.0256,daily
1,22,acebrede,pet,0.0211,0.0136,0.0157,0.0118,0.0295,daily
1,23,acebrede,pet,0.0202,0.0124,0.0157,0.0118,0.0236,daily
1,24,acebrede,pet,0.0206,0.0134,0.0157,0.0118,0.0236,daily
1,25,acebrede,pet,0.0204,0.0146,0.0157,0.0118,0.0276,daily
1,26,acebrede,pet,0.0199,0.0147,0.0157,0.0079,0.0256,daily
1,27,acebrede,pet,0.0217,0.0123,0.0197,0.0098,0.0276,daily
1,28,acebrede,pet,0.0217,0.0114,0.0197,0.0118,0.0276,daily
1,29,acebrede,pet,0.0225,0.0159,0.0197,0.0118,0.0295,daily
1,30,acebrede,pet,0.0253,0.0178,0.0236,0.0079,0.0315,daily
1,31,acebrede,pet,0.0243,0.0166,0.0197,0.0118,0.0276,daily
2,1,acebrede,pet,0.0245,0.02,0.0157,0.0118,0.0354,daily
2,2,acebrede,pet,0.0227,0.0172,0.0197,0.0118,0.0256,daily
2,3,acebrede,pet,0.0178,0.0142,0.0157,0.0079,0.0236,daily
2,4,acebrede,pet,0.0206,0.0138,0.0157,0.0118,0.0276,daily
2,5,acebrede,pet,0.0213,0.0136,0.0197,0.0118,0.0276,daily
2,6,acebrede,pet,0.0215,0.0152,0.0197,0.0118,0.0256,daily
2,7,acebrede,pet,0.0185,0.0156,0.0157,0.0079,0.0236,daily
2,8,acebrede,pet,0.0199,0.0137,0.0157,0.0098,0.0276,daily
2,9,acebrede,pet,0.0221,0.015,0.0157,0.0118,0.0335,daily
2,10,acebrede,pet,0.0236,0.0163,0.0197,0.0118,0.0276,daily
2,11,acebrede,pet,0.0231,0.0153,0.0197,0.0138,0.0276,daily
2,12,acebrede,pet,0.0268,0.0187,0.0236,0.0118,0.0394,daily
2,13,acebrede,pet,0.0283,0.0185,0.0236,0.0157,0.0413,daily
2,14,acebrede,pet,0.0246,0.016,0.0197,0.0118,0.0354,daily
2,15,acebrede,pet,0.0263,0.019,0.0197,0.0157,0.0335,daily
2,16,acebrede,pet,0.0265,0.0174,0.0236,0.0157,0.0295,daily
2,17,acebrede,pet,0.0257,0.018,0.0236,0.0138,0.0295,daily
2,18,acebrede,pet,0.0253,0.0134,0.0236,0.0157,0.0335,daily
2,19,acebrede,pet,0.0312,0.0199,0.0276,0.0157,0.0413,daily
2,20,acebrede,pet,0.0312,0.0196,0.0236,0.0157,0.0472,daily
2,21,acebrede,pet,0.0356,0.0255,0.0236,0.0177,0.061,daily
2,22,acebrede,pet,0.0339,0.0249,0.0236,0.0157,0.0472,daily
2,23,acebrede,pet,0.0319,0.0231,0.0276,0.0157,0.0394,daily
2,24,acebrede,pet,0.0295,0.0161,0.0276,0.0177,0.0374,daily
2,25,acebrede,pet,0.029,0.0186,0.0276,0.0157,0.0354,daily
2,26,acebrede,pet,0.0297,0.0161,0.0236,0.0197,0.0354,daily
2,27,acebrede,pet,0.0298,0.0212,0.0276,0.0157,0.0374,daily
2,28,acebrede,pet,0.0301,0.0189,0.0276,0.0217,0.0335,daily
2,29,acebrede,pet,0.0517,0.0305,0.0354,0.0315,0.0659,daily
3,1,acebrede,pet,0.0323,0.0203,0.0315,0.0197,0.0354,daily
3,2,acebrede,pet,0.0352,0.0197,0.0276,0.0236,0.0453,daily
3,3,acebrede,pet,0.0376,0.0191,0.0315,0.0276,0.0472,daily
3,4,acebrede,pet,0.0399,0.0239,0.0315,0.0197,0.0551,daily
3,5,acebrede,pet,0.0443,0.0309,0.0315,0.0217,0.0689,daily
3,6,acebrede,pet,0.0406,0.0322,0.0276,0.0197,0.0531,daily
3,7,acebrede,pet,0.0391,0.0199,0.0354,0.0236,0.0531,daily
3,8,acebrede,pet,0.0434,0.0222,0.0433,0.0236,0.0571,daily
3,9,acebrede,pet,0.0462,0.0277,0.0394,0.0276,0.0531,daily
3,10,acebrede,pet,0.0537,0.0312,0.0512,0.0276,0.0748,daily
3,11,acebrede,pet,0.0546,0.0296,0.0433,0.0335,0.0787,daily
