month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acebynum,tmmn,10.0119,13.7403,11.03,0.905,19.715,daily
1,2,acebynum,tmmn,10.1939,13.599,7.79,-1.48,23.18,daily
1,3,acebynum,tmmn,10.1242,15.7343,12.29,-2.29,23.99,daily
1,4,acebynum,tmmn,9.4739,15.3159,13.55,-6.25,22.73,daily
1,5,acebynum,tmmn,9.1371,16.3615,13.73,-4.36,23.09,daily
1,6,acebynum,tmmn,9.8919,15.3234,13.91,0.14,21.11,daily
1,7,acebynum,tmmn,12.1042,13.2514,14.81,0.68,22.1,daily
1,8,acebynum,tmmn,10.2926,13.7766,13.37,-0.67,20.3,daily
1,9,acebynum,tmmn,10.4029,14.6224,14.63,-2.11,22.01,daily
1,10,acebynum,tmmn,10.49,15.1394,16.25,-0.4,22.28,daily
1,11,acebynum,tmmn,9.5958,17.3996,15.71,0.68,22.28,daily
1,12,acebynum,tmmn,10.6061,17.607,16.79,-6.43,23.81,daily
1,13,acebynum,tmmn,13.4513,14.9181,19.13,7.25,24.26,daily
1,14,acebynum,tmmn,12.6152,13.7529,16.79,3.2,21.38,daily
1,15,acebynum,tmmn,12.8939,11.5339,13.19,7.52,22.55,daily
1,16,acebynum,tmmn,11.1868,11.6638,13.19,5,21.38,daily
1,17,acebynum,tmmn,14.4616,12.2531,15.35,10.76,23.63,daily
1,18,acebynum,tmmn,15.3732,12.9661,16.97,9.68,23.18,daily
1,19,acebynum,tmmn,17.3881,10.4995,19.85,12.47,22.82,daily
1,20,acebynum,tmmn,16.2558,10.2983,18.41,11.93,21.2,daily
1,21,acebynum,tmmn,14.5081,9.4618,14.99,13.19,19.76,daily
1,22,acebynum,tmmn,15.1758,8.8467,15.89,11.57,19.31,daily
1,23,acebynum,tmmn,13.5848,10.9281,12.47,6.26,21.38,daily
1,24,acebynum,tmmn,14.4906,13.2729,15.35,7.25,25.7,daily
1,25,acebynum,tmmn,15.1003,13.6102,18.95,5.45,24.53,daily
1,26,acebynum,tmmn,13.8577,13.4179,14.45,5.45,24.62,daily
1,27,acebynum,tmmn,13.3352,14.5171,16.07,4.91,23.72,daily
1,28,acebynum,tmmn,12.3306,15.0184,14.27,8.6,22.82,daily
1,29,acebynum,tmmn,13.5326,14.081,16.43,6.71,22.28,daily
1,30,acebynum,tmmn,15.5823,13.2578,18.77,8.96,24.8,daily
1,31,acebynum,tmmn,14.839,12.1002,17.51,7.79,23.54,daily
