month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceconte,rmax,93.6219,6.2613,94.9,88.025,100,daily
1,2,aceconte,rmax,91.5484,11.7494,99.5,86.5,100,daily
1,3,aceconte,rmax,91.9129,10.1104,96,86.9,100,daily
1,4,aceconte,rmax,89.9774,10.7758,92.7,84.1,100,daily
1,5,aceconte,rmax,91.3677,9.7637,93.5,85.15,100,daily
1,6,aceconte,rmax,89.5903,10.9688,89.2,82.95,100,daily
1,7,aceconte,rmax,92.4194,8.7966,99.6,85.9,100,daily
1,8,aceconte,rmax,93.471,7.5296,96.4,88.65,100,daily
1,9,aceconte,rmax,92.4032,8.9917,95.7,87.5,100,daily
1,10,aceconte,rmax,92.4613,8.4828,95.3,87.6,100,daily
1,11,aceconte,rmax,90.6129,10.8533,94.4,85.1,100,daily
1,12,aceconte,rmax,91.1581,11.8566,94.7,89.35,100,daily
1,13,aceconte,rmax,91.2774,9.316,93.6,84.85,99.8,daily
1,14,aceconte,rmax,90.4581,9.7821,93.6,86.05,99.9,daily
1,15,aceconte,rmax,90.3,11.7681,93.7,87.05,100,daily
1,16,aceconte,rmax,89.1645,11.3557,90.9,84.5,100,daily
1,17,aceconte,rmax,92.1968,9.5068,95.5,88.3,100,daily
1,18,aceconte,rmax,91.9161,9.3049,96.4,85.9,100,daily
1,19,aceconte,rmax,91.2323,8.2281,91.8,87.75,100,daily
1,20,aceconte,rmax,92.9129,7.1136,93.2,86.9,100,daily
1,21,aceconte,rmax,92.7258,10.9238,97.9,89.7,100,daily
1,22,aceconte,rmax,89.6323,13.6825,92.9,88.65,98.75,daily
1,23,aceconte,rmax,89.4677,13.0429,94.8,85.1,100,daily
1,24,aceconte,rmax,90.4258,12.2143,93.2,87.2,100,daily
1,25,aceconte,rmax,91.9452,7.7078,92.2,88.2,99.8,daily
1,26,aceconte,rmax,90.4032,11.7054,93.2,85.35,100,daily
1,27,aceconte,rmax,88.6968,12.1912,93.1,82.1,99.15,daily
1,28,aceconte,rmax,88.7161,11.893,91.4,84.4,98.4,daily
1,29,aceconte,rmax,89.2613,11.4378,89.1,84.75,100,daily
1,30,aceconte,rmax,92.0065,8.5245,92.2,86.85,100,daily
1,31,aceconte,rmax,91.5194,9.9078,92.7,88.55,100,daily
2,1,aceconte,rmax,94.0484,8.3061,98.7,90.5,100,daily
2,2,aceconte,rmax,93.6065,7.7294,95.3,88.85,100,daily
2,3,aceconte,rmax,93.9774,9.7423,100,88.85,100,daily
2,4,aceconte,rmax,93.6419,8.3113,97.2,89.1,100,daily
2,5,aceconte,rmax,93.3065,8.7173,95.7,90.25,100,daily
2,6,aceconte,rmax,95.3581,6.1192,98.3,93,100,daily
2,7,aceconte,rmax,95.1258,8.1151,98.9,94.9,100,daily
2,8,aceconte,rmax,96.4032,6.8372,100,97.5,100,daily
2,9,aceconte,rmax,96.4161,6.158,100,94.2,100,daily
2,10,aceconte,rmax,91.3,12.2946,97.1,84.35,100,daily
2,11,aceconte,rmax,92.8452,11.226,98,88.65,100,daily
2,12,aceconte,rmax,90.8548,11.703,93.3,87.6,100,daily
2,13,aceconte,rmax,92.8129,10.9497,99.4,89.25,100,daily
2,14,aceconte,rmax,93.8258,9.4041,100,89.8,100,daily
2,15,aceconte,rmax,92.8032,10.0063,94.7,90.5,100,daily
2,16,aceconte,rmax,92.9903,12.4945,98.5,91.2,100,daily
2,17,aceconte,rmax,93.6032,10.8932,98,93.7,100,daily
2,18,aceconte,rmax,94.2774,7.6724,97.9,89.9,100,daily
2,19,aceconte,rmax,93.2742,9.1358,96.2,91.3,100,daily
2,20,aceconte,rmax,93.471,7.2145,93.8,90.5,100,daily
2,21,aceconte,rmax,92.1419,10.4799,97.3,86.6,100,daily
2,22,aceconte,rmax,90.1355,10.6334,93,84.35,100,daily
2,23,aceconte,rmax,89.6903,14.9373,96.8,83.35,100,daily
2,24,aceconte,rmax,91.4194,10.8752,94.6,88.55,100,daily
2,25,aceconte,rmax,91.9387,10.6692,95.4,85.95,100,daily
2,26,aceconte,rmax,94.2839,8.1383,97,91.6,100,daily
2,27,aceconte,rmax,93.9323,8.9649,98.2,89.45,100,daily
2,28,aceconte,rmax,93.5065,9.3452,98.7,89.35,100,daily
2,29,aceconte,rmax,89.1625,10.8466,92.3,80.825,98.125,daily
3,1,aceconte,rmax,94.5581,8.8084,100,91.5,100,daily
3,2,aceconte,rmax,95.471,6.792,100,91.05,100,daily
3,3,aceconte,rmax,94.9806,7.9195,100,91.75,100,daily
3,4,aceconte,rmax,95.3968,8.0965,100,92.05,100,daily
3,5,aceconte,rmax,95.5742,7.9868,100,94.7,100,daily
3,6,aceconte,rmax,95.1032,7.99,100,90.45,100,daily
3,7,aceconte,rmax,94.8194,7.0787,97.7,91.9,100,daily
3,8,aceconte,rmax,94.6065,6.7986,98.4,88.2,100,daily
3,9,aceconte,rmax,89.5581,11.5184,92.3,81.45,100,daily
3,10,aceconte,rmax,93.4419,8.1875,96.2,89.15,100,daily
3,11,aceconte,rmax,89.8387,12.7682,95.8,81.4,100,daily
3,12,aceconte,rmax,89.2774,11.7927,95.8,77.8,100,daily
3,13,aceconte,rmax,89.9645,11.2571,92.2,85.85,100,daily
3,14,aceconte,rmax,89.5935,12.1624,93.7,84.4,100,daily
