month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acecotto,rmax,88.4469,9.8325,89.65,84.925,95.7,daily
1,2,acecotto,rmax,88.3,10.7931,89.2,82.45,98.65,daily
1,3,acecotto,rmax,87.8065,9.9627,87.8,83.05,96.1,daily
1,4,acecotto,rmax,87.9484,9.8447,90.1,81.25,95.2,daily
1,5,acecotto,rmax,87.0645,9.4663,89.1,79.4,94.55,daily
1,6,acecotto,rmax,87.8355,11.6814,89.1,81.5,96.15,daily
1,7,acecotto,rmax,88.7129,8.5001,89.1,84.6,93.45,daily
1,8,acecotto,rmax,89.6903,8.4763,89.9,84.35,99.45,daily
1,9,acecotto,rmax,87.2806,11.3584,91,81.3,97.95,daily
1,10,acecotto,rmax,87.5194,11.4337,89,81,95.55,daily
1,11,acecotto,rmax,87.2645,11.4135,89.6,78,97.65,daily
1,12,acecotto,rmax,88.0677,11.703,90.8,82.45,98.1,daily
1,13,acecotto,rmax,88.2032,11.0265,89.7,82.25,97.85,daily
1,14,acecotto,rmax,86.7,12.3102,87.7,83.3,98.35,daily
1,15,acecotto,rmax,85.6484,11.591,86.9,79.55,93.05,daily
1,16,acecotto,rmax,85.9,11.1393,89.6,76.75,93.7,daily
1,17,acecotto,rmax,85.8742,12.5009,89.7,82.35,94.35,daily
1,18,acecotto,rmax,89.0032,10.949,91.7,84.15,96.75,daily
1,19,acecotto,rmax,89.1548,8.7543,89.7,85.55,95.8,daily
1,20,acecotto,rmax,89.1935,9.6965,90.8,82.6,97.5,daily
1,21,acecotto,rmax,88.7871,9.7548,89.1,84.55,96.45,daily
1,22,acecotto,rmax,84.9806,14.3352,88.9,77.1,96.55,daily
1,23,acecotto,rmax,86.5129,14.0249,89,80.9,97.35,daily
1,24,acecotto,rmax,87.2806,12.0619,90,81.7,95.25,daily
1,25,acecotto,rmax,88.7774,9.7972,90.7,84.85,94.95,daily
1,26,acecotto,rmax,87.1968,10.0378,88.1,81.3,95.45,daily
1,27,acecotto,rmax,85.629,12.1997,87.4,77.35,95.6,daily
1,28,acecotto,rmax,86.5871,11.7143,88.4,81.1,95.2,daily
1,29,acecotto,rmax,84.8903,11.254,84.8,79.6,92.7,daily
1,30,acecotto,rmax,89.0774,9.248,90.3,84.4,96.3,daily
1,31,acecotto,rmax,88.7129,8.8184,89,85.25,95.75,daily
2,1,acecotto,rmax,90.5581,11.8697,95,83.7,100,daily
2,2,acecotto,rmax,90.3226,11.4147,94.9,83.35,100,daily
2,3,acecotto,rmax,92.9258,9.7822,96,88.1,100,daily
2,4,acecotto,rmax,92.3258,8.6857,95.7,86.55,100,daily
2,5,acecotto,rmax,91.1194,9.3027,92.4,87.6,100,daily
2,6,acecotto,rmax,92.9871,7.6239,95.5,88,100,daily
2,7,acecotto,rmax,93.4839,8.1814,95.7,87.95,100,daily
2,8,acecotto,rmax,93.4839,7.0933,94.8,90.5,100,daily
2,9,acecotto,rmax,94.9645,6.988,99.3,90.75,100,daily
2,10,acecotto,rmax,90.0129,11.7951,91.5,84.9,100,daily
2,11,acecotto,rmax,88.9484,12.8837,91.6,89.1,100,daily
2,12,acecotto,rmax,88.5452,14.7655,93.2,85.25,100,daily
