month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acecotto,rmin,49.6906,8.1518,51.4,43.4,54.425,daily
1,2,acecotto,rmin,50.2065,12.255,49.9,43.2,58.9,daily
1,3,acecotto,rmin,51.5419,14.6478,49.2,43.4,57.25,daily
1,4,acecotto,rmin,50.8323,12.5184,48.2,43.4,54.5,daily
1,5,acecotto,rmin,52.6839,10.5341,49.9,46.2,56.9,daily
1,6,acecotto,rmin,50.1871,11.6144,51.8,45.15,56.5,daily
1,7,acecotto,rmin,53.1742,11.7116,53.1,45.45,58.05,daily
1,8,acecotto,rmin,52.5258,11.5699,51.4,44.3,55.7,daily
1,9,acecotto,rmin,50.4968,10.3864,49.6,41.2,58.85,daily
1,10,acecotto,rmin,49.771,10.6179,48,42.7,54.25,daily
1,11,acecotto,rmin,50.5839,11.7907,52.8,41.4,59.7,daily
1,12,acecotto,rmin,47.1581,8.7111,48.6,41.45,53.7,daily
1,13,acecotto,rmin,49.0355,10.7364,48.6,44.35,55.7,daily
1,14,acecotto,rmin,50.7065,10.1422,51.1,43,56.3,daily
1,15,acecotto,rmin,50.5548,9.885,52.8,43.75,58.1,daily
1,16,acecotto,rmin,48.7935,9.91,50.2,43.75,55.8,daily
1,17,acecotto,rmin,48.6323,9.9669,48.5,43.3,55.3,daily
1,18,acecotto,rmin,51.6903,9.8678,52.3,45.9,56,daily
1,19,acecotto,rmin,52.1839,9.298,52.4,45,59.3,daily
1,20,acecotto,rmin,52.2065,9.6276,54.1,45,58.75,daily
1,21,acecotto,rmin,51.771,9.009,51.9,47.3,57.55,daily
1,22,acecotto,rmin,51.4839,10.7032,51.5,44.6,58.65,daily
1,23,acecotto,rmin,49.9323,11.0435,51.5,42.9,56.1,daily
1,24,acecotto,rmin,51.9774,10.033,52.7,45.9,57.7,daily
1,25,acecotto,rmin,53.1903,9.1263,53.9,46.3,59,daily
1,26,acecotto,rmin,52.3258,9.7066,50.3,46.5,56.4,daily
1,27,acecotto,rmin,53.1258,9.4464,55.6,47.95,60.85,daily
1,28,acecotto,rmin,50.0226,9.939,52,42.15,57.5,daily
1,29,acecotto,rmin,49.5,11.0243,50.1,44.35,56.8,daily
1,30,acecotto,rmin,51.4935,10.3612,55.1,45,58,daily
1,31,acecotto,rmin,49.2871,11.0073,46.7,42.55,56.3,daily
2,1,acecotto,rmin,48.2935,15.1214,48.9,38.05,56.8,daily
2,2,acecotto,rmin,48.171,14.8963,48.5,40.75,56.25,daily
2,3,acecotto,rmin,51.1645,14.3245,48.4,40.5,59.05,daily
2,4,acecotto,rmin,50.8129,11.3075,50.3,42.7,56.75,daily
2,5,acecotto,rmin,52.2516,12.7189,55.9,43.15,58.95,daily
2,6,acecotto,rmin,52.0516,15.3366,52,39.6,58.9,daily
2,7,acecotto,rmin,50.8903,14.8556,49.4,40.45,56.05,daily
2,8,acecotto,rmin,50.8258,12.269,47.1,41.8,56.95,daily
2,9,acecotto,rmin,48.7839,9.7069,50.3,42.5,54.55,daily
2,10,acecotto,rmin,47.5645,11.9775,47.3,37.55,56.4,daily
2,11,acecotto,rmin,47.1871,11.6783,46.3,39.5,56.05,daily
2,12,acecotto,rmin,45.9323,12.818,47.4,37.25,55.75,daily
2,13,acecotto,rmin,49.2548,13.3837,48,39.4,55.8,daily
2,14,acecotto,rmin,47.8774,12.3785,49.1,42,52.7,daily
2,15,acecotto,rmin,49.0871,13.6344,50.1,37.75,58.9,daily
2,16,acecotto,rmin,50.5097,12.1982,50.7,41.15,57.95,daily
2,17,acecotto,rmin,50.1161,12.3661,51.8,41,59,daily
2,18,acecotto,rmin,50.4419,12.4175,50.8,42.65,58.25,daily
2,19,acecotto,rmin,47.9613,11.5097,47.6,40.5,56.8,daily
2,20,acecotto,rmin,47.3548,11.6035,45.7,38.45,56.4,daily
2,21,acecotto,rmin,46.3613,13.1957,45.2,36.7,54.05,daily
2,22,acecotto,rmin,46.0903,11.8188,45,37.85,53.1,daily
2,23,acecotto,rmin,47.6935,13.2622,49.4,38.9,56.45,daily
2,24,acecotto,rmin,49.6839,12.8858,50.1,41.55,59.75,daily
2,25,acecotto,rmin,48.8032,13.301,47.4,41.9,56.95,daily
2,26,acecotto,rmin,46.9323,12.5086,48.3,38.35,53.3,daily
2,27,acecotto,rmin,51,15.0692,52.7,41.35,58.35,daily
2,28,acecotto,rmin,49.7323,13.9911,51.3,40.35,59.85,daily
2,29,acecotto,rmin,40.4,14.6824,37.75,28.625,51.75,daily
3,1,acecotto,rmin,49.2839,13.4169,51,40.85,59.05,daily
3,2,acecotto,rmin,49.1194,14.3819,49.4,41.85,56.95,daily
3,3,acecotto,rmin,47.7968,11.2739,49.6,39.35,56,daily
3,4,acecotto,rmin,46.6484,12.6935,48.3,38.15,57.8,daily
3,5,acecotto,rmin,43.1323,16.6922,43.7,33.85,51.6,daily
3,6,acecotto,rmin,45.6742,15.569,45.1,34.4,55.3,daily
3,7,acecotto,rmin,45.4548,10.7796,48.6,39.35,52.75,daily
3,8,acecotto,rmin,43.7677,12.7503,43.5,34.4,51.6,daily
3,9,acecotto,rmin,44.6806,13.736,41.4,35.35,56.8,daily
3,10,acecotto,rmin,43.0968,12.5567,41.4,35.55,49.3,daily
3,11,acecotto,rmin,41.7484,12.3532,40.4,34.25,49.55,daily
3,12,acecotto,rmin,41.0903,14.1401,40,30.95,51.9,daily
3,13,acecotto,rmin,37.7548,12.1499,37.2,28.75,49,daily
3,14,acecotto,rmin,38.7,11.7697,39.1,28.4,48.15,daily
3,15,acecotto,rmin,40.8323,12.9309,40.9,29.5,46.5,daily
3,16,acecotto,rmin,40.7871,13.5824,38.2,31.7,46.3,daily
3,17,acecotto,rmin,38.2581,10.7285,35.7,30.7,47.95,daily
3,18,acecotto,rmin,39.7161,13.6503,37.7,28.6,50.25,daily
3,19,acecotto,rmin,38.7613,12.6397,36.2,30.95,44.1,daily
3,20,acecotto,rmin,33.4645,8.6644,33.6,28.1,40.05,daily
3,21,acecotto,rmin,33.7871,11.875,31.4,25.85,38.95,daily
3,22,acecotto,rmin,35.4806,12.4325,32.9,25.6,42.95,daily
3,23,acecotto,rmin,36.4839,13.6919,31.7,25.35,45.65,daily
3,24,acecotto,rmin,36.629,14.5477,33.6,25.35,47.8,daily
3,25,acecotto,rmin,36.0645,13.2247,34.3,24.15,47.05,daily
3,26,acecotto,rmin,34.3484,12.0366,32.9,24.3,41.05,daily
3,27,acecotto,rmin,33.3,10.1772,33.3,23.2,41.3,daily
3,28,acecotto,rmin,32.2,11.5423,29.4,23.3,42.5,daily
3,29,acecotto,rmin,32.3032,11.3753,29,21.8,41.65,daily
3,30,acecotto,rmin,32.8968,12.2541,28.7,22.25,44.85,daily
3,31,acecotto,rmin,35.1806,17.2599,33,22.25,44.9,daily
4,1,acecotto,rmin,37.5355,17.3613,34.7,25.6,46.15,daily
4,2,acecotto,rmin,35.4323,11.6471,35.1,28.5,42.45,daily
4,3,acecotto,rmin,34.9258,14.9975,32.9,23.85,43.75,daily
4,4,acecotto,rmin,33.2323,13.707,31.7,23.1,44.65,daily
4,5,acecotto,rmin,33.3806,10.964,32.7,24.85,40.15,daily
4,6,acecotto,rmin,32.3935,11.9705,28.8,23.5,41.75,daily
4,7,acecotto,rmin,31.2323,12.2321,27.9,22.55,37.8,daily
4,8,acecotto,rmin,33.1032,14.2346,27.2,21.85,43.9,daily
4,9,acecotto,rmin,31.9226,11.8659,29.9,23.55,40.9,daily
4,10,acecotto,rmin,33.4323,11.9157,32.4,24.7,43.85,daily
4,11,acecotto,rmin,31.1839,12.1887,28.6,23.85,40.45,daily
4,12,acecotto,rmin,33.2839,13.2019,28.9,23.7,44.4,daily
4,13,acecotto,rmin,32.129,13.5186,31.7,21.8,38.9,daily
4,14,acecotto,rmin,29.9871,13.3298,26.3,21.95,35.8,daily
4,15,acecotto,rmin,31.5097,12.5075,28.5,22.9,38.65,daily
4,16,acecotto,rmin,32.2871,12.8921,26.1,24,36.5,daily
4,17,acecotto,rmin,30.7806,12.8686,27.4,23.1,34.5,daily
4,18,acecotto,rmin,30.9677,12.8947,28.3,22.35,36.95,daily
4,19,acecotto,rmin,33.2097,12.9566,31.6,24.15,36.7,daily
4,20,acecotto,rmin,30.1871,7.8792,31.4,23.7,33.2,daily
4,21,acecotto,rmin,29.4935,9.9462,27.7,22,34.85,daily
4,22,acecotto,rmin,27.3419,11.4996,24.9,18,33.2,daily
4,23,acecotto,rmin,30.1129,13.4854,26.5,21.45,35.5,daily
4,24,acecotto,rmin,30.8742,14.3531,29.9,22.75,32.15,daily
4,25,acecotto,rmin,29.9806,13.6658,25.2,21.25,34.25,daily
4,26,acecotto,rmin,30.7871,13.7809,26.6,22.25,35.05,daily
4,27,acecotto,rmin,32.6355,16.3157,26.7,21.15,36.9,daily
4,28,acecotto,rmin,30.3645,14.6118,27.2,23.05,33.05,daily
4,29,acecotto,rmin,29.9,13.687,27.7,20.65,34,daily
4,30,acecotto,rmin,32.0258,16.2618,27.5,20.7,38.85,daily
5,1,acecotto,rmin,30.5452,13.4298,30.2,22.85,35,daily
5,2,acecotto,rmin,28.4839,9.8155,26.7,21.8,33.95,daily
5,3,acecotto,rmin,26.2194,9.3863,23.6,20.85,28.6,daily
5,4,acecotto,rmin,27.829,11.4918,24.7,19.75,33.55,daily
5,5,acecotto,rmin,29.129,13.1406,26.1,20.65,33.65,daily
5,6,acecotto,rmin,32.9258,15.8392,29.7,21.55,37.35,daily
5,7,acecotto,rmin,32.8774,14.9834,31.1,22.4,35.35,daily
5,8,acecotto,rmin,33.0839,11.2345,31.6,26.75,35.85,daily
5,9,acecotto,rmin,35.0097,12.9575,34.7,23.7,43,daily
5,10,acecotto,rmin,38.1806,20.3399,32.9,22.65,41.3,daily
5,11,acecotto,rmin,34.4613,14.2364,30.9,23.55,41.3,daily
5,12,acecotto,rmin,29.6387,11.2138,27.9,22.5,34.9,daily
5,13,acecotto,rmin,30.2742,9.2059,28.8,24.35,37.4,daily
5,14,acecotto,rmin,27.3387,9.5428,25.4,21.05,30.05,daily
5,15,acecotto,rmin,25.5194,8.6907,24.5,19.45,30,daily
5,16,acecotto,rmin,27.5613,8.9359,24.9,21.8,32.45,daily
5,17,acecotto,rmin,31.3129,16.3855,26.6,21.95,33.55,daily
5,18,acecotto,rmin,29.6613,15.5566,26.1,21.45,31.65,daily
5,19,acecotto,rmin,28.8129,9.6667,28.3,21.6,33.8,daily
5,20,acecotto,rmin,31.6613,13.0388,27.9,23.3,34.6,daily
5,21,acecotto,rmin,32.7065,16.1566,28.5,24.05,35.95,daily
5,22,acecotto,rmin,31.7806,11.0807,29.6,23.7,36.55,daily
5,23,acecotto,rmin,34.1516,13.8172,31.5,23.1,37.2,daily
5,24,acecotto,rmin,37.0032,15.8854,31.3,26.65,42,daily
5,25,acecotto,rmin,34.8484,8.8319,33.9,28.1,40.45,daily
5,26,acecotto,rmin,34.2161,9.3961,31.5,28.45,39.45,daily
5,27,acecotto,rmin,34.6935,10.6291,31.1,26.85,40.85,daily
5,28,acecotto,rmin,33.4677,14.9254,30.9,23.85,36.6,daily
5,29,acecotto,rmin,31.6581,11.8583,29.4,22.95,38.35,daily
5,30,acecotto,rmin,32.6387,13.2698,29.2,23.8,39.05,daily
5,31,acecotto,rmin,33.9161,15.233,31.7,23.8,38.15,daily
6,1,acecotto,rmin,35.2548,14.4077,32.3,24.2,39.65,daily
