month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acecrane,rmax,84.0906,12.1444,83.55,78.375,91.6,daily
1,2,acecrane,rmax,84.9774,12.2794,85.4,76.95,96.95,daily
1,3,acecrane,rmax,83.0871,11.5621,84.3,77.05,90.3,daily
1,4,acecrane,rmax,82.3226,11.652,84,76,90.65,daily
1,5,acecrane,rmax,79.5258,10.6764,80.7,72.65,88.3,daily
1,6,acecrane,rmax,82.2774,12.5514,83.5,76.1,91.5,daily
1,7,acecrane,rmax,84.2645,10.2826,83.7,78,89.65,daily
1,8,acecrane,rmax,85.0839,10.4631,84.4,78.3,93.75,daily
1,9,acecrane,rmax,82.2935,13.7873,83,73.8,94.3,daily
1,10,acecrane,rmax,83.2645,12.7185,83.1,77.9,89.65,daily
1,11,acecrane,rmax,83.529,13.0314,84.1,73.45,95,daily
1,12,acecrane,rmax,82.8581,12.2437,83.3,78.45,91.1,daily
1,13,acecrane,rmax,84.9032,12.2783,87.6,76.45,95.15,daily
1,14,acecrane,rmax,82.9742,12.6376,83.6,77.1,91.55,daily
1,15,acecrane,rmax,81.2419,12.3022,81.7,75.7,88.5,daily
1,16,acecrane,rmax,80.1452,11.3209,82.4,72.95,87.6,daily
1,17,acecrane,rmax,81.829,13.4816,84.6,72.85,91.9,daily
1,18,acecrane,rmax,83.8032,11.0812,85,77.05,89.55,daily
1,19,acecrane,rmax,83.3581,9.7366,85.2,77.65,89.6,daily
1,20,acecrane,rmax,84.4839,12.5498,86.9,76.45,93.8,daily
1,21,acecrane,rmax,82.9226,11.7896,83.7,79.6,90,daily
1,22,acecrane,rmax,80.5935,16.1615,84.9,74.65,89.2,daily
1,23,acecrane,rmax,81.1903,15.4294,84.8,72.85,93.2,daily
1,24,acecrane,rmax,81.4548,13.6774,84.9,74.9,89.2,daily
1,25,acecrane,rmax,84.3452,10.5694,86.5,78.4,91.25,daily
1,26,acecrane,rmax,82.9,10.2973,82.4,76.85,90,daily
1,27,acecrane,rmax,80.5903,13.374,83.6,71.1,89.6,daily
1,28,acecrane,rmax,81.8613,12.8808,82.8,76.2,90.05,daily
1,29,acecrane,rmax,79.6355,12.7486,80.2,72.25,87.25,daily
1,30,acecrane,rmax,83.5097,11.6294,84.6,77.35,92.35,daily
1,31,acecrane,rmax,83.2516,11.4069,83.4,78,91.75,daily
2,1,acecrane,rmax,85.4032,14.0112,88.6,78.15,97.8,daily
2,2,acecrane,rmax,83.9968,14.1105,88.8,74,92.9,daily
2,3,acecrane,rmax,88.1774,11.4812,92,81.65,97.3,daily
2,4,acecrane,rmax,86.8645,11.2381,87.5,80.9,96.85,daily
2,5,acecrane,rmax,86.2258,11.7917,88,82.15,94.8,daily
2,6,acecrane,rmax,88.6516,8.3661,88.9,83.95,93.7,daily
2,7,acecrane,rmax,90.429,8.6083,89.8,84.85,100,daily
2,8,acecrane,rmax,90.4065,8.1065,90.6,85.25,99.05,daily
2,9,acecrane,rmax,90.9806,9.0399,93.5,86.6,100,daily
2,10,acecrane,rmax,85.7452,13.2837,88.6,76.45,97,daily
2,11,acecrane,rmax,83.8677,14.5449,86.7,81.15,91.3,daily
2,12,acecrane,rmax,84.3968,16.8055,88.2,78.35,99.25,daily
2,13,acecrane,rmax,86.2581,14.3559,87.5,79.6,98.7,daily
2,14,acecrane,rmax,87.0161,12.9347,86.9,79.3,100,daily
2,15,acecrane,rmax,86.2161,13.6353,88.5,81.9,98.1,daily
2,16,acecrane,rmax,85.2161,14.4654,88.2,77.65,95.75,daily
2,17,acecrane,rmax,84.9516,13.1366,86,79.8,100,daily
2,18,acecrane,rmax,86.3226,11.0633,86.4,76.95,100,daily
2,19,acecrane,rmax,85.4774,14.7102,88.5,76.95,100,daily
2,20,acecrane,rmax,84.4452,13.2422,85.3,76.85,97.15,daily
2,21,acecrane,rmax,85.9226,12.9871,88.7,77.45,93.6,daily
2,22,acecrane,rmax,83.8968,13.8255,85.5,78.2,93.7,daily
2,23,acecrane,rmax,85.3871,13.0345,86.3,81.55,94.75,daily
2,24,acecrane,rmax,84.5516,13.483,89,75.55,94.7,daily
2,25,acecrane,rmax,84.6613,15.0086,89.6,73.35,98.5,daily
2,26,acecrane,rmax,86.4742,10.7138,87.7,81.1,93.5,daily
2,27,acecrane,rmax,86.9129,12.2227,91.5,78.4,94.75,daily
2,28,acecrane,rmax,87.7516,14.7692,92.3,82.95,100,daily
2,29,acecrane,rmax,80.675,16.7848,79.75,64.575,96.4,daily
3,1,acecrane,rmax,91.7226,12.8039,97.4,89.45,100,daily
3,2,acecrane,rmax,90.871,10.801,96.1,86.6,99.7,daily
3,3,acecrane,rmax,89.0581,13.6029,93.6,86.45,100,daily
3,4,acecrane,rmax,90.4194,11.274,95.7,81.15,100,daily
3,5,acecrane,rmax,91.4968,9.7477,91.7,87.7,100,daily
3,6,acecrane,rmax,90.7742,10.3908,94.9,83.1,100,daily
3,7,acecrane,rmax,90.5871,10.9636,94.4,84,99.75,daily
3,8,acecrane,rmax,91.1968,8.4495,92.5,85.25,99.8,daily
3,9,acecrane,rmax,87.1645,10.6298,87.5,79.35,98.4,daily
3,10,acecrane,rmax,86.0194,11.307,87.5,77.1,97.3,daily
3,11,acecrane,rmax,85.9323,14.3377,89.9,77.5,99.85,daily
3,12,acecrane,rmax,87.0645,14.6185,91.5,81.4,100,daily
3,13,acecrane,rmax,85.3226,13.7802,88.7,79.45,95.7,daily
3,14,acecrane,rmax,83.4871,14.8164,90.9,76.95,93.75,daily
3,15,acecrane,rmax,84.0774,14.2427,85.9,75.85,96.9,daily
3,16,acecrane,rmax,86.3355,11.6335,87.3,77,97.8,daily
3,17,acecrane,rmax,86.5129,12.0937,88.1,78.25,98.55,daily
3,18,acecrane,rmax,84.8742,13.0747,88.6,76.65,95.8,daily
3,19,acecrane,rmax,83.0645,11.4279,83.6,75.2,91.55,daily
3,20,acecrane,rmax,84.3516,12.5701,85.7,78.25,94.8,daily
3,21,acecrane,rmax,83.2452,14.0432,86.5,70.3,95.85,daily
3,22,acecrane,rmax,82.7806,15.5637,86.9,72.85,96.75,daily
3,23,acecrane,rmax,85.7839,13.0999,90.2,75.4,97.8,daily
3,24,acecrane,rmax,83.1097,12.7144,82.4,74.45,93.8,daily
3,25,acecrane,rmax,81.5613,14.1042,83.6,70.2,92.5,daily
3,26,acecrane,rmax,83.5097,13.5483,85.9,75.05,95.3,daily
3,27,acecrane,rmax,81.7839,12.7375,85.1,71.2,91.3,daily
3,28,acecrane,rmax,83.5161,12.5791,85,73.65,92.2,daily
3,29,acecrane,rmax,82.0129,16.5432,82.3,71.45,99.4,daily
3,30,acecrane,rmax,82.3065,16.6154,85.4,69.9,99.1,daily
3,31,acecrane,rmax,82.7258,15.1152,82.3,74.5,98.5,daily
4,1,acecrane,rmax,87.9097,13.1843,93.8,76.55,100,daily
4,2,acecrane,rmax,85.4032,14.4958,88.6,77.4,100,daily
4,3,acecrane,rmax,83.7097,14.7114,86.6,72.6,97.75,daily
4,4,acecrane,rmax,84.3161,15.7935,88.8,74.7,100,daily
4,5,acecrane,rmax,89.2355,13.1227,95.4,80.35,100,daily
4,6,acecrane,rmax,83.3419,14.6465,83.7,75.7,98.7,daily
4,7,acecrane,rmax,82.9323,13.5906,83.3,74.75,95.35,daily
4,8,acecrane,rmax,81.2323,13.9028,79.2,70.85,96.6,daily
4,9,acecrane,rmax,84.6903,12.9916,84.6,77.7,96,daily
4,10,acecrane,rmax,84.6968,13.6505,85.9,72.9,100,daily
4,11,acecrane,rmax,82.4419,14.859,83.9,70.35,98.65,daily
4,12,acecrane,rmax,81.171,12.6465,80,72.1,91.1,daily
4,13,acecrane,rmax,79.629,14.7856,73.9,69,93.45,daily
4,14,acecrane,rmax,81.6871,14.8613,81.4,70.95,95.7,daily
4,15,acecrane,rmax,80.0161,15.109,77.9,67,95.2,daily
4,16,acecrane,rmax,81.029,14.4142,80.8,69.25,94.6,daily
4,17,acecrane,rmax,80.9613,14.934,81.5,68.2,94.25,daily
4,18,acecrane,rmax,83.2774,16.3037,86.9,67.05,99.95,daily
4,19,acecrane,rmax,85.8484,15.3011,88.6,79.6,100,daily
4,20,acecrane,rmax,83.3484,13.7827,84.7,74.05,96.4,daily
4,21,acecrane,rmax,81.2161,15.4498,81.2,67.45,94.75,daily
4,22,acecrane,rmax,78.0323,14.5279,74.8,69,89.4,daily
4,23,acecrane,rmax,81.8548,14.2648,82.9,70.95,93.15,daily
4,24,acecrane,rmax,81.8774,13.7279,83,73,92.4,daily
4,25,acecrane,rmax,80.1484,12.8496,82.1,69.1,89.75,daily
4,26,acecrane,rmax,80.6129,14.1241,81.6,72.55,93.05,daily
4,27,acecrane,rmax,81.6806,12.8896,81.5,72.45,93.45,daily
4,28,acecrane,rmax,79.9903,14.5618,79.1,66.65,95.05,daily
4,29,acecrane,rmax,76.729,14.4286,74.8,66.9,87.3,daily
4,30,acecrane,rmax,79.7742,14.8149,79.8,67.8,91.5,daily
5,1,acecrane,rmax,79.3387,13.9209,81.4,70,91.25,daily
5,2,acecrane,rmax,80.1484,14.1005,82.1,68.2,93.5,daily
5,3,acecrane,rmax,78.3,13.2546,75.5,70,87,daily
5,4,acecrane,rmax,80.171,14.8237,80.8,68.35,92.45,daily
5,5,acecrane,rmax,78.7516,14.5404,82.6,68.05,88.5,daily
5,6,acecrane,rmax,82.6194,16.6932,81.9,67.95,100,daily
5,7,acecrane,rmax,84.1516,16.6667,87.5,71.95,100,daily
5,8,acecrane,rmax,86.5645,13.217,87.8,78.15,100,daily
5,9,acecrane,rmax,87.1871,14.4192,92.5,77.05,100,daily
5,10,acecrane,rmax,88.6516,11.3209,91.5,83.4,100,daily
5,11,acecrane,rmax,84.6452,12.3738,82.1,75.6,98.85,daily
5,12,acecrane,rmax,83.0387,13.1913,83.4,73.6,93.75,daily
5,13,acecrane,rmax,84.1581,13.1037,83.8,76.55,96.25,daily
5,14,acecrane,rmax,82.0258,14.1587,81.6,74.1,95.55,daily
5,15,acecrane,rmax,79.6903,13.6905,76.2,71,91.85,daily
5,16,acecrane,rmax,82.5871,13.6366,84.2,73.65,93.15,daily
5,17,acecrane,rmax,81.2839,17.3979,82.5,67.75,100,daily
5,18,acecrane,rmax,82.0742,12.2261,80.8,74.6,91.8,daily
