month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acedillo,rmax,87.3781,9.4992,86.35,79.9,96.325,daily
1,2,acedillo,rmax,83.5903,10.5182,83.1,77.9,90.75,daily
1,3,acedillo,rmax,85.5935,11.6302,84.9,78.4,96.45,daily
1,4,acedillo,rmax,82.2613,10.1709,82.6,76.1,89.1,daily
1,5,acedillo,rmax,80.0613,12.8603,80.3,72.8,88.3,daily
1,6,acedillo,rmax,80.7387,11.8354,79.8,74.65,88.55,daily
1,7,acedillo,rmax,83.8935,11.5945,83.2,76.9,93.75,daily
1,8,acedillo,rmax,83.8581,12.1466,85.4,76.5,92.45,daily
1,9,acedillo,rmax,84.0258,10.2821,82.5,77.35,91.45,daily
1,10,acedillo,rmax,84.0774,10.4466,84.9,77.8,89.9,daily
1,11,acedillo,rmax,85.5935,9.5425,83.9,79.15,90.8,daily
1,12,acedillo,rmax,81.5452,11.8088,81.4,74.15,89.6,daily
1,13,acedillo,rmax,80.329,10.5171,79.9,74.8,87.55,daily
1,14,acedillo,rmax,80.5129,10.0773,79.7,75.15,87.6,daily
1,15,acedillo,rmax,81.0484,11.9993,79.1,73.45,89.95,daily
1,16,acedillo,rmax,81.1774,10.0144,82.2,72,86.7,daily
1,17,acedillo,rmax,79.4516,11.069,79.5,70.1,87.05,daily
1,18,acedillo,rmax,79.5968,10.6756,79.1,73.55,85.15,daily
1,19,acedillo,rmax,82.7161,11.673,82.4,76.5,91.45,daily
1,20,acedillo,rmax,81.9452,12.5627,79.6,76.65,90.25,daily
1,21,acedillo,rmax,82.5194,11.1433,82.1,75.05,90.2,daily
1,22,acedillo,rmax,81.0097,9.2096,81.4,72.5,87.9,daily
1,23,acedillo,rmax,83.2645,10.909,80.1,76.9,91.7,daily
1,24,acedillo,rmax,82.5484,11.1223,79.1,76.25,89.4,daily
1,25,acedillo,rmax,83.129,8.7656,84.5,78.5,90.45,daily
1,26,acedillo,rmax,83.7258,10.4766,83.7,77.25,88.5,daily
1,27,acedillo,rmax,84.2968,11.3738,84.1,78.1,91.4,daily
1,28,acedillo,rmax,82.4258,10.6036,79.9,76.1,89.05,daily
1,29,acedillo,rmax,81.4258,10.3523,79.1,72.15,88.65,daily
1,30,acedillo,rmax,82.4,10.2761,79.8,73.95,92.05,daily
1,31,acedillo,rmax,78.8065,14.1187,76.1,68.8,89.95,daily
2,1,acedillo,rmax,80.4065,14.7126,81,68.55,94.5,daily
2,2,acedillo,rmax,80.5742,13.860900000000001,80.6,72.35,91.6,daily
2,3,acedillo,rmax,83.3065,12.8779,79.8,75.2,95.15,daily
2,4,acedillo,rmax,78.9742,15.4114,79.5,69.25,89.65,daily
2,5,acedillo,rmax,77.2935,16.0791,78.7,64.6,86.55,daily
2,6,acedillo,rmax,78.6581,16.3437,79.7,67.55,88.85,daily
2,7,acedillo,rmax,82.9419,13.7447,83.7,73.15,95.9,daily
2,8,acedillo,rmax,83.6161,13.5517,83.7,75.6,97.25,daily
2,9,acedillo,rmax,82.2613,16.6903,81.6,73.15,100,daily
2,10,acedillo,rmax,80.7935,13.1213,78.6,74.4,90.45,daily
2,11,acedillo,rmax,82.4452,12.8092,85.2,72.5,91.45,daily
2,12,acedillo,rmax,80.7968,14.2734,78.8,71.25,95.4,daily
2,13,acedillo,rmax,80.6903,14.0016,79.9,69.75,92.3,daily
2,14,acedillo,rmax,78.5419,14.6388,77.1,68.8,90.8,daily
2,15,acedillo,rmax,80.529,14.2554,80.5,71.25,93.3,daily
2,16,acedillo,rmax,80.3581,13.2554,80.5,72.3,89.5,daily
2,17,acedillo,rmax,79.5419,13.4282,81.4,71.55,87.85,daily
2,18,acedillo,rmax,80.1097,14.0792,82.1,71.9,88.95,daily
2,19,acedillo,rmax,81.471,14.4193,80.1,74.5,92.1,daily
2,20,acedillo,rmax,79.0613,16.0488,81.6,71.5,92.35,daily
2,21,acedillo,rmax,80.2935,14.7147,81.3,72,91.5,daily
2,22,acedillo,rmax,80.0548,14.2114,80,72.6,89.45,daily
2,23,acedillo,rmax,78.2871,12.6565,77.9,70,87.4,daily
2,24,acedillo,rmax,80.3839,13.5868,79.1,70.75,93.7,daily
2,25,acedillo,rmax,80.6581,12.168,80.3,73.35,85.85,daily
2,26,acedillo,rmax,81.4226,13.2235,80.9,71.8,91.1,daily
2,27,acedillo,rmax,80.8065,13.2232,82.7,73.85,90.05,daily
2,28,acedillo,rmax,79.7323,13.2172,79.4,71.2,90,daily
2,29,acedillo,rmax,76.525,7.4705,73.4,71.5,82.125,daily
3,1,acedillo,rmax,81.5387,12.4895,79.8,74.75,88.85,daily
3,2,acedillo,rmax,81.6161,12.8264,80.8,71.3,92.3,daily
3,3,acedillo,rmax,84.2839,12.1224,83.1,75.15,96.75,daily
3,4,acedillo,rmax,82.8935,11.654,84,73.15,92.85,daily
3,5,acedillo,rmax,83.1258,13.7686,84.1,70.7,94.1,daily
3,6,acedillo,rmax,80.2677,15.0003,82.8,68.35,93.1,daily
