month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acedillo,tmmn,9.7138,12.7871,11.93,1.49,19.76,daily
1,2,acedillo,tmmn,11.3494,10.5168,11.03,3.11,19.94,daily
1,3,acedillo,tmmn,12.7835,11.4856,14.27,5.09,19.94,daily
1,4,acedillo,tmmn,11.8023,10.8852,14.45,6.26,17.96,daily
1,5,acedillo,tmmn,11.9823,13.0874,14.99,4.46,20.66,daily
1,6,acedillo,tmmn,11.7152,11.6572,12.83,5.54,20.75,daily
1,7,acedillo,tmmn,14.4616,10.7147,14.45,9.68,22.19,daily
1,8,acedillo,tmmn,15.7158,7.5971,14.63,10.58,21.65,daily
1,9,acedillo,tmmn,14.9784,8.4285,15.71,8.69,21.2,daily
1,10,acedillo,tmmn,14.1945,9.063,15.53,6.89,21.56,daily
1,11,acedillo,tmmn,12.4352,11.6879,13.01,6.8,21.74,daily
1,12,acedillo,tmmn,12.4642,14.4148,17.15,6.17,21.74,daily
1,13,acedillo,tmmn,14.2352,13.5342,18.95,10.04,22.55,daily
1,14,acedillo,tmmn,15.141,10.5005,14.63,10.58,23.81,daily
1,15,acedillo,tmmn,13.939,8.8465,13.73,7.79,21.29,daily
1,16,acedillo,tmmn,13.1842,8.9043,15.53,6.26,20.12,daily
1,17,acedillo,tmmn,14.7171,7.44,15.53,8.87,20.3,daily
1,18,acedillo,tmmn,15.9713,8.7332,16.61,11.84,21.56,daily
1,19,acedillo,tmmn,16.761,7.0272,16.79,12.38,20.66,daily
1,20,acedillo,tmmn,15.5068,7.1925,16.43,11.48,19.58,daily
1,21,acedillo,tmmn,15.0829,7.6132,15.89,9.77,21.38,daily
1,22,acedillo,tmmn,14.479,7.3677,13.55,10.76,19.04,daily
1,23,acedillo,tmmn,13.6139,7.0428,13.37,8.69,17.87,daily
1,24,acedillo,tmmn,14.99,7.8206,15.35,8.42,19.94,daily
1,25,acedillo,tmmn,15.5358,8.8542,17.87,7.88,21.65,daily
1,26,acedillo,tmmn,14.781,9.8263,17.15,9.86,20.57,daily
1,27,acedillo,tmmn,13.2945,9.5479,14.63,6.98,18.86,daily
1,28,acedillo,tmmn,13.9855,7.8169,13.91,8.33,19.58,daily
1,29,acedillo,tmmn,14.5429,8.2127,15.89,8.15,19.76,daily
