month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceeden,tmmn,12.9369,14.1657,14.45,3.83,22.775,daily
1,2,aceeden,tmmn,14.0668,13.5162,13.19,2.48,26.69,daily
1,3,aceeden,tmmn,14.6126,15.5775,17.33,2.39,27.95,daily
1,4,aceeden,tmmn,13.0681,15.109,16.43,-1.75,26.15,daily
1,5,aceeden,tmmn,13.0042,16.2253,16.25,1.94,27.05,daily
1,6,aceeden,tmmn,13.0216,14.9882,18.23,0.23,23.54,daily
1,7,aceeden,tmmn,16.3719,12.9847,20.21,5.81,26.69,daily
1,8,aceeden,tmmn,14.1945,14.369,17.69,2.48,24.17,daily
1,9,aceeden,tmmn,13.039,15.4848,19.49,1.04,24.8,daily
1,10,aceeden,tmmn,13.9506,15.2863,18.77,0.05,26.42,daily
1,11,aceeden,tmmn,13.6661,17.2618,20.21,2.12,25.79,daily
1,12,aceeden,tmmn,13.7474,17.8569,21.11,-2.65,26.15,daily
1,13,aceeden,tmmn,16.7552,15.2018,23.63,7.16,27.32,daily
1,14,aceeden,tmmn,16.07,14.0959,18.59,9.68,25.25,daily
1,15,aceeden,tmmn,16.43,12.5234,17.33,11.03,25.25,daily
1,16,aceeden,tmmn,14.5952,11.1543,15.71,8.87,22.73,daily
1,17,aceeden,tmmn,16.9468,12.3135,20.21,11.75,25.97,daily
1,18,aceeden,tmmn,18.4739,13.2739,19.31,13.19,28.04,daily
1,19,aceeden,tmmn,21.4758,10.4123,23.27,17.33,26.69,daily
1,20,aceeden,tmmn,19.281,10.1629,20.93,15.17,25.25,daily
1,21,aceeden,tmmn,17.719,10.0439,19.67,15.71,23.18,daily
1,22,aceeden,tmmn,17.8235,8.7335,19.31,14.18,22.19,daily
1,23,aceeden,tmmn,16.6216,10.9329,16.61,10.58,24.53,daily
1,24,aceeden,tmmn,18.0616,13.1981,19.49,11.12,28.67,daily
1,25,aceeden,tmmn,18.3868,13.9988,23.09,9.77,27.86,daily
1,26,aceeden,tmmn,17.33,13.951,18.05,10.13,28.04,daily
1,27,aceeden,tmmn,16.941,14.7388,20.75,7.7,27.32,daily
1,28,aceeden,tmmn,15.5765,14.3582,18.23,13.55,24.26,daily
1,29,aceeden,tmmn,16.941,14.401,21.11,11.75,25.16,daily
1,30,aceeden,tmmn,18.5087,13.7435,23.27,11.03,27.68,daily
1,31,aceeden,tmmn,18.4158,12.2911,20.93,12.92,26.87,daily
2,1,aceeden,tmmn,17.2835,14.7259,19.13,11.03,26.42,daily
2,2,aceeden,tmmn,16.9177,13.1131,21.29,12.47,25.25,daily
2,3,aceeden,tmmn,14.3223,11.7049,17.15,9.5,22.46,daily
2,4,aceeden,tmmn,16.3661,12.945,19.13,10.85,26.6,daily
2,5,aceeden,tmmn,17.4984,13.9437,21.65,11.03,25.61,daily
2,6,aceeden,tmmn,14.8274,16.1595,19.31,9.14,24.71,daily
2,7,aceeden,tmmn,15.0074,15.4894,17.69,9.23,24.98,daily
2,8,aceeden,tmmn,13.37,16.2227,17.51,0.05,24.53,daily
2,9,aceeden,tmmn,13.0042,14.8876,16.79,2.66,23.45,daily
2,10,aceeden,tmmn,12.3887,13.1953,13.55,7.25,19.04,daily
2,11,aceeden,tmmn,12.4177,14.1804,14.81,6.89,22.01,daily
2,12,aceeden,tmmn,16.3197,15.8391,19.67,11.21,28.31,daily
2,13,aceeden,tmmn,18.7642,14.3413,22.55,15.53,27.32,daily
2,14,aceeden,tmmn,16.1513,13.6314,20.21,9.23,24.71,daily
2,15,aceeden,tmmn,17.0919,12.7877,21.83,8.42,25.25,daily
2,16,aceeden,tmmn,19.4842,13.3121,22.55,13.82,26.78,daily
2,17,aceeden,tmmn,17.6319,14.264,22.55,11.12,25.25,daily
2,18,aceeden,tmmn,17.4403,13.8381,22.55,9.05,26.42,daily
2,19,aceeden,tmmn,18.5087,12.8067,21.29,12.92,26.42,daily
2,20,aceeden,tmmn,17.9455,12.0802,20.93,11.03,25.07,daily
2,21,aceeden,tmmn,16.3487,13.2096,19.67,7.43,24.44,daily
2,22,aceeden,tmmn,17.6552,12.2789,20.93,12.65,26.06,daily
2,23,aceeden,tmmn,16.0526,12.363,20.93,13.91,23.72,daily
2,24,aceeden,tmmn,14.6126,15.0588,18.23,10.4,25.97,daily
2,25,aceeden,tmmn,13.9448,15.3116,18.23,2.48,25.88,daily
2,26,aceeden,tmmn,13.8984,13.616,17.69,4.19,23.27,daily
2,27,aceeden,tmmn,16.6681,10.7212,17.33,7.52,26.42,daily
2,28,aceeden,tmmn,17.7074,12.5987,19.49,11.48,28.49,daily
2,29,aceeden,tmmn,19.535,14.5712,26.24,19.175,27.14,daily
3,1,aceeden,tmmn,17.7945,12.9626,20.93,10.94,28.04,daily
3,2,aceeden,tmmn,17.6435,14.7595,20.75,8.96,29.39,daily
3,3,aceeden,tmmn,18.8281,13.524,20.93,11.84,27.77,daily
3,4,aceeden,tmmn,19.3681,12.2725,20.93,14.72,30.56,daily
3,5,aceeden,tmmn,18.3926,12.8768,17.51,13.28,28.04,daily
3,6,aceeden,tmmn,18.3984,12.2478,20.57,7.07,28.76,daily
3,7,aceeden,tmmn,18.0384,12.2711,21.29,13.28,26.69,daily
3,8,aceeden,tmmn,18.5029,11.9989,20.75,10.94,27.68,daily
3,9,aceeden,tmmn,21.261,11.2554,23.45,17.78,26.96,daily
3,10,aceeden,tmmn,23.2061,10.0156,25.61,19.4,30.2,daily
3,11,aceeden,tmmn,24.89,9.4389,25.43,22.37,31.55,daily
3,12,aceeden,tmmn,24.4023,8.2759,24.53,20.57,30.47,daily
3,13,aceeden,tmmn,24.6752,8.8273,26.51,20.93,31.37,daily
3,14,aceeden,tmmn,26.179,10.5634,27.23,24.17,30.56,daily
