month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceedwar,tmmx,30.8019,11.4722,31.91,25.88,38.21,daily
1,2,aceedwar,tmmx,32.9319,12.3826,36.05,26.33,42.98,daily
1,3,aceedwar,tmmx,30.1448,16.4161,33.35,16.97,45.23,daily
1,4,aceedwar,tmmx,30.5803,16.3978,31.73,16.88,43.88,daily
1,5,aceedwar,tmmx,29.2623,16.4591,31.37,14.99,41.72,daily
1,6,aceedwar,tmmx,30.1913,15.7739,35.33,18.77,41.72,daily
1,7,aceedwar,tmmx,31.8868,13.4255,33.17,23.27,39.92,daily
1,8,aceedwar,tmmx,31.9971,13.7207,35.69,24.8,40.19,daily
1,9,aceedwar,tmmx,31.9623,14.2475,37.49,20.48,42.53,daily
1,10,aceedwar,tmmx,31.9448,16.8042,36.23,23.36,44.33,daily
1,11,aceedwar,tmmx,30.3074,16.9954,36.77,20.84,42.26,daily
1,12,aceedwar,tmmx,30.6326,15.3013,35.15,21.74,40.37,daily
1,13,aceedwar,tmmx,32.7694,15.2713,35.51,27.23,42.71,daily
1,14,aceedwar,tmmx,31.0797,13.8266,33.53,24.98,41.45,daily
1,15,aceedwar,tmmx,32.4035,12.3619,33.17,28.31,41.18,daily
1,16,aceedwar,tmmx,32.0552,11.1384,34.61,28.13,39.74,daily
1,17,aceedwar,tmmx,32.119,12.6383,36.59,26.15,40.28,daily
1,18,aceedwar,tmmx,33.5358,12.7632,37.13,26.06,43.07,daily
1,19,aceedwar,tmmx,36.0152,11.7591,37.67,31.73,44.6,daily
1,20,aceedwar,tmmx,35.5042,9.0259,36.41,30.11,41,daily
1,21,aceedwar,tmmx,34.999,9.899,37.13,31.28,39.38,daily
1,22,aceedwar,tmmx,34.2674,9.2563,35.33,31.82,40.37,daily
1,23,aceedwar,tmmx,34.2906,9.1928,35.87,27.68,41.18,daily
1,24,aceedwar,tmmx,33.681,12.7292,34.07,27.5,42.98,daily
1,25,aceedwar,tmmx,34.1165,15.2049,36.95,24.17,46.13,daily
1,26,aceedwar,tmmx,34.2848,13.8986,38.93,28.13,43.25,daily
1,27,aceedwar,tmmx,33.6694,14.6631,38.57,24.08,43.79,daily
1,28,aceedwar,tmmx,34.1223,13.7649,35.87,28.4,42.53,daily
1,29,aceedwar,tmmx,34.1281,15.1513,38.21,29.12,43.43,daily
1,30,aceedwar,tmmx,35.4694,14.6057,39.11,22.73,45.32,daily
1,31,aceedwar,tmmx,35.8177,13.7565,36.23,27.68,47.21,daily
2,1,aceedwar,tmmx,36.1197,15.6275,38.21,24.53,46.58,daily
2,2,aceedwar,tmmx,36.4913,13.9327,36.95,28.04,43.79,daily
2,3,aceedwar,tmmx,32.5545,13.5629,35.15,23.9,41.27,daily
2,4,aceedwar,tmmx,34.2558,14.5051,37.13,24.8,42.17,daily
2,5,aceedwar,tmmx,35.8642,13.7822,39.11,28.31,43.52,daily
2,6,aceedwar,tmmx,33.919,15.5107,39.83,25.52,45.23,daily
2,7,aceedwar,tmmx,31.701,16.1019,37.13,22.73,41.63,daily
2,8,aceedwar,tmmx,31.7648,17.7707,36.77,15.71,43.16,daily
2,9,aceedwar,tmmx,32.4906,16.5469,33.17,23.27,44.15,daily
2,10,aceedwar,tmmx,31.2423,12.2569,32.81,25.88,36.86,daily
2,11,aceedwar,tmmx,30.859,13.3084,31.01,24.44,39.56,daily
2,12,aceedwar,tmmx,33.8029,14.8692,37.13,26.42,45.59,daily
2,13,aceedwar,tmmx,36.5377,15.1882,41.09,27.14,47.84,daily
2,14,aceedwar,tmmx,33.8784,13.8506,37.85,25.25,44.06,daily
2,15,aceedwar,tmmx,36.1952,13.2388,37.85,28.58,44.87,daily
2,16,aceedwar,tmmx,38.39,13.9983,41.45,33.8,45.32,daily
2,17,aceedwar,tmmx,36.8861,15.0667,39.47,29.39,47.93,daily
2,18,aceedwar,tmmx,36.8223,13.838,39.11,29.03,45.86,daily
2,19,aceedwar,tmmx,39.0287,14.6836,40.55,30.02,51.08,daily
2,20,aceedwar,tmmx,37.7165,14.6811,40.73,30.29,47.48,daily
2,21,aceedwar,tmmx,38.9242,14.8806,39.65,32.81,48.47,daily
2,22,aceedwar,tmmx,37.9894,15.0945,38.03,26.69,51.08,daily
2,23,aceedwar,tmmx,37.2984,13.6329,40.37,32.27,48.47,daily
2,24,aceedwar,tmmx,35.1732,15.3866,36.77,28.22,43.25,daily
2,25,aceedwar,tmmx,33.9074,15.3027,35.15,26.33,42.71,daily
2,26,aceedwar,tmmx,35.2777,14.4113,36.59,25.52,43.61,daily
