month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceethri,rmin,39.2906,10.0963,39.05,35,44.95,daily
1,2,aceethri,rmin,40.7484,9.2939,42.7,36.2,45,daily
1,3,aceethri,rmin,42.2387,14.1643,39,33.15,47.25,daily
1,4,aceethri,rmin,41.2452,14.6057,39.7,33.15,45.85,daily
1,5,aceethri,rmin,40.7581,12.4705,40.4,32.7,45.9,daily
1,6,aceethri,rmin,42.1871,13.39,42.6,31.8,47.8,daily
1,7,aceethri,rmin,43.9516,12.3538,42.9,37.95,50.45,daily
1,8,aceethri,rmin,45.1,13.3244,43.5,35.95,50.05,daily
1,9,aceethri,rmin,43.8161,14.3346,40.7,35.85,49.25,daily
1,10,aceethri,rmin,41.6516,12.1681,41,35.2,45.6,daily
1,11,aceethri,rmin,41.7806,12.2914,38.7,34,44.7,daily
1,12,aceethri,rmin,39.8935,13.7785,37.7,33.55,43.8,daily
1,13,aceethri,rmin,40.3548,10.0753,41.2,36.55,45.35,daily
1,14,aceethri,rmin,41.8742,10.6706,39.7,36,46.7,daily
1,15,aceethri,rmin,41.2548,10.4678,40,33.85,43.6,daily
1,16,aceethri,rmin,39.6452,11.3983,38.4,32.6,44.95,daily
1,17,aceethri,rmin,41.7,10.881,41.2,34,46.5,daily
1,18,aceethri,rmin,43.3742,10.6174,43.5,37.2,49.25,daily
1,19,aceethri,rmin,40.2581,8.2211,41.3,37.3,45.9,daily
1,20,aceethri,rmin,38.9935,10.7559,38.7,32.65,45.6,daily
1,21,aceethri,rmin,39.0484,9.8706,39.6,34.25,43,daily
1,22,aceethri,rmin,42.1516,10.9456,40.4,36.15,47.95,daily
1,23,aceethri,rmin,40.4323,9.9264,40.5,35.2,45.1,daily
1,24,aceethri,rmin,40.4645,10.172,38.7,36.25,43.85,daily
1,25,aceethri,rmin,40.7355,11.4544,40.4,34.75,45.45,daily
1,26,aceethri,rmin,41.9355,11.0315,40.2,37.05,47.6,daily
1,27,aceethri,rmin,40.0355,8.0463,40.4,33.6,46.1,daily
1,28,aceethri,rmin,38.8161,10.6145,36.9,31.95,43.95,daily
1,29,aceethri,rmin,40.4323,9.2085,40.6,32,48.2,daily
1,30,aceethri,rmin,40.6516,11.7165,37.9,32.1,45.6,daily
1,31,aceethri,rmin,38.9806,11.4764,38.9,32.1,42.5,daily
2,1,aceethri,rmin,39.8194,11.2405,40.8,30.75,49.35,daily
2,2,aceethri,rmin,40.4677,14.4323,41.4,30.05,48.4,daily
2,3,aceethri,rmin,44.1613,16.458,40.2,35.2,50.3,daily
2,4,aceethri,rmin,42.7,13.4344,41.5,33.25,49.35,daily
2,5,aceethri,rmin,43.2774,15.8694,41.6,30.95,52.25,daily
2,6,aceethri,rmin,44.3935,15.4612,39.9,35.85,49.65,daily
2,7,aceethri,rmin,46.3903,16.1607,42.3,36.05,54.6,daily
2,8,aceethri,rmin,46.5903,16.5765,43,35.55,54.55,daily
2,9,aceethri,rmin,42.1452,12.395,40.5,34.5,47.05,daily
2,10,aceethri,rmin,41.8903,15.9676,37.2,29.5,53.3,daily
2,11,aceethri,rmin,38.5129,12.2158,39.2,31.9,45.4,daily
2,12,aceethri,rmin,38.4742,14.1401,38.9,29.9,45.85,daily
2,13,aceethri,rmin,39.6613,14.345,37.4,32.05,46,daily
2,14,aceethri,rmin,41.3581,13.9788,38.7,32,50.4,daily
2,15,aceethri,rmin,42.2516,12.9229,39.7,34.9,49.6,daily
2,16,aceethri,rmin,42.2387,11.7961,42.1,35,47.6,daily
