month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acefairf,tmmn,12.9256,13.214,13.19,3.785,23.63,daily
1,2,acefairf,tmmn,13.1261,13.0655,11.93,2.93,24.53,daily
1,3,acefairf,tmmn,13.399,15.6651,15.17,-0.58,28.13,daily
1,4,acefairf,tmmn,12.1332,15.7995,16.25,-3.1,24.98,daily
1,5,acefairf,tmmn,11.93,16.6934,16.07,1.13,26.78,daily
1,6,acefairf,tmmn,12.139,15.4459,17.51,0.32,23.27,daily
1,7,acefairf,tmmn,14.8042,13.6619,17.33,5.63,24.08,daily
1,8,acefairf,tmmn,13.0797,14.1804,16.07,1.13,23.72,daily
1,9,acefairf,tmmn,13.0158,15.3825,18.59,-1.66,24.26,daily
1,10,acefairf,tmmn,13.6371,15.2345,18.95,2.12,26.33,daily
1,11,acefairf,tmmn,12.679,17.5312,17.51,3.65,26.15,daily
1,12,acefairf,tmmn,13.2945,17.8481,20.93,-3.73,26.87,daily
1,13,acefairf,tmmn,16.5635,15.5304,23.09,11.03,26.78,daily
1,14,acefairf,tmmn,15.3906,13.9454,17.87,8.24,23.81,daily
1,15,acefairf,tmmn,15.7565,12.2912,17.87,9.59,25.34,daily
1,16,acefairf,tmmn,13.6952,11.7478,15.53,7.07,23.09,daily
1,17,acefairf,tmmn,16.4416,12.3155,18.41,10.76,25.61,daily
1,18,acefairf,tmmn,17.6377,13.0448,19.85,13.1,27.23,daily
1,19,acefairf,tmmn,20.9474,10.6813,23.09,15.71,28.04,daily
1,20,acefairf,tmmn,19.2113,9.9873,21.65,15.35,24.62,daily
1,21,acefairf,tmmn,17.1268,9.4483,18.23,15.62,22.19,daily
1,22,acefairf,tmmn,17.7074,8.371,19.13,15.44,22.37,daily
1,23,acefairf,tmmn,16.6681,10.7259,16.61,8.42,26.78,daily
1,24,acefairf,tmmn,17.2835,13.0083,19.49,9.5,27.86,daily
1,25,acefairf,tmmn,17.6319,13.5186,22.73,6.8,26.69,daily
1,26,acefairf,tmmn,16.3313,13.7384,16.97,7.16,28.22,daily
1,27,acefairf,tmmn,16.2326,14.5415,20.75,8.24,27.23,daily
1,28,acefairf,tmmn,15.2571,14.6501,17.87,11.39,25.97,daily
1,29,acefairf,tmmn,15.9655,13.7397,19.85,9.59,25.16,daily
1,30,acefairf,tmmn,17.8874,13.668,23.27,11.75,26.6,daily
1,31,acefairf,tmmn,17.1965,12.1802,19.67,11.48,25.7,daily
2,1,acefairf,tmmn,16.819,13.7959,18.77,12.56,25.16,daily
2,2,acefairf,tmmn,15.3906,12.6946,20.39,10.94,23.81,daily
2,3,acefairf,tmmn,13.6952,11.7128,16.61,8.24,21.56,daily
2,4,acefairf,tmmn,15.1526,13.1345,17.87,8.51,25.61,daily
2,5,acefairf,tmmn,16.8481,13.551,20.21,13.19,24.17,daily
2,6,acefairf,tmmn,14.5139,15.4297,20.21,9.41,24.26,daily
2,7,acefairf,tmmn,14.4035,14.8651,18.05,6.62,24.08,daily
2,8,acefairf,tmmn,12.7487,16.5144,17.51,3.02,23.45,daily
2,9,acefairf,tmmn,13.0739,14.9942,16.79,5.27,22.1,daily
2,10,acefairf,tmmn,13.1552,12.9552,14.81,9.14,20.21,daily
2,11,acefairf,tmmn,12.4352,14.12,15.35,7.52,20.93,daily
2,12,acefairf,tmmn,15.3732,15.1371,17.69,9.41,26.06,daily
2,13,acefairf,tmmn,18.1081,13.6353,23.45,15.26,25.88,daily
2,14,acefairf,tmmn,16.0061,13.0767,18.77,9.95,25.07,daily
2,15,acefairf,tmmn,16.8597,12.4174,20.39,7.52,25.52,daily
2,16,acefairf,tmmn,18.8397,13.1843,22.91,11.66,26.51,daily
2,17,acefairf,tmmn,17.0223,14.0148,21.47,11.93,25.34,daily
2,18,acefairf,tmmn,17.1442,12.363,21.11,8.78,25.34,daily
2,19,acefairf,tmmn,17.7597,11.681,20.03,11.3,26.6,daily
2,20,acefairf,tmmn,17.4345,12.0142,20.93,9.5,24.62,daily
2,21,acefairf,tmmn,15.8261,12.6187,18.23,7.34,25.34,daily
2,22,acefairf,tmmn,17.4113,11.7876,22.01,12.74,25.79,daily
2,23,acefairf,tmmn,15.6113,11.9463,19.67,13.91,22.64,daily
2,24,acefairf,tmmn,14.0377,14.8961,18.05,9.68,25.25,daily
2,25,acefairf,tmmn,14.0784,15.2955,18.95,1.49,25.79,daily
2,26,acefairf,tmmn,13.9274,14.0575,15.89,2.12,25.97,daily
2,27,acefairf,tmmn,16.4358,10.7327,17.51,6.08,26.24,daily
