month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acefairf,tmmx,34.16,10.7274,33.71,27.365,43.655,daily
1,2,acefairf,tmmx,35.7248,12.0693,41.09,28.85,43.52,daily
1,3,acefairf,tmmx,33.0365,14.9809,39.29,22.37,45.23,daily
1,4,acefairf,tmmx,33.5765,14.106,38.21,23.36,44.33,daily
1,5,acefairf,tmmx,32.5487,14.9617,37.49,21.56,42.98,daily
1,6,acefairf,tmmx,34.5868,11.4525,38.21,24.35,42.26,daily
1,7,acefairf,tmmx,36.3171,11.5231,38.93,34.7,41.09,daily
1,8,acefairf,tmmx,34.9874,13.1978,39.29,30.65,42.53,daily
1,9,acefairf,tmmx,34.2035,15.2996,39.47,27.95,44.24,daily
1,10,acefairf,tmmx,34.1339,16.2074,39.83,30.29,45.14,daily
1,11,acefairf,tmmx,33.0365,16.2017,40.19,24.35,45.23,daily
1,12,acefairf,tmmx,34.7435,14.1135,38.93,24.35,44.51,daily
1,13,acefairf,tmmx,35.6842,14.6761,41.09,32.9,45.77,daily
1,14,acefairf,tmmx,36.4797,13.3811,38.75,32.18,44.87,daily
1,15,acefairf,tmmx,38.3377,8.3548,39.83,33.71,43.7,daily
1,16,acefairf,tmmx,36.5435,9.924,38.57,33.35,43.34,daily
1,17,acefairf,tmmx,37.0545,12.1525,39.29,34.43,45.77,daily
1,18,acefairf,tmmx,39.4932,8.9197,40.37,35.42,44.06,daily
1,19,acefairf,tmmx,39.8881,9.3046,41.81,38.12,44.33,daily
1,20,acefairf,tmmx,39.9694,6.9194,41.09,35.24,44.06,daily
1,21,acefairf,tmmx,38.8197,7.4703,38.75,35.69,43.7,daily
1,22,acefairf,tmmx,37.0429,8.0739,37.85,33.71,41.9,daily
1,23,acefairf,tmmx,38.0416,9.2341,38.93,31.01,44.42,daily
1,24,acefairf,tmmx,37.8965,12.7966,39.65,33.44,46.85,daily
1,25,acefairf,tmmx,38.0765,14.6068,41.81,33.8,48.38,daily
1,26,acefairf,tmmx,38.8023,13.0692,43.79,33.71,47.75,daily
1,27,acefairf,tmmx,38.3145,12.3742,39.47,31.37,46.13,daily
1,28,acefairf,tmmx,38.4365,13.3339,39.47,35.69,46.58,daily
1,29,acefairf,tmmx,38.6919,12.678,40.55,34.34,46.76,daily
1,30,acefairf,tmmx,40.6545,11.5905,43.79,33.44,47.66,daily
1,31,acefairf,tmmx,38.239,12.0804,37.49,32.54,46.31,daily
2,1,acefairf,tmmx,38.6165,12.7694,38.75,34.16,46.31,daily
2,2,acefairf,tmmx,38.506100000000004,11.5446,39.83,32.36,43.7,daily
2,3,acefairf,tmmx,35.0861,13.6196,37.85,29.39,42.44,daily
2,4,acefairf,tmmx,37.1706,16.2629,39.47,34.52,45.14,daily
2,5,acefairf,tmmx,37.5248,15.0948,41.63,33.08,47.39,daily
2,6,acefairf,tmmx,35.2023,15.5245,39.65,28.22,45.5,daily
2,7,acefairf,tmmx,33.8726,16.8431,40.01,23.27,46.22,daily
2,8,acefairf,tmmx,34.401,16.9424,38.93,22.19,45.95,daily
