month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acefores,tmmx,33.7381,10.779,34.52,29.84,40.91,daily
1,2,acefores,tmmx,36.1313,13.0318,38.39,29.57,45.23,daily
1,3,acefores,tmmx,33.3442,16.1197,37.49,20.3,47.3,daily
1,4,acefores,tmmx,33.4952,15.8263,38.57,21.02,44.24,daily
1,5,acefores,tmmx,31.759,16.1687,36.59,18.68,42.17,daily
1,6,acefores,tmmx,33.7332,13.3856,36.05,24.17,42.8,daily
1,7,acefores,tmmx,35.8003,11.7839,36.41,30.83,39.83,daily
1,8,acefores,tmmx,35.3474,11.8339,38.21,28.58,42.62,daily
1,9,acefores,tmmx,34.8539,14.6174,40.55,25.34,44.96,daily
1,10,acefores,tmmx,34.43,16.7412,38.93,27.95,45.59,daily
1,11,acefores,tmmx,32.3165,17.3627,39.47,22.01,44.87,daily
1,12,acefores,tmmx,34.2326,14.5472,37.67,25.61,43.52,daily
1,13,acefores,tmmx,35.2603,15.2875,40.19,31.37,44.15,daily
1,14,acefores,tmmx,35.2313,14.389,36.23,31.73,45.5,daily
1,15,acefores,tmmx,36.7642,11.2088,39.65,30.11,44.96,daily
1,16,acefores,tmmx,35.2197,10.322,35.87,29.84,42.8,daily
1,17,acefores,tmmx,35.4519,11.9805,37.49,29.75,44.51,daily
1,18,acefores,tmmx,37.5365,11.2051,38.93,29.66,45.59,daily
1,19,acefores,tmmx,38.7384,10.3779,40.37,37.22,43.34,daily
1,20,acefores,tmmx,38.9126,9.1567,39.11,33.98,44.15,daily
1,21,acefores,tmmx,37.641,9.3271,38.75,33.26,42.35,daily
1,22,acefores,tmmx,36.1197,8.6229,37.13,32.45,42.08,daily
1,23,acefores,tmmx,36.7294,9.2292,37.67,29.93,42.8,daily
1,24,acefores,tmmx,36.6945,12.5404,38.93,30.47,43.61,daily
1,25,acefores,tmmx,37.5655,15.2756,41.99,32.45,48.02,daily
1,26,acefores,tmmx,37.2055,14.0488,41.99,31.91,45.59,daily
1,27,acefores,tmmx,36.4506,13.4419,37.85,26.96,47.12,daily
1,28,acefores,tmmx,36.8629,12.8755,39.47,32.9,44.15,daily
1,29,acefores,tmmx,36.95,13.7558,39.29,32.09,46.13,daily
1,30,acefores,tmmx,38.1519,13.0387,39.65,31.28,46.67,daily
1,31,acefores,tmmx,36.8571,13.3847,35.87,30.56,46.13,daily
2,1,acefores,tmmx,36.9848,14.4313,37.49,27.59,45.41,daily
2,2,acefores,tmmx,37.0081,12.2505,38.57,31.91,43.43,daily
2,3,acefores,tmmx,34.2616,12.4183,36.05,31.28,42.08,daily
2,4,acefores,tmmx,36.3635,15.6049,38.75,30.2,45.23,daily
2,5,acefores,tmmx,37.5887,14.5962,41.45,32.36,45.77,daily
2,6,acefores,tmmx,34.9468,15.5159,36.05,27.59,46.85,daily
2,7,acefores,tmmx,32.8506,16.3301,37.31,22.46,43.61,daily
2,8,acefores,tmmx,33.4197,17.4838,36.23,18.5,46.13,daily
2,9,acefores,tmmx,33.71,16.6605,36.05,27.05,45.14,daily
2,10,acefores,tmmx,32.5545,12.8849,33.71,27.77,36.5,daily
2,11,acefores,tmmx,32.4558,14.2107,31.91,25.07,39.47,daily
2,12,acefores,tmmx,35.7074,15.0634,39.11,30.65,46.31,daily
2,13,acefores,tmmx,37.7803,14.7084,41.27,29.48,46.67,daily
2,14,acefores,tmmx,35.7539,12.9186,38.21,27.86,45.14,daily
2,15,acefores,tmmx,37.461,12.5858,36.77,30.65,44.51,daily
2,16,acefores,tmmx,38.8835,13.779,41.27,33.71,48.02,daily
2,17,acefores,tmmx,37.3332,14.2287,40.01,31.55,47.93,daily
2,18,acefores,tmmx,37.8152,13.8255,41.45,31.91,48.29,daily
2,19,acefores,tmmx,38.8545,13.3824,41.45,31.28,48.38,daily
2,20,acefores,tmmx,37.7571,12.9481,39.29,33.26,45.14,daily
2,21,acefores,tmmx,39.1274,13.1247,38.93,32.27,47.66,daily
2,22,acefores,tmmx,37.9719,12.7129,37.49,31.1,48.56,daily
2,23,acefores,tmmx,37.8326,12.8329,38.93,34.88,46.67,daily
2,24,acefores,tmmx,35.5506,15.3718,36.05,29.03,45.05,daily
2,25,acefores,tmmx,34.5403,15.307,35.87,28.49,45.23,daily
2,26,acefores,tmmx,35.6726,13.6977,36.59,30.02,44.87,daily
2,27,acefores,tmmx,37.1416,13.056,35.87,28.58,46.13,daily
2,28,acefores,tmmx,37.9545,13.5461,39.11,32,44.87,daily
2,29,acefores,tmmx,44.8025,11.8597,45.59,38.3,51.755,daily
3,1,acefores,tmmx,37.7919,15.0369,37.31,32.99,48.56,daily
3,2,acefores,tmmx,38.4365,14.593,38.21,31.37,48.2,daily
3,3,acefores,tmmx,41.5719,13.4048,41.45,34.25,51.17,daily
3,4,acefores,tmmx,40.8752,14.6332,40.19,32.72,52.52,daily
3,5,acefores,tmmx,41.5255,13.8338,43.97,33.62,50.54,daily
3,6,acefores,tmmx,40.2074,15.5967,41.99,30.65,51.08,daily
3,7,acefores,tmmx,40.2248,14.3739,46.67,35.33,51.17,daily
3,8,acefores,tmmx,40.6603,13.5355,41.81,36.23,51.44,daily
3,9,acefores,tmmx,42.6577,14.0598,44.15,36.68,50.27,daily
3,10,acefores,tmmx,45.1661,13.367,45.59,39.02,54.32,daily
3,11,acefores,tmmx,47.1113,10.7217,44.87,41.45,55.22,daily
3,12,acefores,tmmx,47.9416,11.3917,45.23,41.81,55.49,daily
3,13,acefores,tmmx,48.3887,10.9809,48.83,42.89,55.67,daily
3,14,acefores,tmmx,48.2377,12.0184,48.65,43.97,55.4,daily
3,15,acefores,tmmx,48.9171,12.0676,50.99,41.18,58.64,daily
3,16,acefores,tmmx,48.4177,10.0711,47.21,44.06,54.05,daily
3,17,acefores,tmmx,46.0139,9.4164,45.05,41.36,50.36,daily
3,18,acefores,tmmx,47.3668,11.6759,46.49,40.1,56.75,daily
3,19,acefores,tmmx,47.9358,11.6539,47.93,40.82,55.49,daily
3,20,acefores,tmmx,48.9461,12.1601,48.29,43.88,55.76,daily
3,21,acefores,tmmx,49.1552,11.0804,50.27,45.68,55.58,daily
3,22,acefores,tmmx,48.65,10.9472,49.19,40.28,57.47,daily
3,23,acefores,tmmx,48.0694,12.6458,50.09,36.23,57.83,daily
