month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,acefoxcr,pet,0.0308,0.0185,0.0295,0.0197,0.0404,daily
1,2,acefoxcr,pet,0.0343,0.0246,0.0276,0.0177,0.0413,daily
1,3,acefoxcr,pet,0.0333,0.031,0.0197,0.0079,0.0453,daily
1,4,acefoxcr,pet,0.0345,0.0302,0.0197,0.0098,0.0551,daily
1,5,acefoxcr,pet,0.033,0.0276,0.0276,0.0138,0.0433,daily
1,6,acefoxcr,pet,0.0344,0.0258,0.0276,0.0138,0.0531,daily
1,7,acefoxcr,pet,0.0302,0.0264,0.0236,0.0138,0.0394,daily
1,8,acefoxcr,pet,0.0298,0.0267,0.0276,0.0098,0.0433,daily
1,9,acefoxcr,pet,0.0315,0.0234,0.0276,0.0118,0.0453,daily
1,10,acefoxcr,pet,0.0344,0.0254,0.0276,0.0157,0.0531,daily
1,11,acefoxcr,pet,0.0315,0.024,0.0276,0.0118,0.0433,daily
1,12,acefoxcr,pet,0.031,0.0221,0.0276,0.0118,0.0472,daily
1,13,acefoxcr,pet,0.0358,0.028,0.0315,0.0138,0.0472,daily
1,14,acefoxcr,pet,0.0284,0.0195,0.0236,0.0138,0.0472,daily
1,15,acefoxcr,pet,0.0353,0.0242,0.0315,0.0157,0.0551,daily
1,16,acefoxcr,pet,0.0315,0.019,0.0315,0.0157,0.0472,daily
1,17,acefoxcr,pet,0.0334,0.0236,0.0276,0.0157,0.0433,daily
1,18,acefoxcr,pet,0.0359,0.0253,0.0276,0.0197,0.0571,daily
1,19,acefoxcr,pet,0.0399,0.0273,0.0315,0.0217,0.0551,daily
1,20,acefoxcr,pet,0.0347,0.0247,0.0276,0.0157,0.0453,daily
1,21,acefoxcr,pet,0.0338,0.0201,0.0315,0.0177,0.0433,daily
1,22,acefoxcr,pet,0.0349,0.0192,0.0276,0.0197,0.0531,daily
1,23,acefoxcr,pet,0.0339,0.0192,0.0315,0.0177,0.0453,daily
1,24,acefoxcr,pet,0.0362,0.0278,0.0276,0.0157,0.0531,daily
1,25,acefoxcr,pet,0.0384,0.0277,0.0315,0.0177,0.0512,daily
1,26,acefoxcr,pet,0.038,0.0301,0.0276,0.0177,0.0512,daily
1,27,acefoxcr,pet,0.0373,0.0266,0.0315,0.0197,0.0551,daily
1,28,acefoxcr,pet,0.0391,0.0283,0.0394,0.0177,0.0512,daily
1,29,acefoxcr,pet,0.0398,0.0312,0.0394,0.0197,0.0492,daily
1,30,acefoxcr,pet,0.045,0.0286,0.0433,0.0236,0.065,daily
1,31,acefoxcr,pet,0.0467,0.0305,0.0394,0.0236,0.063,daily
2,1,acefoxcr,pet,0.0427,0.0316,0.0354,0.0197,0.061,daily
2,2,acefoxcr,pet,0.0395,0.0307,0.0354,0.0138,0.0512,daily
2,3,acefoxcr,pet,0.0356,0.0293,0.0315,0.0157,0.0472,daily
2,4,acefoxcr,pet,0.0373,0.0259,0.0276,0.0177,0.0472,daily
2,5,acefoxcr,pet,0.0366,0.0241,0.0354,0.0177,0.0591,daily
2,6,acefoxcr,pet,0.0339,0.0228,0.0276,0.0157,0.0472,daily
2,7,acefoxcr,pet,0.034,0.028,0.0315,0.0118,0.0453,daily
2,8,acefoxcr,pet,0.03,0.0235,0.0276,0.0118,0.0394,daily
2,9,acefoxcr,pet,0.0343,0.0229,0.0315,0.0157,0.0453,daily
2,10,acefoxcr,pet,0.0368,0.0255,0.0354,0.0197,0.0433,daily
2,11,acefoxcr,pet,0.0382,0.0294,0.0236,0.0197,0.0512,daily
2,12,acefoxcr,pet,0.0458,0.0311,0.0394,0.0197,0.0669,daily
2,13,acefoxcr,pet,0.0512,0.0349,0.0512,0.0256,0.0728,daily
2,14,acefoxcr,pet,0.0411,0.0317,0.0354,0.0236,0.0472,daily
2,15,acefoxcr,pet,0.0484,0.0451,0.0315,0.0256,0.0531,daily
2,16,acefoxcr,pet,0.0471,0.0392,0.0394,0.0276,0.0551,daily
2,17,acefoxcr,pet,0.0415,0.0263,0.0354,0.0197,0.0512,daily
2,18,acefoxcr,pet,0.0434,0.027,0.0433,0.0236,0.0591,daily
2,19,acefoxcr,pet,0.0505,0.0361,0.0472,0.0197,0.0689,daily
2,20,acefoxcr,pet,0.0483,0.0339,0.0433,0.0197,0.065,daily
2,21,acefoxcr,pet,0.0503,0.034,0.0394,0.0236,0.0748,daily
2,22,acefoxcr,pet,0.0489,0.0307,0.0433,0.0217,0.0728,daily
2,23,acefoxcr,pet,0.0455,0.0271,0.0433,0.0217,0.065,daily
2,24,acefoxcr,pet,0.042,0.0302,0.0354,0.0217,0.0551,daily
2,25,acefoxcr,pet,0.0423,0.027,0.0354,0.0236,0.061,daily
2,26,acefoxcr,pet,0.0419,0.0243,0.0394,0.0217,0.0531,daily
2,27,acefoxcr,pet,0.0414,0.0308,0.0315,0.0256,0.0472,daily
2,28,acefoxcr,pet,0.0465,0.0288,0.0394,0.0276,0.061,daily
2,29,acefoxcr,pet,0.065,0.0356,0.061,0.0344,0.0768,daily
3,1,acefoxcr,pet,0.0451,0.0261,0.0394,0.0276,0.061,daily
3,2,acefoxcr,pet,0.0479,0.028,0.0394,0.0295,0.061,daily
3,3,acefoxcr,pet,0.0564,0.0307,0.0512,0.0335,0.0827,daily
3,4,acefoxcr,pet,0.0533,0.031,0.0433,0.0256,0.0807,daily
3,5,acefoxcr,pet,0.0516,0.0343,0.0394,0.0236,0.0669,daily
3,6,acefoxcr,pet,0.0497,0.0343,0.0433,0.0236,0.0669,daily
3,7,acefoxcr,pet,0.0525,0.0301,0.0551,0.0276,0.0787,daily
3,8,acefoxcr,pet,0.0561,0.0316,0.0551,0.0295,0.0846,daily
3,9,acefoxcr,pet,0.0667,0.0441,0.0551,0.0335,0.0827,daily
3,10,acefoxcr,pet,0.0734,0.0387,0.0709,0.0453,0.0965,daily
3,11,acefoxcr,pet,0.0772,0.0439,0.0669,0.0413,0.1004,daily
3,12,acefoxcr,pet,0.0847,0.0455,0.0748,0.0433,0.122,daily
