month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceharlo,tmmn,11.9188,12.1756,14,4.325,20.795,daily
1,2,aceharlo,tmmn,13.5152,10.6297,13.37,6.8,21.92,daily
1,3,aceharlo,tmmn,13.9623,14.0161,14.99,3.92,25.88,daily
1,4,aceharlo,tmmn,12.1506,13.7888,17.15,0.95,23.09,daily
1,5,aceharlo,tmmn,12.6268,14.963,17.15,1.22,23.27,daily
1,6,aceharlo,tmmn,12.0984,13.7424,16.25,3.56,20.75,daily
1,7,aceharlo,tmmn,15.2048,11.6075,14.99,9.32,22.64,daily
1,8,aceharlo,tmmn,15.0306,10.5201,17.33,9.32,21.65,daily
1,9,aceharlo,tmmn,13.3294,11.7773,17.33,6.17,21.2,daily
1,10,aceharlo,tmmn,13.1203,13.4357,17.69,4.1,22.73,daily
1,11,aceharlo,tmmn,12.3771,14.2237,18.23,3.2,22.37,daily
1,12,aceharlo,tmmn,12.8416,14.9687,19.49,0.77,24.26,daily
1,13,aceharlo,tmmn,14.7635,14.0458,21.65,7.97,24.98,daily
1,14,aceharlo,tmmn,15.0074,12.406,18.77,9.05,24.53,daily
1,15,aceharlo,tmmn,14.4674,11.5925,16.97,10.58,23.09,daily
1,16,aceharlo,tmmn,13.5094,9.9513,13.37,8.24,21.83,daily
1,17,aceharlo,tmmn,14.5313,11.0346,15.53,8.06,23.18,daily
1,18,aceharlo,tmmn,16.5868,11.7,18.05,11.75,27.32,daily
1,19,aceharlo,tmmn,18.6887,8.7654,19.67,13.46,23.54,daily
1,20,aceharlo,tmmn,17.3532,9.3266,16.61,12.29,23.45,daily
1,21,aceharlo,tmmn,16.0294,8.7191,16.97,12.29,20.93,daily
1,22,aceharlo,tmmn,14.601,8.1762,16.43,11.3,19.4,daily
1,23,aceharlo,tmmn,13.881,9.7613,13.19,6.26,20.84,daily
1,24,aceharlo,tmmn,15.8552,11.8339,17.51,7.16,23.09,daily
1,25,aceharlo,tmmn,16.761,12.1053,19.49,9.95,25.88,daily
1,26,aceharlo,tmmn,16.3313,12.4797,18.77,7.79,24.89,daily
1,27,aceharlo,tmmn,15.019,12.5302,16.07,7.52,24.35,daily
1,28,aceharlo,tmmn,14.4384,11.907,15.17,10.04,22.82,daily
1,29,aceharlo,tmmn,15.53,12.3899,18.05,9.32,24.17,daily
1,30,aceharlo,tmmn,16.6739,11.9701,21.11,7.79,25.79,daily
1,31,aceharlo,tmmn,16.7145,11.4788,17.15,8.6,24.98,daily
2,1,aceharlo,tmmn,15.6694,13.6146,17.15,10.49,25.52,daily
2,2,aceharlo,tmmn,14.8739,13.0747,19.31,9.59,23.63,daily
2,3,aceharlo,tmmn,12.7487,11.9293,15.89,10.58,19.94,daily
2,4,aceharlo,tmmn,13.9971,12.3344,15.53,7.7,21.56,daily
2,5,aceharlo,tmmn,16.1048,13.162,20.03,10.04,23.81,daily
2,6,aceharlo,tmmn,13.6545,15.1821,17.87,7.97,24.53,daily
2,7,aceharlo,tmmn,13.0042,15.3414,18.77,5.99,22.37,daily
2,8,aceharlo,tmmn,12.4642,15.3422,16.61,-2.92,24.26,daily
2,9,aceharlo,tmmn,12.9287,14.717,16.25,1.49,22.46,daily
2,10,aceharlo,tmmn,12.2552,12.2468,12.83,10.58,16.88,daily
2,11,aceharlo,tmmn,12.2668,13.024,16.07,6.26,21.56,daily
2,12,aceharlo,tmmn,14.7403,13.7471,16.07,10.31,25.07,daily
2,13,aceharlo,tmmn,16.7494,14.1974,21.47,10.85,26.06,daily
2,14,aceharlo,tmmn,14.601,13.0763,19.49,6.35,22.19,daily
2,15,aceharlo,tmmn,15.9713,11.1451,18.95,7.88,23.18,daily
2,16,aceharlo,tmmn,18.5726,12.7072,20.93,15.17,25.88,daily
2,17,aceharlo,tmmn,16.8074,13.2016,19.31,13.64,25.43,daily
2,18,aceharlo,tmmn,16.4068,13.1814,19.13,11.21,26.69,daily
2,19,aceharlo,tmmn,16.0642,12.9565,17.15,14.45,24.08,daily
2,20,aceharlo,tmmn,16.4416,11.5598,19.67,12.11,23.18,daily
2,21,aceharlo,tmmn,15.3326,12.3303,18.23,7.07,22.46,daily
2,22,aceharlo,tmmn,15.7448,11.6678,19.31,9.68,21.92,daily
2,23,aceharlo,tmmn,14.3106,11.4974,18.05,7.16,21.02,daily
2,24,aceharlo,tmmn,13.0971,13.8032,16.25,11.57,21.92,daily
2,25,aceharlo,tmmn,12.6965,13.9973,15.71,4.28,21.38,daily
2,26,aceharlo,tmmn,13.3584,12.1292,14.81,8.69,21.83,daily
2,27,aceharlo,tmmn,15.0945,10.6416,14.63,5.81,24.89,daily
2,28,aceharlo,tmmn,14.9087,12.1311,13.91,10.22,24.26,daily
2,29,aceharlo,tmmn,19.175,12.6622,21.65,19.355,26.87,daily
3,1,aceharlo,tmmn,15.2048,13.093,17.87,11.57,23.63,daily
3,2,aceharlo,tmmn,16.2732,14.2524,19.13,11.57,26.42,daily
3,3,aceharlo,tmmn,19.4552,12.1664,19.67,16.07,27.32,daily
3,4,aceharlo,tmmn,18.8687,11.2192,20.75,14.18,27.95,daily
3,5,aceharlo,tmmn,18.9732,10.9526,21.47,13.37,27.59,daily
3,6,aceharlo,tmmn,18.4913,10.3435,19.31,13.46,27.41,daily
3,7,aceharlo,tmmn,17.2545,11.2032,21.11,11.12,25.52,daily
3,8,aceharlo,tmmn,18.6248,11.0392,19.49,12.83,26.96,daily
3,9,aceharlo,tmmn,19.4435,10.7828,21.11,13.73,26.69,daily
3,10,aceharlo,tmmn,20.8661,9.7797,22.73,17.06,28.31,daily
3,11,aceharlo,tmmn,22.7068,9.3165,23.27,19.58,28.67,daily
3,12,aceharlo,tmmn,22.939,7.7188,23.63,19.31,29.03,daily
3,13,aceharlo,tmmn,23.3339,7.0067,24.35,20.75,27.77,daily
3,14,aceharlo,tmmn,24.5242,8.4956,24.17,22.01,28.49,daily
3,15,aceharlo,tmmn,24.6113,9.6089,25.79,20.84,31.1,daily
3,16,aceharlo,tmmn,24.3965,7.8124,26.51,19.85,29.75,daily
3,17,aceharlo,tmmn,22.9042,6.9292,23.63,19.58,26.69,daily
3,18,aceharlo,tmmn,22.9913,6.7378,22.19,20.48,25.88,daily
3,19,aceharlo,tmmn,23.5545,6.1005,23.63,18.95,28.85,daily
3,20,aceharlo,tmmn,23.7868,8.415,23.45,19.85,27.41,daily
3,21,aceharlo,tmmn,24.8784,8.304,26.33,23,29.39,daily
3,22,aceharlo,tmmn,25.5984,6.6064,27.41,21.74,30.47,daily
3,23,aceharlo,tmmn,23.659,7.5637,25.25,16.97,28.58,daily
3,24,aceharlo,tmmn,22.881,9.0004,23.63,15.89,27.86,daily
3,25,aceharlo,tmmn,23.0029,9.0507,23.09,18.59,28.4,daily
3,26,aceharlo,tmmn,25.3835,6.9566,26.15,21.47,29.93,daily
3,27,aceharlo,tmmn,25.2965,7.4949,26.87,20.03,30.83,daily
3,28,aceharlo,tmmn,25.5113,6.7444,26.15,22.1,30.92,daily
3,29,aceharlo,tmmn,24.7681,6.4414,25.07,20.57,30.11,daily
3,30,aceharlo,tmmn,25.0816,7.5199,26.15,21.92,29.48,daily
3,31,aceharlo,tmmn,26.0861,7.6658,26.87,20.84,30.74,daily
