month,day,mean,std_dev,median,min,max,q25,q75,type,variable,station
1,1,43.9903,9.8815,44.6,26.1,64.4,37.25,48,daily,rmin,aceingom
1,2,43.85,10.656,43.5,18.4,72.1,39.6,49.775,daily,rmin,aceingom
1,3,46.6333,16.906,43.75,17.4,100,39.9,49.85,daily,rmin,aceingom
1,4,44.3467,13.6841,43.3,20,87.5,37.025,51.275,daily,rmin,aceingom
1,5,45.1267,12.1396,45.35,23.7,75.9,37.85,50.4,daily,rmin,aceingom
1,6,44.0767,13.4988,43.7,10.9,78.5,36.875,50.875,daily,rmin,aceingom
1,7,47.1167,13.2939,47.85,22,74.9,40.175,53.45,daily,rmin,aceingom
1,8,45.6433,12.8027,45.05,18.4,85.7,40.75,53.55,daily,rmin,aceingom
1,9,43.7867,14.1905,42.55,18.5,78.4,33.95,47.95,daily,rmin,aceingom
1,10,44.16,17.3581,42.5,24.1,100,35.45,48.45,daily,rmin,aceingom
1,11,43.9167,13.6265,40.95,23.4,85.6,35.475,50.675,daily,rmin,aceingom
1,12,41.47,8.6344,41.35,19.5,58.2,36.55,47.15,daily,rmin,aceingom
1,13,42.4,13.7958,40.85,21,100,34.95,48.25,daily,rmin,aceingom
1,14,46.2067,12.5072,45.75,24.8,90.8,41.075,50.45,daily,rmin,aceingom
1,15,45.5233,10.3231,43.8,22,74.6,38.8,53.425,daily,rmin,aceingom
1,16,44.3967,13.1453,43.75,15.5,95.1,39.4,49.65,daily,rmin,aceingom
1,17,44.75,11.5824,45.4,18,79.1,38.175,49.875,daily,rmin,aceingom
1,18,46.1167,10.6479,45.2,31,78.2,39.3,50.15,daily,rmin,aceingom
1,19,45.6667,9.4574,47.1,22.9,62.6,42.65,51.125,daily,rmin,aceingom
1,20,44.2667,10.0359,45.3,17.8,62,38.775,50.85,daily,rmin,aceingom
1,21,45.4233,12.2619,46.9,16.4,76.5,36.275,49.475,daily,rmin,aceingom
1,22,43.7733,10.5742,43.05,17.1,74.6,39.05,48.825,daily,rmin,aceingom
1,23,42.8033,11.1057,42.45,17.5,65.5,37.875,46.65,daily,rmin,aceingom
1,24,43.1733,10.0914,41.85,27.2,66.1,36.35,46.95,daily,rmin,aceingom
1,25,43.7267,9.5384,42.1,30.8,68.7,36.825,48.875,daily,rmin,aceingom
1,26,44.3467,10.9313,43.75,27.3,76.1,39.525,48.125,daily,rmin,aceingom
1,27,43.3633,10.0454,43.2,25.1,65.3,37.55,47.275,daily,rmin,aceingom
1,28,42.1433,9.1406,42.5,23.5,62.9,38.3,46.75,daily,rmin,aceingom
1,29,43.07,10.7051,42.95,25,64.4,34.825,51.875,daily,rmin,aceingom
1,30,44.7433,12.9593,42.2,22.9,97.4,38.325,48.625,daily,rmin,aceingom
1,31,42.6767,13.1917,43.05,21.4,76.2,33.7,47.375,daily,rmin,aceingom
2,1,43.44,14.9349,45,17.1,84.4,31.75,50.05,daily,rmin,aceingom
2,2,44.9733,14.0921,46.05,19.4,83.7,33.15,51.375,daily,rmin,aceingom
2,3,48.8833,17.544,45.1,23,100,40.525,50.125,daily,rmin,aceingom
2,4,48.59,13.4801,46.15,24.5,71.8,39.475,54.725,daily,rmin,aceingom
2,5,48.0567,13.9633,48.65,20.7,72.9,38.1,58.5,daily,rmin,aceingom
2,6,47.8767,16.0515,46.3,25.4,98.4,39.15,56.25,daily,rmin,aceingom
2,7,48.56,16.0508,47.9,25.7,96.8,35.875,57.75,daily,rmin,aceingom
2,8,48.49,13.6493,47.15,29.4,90.1,38.55,51.625,daily,rmin,aceingom
2,9,44.71,12.1945,44.25,25.3,83.4,36.725,49.85,daily,rmin,aceingom
2,10,45.0967,12.7216,46.65,18.5,74.1,36.075,52.8,daily,rmin,aceingom
2,11,42.54,11.6314,42.05,19.4,72.4,35.675,49.9,daily,rmin,aceingom
2,12,42.35,13.7871,43.7,20.7,75.6,28.85,52.125,daily,rmin,aceingom
2,13,40.86,14.8295,41.7,24.4,91.5,29.475,47.1,daily,rmin,aceingom
2,14,41.3567,13.8056,40.55,20.5,80.6,31.625,49.025,daily,rmin,aceingom
2,15,40.26,12.8769,39.25,17.1,69.4,31.45,49.55,daily,rmin,aceingom
2,16,41.6333,13.6977,41.1,17.5,82,35.525,45.4,daily,rmin,aceingom
2,17,42.6367,14.2574,41.6,20,74.2,28.4,51.475,daily,rmin,aceingom
2,18,43.11,16.4094,41.7,21.5,99.3,31.775,48.025,daily,rmin,aceingom
2,19,39.88,11.532,39.55,17.9,67.6,32.2,45.45,daily,rmin,aceingom
2,20,37.1233,10.0292,36.75,17.3,56.9,29.325,45.275,daily,rmin,aceingom
2,21,38.77,13.3073,37.25,15.8,74,30.1,44.9,daily,rmin,aceingom
2,22,40.0833,13.7396,42.3,15,74.1,31.175,45.55,daily,rmin,aceingom
