month,day,station,variable,mean,std_dev,median,q25,q75,type
1,1,aceinven,pr,0.015,0.0292,0,0,0.0236,daily
1,2,aceinven,pr,0.0204,0.0557,0,0,0,daily
1,3,aceinven,pr,0.0155,0.0468,0,0,0,daily
1,4,aceinven,pr,0.0122,0.043,0,0,0,daily
1,5,aceinven,pr,0.0151,0.0487,0,0,0,daily
1,6,aceinven,pr,0.0114,0.0306,0,0,0,daily
1,7,aceinven,pr,0.0164,0.0319,0,0,0.0197,daily
1,8,aceinven,pr,0.015,0.0385,0,0,0,daily
1,9,aceinven,pr,0.0159,0.0281,0,0,0.0197,daily
1,10,aceinven,pr,0.0164,0.0353,0,0,0.0197,daily
1,11,aceinven,pr,0.0041,0.0172,0,0,0,daily
1,12,aceinven,pr,0.0085,0.0209,0,0,0,daily
1,13,aceinven,pr,0.0152,0.0357,0,0,0,daily
1,14,aceinven,pr,0.0077,0.0182,0,0,0.0059,daily
1,15,aceinven,pr,0.006,0.0145,0,0,0,daily
1,16,aceinven,pr,0.0056,0.0159,0,0,0,daily
1,17,aceinven,pr,0.0108,0.0322,0,0,0,daily
1,18,aceinven,pr,0.006,0.0212,0,0,0,daily
1,19,aceinven,pr,0.0112,0.0298,0,0,0,daily
1,20,aceinven,pr,0.0163,0.0394,0,0,0.0118,daily
1,21,aceinven,pr,0.0055,0.0135,0,0,0,daily
1,22,aceinven,pr,0.014,0.0403,0,0,0,daily
1,23,aceinven,pr,0.0108,0.0246,0,0,0.0059,daily
1,24,aceinven,pr,0.003,0.0143,0,0,0,daily
1,25,aceinven,pr,0.0014,0.0078,0,0,0,daily
1,26,aceinven,pr,0.0036,0.012,0,0,0,daily
1,27,aceinven,pr,0.0071,0.0187,0,0,0,daily
1,28,aceinven,pr,0.0064,0.019,0,0,0,daily
1,29,aceinven,pr,0.0099,0.046,0,0,0,daily
1,30,aceinven,pr,0.0098,0.0232,0,0,0,daily
1,31,aceinven,pr,0.0057,0.0172,0,0,0,daily
2,1,aceinven,pr,0.0033,0.0117,0,0,0,daily
2,2,aceinven,pr,0.003,0.0081,0,0,0,daily
2,3,aceinven,pr,0.0154,0.0522,0,0,0,daily
2,4,aceinven,pr,0.0138,0.0549,0,0,0,daily
2,5,aceinven,pr,0.009,0.025,0,0,0,daily
2,6,aceinven,pr,0.0064,0.0187,0,0,0,daily
2,7,aceinven,pr,0.0113,0.0336,0,0,0,daily
2,8,aceinven,pr,0.0206,0.0429,0,0,0,daily
2,9,aceinven,pr,0.0138,0.0204,0,0,0.0256,daily
2,10,aceinven,pr,0.0075,0.0277,0,0,0,daily
2,11,aceinven,pr,0.0071,0.0181,0,0,0,daily
2,12,aceinven,pr,0.0033,0.0151,0,0,0,daily
2,13,aceinven,pr,0.0169,0.0501,0,0,0,daily
